ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2014/1/2,4.8432,1.7985,1.82,2.8871,3.7416,2.4056,2.1937,1.3996,2.0367,2.3027,2.461,6.7082,5.9408,4.2292,,2.3098,1.6784,3.2612,1.2856,3.66,2.8906,1.3959,1.7909,2.59,2.3145,2.5236,1.6656,2.0557,1.4517,1.4479,1.7214,2.46,
2014/1/3,4.7079,1.7715,1.81,2.8392,3.6583,2.3779,2.18,1.3853,2.0167,2.3951,2.4343,6.7635,5.9872,4.1229,,2.2915,1.8448,3.237,1.2779,3.62,2.7193,1.3742,1.745,2.54,2.251,2.4404,1.6462,2.0358,1.4282,1.4479,1.7048,2.44,
2014/1/6,4.5642,1.7355,1.78,2.7433,3.6643,2.3319,2.1181,1.3353,1.9967,2.3098,2.3809,6.5385,5.817,4.0378,,2.2548,1.735,3.1482,1.2471,3.5,2.5852,1.3179,1.7174,2.43,2.1517,2.378,1.6172,1.9859,1.3859,1.4135,1.6632,2.37,
2014/1/7,4.5727,1.7265,1.77,2.7624,3.5929,2.3319,2.1318,1.3282,1.9967,2.3169,2.3809,6.4353,5.786,4.0846,,2.2732,1.6925,3.1401,1.2394,3.5,2.6299,1.3309,1.7082,2.4,2.1597,2.3711,1.6268,1.9859,1.3906,1.4135,1.6466,2.35,
2014/1/8,4.5389,1.7175,1.75,2.7433,3.587,2.3134,2.0974,1.3067,1.9868,2.4022,2.3702,6.4205,5.7474,4.0931,,2.264,1.6323,3.0917,1.2317,3.47,2.533,1.3179,1.699,2.39,2.1636,2.3642,1.5978,1.9859,1.3624,1.3962,1.6383,2.36,
2014/1/9,4.5304,1.6636,1.69,2.6761,3.5453,2.2858,2.0493,1.271,1.9568,2.3311,2.2528,6.3025,5.554,4.0208,,2.264,1.5863,3.0594,1.2086,3.4,2.4585,1.2789,1.6807,2.37,2.12,2.2948,1.5687,1.9759,1.3343,1.3876,1.6466,2.33,
2014/1/10,4.4205,1.6276,1.68,2.609,3.5453,2.2581,2.0149,1.2425,1.9269,2.2814,2.1834,6.1993,5.5308,4.0037,,2.2457,1.5261,3.0513,1.2009,3.33,2.4585,1.2615,1.6623,2.32,2.0406,2.2602,1.5687,1.9509,1.3061,1.3704,1.6383,2.29,
2014/1/13,4.3698,1.5827,1.68,2.561,3.4501,2.2397,2.008,1.2353,1.9368,2.2032,2.178,6.2914,5.5462,3.9144,,2.2273,1.5332,3.0997,1.2009,3.35,2.3989,1.2659,1.6347,2.32,2.0326,2.2255,1.5494,1.936,1.3014,1.3704,1.6383,2.28,
2014/1/14,4.4544,1.6006,1.76,2.609,3.4382,2.2397,2.0355,1.2639,1.9668,2.2316,2.1994,6.3689,5.6468,3.9569,,2.2365,1.5438,3.1562,1.2163,3.4,2.466,1.2832,1.6623,2.33,2.0842,2.274,1.5591,1.9509,1.3108,1.379,1.6549,2.29,
2014/1/15,4.4713,1.5916,1.73,2.5994,3.4145,2.212,2.0355,1.2496,1.9568,2.2103,2.1887,6.3984,5.6159,3.9655,,2.2548,1.5013,3.1159,1.2086,3.35,2.5107,1.2789,1.6256,2.34,2.1319,2.2463,1.5494,1.931,1.3014,1.379,1.6466,2.3,
2014/1/16,4.5135,1.6006,1.74,2.5994,3.3609,2.2213,2.0562,1.2496,1.9568,2.2174,2.1887,6.5312,5.6468,3.9782,,2.2457,1.5509,3.124,1.2086,3.38,2.4883,1.2745,1.6164,2.35,2.1001,2.2602,1.5494,1.941,1.3108,1.3704,1.6549,2.3,
2014/1/17,4.4205,1.5737,1.73,2.5418,3.3312,2.212,2.0218,1.2282,1.9169,2.189,2.162,6.4427,5.5153,3.9101,,2.2365,1.5757,3.019,1.1855,3.33,2.4138,1.2659,1.6072,2.32,2.0644,2.2186,1.5397,1.8961,1.2638,1.3531,1.6383,2.27,
2014/1/20,4.4544,1.5647,1.71,2.5035,3.3312,2.1936,2.0287,1.2139,1.8969,2.1676,2.1407,6.4131,5.4534,3.8591,,2.2273,1.5615,3.0109,1.1855,3.32,2.3989,1.2572,1.5888,2.32,2.2073,2.2602,1.5203,1.8711,1.2544,1.3531,1.6133,2.26,
2014/1/21,4.4797,1.5827,1.72,2.5418,3.2241,2.2213,2.0287,1.2282,1.9069,2.1819,2.1674,6.5975,5.4998,3.8931,,2.2365,1.5438,3.019,1.1932,3.36,2.4287,1.2615,1.6072,2.33,2.1994,2.2532,1.5494,1.8911,1.2732,1.3617,1.6216,2.27,
2014/1/22,4.5811,1.6186,1.75,2.609,3.23,2.2673,2.0974,1.2568,1.9468,2.2387,2.2208,6.7119,5.6777,3.9995,,2.264,1.5792,3.0836,1.224,3.46,2.5256,1.2962,1.6531,2.56,2.2907,2.3156,1.5784,1.931,1.2967,1.3876,1.6549,2.31,
2014/1/23,4.5727,1.5916,1.74,2.609,3.2836,2.2581,2.0768,1.2353,1.9368,2.2103,2.2154,6.675,5.6777,4.0037,,2.2548,1.5367,3.0352,1.2086,3.43,2.5405,1.3005,1.6164,2.52,2.2549,2.3156,1.5687,1.926,1.292,1.379,1.6383,2.28,
2014/1/24,4.5896,1.6006,1.75,2.6282,3.2657,2.2581,2.0768,1.2425,1.9868,2.2387,2.2474,6.7524,5.7242,4.0463,,2.2548,1.519,3.0513,1.224,3.47,2.5554,1.3005,1.6439,2.54,2.2788,2.3434,1.5784,1.941,1.3296,1.379,1.6549,2.31,
2014/1/27,4.5389,1.5916,1.73,2.6378,3.2122,2.2397,2.0287,1.2425,1.9668,2.2529,2.2261,6.6713,5.6468,4.0463,,2.2457,1.4801,3.0352,1.2163,3.42,2.5032,1.2832,1.598,2.47,2.251,2.3087,1.6075,1.926,1.3014,1.3876,1.6715,2.28,
2014/1/28,4.5558,1.6006,1.74,2.6282,3.2122,2.2581,2.0287,1.2496,1.9668,2.2316,2.2154,6.6565,5.6777,4.042,,2.2457,1.4836,3.0432,1.224,3.42,2.466,1.2875,1.5888,2.44,2.2192,2.3156,1.6172,1.926,1.3155,1.3876,1.6632,2.27,
2014/1/29,4.5473,1.5916,1.75,2.6378,3.1884,2.2673,2.0287,1.2568,1.9967,2.2316,2.2208,6.4021,5.6159,4.0591,,2.264,1.4695,3.0836,1.224,3.43,2.4883,1.3005,1.5888,2.43,2.2351,2.3087,1.6172,1.921,1.3202,1.3876,1.6799,2.26,
2014/1/30,4.5558,1.5827,1.74,2.6473,3.123,2.2581,2.0149,1.271,1.9468,2.2032,2.2101,6.3136,5.6159,4.0165,,2.2457,1.4128,3.0594,1.224,3.3,2.4958,1.2919,1.598,2.38,2.4574,2.3295,1.6268,1.931,1.3578,1.379,1.6799,2.27,
