ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2014/1/2,-0.3478,0,0,-0.3311,-1.2559,0.7722,-0.6231,1.0309,-0.4878,4.8544,0,1.6201,1.3193,-2.549,,-0.3953,9.9768,-1.2225,0,0.274,0,0,1.0363,-1.145,0,-0.8174,-0.578,-0.2421,-0.3226,0,-0.4808,-0.8065,,0.4504,0.3507,0.3851,0.0197,0.2181,0.1356,0.0595,0.1987,0.2587,0.267,0.2132,0.5302,1.8758,1.9289,,0.069,0.3866,0.2143,0.1194,0.2449,0.2309,0.3067,0.0541,0.0384,0.92,0.3958,0.1625,0.2776,0.0717,0.0765,0.0549,0.1234,,2562034432,10178761044,2053006335,8235360000,15272292252,14866516134,19615003591,4842622299,2460546243,5107100388,2464967000,5401164085,1390043466,2571184074,,8235360000,30448070944,66545768693,8923074114,2712862462,3255082350,2588887084,7557717291,10596615728,2634280370,4826978465,4117137321,3157769612,4305754648,10025821992,5304981924,2939700000,,12.7695,182.8022,43.3973,34.2511,14.814,23.6086,29.9728,55.8768,-26.4159,180.8221,45.7337,26.1299,30.086,17.5195,,22.5554,151.3099,11.437,67.9025,-38.0879,157.6226,33.8839,-12.2204,-6.937,130.7323,8.5772,79.0991,94.5996,39.2864,82.2868,24.4801,-4.3668,,0.8203,0.499,1.013,0.6166,0.9619,0.6036,0.4908,0.5839,0.8506,2.172,0.8829,3.1779,1.7556,1.4787,,0.4061,2.0049,0.6022,0.8262,0.9636,0.9849,0.6765,0.9134,0.9878,1.7708,1.8679,0.5732,0.8662,0.564,0.5593,0.9457,1.1004,,0.3462,0.1926,0.2297,0.2341,0.2424,0.1416,0.3064,0.099,0.6542,0.4735,0.1277,1.9923,0.952,0.9972,,0.1541,1.0043,0.3502,0.1525,0.3858,0.1894,0.1654,0.2818,0.1715,0.5553,0.3653,0.1575,0.1361,0.1277,0.1752,0.144,0.6213,
2014/1/3,-2.7923,-1.5,-0.5495,-1.6611,-2.2258,-1.1494,-0.627,-1.0204,-0.9804,4.0123,-1.0846,0.8246,0.7813,-2.5151,,-0.7937,9.9156,-0.7426,-0.5988,-1.0929,-5.9278,-1.5528,-2.5641,-1.9305,-2.7444,-3.2967,-1.1628,-0.9709,-1.6181,0,-0.9662,-0.813,,0.8652,0.4299,0.33,0.0235,0.3269,0.1345,0.0688,0.2672,0.3183,0.3784,0.2349,0.951,2.4878,1.251,,0.1163,6.6873,0.1219,0.1148,0.2525,0.991,0.3769,0.0636,0.0751,1.0337,0.595,0.0887,0.3443,0.0936,0.0552,0.0508,0.2079,,2490494204,10026079628,2041726081,8098560000,14932368418,14695636638,19492025512,4793207786,2436423240,5312014910,2438232000,5445703646,1400903181,2506516467,,8098560000,33467183463,66051616945,8869642532,2683213692,3062126438,2548686974,7363929668,10392047857,2561984510,4667847307,4069263631,3127111655,4236082242,10025821992,5253726060,2915800000,,12.4129,180.0602,43.1588,33.6821,14.4842,23.3373,29.7849,55.3066,-26.1569,188.0773,45.2376,26.3454,30.3211,17.0789,,22.3941,166.3132,11.3521,67.4959,-37.6717,148.2789,33.3577,-11.9071,-6.8031,127.1445,8.2944,78.1793,93.6812,38.6507,82.2868,24.2435,-4.3313,,0.7974,0.4915,1.0074,0.6064,0.9405,0.5967,0.4877,0.578,0.8423,2.2592,0.8734,3.2041,1.7693,1.4415,,0.4032,2.2037,0.5977,0.8213,0.9531,0.9265,0.666,0.89,0.9687,1.7222,1.8063,0.5666,0.8578,0.5549,0.5593,0.9366,1.0914,,0.3366,0.1897,0.2284,0.2302,0.237,0.1399,0.3045,0.098,0.6478,0.4925,0.1263,2.0087,0.9595,0.9722,,0.153,1.1039,0.3476,0.1516,0.3816,0.1782,0.1628,0.2745,0.1682,0.54,0.3532,0.1557,0.1348,0.1257,0.1752,0.1426,0.6163,
2014/1/6,-3.0521,-2.0305,-1.6575,-3.3784,0.1626,-1.938,-2.8391,-3.6082,-0.9901,-3.5608,-2.193,-3.3261,-2.8424,-2.064,,-1.6,-5.9501,-2.7431,-2.4096,-3.3149,-4.9315,-4.1009,-1.5789,-4.3307,-4.4092,-2.5568,-1.7647,-2.451,-2.9605,-2.381,-2.439,-2.8689,,0.7556,0.8126,0.5129,0.0483,0.5555,0.1792,0.1058,0.7517,0.4282,0.189,0.295,0.7672,1.8637,0.9562,,0.1674,3.7543,0.223,0.1428,0.2794,0.442,0.5312,0.0492,0.129,1.0848,0.5417,0.1938,0.4316,0.1146,0.0927,0.1001,0.2919,,2414482711,9822504407,2007885317,7824960000,14956648692,14410837478,18938624157,4620256990,2412300238,5122863044,2384762000,5264576098,1361084227,2454782381,,7824960000,31475853929,64239727204,8655916206,2594267382,2911117463,2444166688,7247657095,9941998540,2449022230,4548498939,3997453097,3050466761,4110671913,9787111945,5125586400,2832150000,,12.0341,176.4041,42.4435,32.5442,14.5078,22.885,28.9392,53.311,-25.8979,181.3802,44.2456,25.4691,29.4592,16.7264,,22.0419,156.4174,11.0407,65.8695,-36.4229,140.9666,31.9897,-11.7191,-6.5085,121.5385,8.0823,76.7997,91.3851,37.5065,80.3276,23.6522,-4.207,,0.773,0.4815,0.9907,0.5859,0.9421,0.5851,0.4738,0.5571,0.834,2.1788,0.8542,3.0976,1.7191,1.4118,,0.3968,2.0726,0.5813,0.8015,0.9215,0.8808,0.6387,0.876,0.9267,1.6463,1.7601,0.5566,0.8368,0.5385,0.546,0.9137,1.0601,,0.3263,0.1859,0.2246,0.2224,0.2374,0.1372,0.2958,0.0945,0.6414,0.4749,0.1236,1.9419,0.9322,0.9521,,0.1506,1.0382,0.3381,0.148,0.3689,0.1694,0.1562,0.2702,0.1609,0.5162,0.3442,0.1529,0.1315,0.1219,0.171,0.1391,0.5986,
2014/1/7,0.1852,-0.5181,-0.5618,0.6993,-1.9481,0,0.6494,-0.5348,0,0.3077,0,-1.5792,-0.5319,1.1591,,0.813,-2.449,-0.2564,-0.6173,0,1.7291,0.9868,-0.5348,-1.2346,0.369,-0.2915,0.5988,0,0.339,0,-1,-0.8439,,0.2933,0.3546,0.2701,0.0366,0.1399,0.0753,0.0595,0.3136,0.2487,0.1075,0.2053,0.6168,1.4226,0.773,,0.1141,2.4254,0.0575,0.1156,0.2532,0.2547,0.2346,0.0248,0.0917,0.503,0.2195,0.1482,0.2023,0.0602,0.047,0.0918,0.1665,,2418953975,9771610602,1996605062,7879680000,14665285405,14410837478,19061602236,4595549733,2412300238,5138625700,2384762000,5181435585,1353844418,2483236128,,7879680000,30705016690,64075009954,8602484625,2594267382,2961453788,2468286754,7208899570,9819257818,2458059213,4535238009,4021389942,3050466761,4124606394,9787111945,5074330536,2808250000,,12.0563,175.4901,42.205,32.7718,14.2252,22.885,29.1271,53.0259,-25.8979,181.9383,44.2456,25.0669,29.3025,16.9203,,22.2141,152.5868,11.0123,65.4629,-36.4229,143.404,32.3054,-11.6564,-6.4281,121.9869,8.0588,77.2595,91.3851,37.6336,80.3276,23.4157,-4.1715,,0.7745,0.479,0.9852,0.59,0.9237,0.5851,0.4769,0.5541,0.834,2.1855,0.8542,3.0487,1.7099,1.4281,,0.3999,2.0219,0.5798,0.7966,0.9215,0.896,0.645,0.8713,0.9153,1.6523,1.755,0.5599,0.8368,0.5403,0.546,0.9046,1.0512,,0.3269,0.1849,0.2234,0.2239,0.2328,0.1372,0.2977,0.0939,0.6414,0.4764,0.1236,1.9113,0.9272,0.9631,,0.1518,1.0128,0.3372,0.147,0.3689,0.1723,0.1577,0.2688,0.159,0.5181,0.3432,0.1539,0.1315,0.1224,0.171,0.1377,0.5935,
2014/1/8,-0.7394,-0.5208,-1.1299,-0.6944,-0.1656,-0.7905,-1.6129,-1.6129,-0.5,3.681,-0.4484,-0.2292,-0.6684,0.2083,,-0.4032,-3.5565,-1.5424,-0.6211,-0.8571,-3.6827,-0.9772,-0.5376,-0.4167,0.1838,-0.2924,-1.7857,0,-2.027,-1.2195,-0.5051,0.4255,,0.9284,0.4883,0.3878,0.027,0.1618,0.0995,0.0893,0.2039,0.3354,0.2476,0.1647,0.5306,1.5923,0.7255,,0.0595,1.7588,0.2084,0.1241,0.1864,0.5426,0.3372,0.0294,0.0737,0.6346,0.3712,0.2372,0.3402,0.1349,0.0724,0.0533,0.2049,,2401068918,9720716797,1974044553,7824960000,14641005132,14296917814,18754157038,4521427963,2400238737,5327777566,2374068000,5169558368,1344794655,2488409537,,7824960000,29612997268,63086706459,8549053043,2572030804,2852391750,2444166688,7170142045,9778344243,2462577704,4521977079,3949579407,3050466761,4040999507,9667756921,5048702604,2820200000,,11.9672,174.5761,41.7281,32.5442,14.2016,22.7041,28.6574,52.1707,-25.7684,188.6354,44.0472,25.0095,29.1066,16.9555,,22.1391,147.16,10.8425,65.0563,-36.1107,138.1229,31.9897,-11.5937,-6.4014,122.2112,8.0352,75.8799,91.3851,36.8708,79.348,23.2974,-4.1893,,0.7687,0.4765,0.9741,0.5859,0.9222,0.5805,0.4692,0.5452,0.8298,2.2659,0.8504,3.0417,1.6985,1.4311,,0.3986,1.9499,0.5709,0.7916,0.9136,0.863,0.6387,0.8666,0.9115,1.6554,1.7498,0.5499,0.8368,0.5293,0.5393,0.9,1.0556,,0.3245,0.184,0.2209,0.2224,0.2324,0.1361,0.2929,0.0924,0.6382,0.4939,0.123,1.9069,0.921,0.9651,,0.1513,0.9767,0.332,0.1461,0.3657,0.166,0.1562,0.2673,0.1583,0.5191,0.3422,0.1511,0.1315,0.1199,0.1689,0.137,0.5961,
2014/1/9,-0.1862,-3.1414,-3.4286,-2.4476,-1.1609,-1.1952,-2.2951,-2.7322,-1.5075,-2.9586,-4.955,-1.838,-3.3647,-1.7672,,0,-2.82,-1.0444,-1.875,-2.0173,-2.9412,-2.9605,-1.0811,-0.8368,-2.0183,-2.9326,-1.8182,-0.5025,-2.069,-0.6173,0.5076,-1.2712,,0.7686,0.9092,0.5248,0.0429,0.1352,0.1337,0.1046,0.2657,0.232,0.1251,0.5936,0.5597,2.8378,0.725,,0.0641,1.4699,0.1166,0.1797,0.2071,0.312,0.4842,0.0374,0.0886,0.6356,0.5804,0.2096,0.2363,0.1566,0.0784,0.1033,0.1522,,2396597654,9415353966,1906363026,7633440000,14471043215,14126038319,18323733762,4397891680,2364054233,5170151011,2256434000,5074540639,1299545845,2444435564,,7633440000,28777923592,62427837462,8388758299,2520145457,2768497875,2371806490,7092626996,9696517095,2412874301,4389367780,3877768872,3035137783,3957392621,9608079409,5074330536,2784350000,,11.9449,169.092,40.2975,31.7477,14.0368,22.4327,27.9996,50.7453,-25.3799,183.0545,41.8647,24.5498,28.1273,16.6559,,22.1495,143.0102,10.7293,63.8365,-35.3822,134.0604,31.0427,-11.4684,-6.3478,119.7445,7.7996,74.5003,90.9259,36.1079,78.8582,23.4157,-4.136,,0.7673,0.4616,0.9407,0.5715,0.9115,0.5736,0.4585,0.5303,0.8173,2.1989,0.8083,2.9858,1.6413,1.4058,,0.3988,1.895,0.5649,0.7768,0.8951,0.8376,0.6198,0.8572,0.9039,1.622,1.6985,0.5399,0.8326,0.5184,0.536,0.9046,1.0422,,0.3239,0.1782,0.2133,0.2169,0.2297,0.1345,0.2862,0.0899,0.6286,0.4793,0.1169,1.8718,0.89,0.9481,,0.1514,0.9492,0.3285,0.1434,0.3584,0.1611,0.1515,0.2644,0.157,0.5086,0.3322,0.1484,0.1308,0.1174,0.1679,0.1377,0.5885,
2014/1/10,-2.4254,-2.1622,-0.5917,-2.509,0,-1.2097,-1.6779,-2.2472,-1.5306,-2.1341,-3.0806,-1.6384,-0.4178,-0.4233,,-0.8097,-3.7946,-0.2639,-0.6369,-2.0588,0,-1.3559,-1.0929,-2.1097,-3.7453,-1.5106,0,-1.2626,-2.1127,-1.2422,-0.5051,-1.7167,,0.5606,1.1128,0.4209,0.0447,0.1916,0.1109,0.0847,0.1906,0.2833,0.1018,0.3049,0.6573,2.178,1.0298,,0.1389,1.5407,0.1199,0.147,0.2848,0.2621,0.3307,0.0231,0.0661,1.2688,0.4016,0.2266,0.3287,0.1281,0.0979,0.0708,0.1485,,2338471218,9211778745,1895082771,7441920000,14471043215,13955158823,18016288565,4299062654,2327869730,5059812422,2186923000,4991400125,1294115987,2434088746,,7441920000,27685904170,62263120213,8335326717,2468260109,2768497875,2339646402,7015111947,9491949224,2322504477,4323063131,3877768872,2996815336,3873785735,9488724386,5048702604,2736550000,,11.6552,165.436,40.059,30.9511,14.0368,22.1613,27.5299,49.6049,-24.9915,179.1478,40.575,24.1476,28.0098,16.5854,,21.9339,137.5835,10.7009,63.4299,-34.6538,134.0604,30.6218,-11.343,-6.2139,115.2597,7.6818,74.5003,89.7778,35.3451,77.8786,23.2974,-4.065,,0.7487,0.4516,0.9351,0.5572,0.9115,0.5666,0.4508,0.5184,0.8048,2.1519,0.7834,2.9368,1.6345,1.3999,,0.3949,1.8231,0.5634,0.7718,0.8767,0.8376,0.6114,0.8479,0.8848,1.5612,1.6729,0.5399,0.822,0.5074,0.5293,0.9,1.0243,,0.316,0.1743,0.212,0.2115,0.2297,0.1329,0.2814,0.0879,0.6189,0.4691,0.1133,1.8412,0.8863,0.9441,,0.1499,0.9132,0.3277,0.1425,0.351,0.1611,0.1495,0.2615,0.1537,0.4896,0.3271,0.1484,0.1292,0.1149,0.1658,0.137,0.5784,
2014/1/13,-1.1472,-2.7624,0,-1.8382,-2.6846,-0.8163,-0.3413,-0.5747,0.5181,-3.4268,-0.2445,1.4872,0.2797,-2.2317,,-0.8163,0.464,1.5873,0,0.6006,-2.4242,0.3436,-1.6575,0,-0.3891,-1.5337,-1.2346,-0.7673,-0.3597,0,0,-0.4367,,0.5193,1.8629,0.3423,0.0336,0.2996,0.1453,0.059,0.239,0.1987,0.1473,0.2156,0.5117,1.5265,0.8567,,0.2034,1.1041,0.1352,0.1564,0.1783,0.3196,0.328,0.0459,0.0387,0.5855,0.4802,0.1644,0.2726,0.1054,0.0782,0.045,0.1172,,2311643633,8957309719,1895082771,7305120000,14082558833,13841239159,17954799525,4274355397,2339931231,4886423211,2181576000,5065632726,1297735892,2379767956,,7305120000,27814377043,63251423708,8335326717,2483084494,2701382775,2347686424,6898839373,9491949224,2313467494,4256758482,3829895182,2973821868,3859851254,9488724386,5048702604,2724600000,,11.5215,160.8659,40.059,30.3822,13.6599,21.9804,27.4359,49.3198,-25.121,173.0088,40.4758,24.5067,28.0881,16.2152,,21.7341,138.2219,10.8708,63.4299,-34.8619,130.8105,30.727,-11.155,-6.2139,114.8112,7.5639,73.5805,89.089,35.2179,77.8786,23.2974,-4.0472,,0.7401,0.4391,0.9351,0.547,0.887,0.562,0.4492,0.5154,0.8089,2.0782,0.7814,2.9805,1.639,1.3686,,0.3913,1.8315,0.5723,0.7718,0.882,0.8173,0.6135,0.8338,0.8848,1.5551,1.6472,0.5332,0.8157,0.5056,0.5293,0.9,1.0198,,0.3124,0.1695,0.212,0.2076,0.2236,0.1318,0.2804,0.0874,0.6222,0.453,0.113,1.8686,0.8888,0.923,,0.1485,0.9174,0.3329,0.1425,0.3531,0.1572,0.15,0.2572,0.1537,0.4877,0.3221,0.1465,0.1282,0.1145,0.1658,0.137,0.5759,
2014/1/14,1.9342,1.1364,4.7619,1.8727,-0.3448,0,1.3699,2.3121,1.5464,1.2903,0.9804,1.2309,1.8131,1.087,,0.4115,0.6928,1.8229,1.2821,1.4925,2.795,1.3699,1.6854,0.431,2.5391,2.1807,0.625,0.7732,0.722,0.6289,1.0152,0.4386,,0.4067,1.055,1.2414,0.0233,0.1628,0.4127,0.0475,0.1812,0.2518,0.1123,0.2606,0.3033,1.2569,0.5723,,0.1254,1.4695,0.1106,0.1348,0.2599,0.2688,0.2385,0.0367,0.0637,0.63,0.336,0.2199,0.1975,0.123,0.0624,0.0433,0.1472,,2356356276,9059097329,1985324808,7441920000,14033998285,13841239159,18200755683,4373184424,2376115734,4949473833,2202964000,5127988112,1321265274,2405634999,,7441920000,28007086353,64404444453,8442189880,2520145457,2776887263,2379846512,7015111947,9532862798,2372207880,4349584991,3853832027,2996815336,3887720216,9548401898,5099958468,2736550000,,11.7443,162.6939,41.9666,30.9511,13.6128,21.9804,27.8117,50.4602,-25.5094,175.2412,40.8726,24.8084,28.5974,16.3915,,21.8163,139.1796,11.069,64.2431,-35.3822,134.4667,31.1479,-11.343,-6.2407,117.7264,7.7289,74.0404,89.7778,35.4722,78.3684,23.534,-4.065,,0.7544,0.4441,0.9796,0.5572,0.8839,0.562,0.4554,0.5273,0.8215,2.105,0.7891,3.0172,1.6688,1.3835,,0.3928,1.8442,0.5828,0.7817,0.8951,0.8402,0.6219,0.8479,0.8886,1.5946,1.6831,0.5366,0.822,0.5093,0.5327,0.9091,1.0243,,0.3184,0.1714,0.2221,0.2115,0.2228,0.1318,0.2843,0.0894,0.6318,0.4588,0.1142,1.8916,0.9049,0.933,,0.1491,0.9238,0.3389,0.1443,0.3584,0.1616,0.1521,0.2615,0.1543,0.5,0.3291,0.1474,0.1292,0.1153,0.1668,0.1384,0.5784,
2014/1/15,0.3795,-0.5618,-1.7045,-0.3676,-0.692,-1.2346,0,-1.1299,-0.5076,-0.9554,-0.4854,0.4632,-0.5479,0.2151,,0.8197,-2.7523,-1.2788,-0.6329,-1.4706,1.8127,-0.3378,-2.2099,0.4292,2.2857,-1.2195,-0.6211,-1.023,-0.7168,0,-0.5025,0.4367,,0.3308,0.3478,0.6041,0.0228,0.2523,0.1617,0.0482,0.1737,0.2607,0.0652,0.2321,0.3084,1.5125,0.4358,,0.181,0.8185,0.0394,0.1068,0.1762,0.2938,0.2298,0.0423,0.0433,0.975,0.2187,0.0846,0.2901,0.0608,0.054,0.0339,0.1582,,2365298804,9008203524,1951484044,7414560000,13936877190,13670359663,18200755683,4323769910,2364054233,4902185867,2192270000,5151742544,1314025464,2410808408,,7414560000,27236249114,63580858207,8388758299,2483084494,2827223588,2371806490,6860081849,9573776372,2426429774,4296541271,3829895182,2966157378,3859851254,9548401898,5074330536,2748500000,,11.7889,161.7799,41.2513,30.8374,13.5186,21.7091,27.8117,49.89,-25.3799,173.5669,40.6742,24.9233,28.4407,16.4267,,22.0226,135.3489,10.9274,63.8365,-34.8619,136.9041,31.0427,-11.0924,-6.2674,120.4172,7.6346,73.5805,88.8594,35.2179,78.3684,23.4157,-4.0827,,0.7573,0.4416,0.9629,0.5552,0.8778,0.5551,0.4554,0.5214,0.8173,2.0849,0.7853,3.0312,1.6596,1.3865,,0.3965,1.7934,0.5753,0.7768,0.882,0.8554,0.6198,0.8291,0.8924,1.6311,1.6626,0.5332,0.8136,0.5056,0.5327,0.9046,1.0288,,0.3196,0.1705,0.2183,0.2107,0.2212,0.1302,0.2843,0.0884,0.6286,0.4545,0.1136,1.9003,0.9,0.935,,0.1505,0.8983,0.3346,0.1434,0.3531,0.1645,0.1515,0.2558,0.155,0.5115,0.3251,0.1465,0.1279,0.1145,0.1668,0.1377,0.5809,
