代码,简称,date,前收盘价,收盘价,yield
000300.SH,沪深300,2014/1/2,2330.026,2321.978,-0.003454039
000300.SH,沪深300,2014/1/3,2321.978,2290.779,-0.013436389
000300.SH,沪深300,2014/1/6,2290.779,2238.637,-0.022761689
000300.SH,沪深300,2014/1/7,2238.637,2238.001,-0.000284101
000300.SH,沪深300,2014/1/8,2238.001,2241.911,0.001747095
000300.SH,沪深300,2014/1/9,2241.911,2222.221,-0.008782686
000300.SH,沪深300,2014/1/10,2222.221,2204.851,-0.007816504
000300.SH,沪深300,2014/1/13,2204.851,2193.679,-0.005067009
000300.SH,沪深300,2014/1/14,2193.679,2212.846,0.008737377
000300.SH,沪深300,2014/1/15,2212.846,2208.941,-0.001764696
000300.SH,沪深300,2014/1/16,2208.941,2211.844,0.001314204
000300.SH,沪深300,2014/1/17,2211.844,2178.488,-0.01508063
000300.SH,沪深300,2014/1/20,2178.488,2165.993,-0.005735629
000300.SH,沪深300,2014/1/21,2165.993,2187.41,0.009887844
000300.SH,沪深300,2014/1/22,2187.41,2243.796,0.025777518
000300.SH,沪深300,2014/1/23,2243.796,2231.889,-0.005306632
000300.SH,沪深300,2014/1/24,2231.889,2245.678,0.006178175
000300.SH,沪深300,2014/1/27,2245.678,2215.919,-0.013251677
000300.SH,沪深300,2014/1/28,2215.919,2219.855,0.001776238
000300.SH,沪深300,2014/1/29,2219.855,2227.781,0.003570503
000300.SH,沪深300,2014/1/30,2227.781,2202.45,-0.011370507
000300.SH,沪深300,2014/2/7,2202.45,2212.483,0.004555382
000300.SH,沪深300,2014/2/10,2212.483,2267.534,0.024881999
000300.SH,沪深300,2014/2/11,2267.534,2285.562,0.007950487
000300.SH,沪深300,2014/2/12,2285.562,2291.246,0.002486916
000300.SH,沪深300,2014/2/13,2291.246,2279.554,-0.0051029
000300.SH,沪深300,2014/2/14,2279.554,2295.575,0.007028129
000300.SH,沪深300,2014/2/17,2295.575,2311.647,0.007001296
000300.SH,沪深300,2014/2/18,2311.647,2282.442,-0.012633849
000300.SH,沪深300,2014/2/19,2282.442,2308.656,0.011485067
000300.SH,沪深300,2014/2/20,2308.656,2287.436,-0.009191495
000300.SH,沪深300,2014/2/21,2287.436,2264.294,-0.010117004
000300.SH,沪深300,2014/2/24,2264.294,2214.509,-0.021986986
000300.SH,沪深300,2014/2/25,2214.509,2157.909,-0.025558713
000300.SH,沪深300,2014/2/26,2157.909,2163.405,0.00254691
000300.SH,沪深300,2014/2/27,2163.405,2154.108,-0.004297392
000300.SH,沪深300,2014/2/28,2154.108,2178.971,0.011542133
000300.SH,沪深300,2014/3/3,2178.971,2190.37,0.005231368
000300.SH,沪深300,2014/3/4,2190.37,2184.273,-0.002783548
000300.SH,沪深300,2014/3/5,2184.273,2163.976,-0.009292337
000300.SH,沪深300,2014/3/6,2163.976,2173.634,0.004463081
000300.SH,沪深300,2014/3/7,2173.634,2168.358,-0.002427272
000300.SH,沪深300,2014/3/10,2168.358,2097.787,-0.032545825
000300.SH,沪深300,2014/3/11,2097.787,2108.661,0.005183558
000300.SH,沪深300,2014/3/12,2108.661,2114.134,0.002595486
000300.SH,沪深300,2014/3/13,2114.134,2140.333,0.012392308
000300.SH,沪深300,2014/3/14,2140.333,2122.836,-0.008174896
000300.SH,沪深300,2014/3/17,2122.836,2143.038,0.009516515
000300.SH,沪深300,2014/3/18,2143.038,2138.133,-0.002288807
000300.SH,沪深300,2014/3/19,2138.133,2120.87,-0.008073866
000300.SH,沪深300,2014/3/20,2120.87,2086.967,-0.015985421
000300.SH,沪深300,2014/3/21,2086.967,2158.798,0.034418848
000300.SH,沪深300,2014/3/24,2158.798,2176.554,0.008224947
000300.SH,沪深300,2014/3/25,2176.554,2174.44,-0.00097126
000300.SH,沪深300,2014/3/26,2174.44,2171.047,-0.001560402
000300.SH,沪深300,2014/3/27,2171.047,2155.707,-0.007065715
000300.SH,沪深300,2014/3/28,2155.707,2151.965,-0.001735857
000300.SH,沪深300,2014/3/31,2151.965,2146.305,-0.002630154
000300.SH,沪深300,2014/4/1,2146.305,2163.115,0.007832065
000300.SH,沪深300,2014/4/2,2163.115,2180.727,0.008141962
000300.SH,沪深300,2014/4/3,2180.727,2165.008,-0.007208147
000300.SH,沪深300,2014/4/4,2165.008,2185.472,0.009452159
000300.SH,沪深300,2014/4/8,2185.472,2237.316,0.023722107
