代码,简称,date,前收盘价,收盘价,yield
399005.SZ,中小板指,2014/1/2,4979.855,5059.369,0.015967132
399005.SZ,中小板指,2014/1/3,5059.369,5068.632,0.001830861
399005.SZ,中小板指,2014/1/6,5068.632,4950.747,-0.023257755
399005.SZ,中小板指,2014/1/7,4950.747,4988.5,0.007625718
399005.SZ,中小板指,2014/1/8,4988.5,5019.879,0.006290268
399005.SZ,中小板指,2014/1/9,5019.879,4944.613,-0.014993588
399005.SZ,中小板指,2014/1/10,4944.613,4860.31,-0.017049464
399005.SZ,中小板指,2014/1/13,4860.31,4828.985,-0.006445062
399005.SZ,中小板指,2014/1/14,4828.985,4901.99,0.015118084
399005.SZ,中小板指,2014/1/15,4901.99,4962.507,0.012345394
399005.SZ,中小板指,2014/1/16,4962.507,4931.816,-0.006184576
399005.SZ,中小板指,2014/1/17,4931.816,4866.125,-0.01331984
399005.SZ,中小板指,2014/1/20,4866.125,4816.953,-0.01010496
399005.SZ,中小板指,2014/1/21,4816.953,4873.892,0.011820543
399005.SZ,中小板指,2014/1/22,4873.892,4985.267,0.022851348
399005.SZ,中小板指,2014/1/23,4985.267,5020.456,0.007058599
399005.SZ,中小板指,2014/1/24,5020.456,5103.421,0.016525391
399005.SZ,中小板指,2014/1/27,5103.421,5082.949,-0.004011427
399005.SZ,中小板指,2014/1/28,5082.949,5046.239,-0.007222185
399005.SZ,中小板指,2014/1/29,5046.239,5086.288,0.007936406
399005.SZ,中小板指,2014/1/30,5086.288,5030.201,-0.011027099
399005.SZ,中小板指,2014/2/7,5030.201,5111.619,0.016185834
399005.SZ,中小板指,2014/2/10,5111.619,5292.074,0.035302905
399005.SZ,中小板指,2014/2/11,5292.074,5268.298,-0.004492757
399005.SZ,中小板指,2014/2/12,5268.298,5327.761,0.011286947
399005.SZ,中小板指,2014/2/13,5327.761,5254.308,-0.013786842
399005.SZ,中小板指,2014/2/14,5254.308,5330.344,0.014471173
399005.SZ,中小板指,2014/2/17,5330.344,5412.611,0.015433713
399005.SZ,中小板指,2014/2/18,5412.611,5386.633,-0.004799532
399005.SZ,中小板指,2014/2/19,5386.633,5413.601,0.005006467
399005.SZ,中小板指,2014/2/20,5413.601,5300.111,-0.020963865
399005.SZ,中小板指,2014/2/21,5300.111,5280.108,-0.003774072
