ÈÕÆÚ,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH
2014/1/2,0,1.0185,-1.0138,-1.2945,-0.996,-1.0989,-0.731,,,0.3012,-0.5519,0.4074,1.2937,0.2569,0.4714,0.6587,0.5181,0.2587,,,0.0761,0.2146,1985680267,762499900,1994675760,6357486545,3882167146,2470694481,3241423135,,,6357486545,3882167146,29.2556,24.183,18.7706,23.5518,23.34,27.8744,26.8888,,,15.683,12.9032,3.0144,1.6882,1.8319,1.7406,2.4724,1.593,2.4968,,,1.1591,1.3668,5.3689,1.1914,1.0249,3.0398,2.6252,1.1689,4.5217,,,2.0242,1.4513
2014/1/3,1.3725,-1.1916,-1.8622,-2.2951,-3.8229,-3.3333,-2.651,,,-1.0511,-0.6659,0.7252,1.4283,0.2412,0.5894,0.8717,0.9164,0.4048,,,0.0434,0.1278,2012934702,753414200,1957530960,6211577018,3733754317,2388337998,3155494392,,,6211577018,3733754317,29.6571,23.8949,18.4211,23.0113,22.4477,26.9453,26.176,,,15.5306,12.8276,3.0558,1.6681,1.7978,1.7007,2.3779,1.5399,2.4306,,,1.1478,1.3588,5.4426,1.1772,1.0058,2.97,2.5249,1.1299,4.4018,,,2.0045,1.4428
2014/1/6,-4.2553,-3.7106,-3.4156,-3.0201,-6.59,-3.2184,-4.3873,,,-1.8209,-1.4525,1.3626,2.1126,0.2778,0.4583,0.9967,0.7499,0.3302,,,0.1218,0.2271,1927277906,725458200,1890670320,6023979054,3487701470,2311471948,3017053640,,,6023979054,3487701470,28.3951,23.0083,17.7919,22.3163,20.9684,26.0781,25.0276,,,15.2528,12.6454,2.9258,1.6062,1.7364,1.6493,2.2212,1.4904,2.3239,,,1.1273,1.3395,5.211,1.1335,0.9715,2.8803,2.3585,1.0936,4.2087,,,1.9686,1.4223
2014/1/7,0.6061,0.6744,-1.1788,0.692,1.9037,0.4751,0.1582,,,0,1.1338,0.2655,1.0676,0.3302,0.2417,0.721,0.5367,0.2219,,,0.0866,0.2662,1938958379,730350500,1868383440,6065667490,3554096683,2322452812,3021827459,,,6065667490,3554096683,28.5672,23.1634,17.5821,22.4708,21.3676,26.202,25.0672,,,15.2485,12.7852,2.9435,1.6171,1.7159,1.6607,2.2635,1.4974,2.3276,,,1.1269,1.3543,5.2426,1.1412,0.96,2.9002,2.4034,1.0988,4.2154,,,1.9681,1.438
2014/1/8,4.2169,0.5742,0.5964,-1.3746,-2.967,-1.4184,-1.4218,,,0,-0.5605,0.9559,1.315,0.3401,0.3754,0.6889,0.4696,0.2587,,,0.0588,0.1214,2020721684,734543900,1879526880,5982290618,3448645462,2289510219,2978863087,,,5982290618,3448645462,29.7719,23.2964,17.687,22.1619,20.7336,25.8303,24.7108,,,15.2578,12.7213,3.0676,1.6263,1.7261,1.6379,2.1963,1.4762,2.2945,,,1.1276,1.3476,5.4636,1.1477,0.9657,2.8604,2.3321,1.0832,4.1554,,,1.9693,1.4309
2014/1/9,-0.4817,-3.235,-0.9881,-2.9617,0.3398,0.7194,-1.9231,,,-0.4637,1.2401,0.6083,1.6241,0.2746,0.3739,0.7143,0.5709,0.263,,,0.0462,0.2655,2010987957,710781300,1860954480,5805114763,3460362265,2305981516,2921577259,,,5805114763,3460362265,29.6285,22.5428,17.5122,21.5055,20.8041,26.0161,24.2356,,,15.1945,12.8853,3.0529,1.5737,1.7091,1.5894,2.2038,1.4868,2.2504,,,1.123,1.3649,5.4373,1.1106,0.9562,2.7757,2.34,1.091,4.0755,,,1.9611,1.4493
2014/1/10,-1.6457,-1.9666,-1.7964,-1.9749,-1.4673,-2.619,-1.1438,,,-1.087,0.4454,0.398,1.2916,0.1997,0.4823,0.4473,0.504,0.2356,,,0.1606,0.178,1977893286,696803300,1827524160,5690471563,3409589455,2245586762,2888160525,,,5690471563,3409589455,29.1409,22.0994,17.1976,21.0808,20.4988,25.3348,23.9584,,,15.0045,12.9213,3.0026,1.5428,1.6784,1.558,2.1714,1.4479,2.2247,,,1.1089,1.3688,5.3478,1.0888,0.939,2.7209,2.3056,1.0624,4.0289,,,1.9366,1.4534
2014/1/13,4.2323,0.3009,1.626,0.7326,0,-1.2225,0.3306,,,0.314,-0.8869,1.4285,0.6349,0.1438,0.2943,0.3934,0.551,0.1442,,,0.0766,0.1126,2061603336,698900000,1857240000,5732160000,3409589455,2218134601,2897708163,,,5732160000,3409589455,30.3742,22.1659,17.4773,21.2353,20.4988,25.0251,24.0376,,,15.0373,12.7946,3.1297,1.5474,1.7057,1.5694,2.1714,1.4302,2.232,,,1.1113,1.3553,5.5742,1.092,0.9543,2.7408,2.3056,1.0494,4.0422,,,1.9408,1.4391
2014/1/14,0.8499,2.8,1.9,0.9091,1.9473,1.7327,0.4942,,,0.939,0.1119,1.4115,1.107,0.1715,0.347,0.4442,0.4682,0.2228,,,0.034,0.2226,2079124044,718469200,1892527560,5784270545,3475984668,2256567626,2912029621,,,5784270545,3475984668,30.6323,22.7866,17.8094,21.4283,20.898,25.4587,24.1564,,,15.1735,12.8047,3.1563,1.5907,1.7381,1.5837,2.2137,1.455,2.243,,,1.1214,1.3564,5.6215,1.1226,0.9724,2.7657,2.3505,1.0676,4.0622,,,1.9584,1.4402
2014/1/15,4.8689,2.7237,0.0981,0,0.1124,0.2433,0.3279,,,1.0853,0.1117,2.2251,1.5405,0.2713,0.2817,0.433,0.2872,0.1555,,,0.0602,0.133,2180354803,738038400,1894384800,5784270545,3479890268,2262058058,2921577259,,,5784270545,3479890268,32.1238,23.4072,17.8268,21.4283,20.9215,25.5206,24.2356,,,15.3571,12.8348,3.31,1.6341,1.7398,1.5837,2.2162,1.4585,2.2504,,,1.135,1.3596,5.8952,1.1532,0.9734,2.7657,2.3532,1.0702,4.0755,,,1.9821,1.4436
