ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH
2014/1/2,0.2309,-0.1439,1.1872,0.8038,0.2047,0.2423,0.5423,0.4207,7342098248,7981000000,15844472993,4482040500,14.6176,8.9177,14.9086,10.1863,0.9423,1.0327,1.6478,1.7562,2.8834,1.5523,5.354,3.5738
2014/1/3,-1.6129,-0.8646,-2.1394,-1.3289,0.2049,0.4508,0.753,0.3929,7223677309,7912000000,15505495309,4422478500,14.3818,8.8406,14.5896,10.0509,0.9271,1.0238,1.6125,1.7329,2.8369,1.5389,5.2394,3.5263
2014/1/6,0.4684,-1.8895,-3.8787,-3.569,0.2849,0.2958,0.8589,0.443,7257511863,7762500000,14904083291,4264639200,14.4492,8.6736,14.0237,9.6922,0.9315,1.0044,1.55,1.671,2.8502,1.5098,5.0362,3.4005
2014/1/7,-0.2331,-0.7407,0.2201,0.6983,0.1344,0.181,0.7763,0.308,7240594586,7705000000,14936887583,4294420200,14.4155,8.6093,14.0546,9.7599,0.9293,0.997,1.5534,1.6827,2.8435,1.4986,5.0473,3.4242
2014/1/8,0.2336,0.597,1.757,0,0.1395,0.3408,0.6674,0.2628,7257511863,7751000000,15199321918,4294420200,14.4492,8.6607,14.3015,9.7599,0.9315,1.003,1.5807,1.6827,2.8502,1.5076,5.136,3.4242
2014/1/9,-1.8648,-1.1869,0.7194,-1.387,0.1891,0.2296,0.5621,0.4129,7122173646,7659000000,15308669558,4234858200,14.1797,8.5579,14.4044,9.6245,0.9141,0.9911,1.592,1.6593,2.797,1.4897,5.1729,3.3767
2014/1/10,-2.8504,-1.3514,-1,-1.5471,0.1562,0.3062,0.5089,0.3519,6919166322,7555500000,15155582862,4169340000,13.7756,8.4423,14.2604,9.4756,0.8881,0.9777,1.5761,1.6337,2.7173,1.4696,5.1212,3.3245
2014/1/13,0.7335,-1.0654,0.0722,1.3571,0.1811,0.3254,0.4285,0.4665,6969918153,7475000000,15166517626,4225923900,13.8766,8.3524,14.2707,9.6042,0.8946,0.9672,1.5773,1.6558,2.7372,1.4539,5.1249,3.3696
2014/1/14,1.4563,1.8462,1.6583,0.2114,0.1266,0.2121,0.4207,0.3214,7071421815,7613000000,15418017198,4234858200,14.0787,8.5065,14.5073,9.6245,0.9076,0.9851,1.6034,1.6593,2.7771,1.4808,5.2099,3.3767
2014/1/15,-1.1962,-0.3021,-0.5674,-0.0703,0.1069,0.1071,0.2565,0.3706,6986835430,7590000000,15330539086,4231880100,13.9103,8.4808,14.425,9.6178,0.8967,0.9821,1.5943,1.6582,2.7439,1.4763,5.1803,3.3743
