ÈÕÆÚ,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH
2014/1/2,5.4545,3.3395,0.444,-0.3906,2.218,0.1828,-0.1377,0.3937,-0.3788,-0.2639,0.2554,-0.5698,-2.924,-0.3268,-1.5873,0,,,,-1.1278,-0.2481,2.364,2.2191,0.6841,1.2405,0.9043,0.1895,0.0786,0.1871,0.1635,0.0727,0.4017,0.1225,0.8996,0.2476,0.7704,0.154,,,,0.2581,0.0671,12390775345,4278783643,1602284262,4062150000,7498309936,1347378560,7498309936,6708110733,1.10412E+11,5061345912,2685424257,3830524975,13900583696,6192572087,2814549530,31232000000,,,,8845742000,5061345912,31.898,47.7497,16.2141,12.3355,20.6804,85.4463,14.6229,9.7803,22.7745,48.9267,34.4561,14.7325,13.0225,6.9769,18.8691,10.9979,,,,17.0534,31.735,2.6103,1.7981,2.5205,1.774,2.6344,2.1744,1.8627,0.8282,2.4025,1.3435,1.2751,0.771,1.0957,1.0326,0.9507,1.0855,,,,0.8658,0.8714,40.2711,3.4062,2.529,0.8499,5.8402,7.9556,4.1295,1.5795,4.2501,4.1031,2.1148,2.0423,0.8361,1.361,1.9577,2.7407,,,,1.6672,2.6614
2014/1/3,-2.9781,-2.1544,-1.2378,-4.0523,-2.7898,-1.2774,-1.6552,-1.1765,-2.4715,-1.3228,0.1274,-2.0057,-2.1687,-2.9508,-2.1505,1.6393,,,,-1.5209,-0.2488,1.8517,1.7839,0.633,1.6328,0.7326,0.3162,0.1477,0.1844,0.2673,0.0972,0.4358,0.1875,0.6642,0.3442,0.8001,0.3165,,,,0.1779,0.0828,12021771063,4186601590,1582450504,3897540000,7289119640,1330167520,7289119640,6629191783,1.07683E+11,4994396892,2688845179,3753694961,13599125254,6009840452,2754021583,31744000000,,,,8711206000,4994396892,30.948,46.721,16.0134,11.8357,20.1034,84.3548,14.3922,9.6652,22.2117,48.2796,34.5,14.437,12.74,6.7711,23.0944,11.1782,,,,16.7941,31.6815,2.5325,1.7594,2.4893,1.7021,2.5609,2.1466,1.8333,0.8184,2.3431,1.3257,1.2767,0.7555,1.0719,1.0021,1.1636,1.1033,,,,0.8526,0.87,39.0718,3.3328,2.4976,0.8155,5.6772,7.854,4.0644,1.5609,4.145,4.0488,2.1175,2.0013,0.8179,1.3209,2.3961,2.7857,,,,1.6418,2.6569
2014/1/6,-3.7157,-4.5872,-4.6553,-4.6322,-4.4643,0,-2.0337,-3.5714,-6.6277,-2.681,-4.5802,-2.6316,-4.3103,-4.0541,-6.3187,-3.629,,,,-2.7027,-1.4963,1.0609,1.735,1.002,1.4046,0.7722,0.3497,0.1482,0.3068,0.2932,0.0944,0.4917,0.1982,0.9316,0.3036,1.2029,0.1905,,,,0.1998,0.1492,11575081670,3994555646,1508782262,3717000000,6963712514,1330167520,6963712514,6392434934,1.00546E+11,4860498852,2565691965,3654913515,13012956062,5766198271,2580003736,30592000000,,,,8475768000,4860498852,29.7981,44.5778,15.2679,11.2874,19.2059,84.3548,14.1035,9.32,20.7396,46.9852,32.9199,14.0571,12.1909,6.4966,21.6352,10.7725,,,,16.3402,31.2177,2.4384,1.6787,2.3734,1.6232,2.4465,2.1466,1.7966,0.7892,2.1878,1.2902,1.2182,0.7356,1.0257,0.9615,1.0901,1.0633,,,,0.8296,0.8572,37.62,3.1799,2.3814,0.7777,5.4238,7.854,3.9829,1.5052,3.8703,3.9403,2.0205,1.9487,0.7827,1.2673,2.2447,2.6846,,,,1.5975,2.618
2014/1/7,1.3423,0.3846,0.0939,0,0,0,0.5727,0.823,7.9332,1.3774,0.1333,0,1.0296,1.0563,0.2933,0.8368,,,,0.7937,-0.2532,1.0328,1.1564,0.8154,1.0095,0.4415,0.2568,0.1056,0.1784,0.5656,0.0891,0.3522,0.0896,0.5858,0.2321,0.6323,0.1143,,,,0.1557,0.1421,11730451894,4009919321,1510198959,3717000000,6963712514,1330167520,6963712514,6445047567,1.08522E+11,4927447872,2569112888,3654913515,13146937592,5827108816,2587569729,30848000000,,,,8543036000,4927447872,30.1981,44.7493,15.2823,11.2874,19.2059,84.3548,14.1797,9.3968,22.3849,47.6324,32.9638,14.0571,12.3164,6.5652,21.6986,10.8627,,,,16.4699,31.13,2.4712,1.6851,2.3757,1.6232,2.4465,2.1466,1.8063,0.7957,2.3614,1.308,1.2199,0.7356,1.0363,0.9716,1.0933,1.0722,,,,0.8362,0.8548,38.125,3.1922,2.3836,0.7777,5.4238,7.854,4.0044,1.5175,4.1774,3.9945,2.0232,1.9487,0.7907,1.2807,2.2512,2.707,,,,1.6102,2.6106
2014/1/8,-1.9868,-2.1073,2.0638,-0.7143,-1.8692,1.6636,-0.0712,-0.8163,-4.8356,0.5435,2.53,-0.9009,-1.9108,-3.8328,-1.462,-1.6598,,,,-0.7874,0.5076,0.994,1.3353,0.8117,0.8716,0.5869,0.4633,0.0799,0.1754,0.3792,0.0795,0.7132,0.1226,0.5217,0.4881,0.7578,0.1356,,,,0.1229,0.1299,11497396558,3925419106,1541366292,3690450000,6833549663,1352296000,6833549663,6392434934,1.03275E+11,4954227480,2634110417,3621986366,12895722224,5603770151,2549739762,30336000000,,,,8475768000,4954227480,29.5981,43.8063,15.5977,11.2068,18.8469,85.7582,14.179,9.32,21.3024,47.8913,33.7977,13.9305,12.0811,6.3136,21.3814,10.6824,,,,16.3402,31.307,2.4221,1.6496,2.4247,1.6116,2.4008,2.1823,1.8062,0.7892,2.2472,1.3151,1.2507,0.729,1.0165,0.9344,1.0773,1.0544,,,,0.8296,0.8597,37.3675,3.1249,2.4328,0.7722,5.3224,7.9846,4.0042,1.5052,3.9754,4.0162,2.0744,1.9311,0.7756,1.2316,2.2183,2.6621,,,,1.5975,2.6255
2014/1/9,-0.6757,-1.3699,-2.4816,-2.7338,-0.6122,-1.8182,0,-1.2346,2.439,-1.3514,-3.3766,-1.2121,-0.5195,-0.7246,0.5935,-0.8439,,,,-0.7937,-0.2525,1.0147,1.3317,0.8395,0.7904,0.4138,0.2795,0.1107,0.1785,0.3221,0.0699,0.6277,0.1699,0.4324,0.3922,1.0005,0.1091,,,,0.1127,0.0561,11419711446,3871646241,1503115475,3589560000,6791711604,1327708800,6791711604,6313515984,1.05794E+11,4887278460,2545166429,3578083501,12828731459,5563163121,2564871749,30080000000,,,,8408500000,4887278460,29.3981,43.2062,15.2106,10.9004,18.7316,84.1989,14.1857,9.205,21.822,47.2441,32.6565,13.7616,12.0183,6.2678,21.5083,10.5922,,,,16.2105,31.2433,2.4057,1.627,2.3645,1.5676,2.3861,2.1426,1.807,0.7794,2.302,1.2973,1.2085,0.7202,1.0112,0.9276,1.0837,1.0455,,,,0.823,0.8579,37.1151,3.0821,2.3724,0.751,5.2898,7.8395,4.0061,1.4866,4.0723,3.962,2.0044,1.9077,0.7716,1.2227,2.2315,2.6396,,,,1.5848,2.6201
2014/1/10,-2.551,-3.373,-4.3355,-3.1065,-2.4641,0.3704,-0.3561,-2.5,-0.7937,0,0,-1.5337,-0.3916,-1.0949,-3.5398,-1.7021,,,,-2.8,0,0.8543,1.5736,0.778,0.9741,0.4011,0.5166,0.0228,0.2047,0.1579,0.0626,,0.1587,0.4422,0.2331,0.9608,0.1317,,,,0.1595,0.041,11128392277,3741054999,1437947414,3478050000,6624359367,1332626240,6624359367,6155678084,1.04954E+11,4887278460,2545166429,3523204919,12778488386,5502252576,2474079829,29568000000,,,,8173062000,4887278460,28.6482,41.7488,14.5511,10.5618,18.27,84.5108,14.1118,8.9749,21.6488,47.2441,32.6565,13.5506,11.9712,6.1992,20.7469,10.4119,,,,15.7566,31.1916,2.3443,1.5722,2.262,1.5189,2.3273,2.1506,1.7976,0.76,2.2838,1.2973,1.2085,0.7091,1.0073,0.9175,1.0454,1.0277,,,,0.8,0.8565,36.1682,2.9781,2.2696,0.7277,5.1595,7.8685,3.9852,1.4494,4.04,3.962,2.0044,1.8785,0.7686,1.2093,2.1525,2.5947,,,,1.5404,2.6158
2014/1/13,-2.2688,-2.8747,-2.3645,3.6641,-1.193,-2.583,-1.787,0,-1.4,0.8219,0,0.9346,-1.9659,0.369,-0.6116,-0.4329,,,,0,-0.5063,1.1441,1.3285,0.599,1.0466,0.3624,0.273,0.0382,0.1447,0.1426,0.0782,,0.0788,0.4855,0.1599,0.676,0.0801,,,,0.1117,0.085,10875915663,3633509270,1403946687,3605490000,6545331922,1298204160,6545331922,6155678084,1.03485E+11,4927447872,2545166429,3556132068,12527273018,5522556091,2458947842,29440000000,,,,8173062000,4927447872,27.9982,40.5487,14.2071,10.9488,18.052,82.3278,13.8465,8.9749,21.3457,47.6324,32.6565,13.6772,11.7359,6.2221,20.62,10.3669,,,,15.7566,31.0042,2.2912,1.527,2.2085,1.5745,2.2996,2.095,1.7638,0.76,2.2518,1.308,1.2085,0.7158,0.9875,0.9209,1.039,1.0232,,,,0.8,0.8514,35.3477,2.8925,2.2159,0.7544,5.0979,7.6652,3.9103,1.4494,3.9834,3.9945,2.0044,1.896,0.7535,1.2138,2.1393,2.5835,,,,1.5404,2.6001
2014/1/14,5.3571,4.0169,1.5136,0.4418,6.321,3.7879,2.6201,1.7094,1.0142,2.7174,0,0.9259,1.3369,2.5735,1.5385,1.3043,,,,0.823,0.7634,1.3792,1.6035,0.5977,0.8036,0.7419,0.2707,0.1165,0.172,0.1233,0.1541,,0.0995,0.6611,0.2023,0.602,0.0711,,,,0.1017,0.0527,11458554002,3779464188,1425197142,3621420000,6959063840,1347378560,6959063840,6260903351,1.04534E+11,5061345912,2545166429,3589059217,12694749930,5664680696,2496777809,29824000000,,,,8240330000,5061345912,29.4981,42.1775,14.4221,10.9972,19.1931,85.4463,14.2045,9.1283,21.5622,48.9267,32.6565,13.8038,11.8928,6.3822,20.9372,10.5021,,,,15.8863,31.2306,2.4139,1.5883,2.242,1.5815,2.4449,2.1744,1.8094,0.7729,2.2746,1.3435,1.2085,0.7224,1.0007,0.9446,1.055,1.0366,,,,0.8065,0.8576,37.2413,3.0087,2.2494,0.7577,5.4202,7.9556,4.0114,1.4742,4.0238,4.1031,2.0044,1.9136,0.7635,1.245,2.1723,2.6172,,,,1.5531,2.6191
2014/1/15,-2.2034,-0.813,-0.0994,0.1466,0.1336,1.0949,-0.5674,-0.4202,-1.004,1.0582,0,-0.9174,-1.9789,0,0,-0.8584,,,,-0.4082,0,0.867,0.9407,0.6855,0.6102,0.4635,0.3343,0.0402,0.1398,0.1152,0.107,,0.103,0.4523,0.1292,0.5957,0.0713,,,,0.0917,0.0272,11206077389,3748736837,1423780445,3626730000,6968361187,1362130880,6968361187,6234597034,1.03485E+11,5114905128,2545166429,3556132068,12443534562,5664680696,2496777809,29568000000,,,,8206696000,5114905128,28.8482,41.8346,14.4078,11.0133,19.2188,86.3819,14.1416,9.0899,21.3457,49.4445,32.6565,13.6772,11.6574,6.3822,20.9372,10.4119,,,,15.8214,31.2691,2.3607,1.5754,2.2397,1.5838,2.4482,2.1982,1.8014,0.7697,2.2518,1.3577,1.2085,0.7158,0.9809,0.9446,1.055,1.0277,,,,0.8032,0.8586,36.4207,2.9842,2.2472,0.7588,5.4274,8.0427,3.9936,1.468,3.9834,4.1465,2.0044,1.896,0.7484,1.245,2.1723,2.5947,,,,1.5468,2.6223
