ÈÕÆÚ,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH
2014/1/2,-2.4169,1.7241,1.31,1.4728,0.1395,2.3651,1.1158,-2.2874,0.1263,,,,,,0.3641,3.1128,3.301,0,-0.7291,-1.6783,0.1938,1.5707,-0.5342,0.3086,-0.0881,-0.7782,1.0512,,,,,0.4579,,,,,,,,,,1.8323,3.185,0.9499,0.4673,1.5664,4.4827,0.5811,2.64,1.1553,,,,,,3.7654,4.9859,8.5188,,0.3676,0.2217,0.6345,2.1333,0.7598,0.3156,0.6448,0.6655,0.9592,,,,,2.0164,,,,,,,,,,4000352681,807053889.3,5805518637,2624775947,2408635110,851510682.1,2004480000,1999200000,1109923053,,,,,,1150315650,814771650,513284240,2927210400,5440980000,15731387709,2016300000,2434603776,1536150000,4625400000,8964448424,8569048376,3290027865,,,,,1755200000,,,,,,,,,,27.3834,35.2941,34.2683,24.7533,28.1215,47.6673,224.4306,41.0763,22.8131,,,,,,303.0252,33.2772,60.2801,24.2529,150.7802,5.8416,190.8802,17.9567,28.3664,216.7196,17.6998,28.2403,21.0795,,,,,53.9627,,,,,,,,,,2.6865,2.6006,2.5671,3.9341,3.4613,2.6487,2.7765,2.3546,1.5501,,,,,,4.4312,1.8447,4.5585,3.2391,7.2761,1.2533,6.4578,4.8451,1.5048,1.832,2.1441,1.694,3.6467,,,,,3.4001,,,,,,,,,,1.1546,1.3265,0.5905,0.0918,1.7523,2.6594,1.3768,11.977,0.8341,,,,,,4.0414,0.7504,4.5535,0.1654,3.4895,0.1541,1.228,1.3035,1.9,0.2679,0.2214,0.3405,9.2889,,,,,0.5142,,,,,,,,,
2014/1/3,4.644,-1.2107,4.023,0.8708,-0.2786,-0.4459,-2.069,2.9412,-1.5132,,,,,,0,1.4151,2.1147,0,0.226,-2.5605,1.9342,3.1959,-1.2889,-1.2308,-1.4991,-0.9804,-1.5605,,,,,-4.1933,,,,,,,,,,1.9299,2.4023,2.2966,0.7388,1.5435,3.4811,0.7507,3.4018,1.585,,,,,,4.1564,6.3241,12.8931,,0.7802,0.7351,1.1551,3.4751,0.8221,0.2977,0.4346,1.4353,0.4181,,,,,4.214,,,,,,,,,,4186127573,797283261.1,6039073985,2647633212,2401925820,847713917.8,1963008000,2058000000,1093127244,,,,,,1150315650,826301437.5,524138465,2927210400,5453276000,15328592576,2055300000,2512410701,1516350000,4568472000,8830060749,8485038098,3238688028,,,,,1681600000,,,,,,,,,,28.655,34.8668,35.6469,24.9689,28.0432,47.4547,219.7872,42.2845,22.4679,,,,,,303.0252,33.7481,61.5548,24.2529,151.121,5.6921,194.5723,18.5306,28.0008,214.0523,17.4345,27.9634,20.7506,,,,,51.6999,,,,,,,,,,2.8112,2.5691,2.6703,3.9683,3.4517,2.6369,2.7191,2.4239,1.5266,,,,,,4.4312,1.8708,4.6549,3.2391,7.2925,1.2212,6.5827,4.9999,1.4854,1.8094,2.112,1.6774,3.5898,,,,,3.2575,,,,,,,,,,1.2082,1.3105,0.6143,0.0926,1.7474,2.6476,1.3483,12.3293,0.8215,,,,,,4.0414,0.761,4.6498,0.1654,3.4974,0.1502,1.2517,1.3451,1.8756,0.2646,0.2181,0.3371,9.1439,,,,,0.4927,,,,,,,,,
2014/1/6,0,1.9608,-0.8287,-3.3094,0.9777,-7.4511,-2.8169,-2.0408,-3.5851,,,,,,-3.0834,-3.4419,-6.9489,0,-1.8602,-2.1898,-5.3131,-0.3996,-3.5909,-2.4922,-1.1638,-3.2673,-4.6235,,,,,-2.9496,,,,,,,,,,1.1245,4.703,1.527,0.5278,2.1866,5.3194,0.7648,1.8766,1.5295,,,,,,2.9046,4.3868,10.3283,,0.4606,0.4803,1.042,2.3189,0.8418,0.3871,0.3752,0.7745,0.5346,,,,,3.5989,,,,,,,,,,4186127573,812916266.2,5989026410,2560013696,2425408335,784549566.5,1907712000,2016000000,1053937022,,,,,,1114846425,797861295,487716510,2927210400,5351834000,14992929965,1946100000,2502371098,1461900000,4454616000,8727293703,8207804180,3088946838,,,,,1632000000,,,,,,,,,,28.655,35.5505,35.3515,24.1426,28.3173,43.9188,213.596,41.4215,21.6624,,,,,,293.6816,32.5865,57.2775,24.2529,148.3098,5.5674,184.2345,18.4565,26.9953,208.7176,17.2316,27.0498,19.7912,,,,,50.175,,,,,,,,,,2.8112,2.6195,2.6482,3.837,3.4854,2.4405,2.6425,2.3744,1.4719,,,,,,4.2946,1.8064,4.3315,3.2391,7.1569,1.1944,6.2329,4.98,1.4321,1.7643,2.0874,1.6226,3.4239,,,,,3.1614,,,,,,,,,,1.2082,1.3361,0.6092,0.0896,1.7645,2.4503,1.3104,12.0777,0.7921,,,,,,3.9167,0.7348,4.3267,0.1654,3.4323,0.1469,1.1852,1.3398,1.8082,0.258,0.2155,0.3261,8.7212,,,,,0.4781,,,,,,,,,
2014/1/7,-0.1972,4.5673,0.6964,-1.0417,3.5961,2.7277,1.5942,0.2381,0,,,,,,-0.3119,5.106,2.4233,0,0.0574,-0.597,-1.4028,2.6078,0,0.9585,-0.3623,-0.1024,-2.9086,,,,,3.0392,,,,,,,,,,1.2097,6.9928,0.8754,0.4914,2.9921,3.1078,0.3144,1.0135,0.878,,,,,,2.1493,5.6947,6.3456,,0.4821,0.3114,0.7016,2.6169,0.3901,0.2812,0.4005,0.4999,1.4416,,,,,5.2227,,,,,,,,,,4177870911,850044653.4,6030732722,2533346886,2512629105,805949510.7,1938124800,2020800000,1053937022,,,,,,1111369050,838599877.5,499535555,2927210400,5354908000,14903419935,1918800000,2567628518,1461900000,4497312000,8695673074,8199403152,2999102124,,,,,1681600000,,,,,,,,,,28.5985,37.1742,35.5977,23.8911,29.3357,45.1168,217.0012,41.5201,21.6624,,,,,,292.7655,34.2504,58.6655,24.2529,148.395,5.5342,181.65,18.9378,26.9953,210.7181,17.1691,27.0221,19.2156,,,,,51.6999,,,,,,,,,,2.8057,2.7391,2.6666,3.797,3.6108,2.507,2.6846,2.3801,1.4719,,,,,,4.2812,1.8987,4.4364,3.2391,7.161,1.1873,6.1455,5.1098,1.4321,1.7812,2.0798,1.6209,3.3243,,,,,3.2575,,,,,,,,,,1.2059,1.3972,0.6134,0.0886,1.8279,2.5171,1.3312,12.1064,0.7921,,,,,,3.9045,0.7723,4.4316,0.1654,3.4343,0.146,1.1686,1.3747,1.8082,0.2605,0.2147,0.3258,8.4675,,,,,0.4927,,,,,,,,,
2014/1/8,-0.7905,-0.9195,1.3831,-1.0526,-0.6676,0.985,-0.7133,1.8409,0.2656,,,,,,2.3154,-0.3666,2.0763,0,-0.2296,-2.5526,0,-1.3685,-3.1603,-0.6329,1.4545,-2.3566,-2.2825,,,,,-0.2854,,,,,,,,,,0.8713,4.3535,1.1452,0.3848,2.7271,4.2393,0.4797,2.8498,0.9562,,,,,,1.5009,9.0129,10.2527,,0.7567,0.6353,0.5585,1.4934,1.1178,0.2186,0.6371,0.9688,0.6924,,,,,3.4799,,,,,,,,,,4144844264,842228150.8,6114145347,2506680077,2495855880,813888199.6,1924300800,2058000000,1056736324,,,,,,1137101625,835525267.5,509907370,2927210400,5342612000,14523002309,1918800000,2532489907,1415700000,4468848000,8822155591,8006179512,2930649008,,,,,1676800000,,,,,,,,,,28.3724,36.8323,36.0901,23.6396,29.1398,45.5612,215.4534,42.2845,21.72,,,,,,299.5442,34.1248,59.8835,24.2529,148.0543,5.3929,181.65,18.6787,26.1422,209.3845,17.4189,26.3853,18.777,,,,,51.5524,,,,,,,,,,2.7835,2.7139,2.7035,3.757,3.5867,2.5317,2.6655,2.4239,1.4758,,,,,,4.3803,1.8917,4.5285,3.2391,7.1445,1.157,6.1455,5.0399,1.3868,1.77,2.1101,1.5827,3.2484,,,,,3.2482,,,,,,,,,,1.1963,1.3843,0.6219,0.0877,1.8157,2.5419,1.3217,12.3293,0.7942,,,,,,3.9949,0.7695,4.5236,0.1654,3.4264,0.1423,1.1686,1.3559,1.7511,0.2588,0.2179,0.3181,8.2742,,,,,0.4912,,,,,,,,,
2014/1/9,-1.2948,-4.1763,-1.6371,-1.9757,3.7634,-4.3681,-1.2931,-2.5073,-2.1192,,,,,,-2.1407,-2.5759,-5.0142,0,0.2301,-2.9276,-2.0325,-3.0723,-2.5641,-1.5924,-1.2545,-1.6789,1.1679,,,,,0.5725,,,,,,,,,,0.8313,4.1941,1.0201,0.4167,2.9488,3.8278,0.5151,1.4599,0.8895,,,,,,1.3279,5.2696,8.7381,,0.7104,0.7292,0.7996,1.3901,0.8971,0.3784,0.6119,0.9448,0.5171,,,,,5.466,,,,,,,,,,4091175962,807053889.3,6014050198,2457156003,2589785940,778336679.5,1899417600,2006400000,1034341912,,,,,,1112760000,814002997.5,484339640,2927210400,5354908000,14097829668,1879800000,2454682982,1379400000,4397688000,8711483389,7871763067,2964875566,,,,,1686400000,,,,,,,,,,28.0051,35.2941,35.4992,23.1726,30.2365,43.571,212.6673,41.2243,21.2597,,,,,,293.1319,33.2458,56.8809,24.2529,148.395,5.235,177.958,18.1048,25.4719,206.0503,17.2003,25.9423,18.9963,,,,,51.8475,,,,,,,,,,2.7475,2.6006,2.6593,3.6828,3.7217,2.4211,2.631,2.3631,1.4445,,,,,,4.2865,1.843,4.3015,3.2391,7.161,1.1231,6.0206,4.8851,1.3513,1.7418,2.0836,1.5561,3.2863,,,,,3.2668,,,,,,,,,,1.1808,1.3265,0.6117,0.086,1.8841,2.4309,1.3047,12.0202,0.7773,,,,,,3.9094,0.7497,4.2967,0.1654,3.4343,0.1381,1.1449,1.3142,1.7062,0.2547,0.2151,0.3128,8.3709,,,,,0.4941,,,,,,,,,
2014/1/10,-2.8254,-4.4794,-4.2996,-4.4961,0.6477,-2.0399,-4.3668,-0.8971,-2.571,,,,,,-4.3125,-0.4721,-3.2371,0,-3.8462,0,-2.2822,0.1022,-2.0335,-0.3236,-1.2704,-3.095,-1.2987,,,,,1.4231,,,,,,,,,,1.9211,2.4943,0.8707,0.5509,2.2873,2.2897,0.6219,1.2421,1.0313,,,,,,1.963,3.1838,5.3341,,1.0145,0.3235,0.6476,0.8581,0.9416,0.2338,0.4808,1.0895,0.5002,,,,,3.5628,,,,,,,,,,3975582695,770902565,5755471063,2346679221,2606559165,762459301.5,1816473600,1988400000,1007748547,,,,,,1064772225,810159735,468661315,2927210400,5148950000,14097829668,1836900000,2457192883,1351350000,4383456000,8600811186,7628133261,3150174928,,,,,1710400000,,,,,,,,,,27.2138,33.7131,33.9729,22.1307,30.4323,42.6822,203.3805,40.8544,20.7131,,,,,,280.4906,33.0888,55.0396,24.2529,142.6875,5.235,173.8967,18.1233,24.9539,205.3835,16.9818,25.1394,18.7496,,,,,52.5854,,,,,,,,,,2.6698,2.4841,2.5449,3.5172,3.7458,2.3717,2.5161,2.3419,1.4074,,,,,,4.1017,1.8343,4.1622,3.2391,6.8856,1.1231,5.8832,4.8901,1.3238,1.7361,2.0571,1.508,3.2436,,,,,3.3133,,,,,,,,,,1.1475,1.2671,0.5854,0.0821,1.8963,2.3813,1.2477,11.9123,0.7573,,,,,,3.7408,0.7461,4.1577,0.1654,3.3022,0.1381,1.1187,1.3156,1.6715,0.2539,0.2124,0.3031,8.2622,,,,,0.5011,,,,,,,,,
2014/1/13,0.8307,2.1546,-2.7536,0.974,1.8018,-0.0453,0.761,-2.3537,0.5556,,,,,,-1.1757,3.0361,1.6469,0,-9.9701,-0.7937,-0.6369,4.4944,0.1221,9.7403,-0.7353,1.9824,-1.9006,,,,,1.9645,,,,,,,,,,1.2752,2.3759,0.7802,0.3181,1.6004,2.287,0.3971,1.718,0.6783,,,,,,2.4733,4.9419,4.2406,,2.0791,0.3383,0.4324,2.2133,0.7002,0.8809,0.7587,0.8704,0.4144,,,,,3.9432,,,,,,,,,,4008609343,787512632.9,5596987077,2369536486,2653524195,762114141.1,1830297600,1941600000,1013347150,,,,,,1052253675,834756615,476379875,2927210400,4635592000,13985942131,1825200000,2567628518,1353000000,4810416000,8537569927,7779351761,3090303182,,,,,1744000000,,,,,,,,,,27.4399,34.4395,33.0374,22.3463,30.9807,42.6629,204.9283,39.8929,20.8281,,,,,,277.1929,34.0934,55.9461,24.2529,128.4614,5.1935,172.789,18.9378,24.9844,225.3884,16.857,25.6377,18.3932,,,,,53.6184,,,,,,,,,,2.692,2.5376,2.4749,3.5515,3.8133,2.3707,2.5353,2.2868,1.4152,,,,,,4.0534,1.89,4.2308,3.2391,6.1991,1.1142,5.8457,5.1098,1.3254,1.9052,2.042,1.5379,3.182,,,,,3.3784,,,,,,,,,,1.157,1.2944,0.5693,0.0829,1.9304,2.3802,1.2572,11.6319,0.7616,,,,,,3.6968,0.7688,4.2261,0.1654,2.973,0.137,1.1116,1.3747,1.6735,0.2786,0.2108,0.3091,8.1051,,,,,0.5109,,,,,,,,,
2014/1/14,1.4418,4.4665,4.769,3.3762,1.8963,1.6757,5.8912,1.6687,2.2099,,,,,,1.1236,1.9337,3.6456,0,-10.0133,-1.6,1.4957,2.2483,1.9512,-3.2544,1.6667,6.6955,3.1297,,,,,0.5505,,,,,,,,,,0.8938,2.6692,0.6616,0.3315,2.4532,3.9979,1.1692,0.5992,0.7896,,,,,,2.997,6.0374,4.8492,,0.6819,1.026,0.6772,2.3763,1.0929,0.5708,0.4788,1.9555,0.3305,,,,,3.9541,,,,,,,,,,4066405976,822686894.4,5863907474,2449536914,2703843870,774885075.6,1938124800,1974000000,1035741562,,,,,,1064076750,850898317.5,493746635,2927210400,4171418000,13762167057,1852500000,2625356237,1379400000,4653864000,8679862759,8300215486,3187019079,,,,,1753600000,,,,,,,,,,27.8355,35.9778,34.613,23.1007,31.5682,43.3778,217.0012,40.5586,21.2884,,,,,,280.3074,34.7527,57.9856,24.2529,115.5982,5.1104,175.3735,19.3636,25.4719,218.0532,17.1379,27.3543,18.9688,,,,,53.9135,,,,,,,,,,2.7308,2.651,2.5929,3.6714,3.8856,2.4104,2.6846,2.3249,1.4465,,,,,,4.099,1.9265,4.385,3.2391,5.5783,1.0964,5.9331,5.2247,1.3513,1.8432,2.076,1.6408,3.2816,,,,,3.397,,,,,,,,,,1.1737,1.3522,0.5964,0.0857,1.967,2.4201,1.3312,11.8261,0.7784,,,,,,3.7384,0.7836,4.3802,0.1654,2.6753,0.1348,1.1282,1.4056,1.7062,0.2696,0.2144,0.3298,8.3588,,,,,0.5137,,,,,,,,,
2014/1/15,1.0152,-0.5938,-0.4267,0,3.1017,0.98,0.8559,0.7295,0.5405,,,,,,2.3529,-0.0903,3.0288,0,9.8747,-1.4634,0,-1.2428,0.1196,-1.2232,-1.3661,1.2146,1.5896,,,,,-0.5474,,,,,,,,,,0.7651,2.5323,0.5053,0.2969,2.9259,3.3652,1.4162,0.7715,0.8261,,,,,,3.3964,4.9154,7.7419,,12.0358,0.7434,0.5786,1.589,0.5579,0.263,0.5166,1.3341,0.7033,,,,,2.9319,,,,,,,,,,4107689285,817801580.3,5838883687,2449536914,2787709995,782478604.1,1954713600,1988400000,1041340165,,,,,,1089113850,850129665,508701345,2927210400,4583334000,13560769490,1852500000,2592727526,1381050000,4596936000,8561285399,8401027820,3237679787,,,,,1744000000,,,,,,,,,,28.1181,35.7641,34.4653,23.1007,32.5473,43.8029,218.8585,40.8544,21.4035,,,,,,286.9029,34.7213,59.7419,24.2529,127.0132,5.0356,175.3735,19.1229,25.5023,215.3859,16.9038,27.6866,19.2704,,,,,53.6184,,,,,,,,,,2.7585,2.6352,2.5818,3.6714,4.0061,2.434,2.7076,2.3419,1.4543,,,,,,4.1954,1.9248,4.5178,3.2391,6.1292,1.0803,5.9331,5.1598,1.3529,1.8207,2.0477,1.6608,3.3338,,,,,3.3784,,,,,,,,,,1.1856,1.3442,0.5939,0.0857,2.0281,2.4438,1.3426,11.9123,0.7826,,,,,,3.8263,0.7829,4.5129,0.1654,2.9395,0.1329,1.1282,1.3881,1.7082,0.2663,0.2114,0.3338,8.4917,,,,,0.5109,,,,,,,,,
