ÈÕÆÚ,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH
2014/1/2,1.5348,,0.0792,-0.7273,-0.722,-0.5,,-0.5063,,-0.7229,2.2314,,0.3668,0.1367,0.0913,0.178,,0.0911,,0.114,4884259825,,,19171834500,21401088115,23506007734,,32734036244,,23506007734,25.4137,,10.2214,14.1435,14.6691,11.5164,,15.4954,,14.5418,2.0122,,1.4685,0.7851,1.4159,0.9541,,0.9496,,1.2047,4.1141,,0.348,0.2731,0.396,0.8019,,0.5267,,1.0126
2014/1/3,-1.5116,,-3.0063,-1.0989,-1.8182,-0.5025,,-1.2723,,-0.2427,1.7112,,0.8685,0.2385,0.1276,0.2568,,0.1054,,0.06,4810427991,,,18961155000,21011977422,23387887092,,32317572679,,23387887092,25.0296,,9.9219,13.9881,14.4024,11.4585,,15.2982,,14.5182,1.9818,,1.4255,0.7765,1.3901,0.9493,,0.9375,,1.2028,4.0519,,0.3378,0.2701,0.3888,0.7979,,0.52,,1.0109
2014/1/6,-3.66,,-2.447,-2.963,-3.7037,-2.5253,,-1.5464,,-1.7032,1.541,,0.9104,0.3766,0.1924,0.3959,,0.1498,,0.0729,4634367462,,,18399343000,20233756036,22797283883,,31817816400,,22797283883,24.1135,,9.6818,13.5736,13.8689,11.1691,,15.0616,,14.2756,1.9093,,1.391,0.7534,1.3386,0.9253,,0.923,,1.1827,3.9036,,0.3297,0.2621,0.3744,0.7777,,0.512,,0.994
2014/1/7,0.3676,,1.9231,-0.7634,0.3846,-1.0363,,-0.2618,,-0.2475,1.0328,,0.991,0.2638,0.0966,0.3565,,0.0613,,0.0742,4651405578,,,18258890000,20311578175,22561042599,,31734523687,,22561042599,24.2022,,9.8649,13.47,13.9223,11.0534,,15.0222,,14.2363,1.9163,,1.4173,0.7477,1.3438,0.9157,,0.9206,,1.1794,3.918,,0.3359,0.2601,0.3759,0.7697,,0.5106,,0.9913
2014/1/8,-0.7326,,-0.4102,0,-0.3831,0,,-0.2625,,0.9926,1.9714,,0.5275,0.2268,0.0871,0.2109,,0.0992,,0.0357,4617329347,,,18258890000,20233756036,22561042599,,31651230974,,22561042599,24.0248,,9.8309,13.47,13.8689,11.0534,,14.9828,,14.3863,1.9023,,1.4124,0.7477,1.3386,0.9157,,0.9182,,1.1919,3.8893,,0.3347,0.2601,0.3744,0.7697,,0.5093,,1.0017
2014/1/9,-3.444,,-0.4942,-0.7692,-0.7692,-1.0471,,-1.3158,,-0.9828,1.8961,,0.4457,0.1907,0.118,0.2148,,0.09,,0.0327,4458306934,,,18118437000,20078111759,22324801315,,31234767409,,22324801315,23.1974,,9.7869,13.3664,13.7622,10.9377,,14.7856,,14.2519,1.8367,,1.4061,0.7419,1.3284,0.9061,,0.9061,,1.1807,3.7553,,0.3332,0.2581,0.3715,0.7616,,0.5026,,0.9924
2014/1/10,-2.8025,,-0.0828,-0.3876,-3.1008,0.5291,,-0.2667,,-0.4963,1.6307,,0.3114,0.2326,0.265,0.2082,,0.0943,,0.0417,4333360752,,,18048210500,19455534650,22442921957,,31151474696,,22442921957,22.5473,,9.7627,13.3146,13.3355,10.9955,,14.7462,,14.1577,1.7853,,1.4026,0.7391,1.2872,0.9109,,0.9037,,1.1729,3.6501,,0.3324,0.2571,0.36,0.7656,,0.5013,,0.9858
2014/1/13,0,,-1.4085,0,0.4,0,,-0.2674,,-0.4988,0.9385,,0.411,0.1591,0.1007,0.1694,,0.0723,,0.0343,4333360752,,,18048210500,19533356789,22442921957,,31068181983,,22442921957,22.5473,,9.616,13.3146,13.3889,10.9955,,14.7068,,14.0737,1.7853,,1.3815,0.7391,1.2923,0.9109,,0.9012,,1.166,3.6501,,0.3274,0.2571,0.3615,0.7656,,0.4999,,0.98
2014/1/14,2.228,,-1.5966,0.7782,0.7968,0,,0.5362,,1.5038,1.0831,,0.9871,0.1814,0.0929,0.1728,,0.0998,,0.0168,4429910074,,,18188663500,19689001066,22442921957,,31234767409,,22442921957,23.0497,,9.4593,13.4182,13.4955,10.9955,,14.7856,,14.2807,1.825,,1.359,0.7448,1.3026,0.9109,,0.9061,,1.1831,3.7314,,0.3221,0.2591,0.3643,0.7656,,0.5026,,0.9944
2014/1/15,1.0256,,3.5013,0,-0.7905,-0.5263,,0,,-0.4938,1.2651,,0.8123,0.1726,0.0617,0.268,,0.0633,,0.0218,4475345049,,,18188663500,19533356789,22324801315,,31234767409,,22324801315,23.2861,,9.8027,13.4182,13.3889,10.9377,,14.7856,,14.2276,1.8438,,1.4084,0.7448,1.2923,0.9061,,0.9061,,1.1787,3.7697,,0.3338,0.2591,0.3615,0.7616,,0.5026,,0.9907
