ÈÕÆÚ,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH,000520.SZ,002320.SZ,600026.SH,600428.SH,600798.SH,601866.SH,601872.SH,601919.SH,601975.SH,603167.SH
2014/1/2,0,0.3275,-1.6427,0.2849,1.7045,0.8097,-0.8264,0,,-0.7186,,0.4386,0.228,0.2778,0.6809,0.1792,0.1182,0.0578,,0.5416,1692935952,3913796929,10099983163,5950371303,3118804860,19750991250,9064169873,24670635957,,2524438966,-0.3781,45.8877,-7.0953,182.3097,523.9316,-10.9937,-5.189,143.1763,,17.0886,-0.3303,2.0676,0.7682,0.9179,1.6171,1.2238,1.1446,1.3918,,1.5415,1.2606,7.3044,1.4315,0.7996,2.9376,0.8471,4.414,0.5443,,3.4236
2014/1/3,0,-1.5234,-3.1315,-4.8295,-2.2346,-2.008,-1.25,-2.1212,,-2.1713,,0.5608,0.3474,0.9822,0.5352,0.2014,0.1762,0.1015,,1.0538,1692935952,3854174343,9783699766,5662995417,3049110897,19354385000,8950867749,24147319437,,2469626058,-0.3781,45.1886,-6.8731,173.505,512.2236,-10.7729,-5.1241,140.1392,,16.7176,-0.3303,2.0361,0.7442,0.8736,1.581,1.1992,1.1303,1.3623,,1.508,1.2606,7.1931,1.3867,0.761,2.872,0.8301,4.3588,0.5328,,3.3492
2014/1/6,0,-4.1989,-4.9569,-3.5821,-3.7143,-5.3279,-3.7975,-3.4056,,-0.4932,,0.6807,0.3324,0.4409,0.8098,0.2439,0.2135,0.0834,,0.6211,1692935952,3692341608,9298731889,5460141849,2935858207,18323208750,8610961379,23324964905,,2457445411,-0.3781,43.2912,-6.5324,167.2899,493.1982,-10.199,-4.9295,135.3667,,16.6351,-0.3303,1.9506,0.7073,0.8423,1.5222,1.1353,1.0874,1.3159,,1.5006,1.2606,6.8911,1.3179,0.7337,2.7653,0.7859,4.1933,0.5147,,3.3327
2014/1/7,0,1.3841,0,-0.9288,1.1869,0.4329,1.3158,0.9615,,-0.1239,,0.4261,0.2047,0.6664,0.3381,0.2002,0.1037,0.0522,,0.5646,1692935952,3743446682,9298731889,5409428458,2970705188,18402530000,8724263503,23549243414,,2454400250,-0.3781,43.8904,-6.5324,165.7361,499.0522,-10.2431,-4.9944,136.6683,,16.6145,-0.3303,1.9776,0.7073,0.8345,1.5403,1.1402,1.1017,1.3286,,1.4987,1.2606,6.9865,1.3179,0.7269,2.7981,0.7893,4.2485,0.5196,,3.3286
2014/1/8,0,-1.1377,-0.6803,-0.9375,-0.8798,-2.1552,-2.1645,-1.2698,,-0.8685,,0.3586,0.1674,0.3305,0.3413,0.1821,0.1409,0.0558,,0.4512,1692935952,3700859120,9235475210,5358715066,2944569952,18005923750,8535426630,23250205402,,2433084118,-0.3781,43.3911,-6.488,164.1823,494.6617,-10.0224,-4.8863,134.9328,,16.4702,-0.3303,1.9551,0.7025,0.8266,1.5268,1.1157,1.0778,1.3117,,1.4857,1.2606,6.907,1.309,0.7201,2.7735,0.7723,4.1565,0.513,,3.2997
2014/1/9,0,-2.9919,-0.2283,0.3155,-0.8876,-1.7621,-0.885,-0.9646,,-4.8811,,0.4914,0.147,0.4294,0.4064,0.2554,0.1638,0.0576,,0.7342,1692935952,3590131460,9214389650,5375619530,2918434716,17688638750,8459891881,23025926893,,2314322816,-0.3781,42.0928,-6.4732,164.7002,490.2712,-9.8458,-4.843,133.6312,,15.6663,-0.3303,1.8966,0.7009,0.8293,1.5132,1.096,1.0683,1.299,,1.4132,1.2606,6.7004,1.306,0.7224,2.7489,0.7587,4.1197,0.5081,,3.1386
2014/1/10,0,-3.9146,-3.8902,-0.6289,-0.2985,-1.3453,-0.8929,-0.974,,-4.0789,,0.5359,0.2005,0.3265,0.2998,0.156,0.1665,0.0867,,0.8871,1692935952,3449592506,8855935133,5341810602,2909722970,17450675000,8384357132,22801648385,,2219922806,-0.3781,40.4451,-6.2213,163.6644,488.8077,-9.7133,-4.7998,132.3296,,15.0273,-0.3303,1.8224,0.6736,0.824,1.5087,1.0812,1.0588,1.2864,,1.3555,1.2606,6.4381,1.2552,0.7178,2.7407,0.7485,4.083,0.5031,,3.0106
2014/1/13,0,0.9877,-0.4762,-3.481,0,0.4545,-0.4505,0,,0.9602,,0.3543,0.1347,0.9539,0.2793,0.1129,0.0874,0.1191,,0.3558,1692935952,3483662555,8813764013,5155861499,2909722970,17529996250,8346589758,22801648385,,2241238938,-0.3781,40.8445,-6.1917,157.9672,488.8077,-9.7575,-4.7782,132.3296,,15.1715,-0.3303,1.8404,0.6704,0.7954,1.5087,1.0862,1.054,1.2864,,1.3685,1.2606,6.5017,1.2492,0.6928,2.7407,0.7519,4.0646,0.5031,,3.0395
2014/1/14,0,1.5892,1.9139,-0.3279,1.7964,1.3575,1.81,0.6557,,1.4946,,0.3502,0.0975,1.2307,0.2241,0.1317,0.095,0.0721,,0.3438,1692935952,3539026386,8982448492,5138957035,2961993443,17767960000,8497659256,22951167390,,2274735715,-0.3781,41.4937,-6.3102,157.4493,497.5887,-9.8899,-4.8646,133.1973,,15.3983,-0.3303,1.8696,0.6832,0.7927,1.5358,1.1009,1.0731,1.2948,,1.389,1.2606,6.605,1.2731,0.6906,2.7899,0.7621,4.1381,0.5064,,3.0849
2014/1/15,0,2.6474,-1.8779,-1.3158,-0.5882,-0.4464,-1.7778,0,,-0.1339,,0.5543,0.115,1.0385,0.2048,0.0918,0.1374,0.0835,,0.3405,1692935952,3632719022,8813764013,5071339179,2944569952,17688638750,8346589758,22951167390,,2271690554,-0.3781,42.5922,-6.1917,155.3776,494.6617,-9.8458,-4.7782,133.1973,,15.3777,-0.3303,1.9191,0.6704,0.7823,1.5268,1.096,1.054,1.2948,,1.3871,1.2606,6.7798,1.2492,0.6815,2.7735,0.7587,4.0646,0.5064,,3.0808
