ÈÕÆÚ,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH
2014/1/2,0,-0.3515,0.8119,-1.0753,,0.3327,0.1363,0.1956,4617177628,7402309026,1.10758E+11,15600174120,1340.8574,17.5648,8.7269,15.3477,34.4566,1.7042,1.437,0.7336,449.1079,1.7293,2.1572,1.2373
2014/1/3,0,-2.8219,3.2215,-3.6232,,1.5329,0.2717,1.047,4617177628,7193425526,1.14326E+11,15034950420,1340.8574,17.0691,9.008,14.7917,34.4566,1.6561,1.4833,0.707,449.1079,1.6805,2.2267,1.1925
2014/1/6,0,-3.9927,-3.1209,-4.8872,,0.9356,0.2323,0.876,4617177628,6906210713,1.10758E+11,14300159610,1340.8574,16.3876,8.7269,14.0688,34.4566,1.59,1.437,0.6725,449.1079,1.6134,2.1572,1.1342
2014/1/7,0,1.3233,-2.2819,0.7905,,0.7415,0.2039,0.3208,4617177628,6997597245,1.0823E+11,14413204350,1340.8574,16.6044,8.5277,14.18,34.4566,1.6111,1.4042,0.6778,449.1079,1.6347,2.108,1.1432
2014/1/8,0,-2.4254,0.1374,0.3922,,0.8087,0.1712,0.2417,4617177628,6827879401,1.08379E+11,14469726720,1340.8574,16.2017,8.5395,14.2356,34.4566,1.572,1.4062,0.6804,449.1079,1.5951,2.1109,1.1477
2014/1/9,0,-0.3824,-0.5487,0.7813,,0.6116,0.1801,0.3121,4617177628,6801768964,1.07784E+11,14582771460,1340.8574,16.1398,8.4926,14.3468,34.4566,1.566,1.3985,0.6857,449.1079,1.589,2.0993,1.1566
2014/1/10,0,-1.5355,-0.1379,-2.7132,,0.6455,0.1056,0.2362,4617177628,6697327214,1.07636E+11,14187114870,1340.8574,15.8919,8.4809,13.9576,34.4566,1.5419,1.3965,0.6671,449.1079,1.5646,2.0964,1.1252
2014/1/13,0,0.3899,-0.9669,-0.3984,,0.3571,0.1182,0.1802,4617177628,6723437651,1.06595E+11,14130592500,1340.8574,15.9539,8.3989,13.9019,34.4566,1.5479,1.383,0.6645,449.1079,1.5707,2.0761,1.1208
2014/1/14,0,0.5825,-1.5342,0.4,,0.7208,0.185,0.2239,4617177628,6762603307,1.0496E+11,14187114870,1340.8574,16.0468,8.27,13.9576,34.4566,1.5569,1.3618,0.6671,449.1079,1.5798,2.0443,1.1252
2014/1/15,0,-0.5792,1.8414,-0.3984,,0.4551,0.1478,0.1718,4617177628,6723437651,1.06892E+11,14130592500,1340.8574,15.9539,8.4223,13.9019,34.4566,1.5479,1.3869,0.6645,449.1079,1.5707,2.0819,1.1208
