ÈÕÆÚ,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH
2014/1/2,-0.6849,1.1494,0.8403,0.641,-0.9524,0.5025,-0.7143,,-0.7782,-1.269,0,0,-0.6579,0.2674,-0.6849,-0.9901,0.2174,0.1792,0.2967,0,0.8547,0,0.3339,0.8627,0.4713,0.1805,0.566,0.3112,0.4168,,0.0683,0.2456,0.0525,0.3609,0.1852,0.2899,0.094,0.0393,0.319,0.028,0.1228,0.099,0.1044,0.118,1356859024,2100342029,1689296065,4896125032,2663227526,3838080384,5406498790,,1356859024,4534184000,4989165467,2867059708,2813590535,3404032500,6772680341,10091400000,3843825063,21201502434,4844453702,6185436400,2863152000,2705436000,28.5311,247.0014,-4.4505,12.2343,40.1228,29.9553,10.0244,,19.7335,7.6093,12.6438,10.7995,11.0193,12.4025,10.3609,6.2156,20.0397,10.4002,10.2419,8.6571,13.0969,9.3592,0.8602,1.7916,1.0819,1.3542,1.5467,1.4465,0.8898,,0.595,0.9139,0.7157,0.7886,0.7988,1.5011,0.5927,0.7465,1.2846,1.437,0.739,0.7948,0.97,1.1934,2.7462,11.9042,0.302,6.402,0.6656,7.9753,3.0839,,1.8994,2.769,1.6353,2.2372,2.7833,10.1705,1.7307,2.4751,0.6224,3.6985,2.2477,1.2258,6.9359,3.4432
2014/1/3,0,-1.5152,-1.1111,-2.1231,-2.7244,-2,-1.8705,,0,-1.2853,-1.3514,0.4673,-0.3311,-1.6,-1.0345,-1.6667,-2.82,-1.0733,-0.5917,0,-1.6949,-1.3453,0.4493,0.6606,0.2387,0.1832,0.8776,0.4401,0.6878,,0.0654,0.1936,0.0786,0.7818,0.1606,0.4421,0.183,0.0482,0.4021,0.0414,0.0867,0.1259,0.1366,0.0807,1356859024,2068518665,1670526109,4792173333,2590671648,3761318776,5305370036,,1356859024,4475904000,4921744312,2880457183,2804274010,3349567980,6702618130,9923210000,3735430863,20973937113,4815788295,6185436400,2814624000,2669040000,28.5311,243.2589,-4.4011,11.9745,39.0297,29.3562,9.8369,,19.749,7.5115,12.4729,10.85,10.9828,12.2041,10.2537,6.112,19.4746,10.2885,10.1813,8.6571,12.8749,9.2333,0.8602,1.7644,1.0699,1.3254,1.5046,1.4176,0.8732,,0.5954,0.9022,0.7061,0.7923,0.7961,1.4771,0.5866,0.7341,1.2484,1.4216,0.7346,0.7948,0.9536,1.1774,2.7462,11.7238,0.2986,6.2661,0.6474,7.8158,3.0262,,1.9009,2.7334,1.6132,2.2477,2.7741,10.0078,1.7128,2.4339,0.6049,3.6588,2.2344,1.2258,6.8183,3.3969
2014/1/6,-1.0345,-7.6923,-2.5281,-2.603,-1.9769,-3.3163,-2.1994,,-1.5686,-3.6458,-2.2831,-2.3256,-1.9934,-4.607,-1.7422,-2.3729,-4.0179,-1.8083,-2.381,-1.7483,-3.4483,-2.2727,0.5257,3.7316,0.3869,0.1977,0.888,0.4787,0.5182,,0.0821,0.2906,0.0979,0.2459,0.1544,0.7189,0.1682,0.0732,0.3516,0.0308,0.0921,0.202,0.1576,0.1505,1342822551,1909401845,1628293707,4667431294,2539455734,3636581164,5188683012,,1342822551,4312720000,4809375720,2813469807,2748374860,3195251840,6585847779,9687744000,3585346588,20594661578,4701126669,6077299400,2717568000,2608380000,28.236,224.5467,-4.2898,11.6628,38.2581,28.3826,9.6205,,19.4447,7.2376,12.1881,10.5977,10.7639,11.6419,10.0751,5.967,18.6921,10.1025,9.9389,8.5057,12.4309,9.0234,0.8513,1.6287,1.0428,1.2909,1.4748,1.3706,0.854,,0.5863,0.8693,0.6899,0.7739,0.7803,1.4091,0.5763,0.7167,1.1982,1.3959,0.7171,0.7809,0.9207,1.1506,2.7178,10.822,0.2911,6.103,0.6346,7.5566,2.9597,,1.8716,2.6337,1.5764,2.1954,2.7188,9.5467,1.6829,2.3761,0.5806,3.5926,2.1812,1.2044,6.5832,3.3197
2014/1/7,-1.3937,-2.2917,-0.8646,-0.6682,-0.8403,-0.5277,-0.1499,,0.3984,-0.2703,0.4673,0.4762,0,1.1364,0.3546,0,0.2326,0.1842,1.5244,-0.7117,0.4464,0.4651,0.2543,2.4918,0.343,0.1405,0.3538,0.2959,0.3692,,0.0698,0.1462,0.0394,0.209,0.0896,0.4468,0.1026,0.0499,0.2503,0.0269,0.0625,0.0902,0.1414,0.1075,1324107254,1865644719,1614216240,4636245784,2518115770,3617390762,5180903877,,1324107254,4301064000,4831849439,2826867282,2748374860,3231561520,6609201850,9687744000,3593684603,20632589131,4772790186,6034044600,2729700000,2620512000,27.8424,219.4008,-4.2527,11.5849,37.9366,28.2329,9.6061,,19.516,7.2181,12.2451,10.6481,10.7639,11.7742,10.1108,5.967,18.7356,10.1211,10.0904,8.4452,12.4864,9.0654,0.8395,1.5914,1.0338,1.2823,1.4624,1.3634,0.8527,,0.5884,0.867,0.6932,0.7776,0.7803,1.4251,0.5784,0.7167,1.201,1.3985,0.7281,0.7753,0.9248,1.156,2.6799,10.574,0.2885,6.0622,0.6293,7.5168,2.9553,,1.8785,2.6266,1.5838,2.2059,2.7188,9.6552,1.6889,2.3761,0.5819,3.5992,2.2145,1.1958,6.6126,3.3351
2014/1/8,0.7067,-2.3454,-1.1628,0.8969,-1.5254,-1.5915,0.4505,,0.3968,-1.626,-0.9302,-1.4218,0.339,-0.8427,-0.3534,-1.0417,0.9281,0.7353,-1.8018,-1.0753,-1.3333,-0.463,0.2907,2.3699,0.382,0.137,0.7142,0.4449,0.372,,0.0295,0.0904,0.0525,0.209,0.1766,0.4432,0.1125,0.0593,0.3064,0.0277,0.0648,0.0721,0.1627,0.1109,1333464903,1821887594,1595446284,4677826464,2479703834,3559819556,5204241282,,1333464903,4231128000,4786902002,2786674856,2757691385,3204329260,6585847779,9586830000,3627036664,20784299345,4686793966,5969162400,2693304000,2608380000,28.0392,214.255,-4.2033,11.6888,37.3579,27.7835,9.6494,,19.6063,7.1007,12.1312,10.4967,10.8004,11.6749,10.0751,5.9048,18.9095,10.1955,9.9086,8.3544,12.3199,9.0234,0.8454,1.5541,1.0218,1.2938,1.4401,1.3417,0.8565,,0.5911,0.8529,0.6867,0.7665,0.7829,1.4131,0.5763,0.7092,1.2122,1.4088,0.7149,0.767,0.9125,1.1506,2.6989,10.326,0.2852,6.1166,0.6197,7.3971,2.9686,,1.8872,2.5839,1.569,2.1745,2.728,9.5738,1.6829,2.3514,0.5873,3.6257,2.1746,1.183,6.5244,3.3197
2014/1/9,-0.7018,1.5284,0,-2.2222,-1.8933,-0.8086,-2.0927,,-1.581,-1.1019,-1.4085,0.9615,-1.0135,-2.8329,-0.7092,-1.4035,-1.1494,0.365,0.3058,-0.7246,-0.9009,-1.8605,0.3404,2.6019,0.3236,0.1517,0.4347,0.3357,0.4393,,0.1006,0.1179,0.072,0.4099,0.1176,0.4794,0.1242,0.0715,0.3139,0.0225,0.0607,0.0734,0.1524,0.092,1324107254,1849733037,1595446284,4573874765,2432755913,3531033953,5095333392,,1324107254,4184504000,4719480847,2813469807,2729741810,3113555060,6539139639,9452278000,3585346588,20860154453,4701126669,5925907600,2669040000,2559852000,27.8424,217.5296,-4.2033,11.429,36.6507,27.5589,9.4474,,19.3054,7.0225,11.9603,10.5977,10.6909,11.3442,10.0036,5.8219,18.6921,10.2327,9.9389,8.2938,12.2089,8.8556,0.8395,1.5778,1.0218,1.2651,1.4128,1.3308,0.8386,,0.5821,0.8435,0.677,0.7739,0.775,1.373,0.5723,0.6993,1.1982,1.4139,0.7171,0.7614,0.9042,1.1292,2.6799,10.4838,0.2852,5.9807,0.608,7.3373,2.9064,,1.8582,2.5554,1.5469,2.1954,2.7004,9.3026,1.671,2.3184,0.5806,3.6389,2.1812,1.1744,6.4656,3.2579
2014/1/10,-4.5936,-1.5054,-2.9412,-3.1818,-0.7018,-2.7174,-3.5115,,0.8032,-0.2786,-1.4286,-1.9048,-1.7065,-0.5831,-1.0714,-0.7117,-2.5581,-0.9091,-1.8293,-0.365,0.4545,-0.4739,0.5722,1.5729,0.382,0.3574,0.4267,0.4098,0.5154,,0.0796,0.1535,0.0788,0.2178,0.143,0.4659,0.1195,0.0645,0.254,0.0159,0.0525,0.0882,0.1255,0.1252,1263282539,1821887594,1548521393,4428342386,2415683942,3435081944,4916413288,,1263282539,4172848000,4652059692,2759879906,2683159186,3095400220,6469077429,9385002000,3493628419,20670516685,4615130450,5904280200,2681172000,2547720000,26.5635,214.255,-4.0797,11.0654,36.3935,26.81,9.1157,,19.4284,7.0029,11.7895,10.3958,10.5085,11.278,9.8965,5.7805,18.214,10.1397,9.7571,8.2636,12.2644,8.8136,0.8009,1.5541,0.9917,1.2248,1.4029,1.2946,0.8092,,0.5858,0.8411,0.6674,0.7592,0.7618,1.365,0.5661,0.6943,1.1676,1.4011,0.704,0.7586,0.9083,1.1239,2.5568,10.326,0.2768,5.7904,0.6037,7.1379,2.8044,,1.8701,2.5483,1.5248,2.1536,2.6543,9.2484,1.6531,2.3018,0.5657,3.6058,2.1413,1.1701,6.495,3.2425
2014/1/13,-0.3704,-1.0917,-0.303,-2.5822,-1.0601,0.5587,0.3165,,-0.3984,2.2346,0,0,0,0,0.361,1.4337,0.716,-0.367,0,-0.3663,0,0.4762,0.2942,1.7987,0.1915,0.3082,0.3113,0.2348,0.2971,,0.0666,0.2337,0.053,0.1562,0.1044,0.3487,0.0609,0.0731,0.2139,0.0184,0.0799,0.061,0.0894,0.1295,1258603715,1801997991,1543828904,4313995517,2390075985,3454272346,4931971558,,1258603715,4266096000,4652059692,2759879906,2683159186,3095400220,6492431499,9519554000,3518642465,20594661578,4615130450,5882652800,2681172000,2559852000,26.4651,211.9159,-4.0673,10.7797,36.0077,26.9598,9.1445,,19.3325,7.1594,11.7895,10.3958,10.5085,11.278,9.9322,5.8634,18.3444,10.1025,9.7571,8.2333,12.2644,8.8556,0.7979,1.5371,0.9887,1.1932,1.3881,1.3019,0.8117,,0.5829,0.8599,0.6674,0.7592,0.7618,1.365,0.5682,0.7042,1.1759,1.3959,0.704,0.7559,0.9083,1.1292,2.5474,10.2132,0.276,5.6409,0.5973,7.1778,2.8133,,1.8608,2.6053,1.5248,2.1536,2.6543,9.2484,1.6591,2.3349,0.5698,3.5926,2.1413,1.1658,6.495,3.2579
2014/1/14,1.8587,1.9868,2.1277,1.6867,2.6786,3.0556,1.2618,,0,1.0929,0.9662,0.4854,1.7361,1.173,0.3597,0.3534,1.8957,-0.5525,1.5528,0.7353,1.3575,1.4218,0.227,1.7477,0.2767,0.1534,0.5357,0.3542,0.2237,,0.1425,0.1712,0.0817,0.1474,0.1166,0.3713,0.1195,0.0409,0.2457,0.038,0.066,0.0663,0.0805,0.2241,1281997836,1837799276,1576676328,4386761706,2454095877,3559819556,4994204638,,1281997836,4312720000,4697007129,2773277381,2729741810,3131709900,6515785569,9553192000,3585346588,20480878917,4686793966,5925907600,2717568000,2596248000,26.957,216.1262,-4.1538,10.9615,36.9721,27.7835,9.2599,,19.3261,7.2376,11.9034,10.4463,10.6909,11.4103,9.9679,5.8841,18.6921,10.0467,9.9086,8.2938,12.4309,8.9815,0.8128,1.5676,1.0098,1.2133,1.4252,1.3417,0.822,,0.5827,0.8693,0.6738,0.7629,0.775,1.381,0.5702,0.7067,1.1982,1.3882,0.7149,0.7614,0.9207,1.1453,2.5947,10.4161,0.2818,5.736,0.6133,7.3971,2.8488,,1.8602,2.6337,1.5396,2.1641,2.7004,9.3568,1.665,2.3431,0.5806,3.5728,2.1746,1.1744,6.5832,3.3042
2014/1/15,0,-0.4329,-0.5952,0.4739,0.5217,2.4259,-0.9346,,0,-0.2703,0,0,-0.3413,0.2899,0,0,-0.4651,-1.2963,0.3058,1.0949,-0.4464,-1.4019,0.2767,1.4293,0.1778,0.1209,0.5566,0.6891,0.2912,,0.0621,0.1525,0.0493,0.1052,0.0962,0.3314,0.1102,0.047,0.1777,0.0249,0.0783,0.0868,0.0774,0.0977,1281997836,1829843435,1567291349,4407552046,2466899856,3646176365,4947529828,,1281997836,4301064000,4697007129,2773277381,2720425285,3140787320,6515785569,9553192000,3568670557,20215386042,4701126669,5990789800,2705436000,2559852000,26.957,215.1906,-4.1291,11.0134,37.165,28.4575,9.1734,,19.3502,7.2181,11.9034,10.4463,10.6544,11.4434,9.9679,5.8841,18.6052,9.9164,9.9389,8.3846,12.3754,8.8556,0.8128,1.5609,1.0038,1.2191,1.4327,1.3742,0.8143,,0.5834,0.867,0.6738,0.7629,0.7723,1.385,0.5702,0.7067,1.1927,1.3702,0.7171,0.7698,0.9166,1.1292,2.5947,10.371,0.2802,5.7632,0.6165,7.5766,2.8221,,1.8625,2.6266,1.5396,2.1641,2.6912,9.384,1.665,2.3431,0.5779,3.5265,2.1812,1.1872,6.5538,3.2579
