ÈÕÆÚ,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH
2014/1/2,0.4983,0,1.1817,0.2262,-1.7934,,1.6124,-0.681,3.1477,0,1.2723,-0.6304,0.0568,-0.339,0.3132,,2.0265,0.3663,0.7176,,3.5081,0.7201,0.905,0.1496,1.0643,0.2293,0.2572,0.0289,1631512950,1222753936,2646921515,1904900000,1903557641,,2182083750,7268625000,1840320000,2891295000,1015108246,30518400000,,2891295000,47.3989,26.4259,19.7379,43.7179,61.0154,,40.6921,22.6739,175.9098,142.0721,25.2899,26.1517,24.4016,85.7745,2.552,2.3989,2.9165,2.5743,3.3061,,3.2722,2.4835,4.0128,2.3618,2.8364,3.7347,1.5839,1.4259,5.152,1.8906,4.3727,3.9371,5.559,,10.3707,0.7802,15.5211,57.4164,1.6517,1.9404,0.6735,34.6646
2014/1/3,-1.6529,0,-0.146,-0.6772,3.9043,,3.3719,1.0857,0,4.0404,-1.8425,-1.1246,-0.9643,1.3605,0.3922,,1.4437,0.3092,1.6569,,4.7037,0.7314,0.6536,0.4679,0.8857,0.2772,0.4047,0.1155,1604545794,1222753936,2643057396,1892000000,1977877902,,2255661450,7347541500,1840320000,3008115000,996404408.5,30175200000,,3008115000,46.6155,26.4259,19.7091,43.4219,63.3976,,42.0642,22.92,175.9098,147.8124,24.8239,25.8576,24.1857,87.0114,2.5098,2.3989,2.9122,2.5569,3.4352,,3.3825,2.5104,4.0128,2.4572,2.7841,3.6927,1.5699,1.4465,5.0669,1.8906,4.3663,3.9104,5.776,,10.7204,0.7887,15.5211,59.7363,1.6213,1.9185,0.6675,35.1644
2014/1/6,-1.6807,0,-5.3363,-3.4091,-1.9394,,-9.9456,-2.5438,-1.6432,-3.8835,-3.2423,-3.2954,-1.7755,-2.0134,0.4861,,1.8112,0.4203,1.0754,,7.5637,0.5933,0.4558,0.279,0.8686,0.3354,0.4925,0.1059,1577578638,1222753936,2502017053,1827500000,1939519058,,2031321600,7160634000,1810080000,2891295000,964097780.9,29180800000,,2891295000,45.832,26.4259,18.6574,41.9416,62.1681,,37.8807,22.337,173.0192,142.0721,24.019,25.0055,23.764,85.2874,2.4676,2.3989,2.7568,2.4697,3.3686,,3.0461,2.4466,3.9469,2.3618,2.6938,3.571,1.5426,1.4178,4.9817,1.8906,4.1333,3.7771,5.664,,9.6542,0.7686,15.2661,57.4164,1.5687,1.8553,0.6559,34.4677
2014/1/7,0,0,-0.3861,0.2353,2.0396,,1.669,2.8422,2.6253,-0.6734,0.2646,0.0905,1.2828,-0.6849,0.294,,1.1538,0.2385,1.9829,,3.2416,0.8061,0.7863,0.1268,1.1106,0.3133,0.3799,0.0354,1577578638,1222753936,2492356755,1831800000,1979076616,,2065225050,7364155500,1857600000,2871825000,966648304.2,29207200000,,2871825000,45.832,26.4259,18.5854,42.0403,63.436,,38.5129,22.9719,177.5615,141.1154,24.0826,25.0281,24.0622,84.6797,2.4676,2.3989,2.7462,2.4755,3.4373,,3.097,2.5161,4.0505,2.3459,2.7009,3.5743,1.5619,1.4077,4.9817,1.8906,4.1174,3.786,5.7795,,9.8153,0.7905,15.6669,57.0298,1.5729,1.857,0.6641,34.2221
2014/1/8,-1.7094,0,0,-0.8216,-2.3622,,4.7852,-1.2972,1.3953,1.0169,-0.7036,-2.2898,1.612,1.0345,0.3607,,1.0088,0.2435,1.6577,,5.1426,1.0676,0.8021,0.1491,0.791,0.471,0.5688,0.027,1550611482,1222753936,2492356755,1816750000,1932326775,,2164050000,7268625000,1883520000,2901030000,959846908.9,28538400000,,2901030000,45.0486,26.4259,18.5854,41.6949,61.9375,,40.3558,22.6739,180.0391,142.5505,23.9131,24.455,24.4649,85.6075,2.4255,2.3989,2.7462,2.4552,3.3561,,3.2452,2.4835,4.107,2.3697,2.6819,3.4924,1.5881,1.4231,4.8966,1.8906,4.1174,3.7549,5.643,,10.285,0.7802,15.8855,57.6097,1.5618,1.8145,0.6752,34.5971
2014/1/9,-0.5217,0,-1.0078,-0.8284,-0.3102,,-4.4,-2.1714,0.4587,-0.6711,2.6572,-0.0308,1.8697,-0.6826,0.2367,,0.8395,0.2143,1.0782,,4.345,1.1192,0.7129,0.1432,2.8955,0.3103,0.759,0.0375,1542521335,1222753936,2467239982,1801700000,1926333205,,2068831800,7110792000,1892160000,2881560000,985352141.2,28529600000,,2881560000,44.8135,26.4259,18.3981,41.3495,61.7454,,38.5802,22.1815,180.865,141.5938,24.5486,24.4475,24.9345,85.0649,2.4128,2.3989,2.7185,2.4349,3.3457,,3.1024,2.4295,4.1259,2.3538,2.7532,3.4914,1.6185,1.4141,4.871,1.8906,4.0759,3.7238,5.6255,,9.8324,0.7633,15.9583,57.2231,1.6033,1.8139,0.6882,34.3778
2014/1/10,-2.2727,0,-0.3915,-2.506,-0.4356,,-2.1269,-1.5771,-3.1963,-2.027,3.5375,5.3054,0.8343,-1.3746,0.2843,,0.8299,0.377,0.6043,,4.3173,0.9098,0.6205,0.1493,4.0524,0.6049,1.6148,0.0416,1507464032,1222753936,2457579684,1756550000,1917942208,,2024829450,6998647500,1831680000,2823150000,1020209292,30043200000,,2823150000,43.795,26.4259,18.326,40.3133,61.4765,,37.7596,21.8317,175.0839,138.7236,25.417,25.7445,25.101,83.757,2.358,2.3989,2.7078,2.3738,3.3311,,3.0364,2.3912,3.994,2.3061,2.8506,3.6766,1.6294,1.3924,4.7603,1.8906,4.0599,3.6305,5.601,,9.6233,0.7512,15.4483,56.0632,1.66,1.9102,0.6928,33.8492
2014/1/13,0.5367,0,-4.0094,-1.1016,1.625,,0.5344,0.5341,4.9528,-2.4138,-1.75,-1.7575,-0.8274,-1.3937,0.232,,1.4845,0.3458,1.1839,,2.2116,0.3839,1.052,0.2603,1.9386,0.4242,0.7419,0.0405,1515554178,1222753936,2359044650,1737200000,1949108769,,2035649700,7036029000,1922400000,2755005000,1002355629,29515200000,,2755005000,44.0301,26.4259,17.5913,39.8692,62.4755,,37.9614,21.9483,183.7555,135.3751,24.9722,25.2921,24.8697,82.5111,2.3706,2.3989,2.5993,2.3477,3.3852,,3.0526,2.404,4.1918,2.2504,2.8007,3.612,1.6143,1.3716,4.7859,1.8906,3.8971,3.5905,5.692,,9.6747,0.7553,16.2134,54.7099,1.631,1.8766,0.6864,33.3457
2014/1/14,1.7794,0,1.7199,1.3614,0.4305,,6.0241,2.0071,-4.2697,0.3534,0.2545,4.0847,0.2225,1.0601,0.2839,,0.916,0.2095,0.8985,,4.1063,0.5858,1.9347,0.1692,2.0015,0.3548,0.2754,0.0185,1542521335,1222753936,2399617899,1760850000,1957499766,,2158279200,7177248000,1840320000,2764740000,1004906153,30720800000,,2764740000,44.8135,26.4259,17.8938,40.4119,62.7444,,40.2482,22.3888,175.9098,135.8535,25.0357,26.3252,24.9168,83.3584,2.4128,2.3989,2.644,2.3797,3.3998,,3.2365,2.4522,4.0128,2.2584,2.8078,3.7595,1.6174,1.3857,4.871,1.8906,3.9642,3.6394,5.7165,,10.2575,0.7704,15.5211,54.9032,1.6351,1.9532,0.6877,33.6881
2014/1/15,-0.5245,0,-0.8857,0.9768,0.3062,,0.2005,1.0995,-3.5211,0,1.0998,-0.2578,0.4994,0,0.2518,,1.5808,0.2381,1.2164,,3.9392,1.103,0.9323,0.1263,1.9015,0.21,0.4678,0.0079,1534431188,1222753936,2378365245,1778050000,1963493335,,2162607300,7256164500,1775520000,2764740000,1015958420,30641600000,,2764740000,44.5785,26.4259,17.7353,40.8067,62.9365,,40.3289,22.635,169.7157,135.8535,25.3111,26.2573,25.0721,83.4611,2.4002,2.3989,2.6206,2.4029,3.4102,,3.243,2.4792,3.8715,2.2584,2.8387,3.7498,1.6275,1.3874,4.8455,1.8906,3.9291,3.6749,5.734,,10.2781,0.7789,14.9746,54.9032,1.6531,1.9482,0.692,33.7296
