ÈÕÆÚ,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH
2014/1/2,0.1416,-2.481,-0.3252,2.3401,-0.8772,1.2938,-0.5181,,,,0.1625,0.5421,0.7292,0.4954,1.2117,1.4834,0.467,0.45,,,,0.0339,1183157388,4161147865,2207413000,3628196987,1196195400,1224520000,1452579310,,,,1196195400,43.4491,44.4316,207.3481,35.5932,33.3335,37.644,186.0444,,,,24.648,5.2225,3.181,1.5501,3.4999,2.3606,3.8432,2.2058,,,,1.7455,4.5337,6.1433,4.9682,16.1744,3.7042,4.8507,8.1401,,,,2.7391
2014/1/3,-0.7072,-1.8692,-0.6525,2.0325,0.7866,-0.6762,-0.9115,,,,-0.5677,0.8095,0.6429,0.6743,1.3731,1.229,0.3321,0.729,,,,0.0937,1174789938,4083369400,2193009000,3701940828,1205605000,1216240000,1439339655,,,,1205605000,43.1418,43.6011,205.9951,36.3167,33.5957,37.3894,184.3487,,,,24.5278,5.1856,3.1215,1.54,3.571,2.3791,3.8172,2.1857,,,,1.737,4.5016,6.0285,4.9358,16.5031,3.7334,4.8179,8.0659,,,,2.7257
2014/1/6,-0.7123,-1.3228,-2.9557,-2.8884,0.5854,-3.9334,-2.3653,,,,-1.876,0.6918,0.4268,0.8553,1.4708,2.388,0.432,0.7684,,,,0.1909,1166422488,4029356577,2128191000,3595012259,1212662200,1168400000,1405294827,,,,1212662200,42.8345,43.0244,199.9066,35.2677,33.7924,35.9187,179.9883,,,,24.0755,5.1487,3.0803,1.4945,3.4679,2.3931,3.6671,2.134,,,,1.7049,4.4696,5.9488,4.7899,16.0264,3.7552,4.6284,7.8751,,,,2.6754
2014/1/7,-1.0043,-1.3405,-0.1692,2.0513,1.8429,-0.7874,0.6729,,,,0.7481,0.4791,0.6579,0.4341,1.7215,2.8266,0.2385,0.4112,,,,0.0369,1154708059,3975343754,2124590000,3668756100,1235010000,1159200000,1414751724,,,,1235010000,42.4043,42.4477,199.5684,35.9911,34.4151,35.6359,181.1995,,,,24.2489,5.0969,3.039,1.4919,3.539,2.4372,3.6382,2.1484,,,,1.7172,4.4247,5.869,4.7818,16.3552,3.8244,4.5919,7.9281,,,,2.6947
2014/1/8,-1.5942,0.3261,0.5085,3.1658,0.0952,0.5556,-1.0695,,,,0.6601,0.7889,0.5464,0.4944,2.3673,1.3178,0.1953,0.4922,,,,0.0718,1136299669,3988306832,2135393000,3784902650,1236186200,1165640000,1399620689,,,,1236186200,41.7283,42.5861,200.5831,37.1305,34.4479,35.8339,179.2616,,,,24.4237,5.0157,3.0489,1.4995,3.6511,2.4395,3.6584,2.1254,,,,1.7296,4.3542,5.8882,4.8062,16.873,3.8281,4.6174,7.8433,,,,2.7141
2014/1/9,-1.3255,1.2459,-0.5059,-2.4842,0.3806,-0.1579,-0.4054,,,,-0.4098,0.658,0.3212,0.8377,2.5743,1.8999,0.1783,0.669,,,,0.1059,1121238260,4037998629,2124590000,3690879252,1240891000,1163800000,1393946551,,,,1240891000,41.1752,43.1167,199.5684,36.2081,34.579,35.7773,178.5348,,,,24.3356,4.9492,3.0869,1.4919,3.5604,2.4488,3.6526,2.1168,,,,1.7234,4.2964,5.9615,4.7818,16.4538,3.8427,4.6101,7.8115,,,,2.7043
2014/1/10,-1.4925,-1.0166,-2.8814,0.2498,-1.6114,-3.7945,3.2564,,,,0.3292,0.6536,0.197,0.6013,1.4838,1.3811,0.3141,1.1138,,,,0.0749,1104503360,3996948884,2063373000,3700097232,1220895600,1119640000,1439339655,,,,1220895600,40.5606,42.6784,193.8181,36.2986,34.0218,34.4198,184.3487,,,,24.3753,4.8753,3.0555,1.449,3.5693,2.4093,3.514,2.1857,,,,1.7262,4.2323,5.9009,4.6441,16.4949,3.7807,4.4352,8.0659,,,,2.7088
2014/1/13,0.303,-1.1351,0.1745,-1.9432,0.578,-0.493,0.1314,,,,0.3281,0.564,0.3372,0.3951,1.0576,1.3852,0.2234,0.5732,,,,0.0619,1107850340,3951578112,2066974000,3628196987,1227952800,1114120000,1441231034,,,,1227952800,40.6836,42.1939,194.1563,35.5932,34.2185,34.2501,184.591,,,,24.4321,4.8901,3.0208,1.4515,3.4999,2.4232,3.4967,2.1886,,,,1.7302,4.2451,5.8339,4.6522,16.1744,3.8026,4.4133,8.0765,,,,2.7151
2014/1/14,1.0574,3.7726,1.9164,1.2703,1.2452,3.5508,1.5748,,,,0.8994,0.8831,0.574,0.2764,0.8865,1.7377,0.3648,0.9416,,,,0.0936,1119564770,4100653503,2106585000,3674286888,1243243400,1153680000,1463927586,,,,1243243400,41.1137,43.7857,197.8771,36.0454,34.6446,35.4662,187.4979,,,,24.6437,4.9418,3.1348,1.4793,3.5444,2.4534,3.6209,2.2231,,,,1.7452,4.29,6.054,4.7413,16.3798,3.8499,4.57,8.2037,,,,2.7386
2014/1/15,-1.3453,-0.2634,-0.8547,1.8063,-0.2838,-0.5582,1.0336,,,,-0.1621,1.4003,0.281,0.2447,1.147,1.3426,0.3022,0.9347,,,,0.0296,1104503360,4089850939,2088580000,3740656345,1239714800,1147240000,1479058620,,,,1239714800,40.5606,43.6704,196.1858,36.6965,34.5463,35.2682,189.4359,,,,24.6341,4.8753,3.1265,1.4667,3.6084,2.4464,3.6006,2.246,,,,1.7445,4.2323,6.0381,4.7008,16.6757,3.839,4.5445,8.2885,,,,2.7375
