ÈÕÆÚ,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH
2014/1/2,0.4878,2.4427,1.2821,-0.2558,0,0.437,-0.5924,0.3149,0.5172,1.5216,0.4011,0.0595,0.4713,0.2965,2.3549,0.0401,4441951787,1306642118,1230365592,1230365592,3336788000,7196103507,2517000000,7196103507,37.2552,154.0437,-784.7126,-507.855,28.285,25.7135,34.8648,15.5267,2.686,2.8563,21.0694,13.6358,3.1217,2.2346,1.8693,1.3493,2.4947,1.9674,72.9407,47.2062,1.1256,3.6157,4.7072,2.1833
2014/1/3,0.6472,0,-0.8439,-3.0769,0,-2.8589,-2.9797,0.0628,0.8648,0.9455,0.2879,0.39,0.6914,0.5216,1.3163,0.0481,4470702284,1306642118,1220311760,1220311760,3336788000,6990372766,2442000000,6990372766,37.4963,154.0437,-778.0905,-492.6167,28.285,24.9783,33.8259,15.5489,2.7034,2.8563,20.8916,13.2267,3.1217,2.1707,1.8136,1.3512,2.5108,1.9674,72.3252,45.7898,1.1256,3.5124,4.5669,2.1864
2014/1/6,-6.7524,-3.2787,-3.1915,-5.8201,9.9861,-4.2226,-3.9312,-2.8858,2.9282,0.6872,0.3661,0.2265,3.6702,0.9472,1.1322,0.1439,4168822065,1263801393,1181365640,1181365640,3670004000,6695193878,2346000000,6695193878,34.9644,148.9931,-753.2578,-464.0756,31.1096,23.9236,32.4961,15.1052,2.5208,2.7626,20.2249,12.4604,3.4335,2.079,1.7423,1.3127,2.3413,1.9029,70.0169,43.1368,1.238,3.3641,4.3874,2.124
2014/1/7,3.4483,2.4653,-0.6593,-0.5618,0,0.5344,1.1509,0.9044,2.0139,1.0967,0.4054,0.1831,,0.57,0.6341,0.0585,4312574550,1294958284,1173576416,1173576416,3670004000,6730973137,2373000000,6730973137,36.1701,152.6662,-748.2913,-461.3219,31.1096,24.0514,32.8701,15.2375,2.6078,2.8308,20.0915,12.3864,3.4335,2.0901,1.7624,1.3242,2.422,1.9498,69.5553,42.8809,1.238,3.382,4.4379,2.1427
2014/1/8,2.5,0.7519,-0.6637,-1.6949,0,-4.2525,-1.1378,-0.064,1.6824,1.1577,0.4652,0.1453,,0.9182,0.5688,0.0343,4420388914,1304694812,1165787192,1165787192,3670004000,6444739063,2346000000,6444739063,37.0743,153.8141,-743.3248,-453.8025,31.1096,23.0286,32.4961,15.237,2.673,2.852,19.9582,12.1845,3.4335,2.0013,1.7423,1.3241,2.4825,1.9645,69.0936,42.1819,1.238,3.2382,4.3874,2.1426
2014/1/9,2.9268,-0.7463,2.0045,1.1494,0,0.694,-0.1279,-0.3844,2.2844,2.0037,0.69,0.1146,,0.5861,0.5607,0.078,4549766150,1294958284,1189154864,1189154864,3670004000,6489463137,2343000000,6489463137,38.1594,152.6662,-758.2244,-459.2342,31.1096,23.1885,32.4546,15.1859,2.7512,2.8308,20.3582,12.3304,3.4335,2.0151,1.7401,1.3197,2.5552,1.9498,70.4786,42.6868,1.238,3.2607,4.3818,2.1354
2014/1/10,-0.9479,0.4511,-1.31,-1.7045,0,-1.8608,-2.1767,-0.5145,0.8809,2.1802,0.7082,0.0523,,0.6385,0.6274,0.0952,4506640405,1300800201,1173576416,1173576416,3670004000,6368708138,2292000000,6368708138,37.7977,153.355,-748.2913,-450.6617,31.1096,22.757,31.7481,15.0828,2.7251,2.8435,20.0915,12.1002,3.4335,1.9776,1.7022,1.3107,2.531,1.9586,69.5553,41.89,1.238,3.2,4.2864,2.1209
2014/1/13,-2.3923,-2.5449,0.2212,-0.578,0,-0.0702,0.3927,-0.0646,0.9772,0.8256,0.5263,0.0287,,0.2265,0.2744,0.0474,4398826041,1267696004,1176172824,1176172824,3670004000,6364235730,2301000000,6364235730,36.8935,149.4522,-749.9468,-447.6296,31.1096,22.741,31.8728,15.0587,2.6599,2.7712,20.136,12.0188,3.4335,1.9763,1.7089,1.3086,2.4704,1.9088,69.7092,41.6081,1.238,3.1978,4.3032,2.1175
2014/1/14,1.4706,1.0753,5.0773,9.8837,0,3.8651,1.8253,0.8409,0.7944,0.5956,1.3598,1.6627,,0.4656,0.3913,0.0297,4463514659,1281327144,1235890208,1235890208,3670004000,6610218137,2343000000,6610218137,37.436,151.0592,-788.0236,-491.7093,31.1096,23.6199,32.4546,15.1803,2.699,2.801,21.1583,13.2023,3.4335,2.0526,1.7401,1.3192,2.5068,1.9293,73.2485,45.7054,1.238,3.3214,4.3818,2.1346
2014/1/15,6.1192,-0.304,3.9916,8.9947,0,-0.2706,1.2804,0.6414,2.6347,0.4978,2.1238,1.1388,,0.2765,0.5288,0.0976,4736644381,1277432533,1285221960,1285221960,3670004000,6592328508,2373000000,6592328508,39.7268,150.6001,-819.4783,-536.6056,31.1096,23.556,32.8701,15.2965,2.8642,2.7924,22.0029,14.4078,3.4335,2.0471,1.7624,1.3293,2.6602,1.9234,76.1723,49.8786,1.238,3.3124,4.4379,2.1509
2014/1/16,-1.6692,-0.9146,-1.8182,-1.4563,0,0.8141,-1.0114,0.1275,1.2432,0.8301,0.7841,0.5062,,0.1884,0.49,0.0834,4657580514,1265748699,1261854288,1261854288,3670004000,6645997396,2349000000,6645997396,39.0637,149.2226,-804.5787,-529.3018,31.1096,23.7478,32.5377,15.3311,2.8164,2.7669,21.6028,14.2117,3.4335,2.0637,1.7445,1.3323,2.6158,1.9058,74.7873,49.1997,1.238,3.3393,4.393,2.1558
2014/1/17,0.7716,-4.4615,0.2058,7.1429,0,0.3365,0,0.6365,1.3173,1.7188,0.8355,2.2841,,0.298,0.3915,0.0299,4693518635,1209276833,1264450696,1264450696,3670004000,6668359433,2349000000,6668359433,39.3651,142.565,-806.2342,-566.8714,31.1096,23.8277,32.5377,15.4226,2.8381,2.6435,21.6473,15.2204,3.4335,2.0707,1.7445,1.3403,2.6359,1.8208,74.9412,52.6919,1.238,3.3506,4.393,2.1687
2014/1/20,-1.3783,-0.8052,-0.616,0,0,-2.0791,-0.5109,-0.4428,0.9817,0.5269,0.4688,0.4503,,0.1561,0.2232,0.0549,4628830017,1199540305,1256661472,1256661472,3670004000,6529714804,2337000000,6529714804,38.8225,141.4171,-801.2677,-567.1666,31.1096,23.3323,32.3714,15.3649,2.799,2.6222,21.5139,15.2283,3.4335,2.0276,1.7356,1.3352,2.5996,1.8061,74.4795,52.7193,1.238,3.2809,4.3706,2.1606
2014/1/21,-0.7764,1.1364,3.3058,0,0,1.0274,0.5135,1.0165,0.8614,0.5575,0.8405,0.286,,0.1398,0.3019,0.1063,4592891896,1213171445,1298204000,1298204000,3670004000,6596800915,2349000000,6596800915,38.5211,143.0242,-827.7559,-566.965,31.1096,23.572,32.5377,15.5168,2.7773,2.652,22.2251,15.2229,3.4335,2.0485,1.7445,1.3484,2.5794,1.8267,76.9417,52.7006,1.238,3.3146,4.393,2.1819
2014/1/22,1.5649,2.0867,1.6,0.2299,0,3.5254,1.788,1.2579,1.4997,0.9484,3.4746,0.583,,0.3774,0.7042,0.2315,4664768138,1238486419,1318975264,1318975264,3670004000,6829366100,2391000000,6829366100,39.124,146.0086,-841,-568.4344,31.1096,24.403,33.1194,15.7173,2.8207,2.7073,22.5807,15.2624,3.4335,2.1207,1.7757,1.3659,2.6198,1.8648,78.1727,52.8372,1.238,3.4315,4.4716,2.2101
