ÈÕÆÚ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ
2014/1/2,0.8876,-0.1059,2.3211,1.0361,0.4938,1.0604,1139767675,5282662915,3064248370,115.0278,48.5141,-7.4984,2.4225,5.8509,7.0332,2.9032,2.8068,5.276
2014/1/3,-0.1466,-2.0148,-3.0246,1.6905,0.5325,0.8751,1138096462,5176225380,2971567890,114.8591,47.5366,-7.2716,2.4189,5.7331,6.8205,2.899,2.7503,5.1164
2014/1/6,-1.6153,-3.1385,-1.1696,1.2946,0.3619,0.7303,1119713112,5013768090,2936812710,113.0038,46.0447,-7.1866,2.3798,5.5531,6.7407,2.8521,2.664,5.0565
2014/1/7,-0.4478,0.5587,0.1972,1.1412,0.3616,0.4173,1114699471,5041777968,2942605240,112.4978,46.3019,-7.2008,2.3692,5.5841,6.754,2.8394,2.6789,5.0665
2014/1/8,2.8486,-0.7778,-0.7874,1.5691,0.2742,0.8058,1146452530,5002564139,2919435120,115.7024,45.9418,-7.1441,2.4367,5.5407,6.7009,2.9203,2.658,5.0266
2014/1/9,-0.5831,-2.8555,0.3968,0.9966,0.5024,0.5383,1139767675,4859713764,2931020180,115.0278,44.6299,-7.1724,2.4225,5.3825,6.7274,2.9032,2.5821,5.0466
2014/1/10,-1.173,1.3256,-1.1858,0.829,0.5952,0.4217,1126397966,4924136482,2896265000,113.6785,45.2215,-7.0874,2.394,5.4538,6.6477,2.8692,2.6164,4.9867
2014/1/13,-1.632,-0.5688,0,0.9452,0.3489,0.802,1108014617,4896126604,2896265000,111.8232,44.9643,-7.0874,2.355,5.4228,6.6477,2.8224,2.6015,4.9867
2014/1/14,1.81,1.8307,-1.2,0.7726,0.2915,0.6321,1128069180,4985758213,2861509820,113.8471,45.7874,-7.0023,2.3976,5.5221,6.5679,2.8734,2.6491,4.9269
2014/1/15,0.7407,1.9101,1.8219,0.6799,0.3868,0.5573,1136425248,5080991797,2913642590,114.6904,46.662,-7.1299,2.4154,5.6276,6.6876,2.8947,2.6997,5.0167
2014/1/16,-6.9118,-2.2602,-0.5964,3.6773,0.3218,0.6939,1057878209,4966151298,2896265000,106.7633,45.6074,-7.0874,2.2484,5.5004,6.6477,2.6946,2.6387,4.9867
2014/1/17,-2.2117,-1.128,3,1.566,0.2073,0.9592,1034481218,4910131543,2983152950,104.402,45.0929,-7.3,2.1987,5.4383,6.8471,2.635,2.6089,5.1363
