ÈÕÆÚ,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH
2014/1/2,1.1691,0.1736,0.698,-0.2641,,,,-0.4438,0.6227,0.2024,1.0191,0.7126,0.3672,-0.6791,1.6017,,,,,0.5332,1.3976,0.3218,0.4668,,,,0.3225,0.8167,0.9016,0.8436,0.6737,0.3646,0.0696,1.1086,,,,,3031422739,9985055440,1403381386,7418259490,,,,14806000000,3564492000,5286909375,2262666900,2798400000,8915273126,28080000000,1173624065,,,,,50.7376,23.1121,-121.7333,14.5001,,,,24.6247,21.0959,50.4705,120.2243,28.1048,41.5158,14.9584,23.4269,,,,,3.649,2.5447,4.3589,1.3488,,,,2.43,1.4895,2.8685,2.4634,1.603,2.9431,2.1553,1.8532,,,,,6.1819,7.1299,20.7068,10.1704,,,,3.4997,5.5387,12.2248,3.0837,2.3562,6.6881,7.0207,5.8255,,,,
2014/1/3,0.1778,1.3865,1.4493,-1.1474,,,,-0.8915,-0.2475,0.404,-1.3871,0.5896,-0.3659,1.0256,2.6731,,,,,0.7498,2.8056,0.4726,0.3369,,,,0.7219,0.7216,1.161,0.8391,1.3713,0.4501,0.1469,3.7272,,,,,3036811935,10123496417,1423720247,7333142656,,,,14674000000,3555669000,5308270625,2231280600,2814900000,8882656273,28368000000,1204995784,,,,,50.8278,23.4325,-123.4976,14.3338,,,,24.4052,21.0437,50.6744,118.5566,28.2706,41.364,15.1118,24.0531,,,,,3.6555,2.5799,4.4221,1.3333,,,,2.4083,1.4858,2.8801,2.4292,1.6125,2.9323,2.1774,1.9027,,,,,6.1929,7.2288,21.0069,10.0537,,,,3.4685,5.525,12.2742,3.041,2.3701,6.6636,7.0928,5.9812,,,,
2014/1/6,-2.8394,-1.3675,-2.4224,-1.3393,,,,-4.6477,-2.8536,2.0121,-2.3018,-5.51,-4.5288,-3.3841,-2.0694,,,,,0.6078,2.7755,0.3602,0.356,,,,0.6252,1.0271,3.6949,1.485,1.9065,0.6002,0.1542,2.3464,,,,,2950584799,9985055440,1389232614,7234930924,,,,13992000000,3454204500,5415076875,2179921200,2659800000,8480381754,27408000000,1180059289,,,,,49.3846,23.1121,-120.506,14.1418,,,,23.2709,20.4432,51.694,115.8277,26.7129,39.4907,14.6004,23.5553,,,,,3.5517,2.5447,4.315,1.3155,,,,2.2964,1.4434,2.938,2.3733,1.5236,2.7995,2.1038,1.8633,,,,,6.0171,7.1299,20.498,9.919,,,,3.3073,5.3673,12.5212,2.971,2.2395,6.3619,6.8527,5.8574,,,,
2014/1/7,-0.1826,-0.8666,0.3183,0.2715,,,,0,-1.6603,-0.1972,-1.7016,-1.737,-0.5128,-1.2259,-1.8405,,,,,0.5175,1.264,0.2115,0.2268,,,,0.2764,0.7347,1.5191,0.9499,0.9473,0.3011,0.0906,1.7677,,,,,2945195603,9898529830,1393654105,7254573270,,,,13992000000,3396855000,5404396250,2142828300,2613600000,8436892617,27072000000,1158340406,,,,,49.2944,22.9118,-120.8895,14.1802,,,,23.2709,20.1038,51.592,113.8568,26.2489,39.2882,14.4215,23.1218,,,,,3.5452,2.5226,4.3287,1.319,,,,2.2964,1.4194,2.9322,2.3329,1.4971,2.7852,2.078,1.829,,,,,6.0061,7.0681,20.5632,9.946,,,,3.3073,5.2782,12.4965,2.9204,2.2006,6.3292,6.7687,5.7496,,,,
2014/1/8,-0.8234,0.6993,0.6345,0.722,,,,-0.3145,-2.4675,-1.1858,0.5326,0,-0.7732,0.7092,-1.1806,,,,,0.5321,1.7192,0.3669,0.3059,,,,0.4338,1.1214,1.6524,0.8692,1.116,0.3677,0.0986,1.6037,,,,,2920944221,9967750318,1402497088,7306952861,,,,13948000000,3313036500,5340312500,2154241500,2613600000,8371658911,27264000000,1144665554,,,,,48.8885,23.072,-121.6566,14.2826,,,,23.1977,19.6077,50.9803,114.4632,26.2489,38.9844,14.5237,22.8488,,,,,3.516,2.5403,4.3562,1.3286,,,,2.2891,1.3844,2.8975,2.3453,1.4971,2.7637,2.0927,1.8074,,,,,5.9566,7.1175,20.6937,10.0178,,,,3.2969,5.148,12.3483,2.936,2.2006,6.2803,6.8167,5.6817,,,,
2014/1/9,-1.5683,-0.3472,0,-1.9713,,,,-0.7886,-1.0652,0.8,-2.5166,-2.399,1.1688,-1.4085,-0.2108,,,,,1.4337,2.3685,0.3471,0.3124,,,,0.3882,0.5469,1.6654,0.8189,0.8425,0.8806,0.1167,1.1616,,,,,2875136055,9933140074,1402497088,7162908987,,,,13838000000,3277744500,5383035000,2100028800,2550900000,8469509470,26880000000,1142252345,,,,,48.1218,22.9919,-121.6566,14.001,,,,23.0148,19.3988,51.3881,111.5827,25.6192,39.44,14.3192,22.8007,,,,,3.4609,2.5314,4.3562,1.3024,,,,2.2711,1.3696,2.9206,2.2863,1.4612,2.796,2.0632,1.8036,,,,,5.8632,7.0928,20.6937,9.8203,,,,3.2709,5.0931,12.4471,2.8621,2.1478,6.3537,6.7207,5.6697,,,,
2014/1/10,-4.7798,-5.2265,-3.2156,1.0969,,,,-3.4976,-1.8843,-0.5952,-1.087,-3.6223,-4.6213,-3.75,-4.6479,,,,,0.9476,2.7512,0.4488,0.4008,,,,0.5462,0.7277,0.983,0.705,1.3688,0.4996,0.1642,2.224,,,,,2737711558,9413986412,1357397875,7241478373,,,,13354000000,3215983500,5350993125,2077202400,2458500000,8078107235,25872000000,1089161743,,,,,45.8217,21.7902,-117.7446,14.1546,,,,22.2098,19.0333,51.0822,110.3699,24.6912,37.6174,13.7822,21.7409,,,,,3.2954,2.3991,4.2161,1.3167,,,,2.1917,1.3438,2.9032,2.2615,1.4083,2.6667,1.9859,1.7198,,,,,5.5829,6.7221,20.0283,9.928,,,,3.1565,4.9971,12.373,2.831,2.07,6.0601,6.4687,5.4062,,,,
2014/1/13,-3.0512,-9.9265,-3.5831,-0.7233,,,,-1.9769,-0.4115,-1.1976,0.4121,-1.0738,-3.7685,-0.1855,-0.517,,,,,0.7249,5.9474,0.3789,0.3514,,,,0.4275,0.2765,1.0877,0.5332,0.7817,0.5529,0.1004,0.8813,,,,,2654179020,8479509819,1308761469,7189098782,,,,13090000000,3202749000,5286909375,2085762300,2432100000,7773683275,25824000000,1083530922,,,,,44.4236,19.6272,-113.5257,14.0522,,,,21.7708,18.955,50.4705,110.8247,24.426,36.1998,13.7566,21.6285,,,,,3.1949,2.161,4.065,1.3071,,,,2.1483,1.3383,2.8685,2.2708,1.3932,2.5663,1.9822,1.7109,,,,,5.4126,6.0549,19.3107,9.8562,,,,3.0941,4.9766,12.2248,2.8426,2.0478,5.8317,6.4567,5.3783,,,,
2014/1/14,1.8274,2.2449,0.2027,0.9107,,,,2.8571,2.8926,0.202,1.6416,2.0353,1.3986,0.9294,2.3014,,,,,0.4464,2.7797,0.4429,0.2032,,,,0.3351,0.4383,0.7688,0.4069,0.599,0.2918,0.0778,1.1721,,,,,2702681784,8669866162,1311414364,7254573270,,,,13464000000,3295390500,5297590000,2120001900,2481600000,7882406118,26064000000,1108467417,,,,,45.2354,20.0679,-113.7558,14.1802,,,,22.3928,19.5033,50.5724,112.644,24.9232,36.7061,13.8845,22.1263,,,,,3.2533,2.2095,4.0732,1.319,,,,2.2097,1.377,2.8743,2.3081,1.4215,2.6021,2.0006,1.7503,,,,,5.5115,6.1908,19.3498,9.946,,,,3.1825,5.1205,12.2495,2.8893,2.0895,5.9133,6.5167,5.502,,,,
2014/1/15,-0.3988,-1.3972,0.0674,-0.722,,,,0.4902,-0.2677,-0.2016,0.2692,0,1.1034,-0.5525,0,,,,,0.4019,2.2621,0.3097,0.2245,,,,0.2515,0.2613,0.6843,0.4673,0.6348,0.3183,0.0645,0.8962,,,,,2691903392,8548730308,1312298662,7202193680,,,,13530000000,3286567500,5286909375,2125708500,2481600000,7969384392,25920000000,1108467417,,,,,45.055,19.7875,-113.8325,14.0778,,,,22.5025,19.4511,50.4705,112.9472,24.9232,37.1111,13.8078,22.1263,,,,,3.2403,2.1786,4.076,1.3095,,,,2.2205,1.3733,2.8685,2.3143,1.4215,2.6309,1.9895,1.7503,,,,,5.4895,6.1043,19.3628,9.8742,,,,3.1981,5.1068,12.2248,2.8971,2.0895,5.9785,6.4807,5.502,,,,
