ÈÕÆÚ,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH
2014/1/2,0.7326,0.4464,-0.4505,-1.0032,0,-1.0721,3.688,,0.1244,-0.3813,-2.7372,0.7009,0,,,-1.3906,,,,,-0.3933,0.7554,0.2002,0.7621,0.4996,1.2533,0.3609,3.3013,,0.3457,0.2942,1.2634,1.2302,,,,0.2786,,,,,0.0643,3546956100,1582376342,1479649050,4661082055,4000052481,10120581951,1579885440,,3715234454,2145099924,8767155943,953513449.9,1521708567,,,14855718267,,,,,2145099924,173.5067,23.8015,37.8712,27.4448,358.216,30.5597,48.9248,,111.614,38.2245,31.4208,-191.1326,87.6611,,,21.849,,,,,19.7771,3.2049,1.6523,2.2189,3.9857,5.1503,3.2832,6.1219,,2.2521,10.295,2.2214,58.843,11.6481,,,3.1017,,,,,5.3266,1.5992,0.9501,3.2192,4.9073,5.9628,2.5433,14.6351,,2.4371,2.6784,2.263,13.8519,3.7468,,,1.8016,,,,,1.3858
2014/1/3,-1.0909,-0.8889,-2.5641,-0.6538,-1.0558,-1.7734,1.4286,,-1.8634,-2.6794,-4.1276,-2.3202,0,,,-3.8462,,,,,-0.3948,0.7425,0.2257,1.0488,0.4272,1.5103,0.3363,4.9275,,0.6601,0.5046,1.4321,1.0176,,,,0.6523,,,,,0.1284,3508262033,1568310774,1441709331,4630607508,3957819649,9941103650,1602455232,,3646006483,2087623562,8405284591,931390168,1521708567,,,14284344488,,,,,2087623562,171.6139,23.5899,36.9001,27.2653,354.434,30.0177,49.6237,,109.5343,37.2003,30.1239,-186.6979,87.6611,,,21.0087,,,,,19.7149,3.17,1.6376,2.162,3.9596,5.0959,3.225,6.2094,,2.2101,10.0192,2.1297,57.4777,11.6481,,,2.9824,,,,,5.3098,1.5818,0.9416,3.1366,4.8752,5.8998,2.4982,14.8441,,2.3917,2.6067,2.1696,13.5305,3.7468,,,1.7323,,,,,1.3814
2014/1/6,0,-3.3632,-3.5604,-0.3949,-2.8963,-1.3039,-8.9394,,-3.5443,-2.0157,-4.501,-3.5629,0,,,-4.9333,,,,,-3.0578,,0.2587,1.0086,0.8056,1.3123,0.2261,11.0882,,0.7323,0.3396,1.1557,0.9399,,,,0.4484,,,,,0.2172,3508262033,1515564896,1390379122,4612322779,3843187677,9811480433,1459206144,,3516780937,2045542655,8026964541,898205245.1,1521708567,,,13579650159,,,,,2045542655,171.6139,22.7966,35.5863,27.1577,344.1684,29.6263,45.1877,,105.652,36.4504,28.768,-180.046,87.6611,,,19.9723,,,,,19.1183,3.17,1.5825,2.085,3.944,4.9483,3.183,5.6543,,2.1318,9.8172,2.0339,55.4298,11.6481,,,2.8353,,,,,5.1491,1.5818,0.91,3.025,4.856,5.7289,2.4656,13.5172,,2.3069,2.5541,2.072,13.0484,3.7468,,,1.6468,,,,,1.3396
2014/1/7,0,0,-0.4815,-0.2973,1.5699,1.5244,-2.1465,,-0.2625,0.8028,0.8197,-1.2315,0,,,0.561,,,,,0.993,,0.1341,0.8093,0.5122,1.2082,0.2964,3.8841,,0.5958,0.295,0.6418,1.5753,,,,0.2289,,,,,0.1884,3508262033,1515564896,1383683878,4598609233,3903520294,9961045683,1427884800,,3507550541,2061964472,8092759332,887143604.2,1521708567,,,13655833330,,,,,2061964472,171.6139,22.7966,35.415,27.0769,349.5713,30.0779,44.2177,,105.3747,36.7431,29.0038,-177.8287,87.6611,,,20.0843,,,,,19.3028,3.17,1.5825,2.075,3.9323,5.026,3.2315,5.533,,2.1262,9.896,2.0506,54.7472,11.6481,,,2.8512,,,,,5.1988,1.5818,0.91,3.0104,4.8415,5.8189,2.5032,13.227,,2.3009,2.5746,2.0889,12.8877,3.7468,,,1.656,,,,,1.3526
2014/1/8,0,-1.6241,-0.8065,2.5845,-2.7821,-0.4004,1.1613,,-0.9211,-0.8462,-0.6098,-0.9975,0,,,-0.4184,,,,,-0.2313,,0.2895,0.854,1.1316,1.5406,0.2299,2.3059,,0.6739,0.2395,0.7297,0.6019,,,,0.2407,,,,,0.1626,3508262033,1490950153,1372525137,4717459968,3794921584,9921161617,1444466688,,3475244154,2044516291,8043413239,878294291.4,1521708567,,,13598695952,,,,,2044516291,171.6139,22.4263,35.1294,27.7767,339.846,29.9575,44.7312,,104.4042,36.4322,28.827,-176.0548,87.6611,,,20.0003,,,,,19.2698,3.17,1.5568,2.0583,4.0339,4.8862,3.2185,5.5972,,2.1066,9.8123,2.0381,54.2011,11.6481,,,2.8393,,,,,5.1899,1.5818,0.8952,2.9861,4.9666,5.657,2.4932,13.3806,,2.2797,2.5528,2.0762,12.7591,3.7468,,,1.6491,,,,,1.3503
2014/1/9,0,-1.1792,-1.1382,-1.0013,-6.5183,-0.402,-1.5306,,-1.5936,-0.6526,-2.454,-2.5189,0,,,-2.6611,,,,,0.8116,,0.2808,0.846,0.5731,3.118,0.2228,2.5514,,0.4738,0.3385,0.7525,0.9317,,,,0.426,,,,,0.152,3508262033,1473368194,1356902900,4670224420,3547557856,9881277550,1422357504,,3419861777,2031173564,7846028865,856171009.5,1521708567,,,13236825892,,,,,2031173564,171.6139,22.1619,43.5316,27.4986,317.6939,29.8371,44.0466,,102.7404,36.1944,28.1195,-171.6202,87.6611,,,19.4681,,,,,19.4357,3.17,1.5384,2.5505,3.9935,4.5677,3.2056,5.5115,,2.073,9.7483,1.988,52.8358,11.6481,,,2.7637,,,,,5.2346,1.5818,0.8846,3.7003,4.9169,5.2882,2.4832,13.1758,,2.2434,2.5362,2.0253,12.4378,3.7468,,,1.6052,,,,,1.3619
2014/1/10,0,-2.6253,-0.1645,-1.2398,-2.551,-3.0272,-3.4974,,-1.4845,1.7686,-3.7736,-2.0672,0,,,-1.1511,,,,,-0.46,,0.2039,0.5946,1.1259,1.544,0.1893,2.8542,,0.757,0.8373,0.874,0.948,,,,0.2302,,,,,0.2635,3508262033,1434687883,1354671151,4612322779,3457058931,9582147049,1372611840,,3369094598,2067096290,7549952304,838472384,1521708567,,,13084459551,,,,,2067096290,171.6139,21.58,43.46,27.1577,309.5894,28.9338,42.5061,,101.2152,36.8345,27.0584,-168.0725,87.6611,,,19.244,,,,,19.3143,3.17,1.4981,2.5464,3.944,4.4511,3.1086,5.3188,,2.0423,9.9207,1.913,51.7436,11.6481,,,2.7319,,,,,5.2019,1.5818,0.8614,3.6942,4.856,5.1533,2.408,12.715,,2.2101,2.581,1.9488,12.1806,3.7468,,,1.5868,,,,,1.3534
2014/1/13,0,0.7353,1.1532,-1.0572,0.1745,-0.6243,0.5369,,0.5479,-1.8868,0.2179,-0.7916,0,,,0.8734,,,,,-5.026,,0.1638,0.4016,0.3222,1.0979,0.095,1.8123,,0.375,0.4477,0.4587,0.551,,,,0.1968,,,,,0.4373,3508262033,1445237059,1370293389,4563563503,3463092193,9522320949,1379981568,,3387555391,2028094474,7566401002,831835399.4,1521708567,,,13198734306,,,,,2028094474,171.6139,21.7387,43.9612,26.8706,310.1297,28.7532,42.7343,,101.7698,36.1395,27.1174,-166.7421,87.6611,,,19.412,,,,,18.3261,3.17,1.5091,2.5757,3.9023,4.4589,3.0891,5.3473,,2.0535,9.7335,1.9172,51.334,11.6481,,,2.7558,,,,,4.9358,1.5818,0.8678,3.7369,4.8046,5.1623,2.393,12.7833,,2.2222,2.5323,1.9531,12.0842,3.7468,,,1.6006,,,,,1.2841
2014/1/14,0,1.9465,0.4886,1.1018,0.6969,0.4188,3.5381,,0.4087,0.5567,1.087,3.4574,0,,,2.0202,,,,,-1.5207,,0.1543,0.4922,0.5628,0.7856,0.1434,2.3104,,0.5909,0.3423,0.5507,1.0121,,,,0.1951,,,,,0.3002,3508262033,1473368194,1376988633,4613846507,3487225239,9562205015,1428806016,,3401400985,2039384473,7648644491,860595665.9,1521708567,,,13465375404,,,,,2039384473,171.6139,22.1619,44.176,27.1667,312.2909,28.8736,44.2463,,102.1858,36.3407,27.4121,-172.5071,87.6611,,,19.8042,,,,,18.0415,3.17,1.5384,2.5883,3.9453,4.49,3.1021,5.5365,,2.0618,9.7877,1.938,53.1088,11.6481,,,2.8114,,,,,4.8591,1.5818,0.8846,3.7551,4.8576,5.1983,2.403,13.2356,,2.2313,2.5464,1.9743,12.502,3.7468,,,1.6329,,,,,1.2642
2014/1/15,0,-0.2387,-0.3241,0.7596,0.173,-1.7727,-0.7737,,0.1357,1.2582,0.8602,-0.5141,0,,,-0.7072,,,,,1.2353,,0.1806,0.5335,0.5663,0.9756,0.1812,1.7804,,0.4765,0.8162,0.5301,0.5393,,,,0.1549,,,,,0.1303,3508262033,1469851802,1372525137,4648892236,3493258501,9392697731,1417751424,,3406016183,2065043563,7714439282,856171009.5,1521708567,,,13370146440,,,,,2065043563,171.6139,22.109,44.0328,27.373,312.8312,28.3618,43.9039,,102.3244,36.7979,27.6479,-171.6202,87.6611,,,19.6641,,,,,18.2869,3.17,1.5348,2.5799,3.9753,4.4978,3.0471,5.4937,,2.0646,9.9108,1.9547,52.8358,11.6481,,,2.7915,,,,,4.9252,1.5818,0.8825,3.7429,4.8945,5.2073,2.3604,13.1331,,2.2343,2.5785,1.9913,12.4378,3.7468,,,1.6214,,,,,1.2814
