ÈÕÆÚ,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH
2014/1/2,-0.4,-0.6567,-1.6334,1.1647,0.2165,-2.3276,0.1105,0.2972,-0.728,2.571,0.7255,0,0.9692,0.0577,,-0.8951,0,-1.6833,4.2375,3.0062,-3.6328,3.3415,-0.7557,2.5938,0.104,0,1.5328,1.3342,3.1228,1.7129,2.0626,1.8152,0.4505,,,,,0,0.0772,5.7602,,,,,,,,,0.3283,0.9022,0.1684,0.7104,0.5477,0.5851,0.5238,0.2502,3.079,2.7935,0.3274,,1.55,2.2516,,0.6072,,1.6954,2.0106,3.4933,1.4207,3.6539,5.4172,4.4025,2.2993,,2.9258,2.5502,3.9309,11.676,5.5951,1.8901,0.8008,,,,,,0.87,4.9184,,,,,,,,,2275220087,2001019757,4859959335,978262272,2045302176,21212878718,3823320000,1658913372,887875950,1760864593,6094894400,5848373948,1717753152,2900737166,,6505981238,1591917813,20899691470,6730340387,2897483896,2868849038,3012768000,1786147705,1365498216,1607172000,1401152371,1471493431,1835825911,1648338150,501446400,3252678625,2114536094,1803615776,,,,,3198272000,6013394976,5464739336,,,,,,,,,-53.7656,1.7684,-130.6392,-35.6546,167.4024,37.5175,58.6746,31.2897,33.253,24.8747,42.9849,65.615,46.9766,37.6043,,63.0825,47.2558,42.7729,60.8787,61.259,329.1593,65.7199,-25.9139,41.6892,107.1362,119.6344,46.3029,63.3843,49.4504,92.8545,39.5709,66.7375,54.1847,,,,,-27.3285,63.7263,27.7389,,,,,,,,,3.6471,160.4029,24.8203,3.0062,12.1511,5.0073,3.5385,2.0792,2.438,1.889,3.0143,5.2956,5.34,3.4938,,4.8108,5.5264,7.4204,5.7784,3.8058,3.7986,2.1331,2.419,3.3167,6.7726,3.5772,3.8741,7.6366,3.9344,3.6748,3.6415,6.879,4.7508,,,,,78.9787,4.639,2.656,,,,,,,,,43.7306,48.8974,6.7335,15.477,11.0025,8.1863,1.6736,0.6143,0.9509,2.0217,1.9401,15.4403,10.6991,4.948,,11.4846,5.3944,11.4658,9.0909,11.0008,12.5941,5.3369,12.3027,5.3274,9.0444,12.4153,7.8306,8.9871,7.6917,6.2275,14.1074,14.0549,8.9965,,,,,4.0102,4.08,6.4781,,,,,,,,
2014/1/3,-1.2048,-0.0944,0.369,0.1645,-1.0799,-1.0591,-2.4283,-1.4815,0.0667,-1.847,-0.8403,0,-0.3927,-1.4697,,-0.9548,0,0.1985,2.5996,3.6894,1.7025,0,0.846,1.2641,-1.7313,0,1.087,1.0533,0.0681,-0.4065,-2.5784,0.9724,-0.8969,,,,,0,-2.8946,1.4286,,,,,,,,,0.2477,0.7028,0.2238,0.6133,0.5474,0.3785,0.5015,0.4585,3.3097,2.3795,0.2903,,1.8984,1.4183,,0.5911,,0.7042,1.3521,5.3302,1.3212,3.0963,4.6082,5.4039,1.9814,,3.961,4.1005,2.207,10.7162,6.7419,1.2249,0.7723,,,,,,1.6044,4.6133,,,,,,,,,2247807797,1999130220,4877892764,979871256,2023214679,20988205687,3730480000,1634336878,888467867.3,1728342028,6043676800,5848373948,1711008048,2858103853,,6443859610,1591917813,20941179691,6905299457,3004384459,2917690408,3012768000,1801258938,1382759593,1579347000,1401152371,1487487925,1855163116,1649459850,499408000,3168811650,2135098844,1787439850,,,,,3198272000,5839329123,5542807041,,,,,,,,,-53.1178,1.7667,-131.1212,-35.7132,165.5946,37.1201,57.2498,30.8262,33.2752,24.4153,42.6237,65.615,46.7921,37.0516,,62.4802,47.2558,42.8578,62.4612,63.5191,334.7632,65.7199,-26.1331,42.2162,105.2813,119.6344,46.8062,64.0519,49.4841,92.4771,38.5506,67.3865,53.6987,,,,,-27.3285,61.8817,28.1352,,,,,,,,,3.6032,160.2515,24.9119,3.0112,12.0199,4.9543,3.4526,2.0484,2.4396,1.8541,2.989,5.2956,5.319,3.4425,,4.7649,5.5264,7.4351,5.9286,3.9462,3.8633,2.1331,2.4394,3.3586,6.6554,3.5772,3.9162,7.717,3.9371,3.6599,3.5476,6.9458,4.7082,,,,,78.9787,4.5047,2.6939,,,,,,,,,43.2037,48.8512,6.7584,15.5025,10.8837,8.0996,1.6329,0.6052,0.9515,1.9844,1.9238,15.4403,10.6571,4.8752,,11.3749,5.3944,11.4885,9.3272,11.4067,12.8085,5.3369,12.4068,5.3948,8.8878,12.4153,7.9157,9.0818,7.6969,6.2022,13.7437,14.1916,8.9159,,,,,4.0102,3.9619,6.5707,,,,,,,,
2014/1/6,-3.252,-2.4575,-4.2279,-2.9557,1.2009,-1.6354,-1.0181,-2.2556,-5.1965,-4.9059,-3.0266,0,-5.8695,0.9067,,-1.5633,0,0.9163,-1.6173,-2.8678,-0.4384,-4.8107,-5.5369,-5.0825,-3.0655,0,0.0597,-2.1498,-4.7943,-4.723,-4.0773,0.7705,-1.3575,,,,,0,-5.0477,-2.6408,,,,,,,,,0.4767,0.7871,0.1752,0.7583,0.9734,0.5322,0.3121,0.1987,2.8222,3.9225,0.4653,,3.345,2.0672,,0.6928,,1.0472,1.7801,2.5559,0.8949,2.5614,4.0629,5.1222,1.7732,,6.9689,4.4164,2.8248,8.9823,4.482,3.0925,1.6448,,,,,,2.0961,2.7985,,,,,,,,,2174708357,1950002256,4671658327,950909544,2047510926,20644955222,3692500000,1597472136,842298317.9,1643551055,5860756800,5848373948,1610580944,2884018220,,6343121836,1591917813,21133062715,6793623455,2918225797,2904898620,2867832000,1701524802,1312481130,1530931500,1401152371,1488376508,1815280131,1570380000,475820800,3039611175,2151549044,1763175960,,,,,3198272000,5544577614,5396430094,,,,,,,,,-51.3904,1.7233,-125.5775,-34.6576,167.5832,36.5131,56.667,30.1308,31.546,23.2175,41.3336,65.615,44.0457,37.3875,,61.5035,47.2558,43.2505,61.4511,61.6976,333.2955,62.5583,-24.6862,40.0706,102.0539,119.6344,46.8341,62.6749,47.1117,88.1094,36.9788,67.9057,52.9698,,,,,-27.3285,58.7581,27.3922,,,,,,,,,3.486,156.3133,23.8587,2.9222,12.1642,4.8733,3.4175,2.0022,2.3128,1.7631,2.8985,5.2956,5.0068,3.4737,,4.6904,5.5264,7.5032,5.8327,3.833,3.8464,2.0305,2.3044,3.1879,6.4513,3.5772,3.9185,7.5511,3.7483,3.487,3.403,6.9994,4.6443,,,,,78.9787,4.2774,2.6228,,,,,,,,,41.7987,47.6507,6.4726,15.0443,11.0144,7.9671,1.6163,0.5916,0.9021,1.887,1.8656,15.4403,10.0316,4.9194,,11.1971,5.3944,11.5938,9.1764,11.0796,12.7524,5.0802,11.7199,5.1206,8.6154,12.4153,7.9204,8.8865,7.3279,5.9092,13.1833,14.3009,8.7948,,,,,4.0102,3.7619,6.3972,,,,,,,,
2014/1/7,2.9412,0.2907,-0.5758,0,0.7551,1.9649,-2.2857,-0.1538,-0.2108,0.5654,-0.3745,0,0.1861,-1.4783,,0.3176,0,4.5644,4.1096,1.0935,0.8807,6.7109,1.0657,-0.1409,0.2545,0,4.1194,-0.7989,1,2.5704,7.308,2.5804,6.422,,,,,0,-1.8418,3.0741,,,,,,,,,0.6994,0.5392,0.1665,0.6886,0.6236,0.6666,0.6739,0.1522,1.8633,1.9558,0.3225,,1.7173,1.6619,,0.3903,,1.3739,0.9947,2.5568,0.9328,4.7646,2.5243,3.8126,1.095,,7.938,3.1316,1.6111,5.7757,7.8335,2.1892,2.1633,,,,,,2.3056,2.7628,,,,,,,,,2238670367,1955670867,4644758184,950909544,2062972173,21050614862,3608100000,1595014487,840522566,1652843216,5838806400,5848373948,1613578768,2841384907,,6363269391,1591917813,22097663859,7072813460,2950136412,2930482195,3060288000,1719658281,1310631697,1534827000,1401152371,1549688735,1800777227,1586083800,488051200,3261745325,2207068468,1876407444,,,,,3198272000,5442458980,5562323967,,,,,,,,,-52.9019,1.7283,-124.8544,-34.6576,168.8486,37.2305,55.3717,30.0845,31.4795,23.3487,41.1788,65.615,44.1277,36.8348,,61.6988,47.2558,45.2246,63.9765,62.3722,336.2309,66.7565,-24.9493,40.0141,102.3136,119.6344,48.7634,62.1742,47.5828,90.3741,39.6812,69.658,56.3715,,,,,-27.3285,57.6759,28.2342,,,,,,,,,3.5885,156.7677,23.7213,2.9222,12.2561,4.969,3.3394,1.9991,2.308,1.7731,2.8877,5.2956,5.0161,3.4223,,4.7053,5.5264,7.8457,6.0724,3.8749,3.8802,2.1668,2.3289,3.1834,6.4678,3.5772,4.0799,7.4908,3.7858,3.5766,3.6517,7.18,4.9425,,,,,78.9787,4.1986,2.7034,,,,,,,,,43.0281,47.7892,6.4353,15.0443,11.0976,8.1237,1.5794,0.5907,0.9002,1.8977,1.8586,15.4403,10.0503,4.8467,,11.2327,5.3944,12.123,9.5535,11.2007,12.8647,5.4211,11.8448,5.1134,8.6373,12.4153,8.2467,8.8155,7.4012,6.0611,14.1467,14.67,9.3596,,,,,4.0102,3.6926,6.5938,,,,,,,,
2014/1/8,-1.6327,-1.0628,-1.7375,-2.5381,0.3212,0.5929,-2.2222,-1.6949,0.493,0.7027,1.2531,0,2.5546,0.7649,,5.2243,0,1.2673,3.0263,2.2715,1.1905,2.1739,0.6151,4.9389,2.6831,0,0.2867,4.5638,7.1782,4.0573,0.8339,4.2857,1.9397,,,,,0,2.2175,9.5614,,,,,,,,,0.4159,0.7383,0.4078,0.9061,0.5557,0.4317,0.6976,0.266,1.3161,2.0889,0.3482,,2.4474,1.4895,,1.7621,,1.4121,1.2665,5.1136,1.3933,5.8091,3.4431,6.6849,2.7048,,6.1145,8.5319,4.4343,12.8654,10.6926,4.5451,3.5177,,,,,,1.7305,6.0424,,,,,,,,,2202120647,1934885960,4564057752,926774784,2069598422,21175433213,3527920000,1567980343,844665987.1,1664458418,5911974400,5848373948,1654798848,2863119537,,6695704045,1591917813,22377709353,7286859131,3017148705,2965368888,3126816000,1730236144,1375361860,1576008000,1401152371,1554131650,1882960349,1699936350,507852800,3288945425,2301657116,1912803278,,,,,3198272000,5563144638,6094160206,,,,,,,,,-52.0382,1.7099,-122.6851,-33.778,169.391,37.4513,54.1412,29.5746,31.6347,23.5128,41.6948,65.615,45.2549,37.1166,,64.9221,47.2558,45.7977,65.9126,63.789,340.2336,68.2077,-25.1027,41.9903,105.0588,119.6344,48.9032,65.0117,50.9984,94.0408,40.0121,72.6433,57.4649,,,,,-27.3285,58.9548,30.9338,,,,,,,,,3.5299,155.1016,23.3091,2.848,12.2955,4.9985,3.2652,1.9652,2.3193,1.7856,2.9239,5.2956,5.1442,3.4485,,4.9511,5.5264,7.9451,6.2562,3.963,3.9264,2.2139,2.3432,3.3407,6.6413,3.5772,4.0916,7.8326,4.0575,3.7217,3.6821,7.4877,5.0384,,,,,78.9787,4.2917,2.9619,,,,,,,,,42.3256,47.2813,6.3235,14.6625,11.1332,8.1718,1.5443,0.5807,0.9046,1.911,1.8819,15.4403,10.307,4.8838,,11.8195,5.3944,12.2766,9.8426,11.4552,13.0178,5.539,11.9176,5.3659,8.869,12.4153,8.2703,9.2178,7.9325,6.3071,14.2647,15.2987,9.5412,,,,,4.0102,3.7745,7.2243,,,,,,,,
2014/1/9,-1.2448,0,0,-3.8194,-3.3084,-1.0315,-0.1196,-2.9781,-3.9944,-4.5359,0,0,0.0453,1.1387,,-0.5767,0,0.0232,-4.2401,-2.221,-0.0784,-2.5836,0.0873,0.0448,1.5184,0,-1.315,0.6418,-2.5074,-3.6697,-3.377,-4.7052,-2.907,,,,,0,1.5436,-0.8807,,,,,,,,,0.3093,0.5169,0.208,1.2614,0.9445,0.4329,0.5776,0.2447,2.3296,3.2221,0.5027,,2.9732,1.5967,,1.0964,,0.6796,2.6577,5.4665,0.7477,4.6956,3.5487,9.0503,3.5611,,4.5575,7.9148,2.4058,9.6263,5.8572,2.7039,2.5813,,,,,,1.9125,4.6957,,,,,,,,,2174708357,1934885960,4564057752,891377136,2001127183,20957001099,3523700000,1521285003,810926701,1588959606,5911974400,5848373948,1655548304,2895721482,,6657087899,1591917813,22382895381,6977888858,2950136412,2963043108,3046032000,2239445311,1375978338,1599937500,1401152371,1533694241,1895046102,1657311750,489216000,3177878350,2193359968,1857198531,,,,,3198272000,5649017125,6040488659,,,,,,,,,-51.3904,1.7099,-122.6851,-32.4879,163.7868,37.065,54.0765,28.6938,30.3711,22.4463,41.6948,65.615,45.2754,37.5392,,64.5477,47.2558,45.8084,63.1178,62.3722,339.9668,66.4455,-25.1246,42.0092,106.6539,119.6344,48.2601,65.429,49.7196,90.5898,38.6609,69.2253,55.7944,,,,,-27.3285,59.8648,30.6614,,,,,,,,,3.486,155.1016,23.3091,2.7392,11.8887,4.9469,3.2612,1.9067,2.2267,1.7046,2.9239,5.2956,5.1466,3.4878,,4.9226,5.5264,7.947,5.9909,3.8749,3.9233,2.1567,2.3453,3.3422,6.7421,3.5772,4.0378,7.8829,3.9558,3.5852,3.5578,7.1354,4.8919,,,,,78.9787,4.3579,2.9358,,,,,,,,,41.7987,47.2813,6.3235,14.1024,10.7649,8.0875,1.5424,0.5634,0.8685,1.8244,1.8819,15.4403,10.3117,4.9394,,11.7513,5.3944,12.2795,9.4252,11.2007,13.0076,5.3959,11.928,5.3683,9.0037,12.4153,8.1616,9.277,7.7336,6.0756,13.783,14.5788,9.2638,,,,,4.0102,3.8328,7.1606,,,,,,,,
2014/1/10,-2.9412,0.293,-0.9823,-3.4296,-4.5254,-1.7272,-2.515,-0.1616,-3.5036,-3.9474,-5.4455,0,-4.4817,-1.9053,,-0.8827,0,-3.8462,-3.9744,-6.7604,0.8634,-2.4961,-10.0349,-3.0914,-2.087,0,-3.708,-3.8265,-3.2487,-5.4167,0.2853,-2.2813,0.5988,,,,,0,0.7395,-3.6349,,,,,,,,,0.4114,0.7024,0.2113,1.6269,1.0887,0.4083,0.515,0.1565,1.503,2.4837,0.9049,,2.6166,1.1944,,0.6286,,0.7793,1.5919,3.8999,0.9687,2.8339,4.4753,5.2067,2.4829,,3.0105,4.4352,1.7893,8.0016,4.2443,2.5385,1.5768,,,,,,1.8046,3.0745,,,,,,,,,2110746346,1940554571,4519224179,860806440,1910568447,20595027882,3435080000,1518827354,782514670.6,1526237517,5590035200,5848373948,1581352160,2840548959,,6598324197,1591917813,21522014789,6700560120,2750695065,2988626683,2970000000,2014719124,1333441373,1566547500,1401152371,1476824929,1822531583,1603470150,462716800,3186945050,2166190194,1868319481,,,,,3198272000,5690792930,5820923239,,,,,,,,,-49.8789,1.715,-121.48,-31.3737,156.3748,36.4248,52.7165,28.6475,29.307,21.5603,39.4243,65.615,43.2463,36.824,,63.9779,47.2558,44.0465,60.6093,58.1556,342.9021,64.787,-22.6034,40.7105,104.4281,119.6344,46.4706,62.9253,48.1044,85.6828,38.7712,67.6461,56.1285,,,,,-27.3285,60.3076,29.5469,,,,,,,,,3.3835,155.556,23.0802,2.6453,11.3507,4.8615,3.1792,1.9036,2.1487,1.6373,2.7646,5.2956,4.9159,3.4213,,4.8791,5.5264,7.6413,5.7528,3.613,3.9572,2.1029,2.1099,3.2389,6.6014,3.5772,3.8881,7.5813,3.8273,3.391,3.5679,6.9726,4.9212,,,,,78.9787,4.3902,2.8291,,,,,,,,,40.5694,47.4198,6.2614,13.6188,10.2777,7.9478,1.5036,0.5625,0.8381,1.7523,1.7794,15.4403,9.8495,4.8453,,11.6476,5.3944,11.8072,9.0506,10.4435,13.1199,5.2612,10.7311,5.2024,8.8158,12.4153,7.8589,8.922,7.4823,5.7465,13.8223,14.2463,9.3193,,,,,4.0102,3.8611,6.9004,,,,,,,,
2014/1/13,-0.4329,2.0448,-0.1984,-0.1869,-0.6936,-0.8182,-0.7371,0.3236,0.9834,0.5327,-4.3194,0,-6.3507,-3.3843,,2.5954,0,-5.0602,2.7778,0.8701,10,-0.32,-9.6023,-4.0684,-1.2433,0,-1.3237,-2.1883,0.9444,-0.3147,0.2134,1.1513,3.3009,,,,,0,1.2643,1.425,,,,,,,,,0.2369,1.3591,0.1211,0.6452,0.7375,0.3602,0.3072,0.083,1.2338,1.4005,0.5465,,4.5613,1.6433,,1.4058,,2.007,1.2997,2.2379,2.9736,2.6666,8.4594,4.6496,2.0834,,2.1139,3.4139,1.5655,4.5377,5.223,2.7573,2.229,,,,,,1.6597,2.1014,,,,,,,,,2101608916,1980234849,4510257464,859197456,1897315949,20426523108,3409760000,1523742653,790209595.5,1534368158,5348580800,5848373948,1480925056,2744415019,,6769578413,1591917813,20432948980,6886686790,2774628026,3287489352,2960496000,1821259188,1279191331,1547070000,1401152371,1457276104,1782648597,1618613100,461260800,3193745075,2200617744,1929990200,,,,,3198272000,5762740148,5903870176,,,,,,,,,-49.663,1.75,-121.2389,-31.315,155.2901,36.1267,52.3279,28.7402,29.5952,21.6751,37.7215,65.615,40.4999,35.5778,,65.6384,47.2558,41.8176,62.2929,58.6616,377.1923,64.5796,-20.433,39.0542,103.1297,119.6344,45.8555,61.5483,48.5587,85.4132,38.8539,68.4249,57.9813,,,,,-27.3285,61.07,29.9679,,,,,,,,,3.3688,158.7368,23.0344,2.6403,11.2719,4.8217,3.1558,1.9098,2.1698,1.646,2.6452,5.2956,4.6037,3.3055,,5.0058,5.5264,7.2547,5.9126,3.6444,4.3529,2.0961,1.9073,3.1071,6.5193,3.5772,3.8366,7.4154,3.8634,3.3803,3.5756,7.0529,5.0837,,,,,78.9787,4.4457,2.8694,,,,,,,,,40.3937,48.3895,6.249,13.5933,10.2065,7.8828,1.4925,0.5643,0.8463,1.7617,1.7026,15.4403,9.224,4.6813,,11.9499,5.3944,11.2097,9.3021,10.5344,14.4319,5.2443,9.7006,4.9907,8.7062,12.4153,7.7549,8.7268,7.553,5.7284,13.8518,14.4103,9.6269,,,,,4.0102,3.9099,6.9987,,,,,,,,
2014/1/14,2.1739,0.5725,5.5666,2.4345,0.9313,0.0917,1.7327,2.4194,2.6966,1.8925,1.7784,0,2.3785,-1.6144,,0.1984,0,3.0457,1,3.9678,-0.9904,4.2536,1.824,2.8916,0.1439,0,4.878,2.5763,4.6431,5.4924,6.8133,1.1698,0.0524,,,,,0,-1.9331,7.9339,,,,,,,,,0.3553,0.9816,0.2089,0.6158,0.6026,0.6245,0.5902,0.3317,1.5098,1.5864,0.3358,,1.8549,2.6458,,0.8683,,1.1517,0.9351,2.7664,2.3011,3.1201,4.315,3.5435,1.0593,,2.953,2.384,2.059,6.4591,7.754,1.554,0.9045,,,,,,1.2324,3.2695,,,,,,,,,2147296066,1991572072,4761325474,880114248,1914985947,20445245861,3468840000,1560607394,811518618.3,1563406162,5443699200,5848373948,1516149488,2700109811,,6783010116,1591917813,21055272300,6955553658,2884719650,3254928438,3086424000,1854479581,1316179996,1549296000,1401152371,1528362743,1828574459,1693767000,486595200,3411345875,2226360032,1931001195,,,,,3198272000,5651338003,6372276404,,,,,,,,,-50.7426,1.76,-127.9878,-32.0774,156.7364,36.1599,53.2346,29.4355,30.3933,22.0853,38.3923,65.615,41.4632,35.0034,,65.7686,47.2558,43.0913,62.9158,60.9892,373.4564,67.3266,-20.8057,40.1835,103.2781,119.6344,48.0923,63.1339,50.8133,90.1045,41.5012,69.2253,58.0116,,,,,-27.3285,59.8894,32.3455,,,,,,,,,3.4421,159.6456,24.3166,2.7046,11.3769,4.8261,3.2105,1.956,2.2283,1.6772,2.6923,5.2956,4.7132,3.2522,,5.0157,5.5264,7.4756,5.9718,3.789,4.3098,2.1853,1.9421,3.1969,6.5287,3.5772,4.0238,7.6064,4.0428,3.566,3.8192,7.1354,5.0863,,,,,78.9787,4.3597,3.0971,,,,,,,,,41.2719,48.6665,6.5969,13.9242,10.3015,7.89,1.5184,0.5779,0.8691,1.795,1.7328,15.4403,9.4434,4.6057,,11.9736,5.3944,11.5511,9.3951,10.9524,14.289,5.4674,9.8776,5.135,8.7187,12.4153,8.1332,8.9516,7.9037,6.0431,14.7956,14.5788,9.6319,,,,,4.0102,3.8344,7.554,,,,,,,,
2014/1/15,-0.4255,1.8027,0,-0.1828,-0.346,-5.8608,-1.7032,-0.6299,1.167,0,0.5376,0,0.3955,1.6718,,-2.104,0,0.2463,-3.9336,2.2124,-1.2862,1.0778,-0.843,1.171,-1.2931,0,2.6744,0.0661,0.5629,2.6332,0.0664,2.875,-3.089,,,,,0,-6.078,-1.3783,,,,,,,,,0.1627,0.9898,,0.6428,0.4627,2.1317,0.8512,0.0734,1.6192,1.5326,0.309,,1.904,1.9013,,0.7478,,0.6576,1.462,3.44,1.2013,3.5389,3.4585,3.7366,1.52,,5.3095,2.6692,2.6068,7.9096,7.9535,1.8838,1.3073,,,,,,3.7176,2.9828,,,,,,,,,2138158636,2027473276,4761325474,878505264,1908359698,19246989693,3409760000,1550776797,820989295.1,1563406162,5472966400,5848373948,1522145136,2745250966,,6640298270,1591917813,21107132576,6681947453,2948540881,3213064407,3119688000,1838846455,1331591940,1529262000,1401152371,1569237560,1829783034,1703301450,499408000,3413612550,2290367883,1871352467,,,,,3198272000,5307848055,6284450236,,,,,,,,,-50.5267,1.7918,-127.9878,-32.0187,156.194,34.0406,52.3279,29.2501,30.748,22.0853,38.5987,65.615,41.6272,35.5886,,64.3849,47.2558,43.1974,60.4409,62.3385,368.6531,68.0522,-20.6303,40.654,101.9426,119.6344,49.3785,63.1757,51.0993,92.4771,41.5287,71.2156,56.2196,,,,,-27.3285,56.2493,31.8997,,,,,,,,,3.4274,162.5235,24.3166,2.6997,11.3375,4.5433,3.1558,1.9436,2.2543,1.6772,2.7067,5.2956,4.7319,3.3065,,4.9102,5.5264,7.494,5.7369,3.8728,4.2544,2.2089,1.9258,3.2344,6.4443,3.5772,4.1314,7.6114,4.0656,3.6599,3.8217,7.3405,4.9292,,,,,78.9787,4.0947,3.0544,,,,,,,,,41.0962,49.5438,6.5969,13.8988,10.2659,7.4276,1.4925,0.5743,0.8793,1.795,1.7422,15.4403,9.4808,4.6827,,11.7217,5.3944,11.5796,9.0255,11.1947,14.1052,5.5263,9.7943,5.1952,8.606,12.4153,8.3507,8.9575,7.9482,6.2022,14.8054,14.998,9.3344,,,,,4.0102,3.6013,7.4499,,,,,,,,
