ÈÕÆÚ,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH
2014/1/2,0,2.7225,1.5083,-0.2342,-0.8475,1.0914,-0.3681,0.0504,,0,1.7857,1.9139,0,0.2141,-0.5291,0.5298,-1.1002,0,0,-0.3241,,1.0435,0.3815,1.0097,0.6639,0.5046,1.2013,0.8157,,,1.5535,1.7782,,0.914,0.2287,0.5278,1.2582,0.2953,0.4799,0.3586,1279580719,2507198058,1929087200,4108391350,2356205362,2886055907,1167920062,3650628031,,1279580719,1029509640,1128538752,192100000,2548071008,2735016480,5496678000,5387792060,4293870525,16899396403,1562223000,112.3057,121.0884,39.0731,81.0053,-7.4032,25.8081,71.5068,66.4569,,62.7071,156.0591,114.7309,-4.0321,272.8221,398.0203,18.4976,38.4466,136.1664,48.0442,-17.2161,12.98,4.3012,1.4329,1.4304,59.1389,2.1086,2.089,2.7137,,7.2475,1.6586,2.7765,2.5291,3.3587,1.642,3.9617,2.0579,1.8169,2.4162,1.8015,6.7239,9.6305,0.4385,0.5597,2.8349,2.3146,3.3287,5.3228,,3.7544,1.3806,3.3312,3.441,2.0042,12.2786,4.2968,1.8049,0.9709,2.4929,1.2949
2014/1/3,0,-0.8155,-0.1486,0.939,-2.849,-1.7544,0.7389,0.0504,,0,0.5482,0.4695,0,-1.9231,0.1773,-2.5692,-2.3419,-0.9381,-0.8013,-1.626,,0.791,0.2309,1.8025,0.5476,0.5964,2.0585,1.3584,,,2.0548,2.0004,,1.4516,0.3448,1.1969,1.2888,0.3307,1.7362,0.4458,1279580719,2486751999,1926220800,4146967795,2289077004,2835423347,1176550014,3652468066,,1279580719,1035153882,1133837056,192100000,2499069642,2739865800,5355459000,5261614260,4253590313,16763984573,1536821000,112.3057,120.1009,39.015,81.7659,-7.1923,25.3554,72.0351,66.4904,,62.7566,156.9147,115.2696,-4.0321,267.5755,398.726,18.0224,37.5463,134.889,47.6592,-16.9361,12.98,4.2661,1.4308,1.4438,57.454,2.0716,2.1044,2.7151,,7.2532,1.6677,2.7895,2.5291,3.2941,1.6449,3.8599,2.0097,1.7999,2.3969,1.7722,6.7239,9.5519,0.4379,0.565,2.7542,2.274,3.3533,5.3255,,3.7573,1.3882,3.3469,3.441,1.9656,12.3004,4.1864,1.7626,0.9618,2.4729,1.2739
2014/1/6,0,-2.3638,-3.4226,-3.2558,-3.2258,-3.7088,3.6675,-4.9874,,0,-2.9444,-4.6729,0,-4.1394,-4.0708,-3.7863,-0.8993,-2.8409,-4.3619,-2.4793,,0.6559,0.356,1.0615,0.4769,0.9744,9.3825,1.5519,,,1.5948,1.8458,,1.3985,0.3109,1.004,0.9626,0.4732,0.8107,0.4299,1279580719,2427969578,1860293600,4011950238,2215235811,2730263415,1219699770,3470304671,,1279580719,1004674978,1080854016,192100000,2395622315,2628331440,5152683000,5214297585,4132749679,16032760690,1498718000,112.3057,117.262,37.6797,79.1038,-6.9603,24.415,74.677,63.1743,,62.7741,152.2945,109.8832,-4.0321,256.4994,382.4947,17.34,37.2086,131.0569,45.5804,-16.5162,12.98,4.1653,1.3818,1.3968,55.6006,1.9948,2.1816,2.5797,,7.2552,1.6186,2.6591,2.5291,3.1578,1.5779,3.7138,1.9916,1.7487,2.2923,1.7283,6.7239,9.3261,0.4229,0.5466,2.6653,2.1897,3.4762,5.0599,,3.7584,1.3473,3.1905,3.441,1.8843,11.7997,4.0279,1.7468,0.9344,2.365,1.2423
2014/1/7,0,-0.4211,-1.2327,-1.9231,0.6061,0.428,-0.8255,0.2121,,0,1.4607,1.7157,0,1.1364,-0.369,5.903,0.9679,-0.1949,-1.0135,0.339,,0.3508,0.2678,1.3188,0.2372,0.6677,3.3563,0.6463,,,1.5486,1.3546,,0.8035,0.2225,1.6731,0.7688,0.2396,0.2971,0.3176,1279580719,2417746548,1837362400,3934797349,2228661482,2741947852,1209631493,3477664808,,1279580719,1019350006,1099398080,192100000,2422845296,2618632800,5456847000,5264768705,4124693637,15870266494,1503798400,112.3057,116.7682,37.2152,77.5826,-7.0025,24.5195,74.0606,63.3083,,62.7542,154.5191,111.7684,-4.0321,259.4142,381.0832,18.3636,37.5688,130.8015,45.1184,-16.5722,12.98,4.1477,1.3648,1.3699,55.9376,2.0033,2.1636,2.5852,,7.2529,1.6423,2.7048,2.5291,3.1936,1.5721,3.933,2.0109,1.7453,2.2691,1.7341,6.7239,9.2869,0.4177,0.5361,2.6815,2.1991,3.4475,5.0706,,3.7572,1.367,3.2452,3.441,1.9057,11.7561,4.2656,1.7637,0.9326,2.341,1.2465
2014/1/8,0,-2.0085,-1.092,-0.4902,-2.7108,0.7102,-0.5351,2.1164,,0,0.5537,2.4096,0,0.6742,-0.1852,-0.7299,-1.438,-2.1484,-3.5836,0.5068,,0.6953,0.6344,0.7147,0.4203,0.8927,2.3709,0.865,,,2.5681,2.7384,,0.7818,0.1886,1.0672,1.0996,0.3757,0.6368,0.3403,1279580719,2369187156,1817297600,3915509127,2168245960,2761421914,1203159030,3551266180,,1279580719,1024994247,1125889600,192100000,2439179084,2613783480,5417016000,5189062025,4036077172,15301536807,1511419000,112.3057,114.423,36.8088,77.2023,-6.8127,24.6936,73.6643,64.6481,,62.7956,155.3747,114.4616,-4.0321,261.163,380.3775,18.2295,37.0285,127.9913,43.5016,-16.6562,12.98,4.0644,1.3499,1.3632,54.4212,2.0176,2.152,2.6399,,7.2577,1.6514,2.7699,2.5291,3.2152,1.5692,3.9043,1.982,1.7078,2.1878,1.7429,6.7239,9.1003,0.4131,0.5335,2.6088,2.2147,3.4291,5.1779,,3.7597,1.3745,3.3234,3.441,1.9185,11.7344,4.2345,1.7383,0.9126,2.2571,1.2528
2014/1/9,0,-3.2362,-1.8927,-1.2315,-0.9288,-3.385,2.2714,-2.2798,,0,-2.2026,-3.0588,0,-2.4554,0.3711,-0.5348,-2.2492,1.7964,-1.2389,-2.8571,,1.1554,0.4218,0.7299,0.5683,0.547,5.0556,0.6852,,,1.7854,2.0694,,1.0159,0.3203,0.7393,0.8431,0.4376,0.5929,0.3783,1279580719,2292514433,1782900800,3867288571,2148107453,2667946419,1230487209,3470304671,,1279580719,1002417282,1091450624,192100000,2379288526,2623482120,5388048000,5072347560,4108581553,15111960245,1468235600,112.3057,110.72,36.1121,76.2515,-6.7494,23.8577,75.3375,63.1743,,62.8251,151.9523,110.9604,-4.0321,254.7505,381.7889,18.132,36.1957,130.2905,42.9626,-16.1803,12.98,3.9329,1.3243,1.3464,53.9158,1.9493,2.2009,2.5797,,7.2611,1.615,2.6852,2.5291,3.1362,1.575,3.8834,1.9374,1.7385,2.1607,1.6931,6.7239,8.8058,0.4053,0.5269,2.5846,2.1397,3.507,5.0599,,3.7614,1.3443,3.2217,3.441,1.8714,11.7779,4.2119,1.6992,0.929,2.2292,1.217
2014/1/10,0,-1.5608,-3.0547,-1.995,-2.8125,-1.6058,-0.0584,-3.5525,,0,-4.1667,-4.8544,0,-3.2037,-1.8484,-2.957,-4.1045,0,-0.1792,-2.9412,,0.5679,0.4011,0.7652,0.3354,0.4787,3.7695,0.7731,,,1.6711,3.6321,,1.0835,0.4052,0.7069,1.35,0.2609,0.5023,0.6344,1279580719,2256733828,1728439200,3790135682,2087691931,2625103483,1229768046,3347022374,,1279580719,960649894.8,1038467584,192100000,2303064180,2574988920,5228724000,4864154190,4108581553,15084877879,1425052200,112.3057,108.9919,35.009,74.7303,-6.5596,23.4746,75.2934,60.93,,62.7215,145.621,105.574,-4.0321,246.5892,374.7318,17.5959,34.71,130.2905,42.8856,-15.7044,12.98,3.8715,1.2839,1.3196,52.3994,1.918,2.1996,2.488,,7.2492,1.5477,2.5549,2.5291,3.0358,1.5459,3.7686,1.8579,1.7385,2.1568,1.6433,6.7239,8.6684,0.3929,0.5164,2.5119,2.1053,3.5049,4.8801,,3.7552,1.2882,3.0653,3.441,1.8115,11.5602,4.0873,1.6295,0.929,2.2252,1.1812
2014/1/13,0,1.812,0,-1.2723,0.6431,0,-7.193,-3.3535,,0,-0.9401,0.2551,0,0,-1.6949,0.3463,0.3243,1.1765,-2.3339,-1.0695,,0.5311,0.2524,0.668,0.2835,0.291,5.2192,1.1027,,,1.0148,1.5052,,0.6232,0.3432,0.4925,0.7116,0.3668,0.3223,0.2638,1279580719,2297625948,1728439200,3741915126,2101117602,2625103483,1141311046,3234780282,,1279580719,951619108.5,1041116736,192100000,2303064180,2531345040,5246829000,4879926415,4156917806,14732807120,1409811000,112.3057,110.9668,35.009,73.7795,-6.6017,23.4746,69.8776,58.8867,,62.6617,144.252,105.8433,-4.0321,246.5892,368.3805,17.6568,34.8226,131.8233,41.8847,-15.5364,12.98,3.9417,1.2839,1.3028,52.7364,1.918,2.0414,2.4046,,7.2423,1.5332,2.5614,2.5291,3.0358,1.5197,3.7816,1.8639,1.759,2.1065,1.6257,6.7239,8.8255,0.3929,0.5098,2.528,2.1053,3.2528,4.7165,,3.7516,1.2761,3.0732,3.441,1.8115,11.3643,4.1015,1.6348,0.9399,2.1733,1.1686
2014/1/14,0,3.0033,1.99,2.0619,2.8754,1.632,-0.3781,1.2514,,0,2.6097,2.799,0,1.8913,0.7663,1.6563,1.0989,0.3876,2.2059,1.4414,,0.5836,0.3145,0.4568,0.2948,0.3533,2.9965,1.2255,,,1.0414,1.5283,,0.7316,0.2173,0.5496,0.7858,0.189,0.2041,0.3095,1279580719,2366631399,1762836000,3819068015,2161533124,2667946419,1136996071,3275261036,,1279580719,976453770.9,1070257408,192100000,2346620949,2550742320,5333733000,4933551980,4173029891,15057795513,1430132600,112.3057,114.2996,35.7057,75.3007,-6.7916,23.8577,69.6134,59.6237,,62.641,148.0166,108.8059,-4.0321,251.2528,371.2033,17.9492,35.2052,132.3343,42.8086,-15.7604,12.98,4.06,1.3094,1.3296,54.2527,1.9493,2.0336,2.4347,,7.2399,1.5732,2.6331,2.5291,3.0932,1.5313,3.8443,1.8844,1.7658,2.1529,1.6492,6.7239,9.0905,0.4007,0.5203,2.6007,2.1397,3.2405,4.7755,,3.7504,1.3094,3.1592,3.441,1.8457,11.4514,4.1694,1.6527,0.9435,2.2212,1.1855
2014/1/15,0,-1.5119,-0.3252,1.0101,-1.2422,-0.5839,1.8343,-0.618,,0,1.5029,1.9802,0,1.3921,-0.1901,0.8147,0.5115,0,-1.7986,-1.2433,,0.5652,0.167,0.4636,0.2747,0.3667,1.6727,0.8157,,,1.2822,2.1867,,0.9991,0.135,0.5884,0.8446,0.2251,0.333,0.7492,1279580719,2330850794,1757103200,3857644460,2134681781,2652367169,1157851786,3255020659,,1279580719,991128798.6,1091450624,192100000,2379288526,2545893000,5377185000,4958787540,4173029891,14786971852,1412351200,112.3057,112.5715,35.5896,76.0613,-6.7072,23.7184,70.8903,59.2552,,62.7191,150.2411,110.9604,-4.0321,254.7505,370.4976,18.0955,35.3853,132.3343,42.0387,-15.5644,12.98,3.9987,1.3052,1.3431,53.5788,1.9379,2.0709,2.4196,,7.2489,1.5968,2.6852,2.5291,3.1362,1.5284,3.8756,1.894,1.7658,2.1142,1.6287,6.7239,8.9531,0.3994,0.5256,2.5684,2.1272,3.3,4.746,,3.7551,1.3291,3.2217,3.441,1.8714,11.4296,4.2034,1.6612,0.9435,2.1812,1.1707
