ÈÕÆÚ,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH
2014/1/2,3.6674,,2.6751,1.3986,0.1552,,,,6.9324,,1.7067,1.5896,0.3239,,,,1516557186,,2531372288,6220500000,7247833343,,,,34.3866,,33.3117,29.0776,28.8893,,,,3.453,,3.1414,2.653,5.6545,,,,4.1962,,6.7055,1.8835,10.7954,,,
2014/1/3,-0.9457,,-0.1533,-3.5737,-1.1236,,,,6.1544,,1.5777,1.7616,0.5882,,,,1502214963,,2527492791,5998200000,7166397014,,,,34.0614,,33.2606,28.0385,28.5647,,,,3.4203,,3.1366,2.5582,5.5909,,,,4.1565,,6.6952,1.8161,10.6741,,,
2014/1/6,-7.8501,,1.1512,-5.0715,0,,,,8.2371,,2.257,1.5244,0.5409,,,,1384290026,,2556589024,5694000000,7166397014,,,,31.3876,,33.6435,26.6165,28.5647,,,,3.1518,,3.1727,2.4284,5.5909,,,,3.8302,,6.7723,1.724,10.6741,,,
2014/1/7,0.1535,,6.0319,2.0548,0.1176,,,,3.6897,,4.1626,1.2628,0.5141,,,,1386414800,,2710799060,5811000000,7174821462,,,,31.4357,,35.6728,27.1634,28.5983,,,,3.1567,,3.3641,2.4783,5.5975,,,,3.8361,,7.1808,1.7595,10.6866,,,
2014/1/8,0.9962,,-0.5367,-0.9396,-0.0391,,,,4.3954,,2.3381,0.8077,0.5255,,,,1400225829,,2696250943,5756400000,7172013312,,,,31.7489,,35.4814,26.9082,28.5871,,,,3.1881,,3.346,2.455,5.5953,,,,3.8743,,7.1422,1.7429,10.6824,,,
2014/1/9,-3.9833,,-4.1007,0.6775,-1.2921,,,,5.1674,,1.4883,0.9722,0.391,,,,1344450521,,2585685257,5795400000,7079344385,,,,30.4842,,34.0264,27.0905,28.2177,,,,3.0611,,3.2088,2.4717,5.523,,,,3.72,,6.8494,1.7547,10.5444,,,
2014/1/10,-3.8325,,-2.8882,-3.4993,-1.1503,,,,4.8628,,1.2169,0.9545,0.5709,,,,1292924760,,2511004925,5592600000,6997908056,,,,29.3159,,33.0436,26.1425,27.8931,,,,2.9438,,3.1161,2.3852,5.4595,,,,3.5774,,6.6515,1.6933,10.4231,,,
2014/1/13,1.3558,,-1.8154,-2.6499,0.4414,,,,2.6634,,1.3769,0.9784,0.5208,,,,1310454142,,2465420826,5444400000,7028797698,,,,29.7134,,32.4438,25.4498,28.0162,,,,2.9837,,3.0596,2.322,5.4836,,,,3.6259,,6.5308,1.6485,10.4691,,,
2014/1/14,2.9591,,2.9504,3.0086,0.5194,,,,3.3735,,0.9314,0.5595,0.472,,,,1349231261,,2538161409,5608200000,7065303639,,,,30.5926,,33.401,26.2154,28.1617,,,,3.072,,3.1498,2.3918,5.5121,,,,3.7332,,6.7235,1.6981,10.5235,,,
2014/1/15,-0.0787,,2.6748,0.6954,0.0397,,,,3.0719,,1.3225,0.6155,0.3517,,,,1348168875,,2606052620,5647200000,7068111788,,,,30.5686,,34.2944,26.3977,28.1729,,,,3.0696,,3.2341,2.4085,5.5142,,,,3.7303,,6.9033,1.7099,10.5277,,,
2014/1/16,0.591,,-3.0145,-0.7597,2.94,,,,3.2954,,0.8905,0.5082,0.9365,,,,1356136776,,2527492791,5604300000,7275914836,,,,30.7492,,33.2606,26.1972,29.0012,,,,3.0877,,3.1366,2.3902,5.6764,,,,3.7523,,6.6952,1.6969,10.8372,,,
2014/1/17,-2.4677,,-4.4513,-1.9485,-1.0421,,,,2.9965,,1.5743,0.9321,0.7537,,,,1322671591,,2414987356,5495100000,7200094805,,,,29.9904,,31.7801,25.6867,28.699,,,,3.0115,,2.997,2.3436,5.6172,,,,3.6597,,6.3972,1.6638,10.7243,,,
2014/1/20,1.5663,,-2.4096,1.9163,-1.8721,,,,2.7914,,6.0163,0.7308,0.5494,,,,1343388134,,2356794889,5600400000,7065303639,,,,30.4602,,31.0143,26.179,28.1617,,,,3.0587,,2.9248,2.3885,5.5121,,,,3.717,,6.243,1.6957,10.5235,,,
2014/1/21,1.1862,,1.0288,0.5571,0.0397,,,,2.9412,,2.4341,0.8048,0.3623,,,,1359323936,,2381041750,5631600000,7068111788,,,,30.8215,,31.3334,26.3248,28.1729,,,,3.095,,2.9549,2.4018,5.5142,,,,3.7611,,6.3073,1.7051,10.5277,,,
2014/1/22,2.1102,,0.9776,2.0776,1.8673,,,,3.6393,,2.1552,1.2624,0.4254,,,,1388008380,,2404318737,5748600000,7200094805,,,,31.4719,,31.6397,26.8717,28.699,,,,3.1603,,2.9837,2.4517,5.6172,,,,3.8405,,6.3689,1.7406,10.7243,,,
2014/1/23,0.9568,,1.1295,-1.0855,0.039,,,,3.7459,,2.5082,1.2794,0.6032,,,,1401288216,,2431475221,5686200000,7202902955,,,,31.773,,31.9971,26.58,28.7102,,,,3.1905,,3.0174,2.4251,5.6194,,,,3.8772,,6.4409,1.7217,10.7285,,,
2014/1/24,2.2365,,-0.2792,0.4801,4.8733,,,,6.278,,3.1183,1.7253,1.1785,,,,1432628627,,2424686100,5713500000,7553921617,,,,32.4836,,31.9077,26.7077,30.1093,,,,3.2619,,3.009,2.4367,5.8933,,,,3.964,,6.4229,1.7299,11.2513,,,
2014/1/27,-0.6303,,-1.92,-6.0068,0.0743,,,,4.0695,,2.8768,2.4674,0.8612,,,,1423598339,,2378132127,5370300000,7559537916,,,,32.2788,,31.2951,25.1034,30.1317,,,,3.2413,,2.9512,2.2904,5.8976,,,,3.939,,6.2996,1.626,11.2597,,,
2014/1/28,0.4478,,-1.8352,1.0167,-0.7058,,,,3.0674,,2.4266,1.1866,0.4505,,,,1429972660,,2334487777,5424900000,7506183079,,,,32.4234,,30.7208,25.3586,29.9191,,,,3.2558,,2.8971,2.3137,5.856,,,,3.9566,,6.184,1.6426,11.1802,,,
2014/1/29,1.4487,,1.7865,0.1438,0.5238,,,,3.3637,,1.8777,1.0911,0.3626,,,,1450689203,,2376192378,5432700000,7545497169,,,,32.8931,,31.2696,25.3951,30.0758,,,,3.303,,2.9488,2.317,5.8867,,,,4.0139,,6.2944,1.6449,11.2387,,,
2014/1/30,-2.7096,,0.7347,-0.7179,5.6197,,,,2.5632,,1.5781,0.84,2.1227,,,,1411380890,,2393650118,5393700000,7969527713,,,,32.0018,,31.4993,25.2128,31.7659,,,,3.2135,,2.9705,2.3003,6.2175,,,,3.9052,,6.3407,1.6331,11.8703,,,
