ÈÕÆÚ,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH
2014/1/2,0.304,2.2618,2.0902,0.9919,-0.4228,10,-1.3396,1.6043,0,0.7168,0.3703,0.6447,1.4648,5.9166,0.057,4.0183,1.0756,1.6359,,0.7294,2108390849,10180718979,2206863808,891711744,,2974872082,1445432610,3245580000,2630688520,4046494427,38.8239,109.4439,39.6961,34.6574,22.805,52.7812,24.6011,21.0446,-67.3464,35.7148,2.5193,4.3953,1.6609,2.1617,1.8226,1.929,2.9765,4.2235,12.2722,1.4068,7.1198,4.0482,3.6765,1.4606,1.7785,1.3467,3.1102,5.2015,224.0605,4.2353
2014/1/3,-1.9697,-3.9544,2.9095,-1.875,-1.6985,6.8477,-2.476,-2.2368,-6.9632,-1.2456,0.4217,0.8226,3.851,6.4991,0.1993,4.2412,1.3735,1.8167,6.0643,0.8764,2066861939,9778130226,2271072130,874992148.8,,3178582331,1409643145,3172981500,2447507115,3996093251,38.0592,105.116,40.851,34.0075,22.4353,56.3955,23.992,20.5739,-62.6569,35.27,2.4697,4.2215,1.7093,2.1212,1.793,2.0611,2.9028,4.129,11.4177,1.3893,6.9796,3.8881,3.7835,1.4332,1.7497,1.439,3.0332,5.0851,208.4586,4.1825
2014/1/6,-3.5549,-5.0244,-3.1414,-6.4149,-2.1598,-3.3149,-4.0131,-4.9798,-7.9002,-4.3243,0.4747,0.722,2.8132,7.9168,0.2242,2.1162,1.3233,1.94,2.9049,0.8442,1993387712,9286835477,2199729550,818862079.2,,3073214961,1353072699,3014973000,2254148964,3823289219,36.7063,99.8346,39.5678,31.826,21.9569,54.526,23.0292,19.5493,-57.7069,33.7448,2.3819,4.0094,1.6556,1.9851,1.7548,1.9928,2.7863,3.9234,10.5157,1.3292,6.7315,3.6928,3.6646,1.3412,1.7124,1.3913,2.9114,4.8319,191.99,4.0017
2014/1/7,2.0833,-1.0287,-0.6486,0.9723,0.2208,-1.0286,2.1331,0.5666,-0.4515,2.0716,0.4822,0.2988,1.3346,3.6155,0.2299,1.1757,1.1261,1.1843,1.7545,0.9997,2034916623,9191305942,2185461034,826823791.2,,3041604750,1381935171,3032055000,2243972220,3902491067,37.471,98.8076,39.3111,32.1354,21.9984,53.9652,23.5204,19.6601,-57.4463,34.4438,2.4315,3.9682,1.6448,2.0044,1.7581,1.9723,2.8458,3.9456,10.4682,1.3567,6.8717,3.6548,3.6409,1.3543,1.7156,1.3769,2.9735,4.8593,191.1232,4.0846
2014/1/8,-0.471,-1.4848,-0.4353,1.1074,-0.8811,-0.2309,-1.3367,-2.8169,-2.9478,0.369,0.2543,0.464,1.9002,5.0185,0.2187,1.9679,0.9034,1.92,1.9266,0.7703,2025333028,9054835178,2175948690,835979760,,3034580259,1363463189,2946645000,2177823379,3916891403,37.2945,97.3405,39.14,32.4913,21.819,53.8406,23.206,19.1063,-55.7529,34.5709,2.4201,3.9092,1.6377,2.0266,1.7438,1.9677,2.8077,3.8345,10.1596,1.3617,6.8394,3.6005,3.625,1.3693,1.7016,1.3738,2.9338,4.7224,185.4892,4.0996
2014/1/9,-3.3123,-3.0897,-5.5738,-3.9048,-0.2222,4.3981,-1.7782,-2.3188,-4.2056,-0.7353,0.4773,0.6618,2.6203,4.758,0.123,2.9421,0.9319,1.7021,2.599,0.5551,1958247865,8775070112,2054666304,803336740.8,,3168045594,1339218712,2878317000,2086232676,3888090731,36.0592,94.333,36.9584,31.2226,21.7807,56.2085,22.7934,18.6632,-53.4082,34.3167,2.3399,3.7885,1.5464,1.9475,1.7407,2.0543,2.7578,3.7455,9.7323,1.3517,6.6128,3.4893,3.423,1.3158,1.6986,1.4342,2.8816,4.6129,177.6882,4.0695
2014/1/10,-3.4258,-3.577,-3.7037,-1.2884,0.2227,-5.0998,0.0862,-2.9674,-4.878,-2.963,0.6441,0.7562,2.5173,3.6956,0.1332,1.575,0.7964,1.9948,2.5895,1.5324,1891162701,8461187356,1978567552,792986515.2,,3006482294,1340373211,2792907000,1984465228,3772888042,34.8239,90.9587,35.5896,30.8203,21.7932,53.342,22.813,18.1094,-50.8029,33.2999,2.2597,3.6529,1.4891,1.9224,1.7417,1.9495,2.7602,3.6344,9.2576,1.3117,6.3863,3.3645,3.2962,1.2988,1.6996,1.361,2.8841,4.476,169.0205,3.9489
2014/1/13,-0.5068,0.2419,-0.8413,2.3594,-0.4444,-4.2056,-0.9475,1.5291,1.0256,-2.2901,0.2408,0.4509,1.1518,3.9337,0.038,1.4155,0.6653,1.3489,1.851,0.7416,1881579107,8481657970,1961920950,811696538.4,,2880041449,1327673724,2835612000,2004818718,3686486026,34.6474,91.1788,35.2902,31.5475,21.6757,51.0987,22.5969,18.3863,-51.3239,32.5374,2.2483,3.6618,1.4766,1.9678,1.7323,1.8675,2.734,3.69,9.3525,1.2816,6.3539,3.3726,3.2684,1.3295,1.6904,1.3038,2.8568,4.5445,170.754,3.8585
2014/1/14,1.6978,2.0113,1.697,2.1579,0.6696,3.6585,1.913,3.1627,1.0152,2.7344,0.2825,0.36,0.8223,4.2851,0.1083,1.16,0.8089,1.8823,1.2724,0.9549,1913524422,8652246425,1995214154,829212304.8,,2985408820,1353072699,2925292500,2025172207,3787288379,35.2357,93.0127,35.889,32.2282,21.8136,52.9681,23.0292,18.9678,-51.845,33.427,2.2865,3.7354,1.5016,2.0102,1.7433,1.9359,2.7863,3.8067,9.4475,1.3167,6.4618,3.4404,3.3239,1.3582,1.7012,1.3515,2.9114,4.6882,172.4876,3.964
2014/1/15,0.5008,1.0252,-0.2384,-0.096,0,0.5882,2.3891,0,-1.5075,-0.7605,0.4489,0.325,0.9886,3.7099,0.1004,1.1915,1.6999,1.6616,1.1269,0.5985,1923108017,8740952421,1990457982,828416133.6,,3002970048,1385398668,2925292500,1994641973,3758487706,35.4121,93.9663,35.8035,32.1973,21.8408,53.2797,23.5794,18.9678,-51.0634,33.1728,2.2979,3.7737,1.4981,2.0083,1.7455,1.9473,2.8529,3.8067,9.305,1.3067,6.4941,3.4757,3.316,1.3569,1.7033,1.3595,2.981,4.6882,169.8873,3.9338
