ÈÕÆÚ,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH
2014/1/2,0,4.2411,-0.4154,0.4754,3.7805,,,0,1.7448,,,0.1639,,4.9772,0.2518,0.7342,1.9136,,,,4.0141,,,0.6386,5746938039,1966773526,8605432226,1847365050,1189950109,,,2109122301,657844305,,,1431940370,233.023,-11.4952,-39.7522,-21.1948,-8.2762,,,79.2571,176.4162,,,105.0456,3.3981,2.498,2.8145,1.8621,3.5622,,,3.5151,4.2518,,,2.5886,3.3191,2.8316,1.8554,1.537,4.7519,,,4.7711,20.5232,,,1.2671
2014/1/3,0,2.8908,0.5214,-2.5237,0.235,,,0,-0.8574,,,-1.3093,,6.0149,0.2464,1.0854,1.1014,,,,3.1848,,,0.5026,5746938039,2023628864,8650298921,1800743850,1192746701,,,2109122301,652203625,,,1413191560,233.023,-11.8275,-39.9595,-20.6599,-8.2956,,,79.2571,174.9035,,,103.6702,3.3981,2.5702,2.8291,1.8151,3.5706,,,3.5151,4.2153,,,2.5547,3.3191,2.9134,1.865,1.4982,4.7631,,,4.7711,20.3473,,,1.2505
2014/1/6,-5.513,-4.0583,-5.1867,-4.3689,-1.8757,,,0,-1.6216,,,-4.9751,1.4833,2.7334,0.2617,1.1348,0.5016,,,,4.7755,,,0.9122,5430108377,1941504487,8201631965,1722070575,1170373961,,,2109122301,641627350,,,1342883522,220.1764,-11.3475,-37.8869,-19.7573,-8.14,,,79.2571,172.0672,,,98.5125,3.2108,2.4659,2.6824,1.7358,3.5036,,,3.5151,4.1469,,,2.4276,3.1361,2.7952,1.7683,1.4328,4.6737,,,4.7711,20.0173,,,1.1883
2014/1/7,0.9724,-5.9653,1.3129,1.5228,-0.7168,,,0,2.9121,,,0.6981,0.9635,3.3455,0.1766,1.1551,0.45,,,,4.107,,,0.609,5482913321,1825688059,8309312034,1748295000,1161984184,,,2109122301,660312102.5,,,1352257927,222.3175,-10.6706,-38.3843,-20.0582,-8.0817,,,79.2571,177.0779,,,99.2002,3.242,2.3188,2.7176,1.7623,3.4785,,,3.5151,4.2677,,,2.4446,3.1666,2.6284,1.7915,1.4546,4.6402,,,4.7711,20.6002,,,1.1966
2014/1/8,-2.2472,-0.9227,-0.108,0.5,-0.722,,,0,2.4026,,,-0.6932,1.3084,1.4971,0.177,0.7915,0.4122,,,,4.6114,,,0.7034,5359701786,1808842033,8300338695,1757036475,1153594406,,,2109122301,676176515,,,1342883522,217.3216,-10.5721,-38.3429,-20.1585,-8.0233,,,79.2571,181.3324,,,98.5125,3.1692,2.2974,2.7147,1.7711,3.4534,,,3.5151,4.3702,,,2.4276,3.0955,2.6042,1.7896,1.4619,4.6067,,,4.7711,21.0952,,,1.1883
2014/1/9,0.6568,-1.8626,0.6486,0.3317,-2.303,,,0,-6.1522,,,0.1745,1.1795,1.4032,0.16,0.9205,0.5178,,,,3.6415,,,0.7188,5394905081,1775149981,8354178730,1762864125,1127026778,,,2109122301,634576500,,,1345227123,218.749,-10.3752,-38.5916,-20.2253,-7.8385,,,79.2571,170.1764,,,98.6844,3.19,2.2546,2.7323,1.7769,3.3738,,,3.5151,4.1014,,,2.4319,3.1158,2.5557,1.8012,1.4667,4.5006,,,4.7711,19.7973,,,1.1904
2014/1/10,-3.752,-2.9656,-0.8593,-3.1405,-0.7444,,,0,-4.0556,,,0,1.3828,2.3641,0.3698,0.728,0.6651,,,,3.287,,,1.5747,5192486131,1722506150,8282392017,1707501450,1118637000,,,2109122301,608840897.5,,,1345227123,210.5414,-10.0675,-38.26,-19.5902,-7.7802,,,79.2571,163.2748,,,98.6844,3.0703,2.1878,2.7088,1.7211,3.3487,,,3.5151,3.935,,,2.4319,2.9989,2.4799,1.7857,1.4207,4.4671,,,4.7711,18.9944,,,1.1904
2014/1/13,0,-5.6235,1.5168,-0.5119,-2.75,,,0,0.6369,,,1.2195,1.0662,3.2954,0.2056,0.5358,0.5772,,,,1.7965,,,0.725,5192486131,1625641501,8408018765,1698759975,1087874483,,,2109122301,612718865,,,1361632332,210.5414,-9.5014,-38.8403,-19.4899,-7.5662,,,79.2571,164.3147,,,99.8879,3.0703,2.0647,2.7499,1.7123,3.2566,,,3.5151,3.9601,,,2.4615,2.9989,2.3404,1.8128,1.4134,4.3443,,,4.7711,19.1154,,,1.2049
2014/1/14,4.7458,2.9793,0.3202,2.2298,0.1285,,,0,2.5892,,,0.8606,2.15,3.4339,0.5418,0.5467,0.7963,,,,1.8974,,,0.5807,5438909201,1674073826,8434938782,1736639700,1089272779,,,2109122301,628583277.5,,,1373350338,220.5332,-9.7844,-38.9646,-19.9245,-7.576,,,79.2571,168.5691,,,100.7475,3.216,2.1263,2.7587,1.7505,3.2608,,,3.5151,4.0626,,,2.4827,3.1412,2.4102,1.8186,1.4449,4.3498,,,4.7711,19.6104,,,1.2153
2014/1/15,7.6052,-0.5031,-1.383,0.6711,-2.439,,,0,1.29,,,1.5358,3.7483,2.153,0.2051,0.6672,1.613,,,,1.7817,,,1.836,5852547927,1665650813,8318285374,1748295000,1062705150,,,2109122301,636691755,,,1394442750,237.3052,-9.7352,-38.4258,-20.0582,-7.3912,,,79.2571,170.7436,,,102.2948,3.4606,2.1156,2.7205,1.7623,3.1813,,,3.5151,4.115,,,2.5208,3.3801,2.398,1.7935,1.4546,4.2438,,,4.7711,19.8633,,,1.2339
