ÈÕÆÚ,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH
2014/1/2,0.7543,0.1833,-1.3797,,0,0.423,,0.6227,1.2255,-0.2849,-0.129,0.2186,1.0582,1.1804,-1.1494,-1.4805,,,0.765,0.6898,0.8247,,,6.0205,,1.6306,1.1739,2.4695,0.7119,3.5878,0.5715,0.5338,0.9712,3.578,,,2794468207,11363814000,11268063438,,843795024,1285124376,,15731074178,2512692000,3057614560,2484540000,1876182000,1410600637,1816250844,19874461383,7210200000,,,50.1088,61.005,35.7653,,162.9677,79.0977,,41.35,71.0709,261.7252,163.787,-53.0094,294.392,-47.1559,-52.7475,184.2745,,,2.1667,7.1919,7.2957,,2.1765,2.2581,,3.3724,2.959,3.1553,6.0745,5.2912,4.9169,2.6815,4.0688,3.1693,,,1.6497,6.0295,8.0227,,2.7053,6.6878,,6.7318,1.1995,1.672,2.8621,4.5426,12.2546,1.3345,2.1122,2.4606,,
2014/1/3,0,3.1833,1.0784,,0,2.3589,,-2.7228,0,1.5714,-2.8424,-2.2901,-1.8848,-1.1667,-3.0411,-3.1421,,,1.5263,1.6763,1.1746,,,11.0587,,1.7067,1.0686,3.9986,0.7061,3.721,0.5841,0.6493,1.0806,3.4066,,,2794468207,11725560000,11389578550,,843795024,1315439020,,15302752851,2512692000,3105662789,2413920000,1833216000,1384013400,1795061251,19270050214,6983650000,,,50.1088,62.947,36.151,,162.9677,80.9635,,40.2242,71.0709,265.838,159.1316,-51.7954,288.8433,-46.6057,-51.1433,178.4845,,,2.1667,7.4208,7.3744,,2.1765,2.3114,,3.2806,2.959,3.2049,5.9019,5.17,4.8242,2.6503,3.9451,3.0697,,,1.6497,6.2214,8.1092,,2.7053,6.8456,,6.5485,1.1995,1.6982,2.7807,4.4386,12.0236,1.3189,2.0479,2.3833,,
2014/1/6,-5.8824,-8.156,-3.316,,0,-7.4074,,-6.2341,-6.2954,-5.3446,-4.9202,-5.0223,-4.0555,-5.5649,-5.9963,-6.7701,,,1.6388,1.8032,0.8655,,,8.9744,,2.2936,1.9606,3.1798,0.8648,3.2242,0.9054,0.7473,1.4193,4.0118,,,2630087724,10769220000,11011896447,,843795024,1217999093,,14348764442,2354508000,2939677998,2295150000,1741146000,1327884788,1695167454,18114558273,6510850000,,,47.1612,57.813,34.9523,,162.9677,74.9662,,37.7165,66.5967,251.6301,151.302,-49.1941,277.1292,-44.0122,-48.0766,166.4009,,,2.0392,6.8156,7.1298,,2.1765,2.1402,,3.0761,2.7727,3.0336,5.6115,4.9104,4.6286,2.5028,3.7085,2.8619,,,1.5527,5.714,7.8403,,2.7053,6.3385,,6.1403,1.124,1.6075,2.6439,4.2157,11.536,1.2455,1.9251,2.2219,,
2014/1/7,-0.5682,-1.1197,-5.1596,,-8.459,0.8889,,0.1357,-1.938,-0.5944,0.979,0.7051,0.2225,-1.25,0.9814,2.118,,,0.8608,1.5653,1.3473,,9.217,5.0113,,1.9193,1.9703,2.663,0.6224,1.8055,0.668,0.6661,0.9706,0.775,,,2615144044,10648638000,10443731196,,772418728,1228825751,,14368233593,2308878000,2922205915,2317620000,1753422000,1330838926,1673977861,18292326264,26535408300,,,46.8933,57.1657,33.1489,,149.1823,75.6326,,37.7677,65.3061,250.1345,152.7833,-49.5409,277.7458,-43.462,-48.5484,169.9253,,,2.0276,6.7393,6.762,,1.9924,2.1592,,3.0802,2.7189,3.0155,5.6664,4.945,4.6388,2.4715,3.7449,2.9225,,,1.5438,5.65,7.4358,,2.4765,6.3948,,6.1486,1.1022,1.5979,2.6698,4.2454,11.5617,1.2299,1.944,2.269,,
2014/1/8,-0.4571,3.5143,0.5346,,1.4639,3.5242,,-1.2195,0.1318,-0.299,-0.9695,0.7001,-0.333,-2.7125,-1.7493,-1.3333,,,0.8524,1.5214,1.0732,,7.1989,9.0718,,1.6475,1.112,2.4395,0.5817,1.5799,0.8166,0.8246,1.2365,0.6432,,,2603189100,11022858000,10499562463,,783725864,1272132386,,14193011232,2311920000,2913469874,2295150000,1765698000,1326407720,1628571590,17972343880,26181602856,,,46.6789,59.1746,33.3261,,151.3661,78.298,,37.3071,65.3921,249.3867,151.302,-49.8878,276.821,-42.2831,-47.6992,167.6596,,,2.0183,6.9761,6.7981,,2.0216,2.2353,,3.0427,2.7225,3.0065,5.6115,4.9796,4.6234,2.4044,3.6794,2.8836,,,1.5368,5.8486,7.4755,,2.5127,6.6202,,6.0736,1.1037,1.5931,2.6439,4.2751,11.5232,1.1966,1.91,2.2388,,
2014/1/9,-3.7887,-3.9985,-2.5023,,-5.3201,-2.4681,,0.823,-0.7895,-2.9985,0.5594,-2.6651,-1.4477,-2.4164,0.1978,1.2012,,,1.129,2.3194,1.1781,,5.202,7.876,,2.0397,0.916,2.1678,0.7099,1.9842,0.7458,0.5707,1.2366,1.1449,,,2504560810,10582110000,10236827087,,742030800,1240735076,,14309826139,2293668000,2826109458,2307990000,1718640000,1307205826,1589219489,18007897478,26496096584,,,44.9104,68.0459,32.4921,,143.3133,76.3656,,37.6142,64.8759,241.9089,152.1484,-48.5582,272.8135,-41.2614,-47.7936,169.6735,,,1.9419,8.022,6.628,,1.914,2.1801,,3.0677,2.701,2.9164,5.6429,4.8469,4.5565,2.3463,3.6867,2.9182,,,1.4786,6.7253,7.2884,,2.3791,6.4568,,6.1236,1.095,1.5454,2.6587,4.1612,11.3564,1.1677,1.9138,2.2656,,
2014/1/10,-1.79,-2.947,-0.5775,,-2,-0.2618,,-2.3129,-1.5915,-3.4003,-2.3644,-2.0238,-2.5989,-0.381,-0.691,-0.5935,,,0.6888,1.5152,1.1963,,3.831,4.9229,,1.7064,0.7536,1.9244,0.6968,1.6461,0.9068,0.4117,0.9036,0.6716,,,2459729769,10270260000,10177711628,,727190184,1237487078,,13978850569,2257164000,2730013000,2253420000,1683858000,1273233245,1583165319,17883459885,26338849720,,,44.1065,66.0406,32.3045,,140.447,76.1657,,36.7442,63.8434,233.6832,148.551,-47.5755,265.7235,-41.1042,-47.4633,168.6666,,,1.9071,7.7856,6.5897,,1.8758,2.1744,,2.9968,2.658,2.8172,5.5095,4.7488,4.4381,2.3374,3.6612,2.9009,,,1.4521,6.5272,7.2464,,2.3315,6.4399,,5.982,1.0775,1.4928,2.5958,4.077,11.0612,1.1632,1.9006,2.2522,,
2014/1/13,0.1215,1.0121,0.6776,,-1.2634,1.9248,,-0.6964,-1.3477,-2.4,-1.8519,0.1215,-0.9281,0.5736,-0.5964,2.2388,,,0.552,1.1048,0.4972,,3.2291,4.8679,,1.2584,0.7754,2.0393,0.4786,1.1704,0.7097,0.3029,0.7519,0.6121,,,2462718505,10374210000,10246679664,,718003136,1261305727,,13881504813,2226744000,2664492688,2211690000,1685904000,1261416695,1592246573,17776799090,26928525460,,,44.1601,66.709,32.5234,,138.6727,77.6317,,36.4883,62.983,228.0748,145.8001,-47.6333,263.2574,-41.34,-47.1802,172.4427,,,1.9094,7.8644,6.6344,,1.8521,2.2163,,2.9759,2.6222,2.7496,5.4074,4.7546,4.3969,2.3508,3.6394,2.9658,,,1.4539,6.5932,7.2955,,2.302,6.5639,,5.9403,1.063,1.457,2.5478,4.0819,10.9586,1.1699,1.8892,2.3026,,
2014/1/14,2.0631,3.3667,1.2821,,3.4449,3.6052,,3.0856,2.3224,2.9508,2.7576,2.1845,0,1.9011,2.8,4.5255,,,0.7841,1.2438,0.4893,,3.5918,8.2296,,1.8781,0.7676,1.9388,0.5048,1.4695,,0.3196,1.0938,1.2179,,,2513527018,10723482000,10378047352,,742737496,1306777693,,14309826139,2278458000,2743117062,2272680000,1722732000,1261416695,1622517421,18274549465,28147188656,,,45.0711,68.955,32.9404,,143.4498,80.4304,,37.6142,64.4457,234.8049,149.8207,-48.6738,263.2574,-42.1259,-48.5013,180.2467,,,1.9488,8.1291,6.7194,,1.9159,2.2962,,3.0677,2.6831,2.8307,5.5566,4.8584,4.3969,2.3955,3.7413,3.1001,,,1.4839,6.8152,7.389,,2.3813,6.8005,,6.1236,1.0877,1.5,2.618,4.1711,10.9586,1.1921,1.9421,2.4068,,
2014/1/15,1.4269,-0.1939,0.9494,,2.3787,1.8227,,2.3129,2.1362,3.5032,3.6723,0.9501,0,0.3731,3.1128,5.7263,,,0.7964,0.6603,0.6345,,4.3883,12.7386,,2.2297,1.1944,3.1696,0.9711,1.7555,,0.3514,1.4428,1.862,,,2549391851,10702692000,10476573118,,760404896,1330596342,,14640801710,2327130000,2839213520,2356140000,1739100000,1261416695,1628571590,18843407035,29758969012,,,45.7142,68.8213,33.2531,,146.862,81.8964,,38.4842,65.8223,243.0306,155.3226,-49.1363,263.2574,-42.2831,-50.011,190.5681,,,1.9766,8.1134,6.7832,,1.9614,2.338,,3.1387,2.7404,2.9299,5.7606,4.9046,4.3969,2.4044,3.8577,3.2776,,,1.505,6.802,7.4591,,2.438,6.9245,,6.2652,1.1109,1.5525,2.7142,4.2107,10.9586,1.1966,2.0026,2.5446,,
