ÈÕÆÚ,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH
2014/1/2,0.18,2.3656,2.582,-3.5294,1.7199,0.6427,0.7666,5.0765,2.3256,2.0148,,,,,,0.3764,1.0371,1.3846,1.5119,1.2175,1.7112,0.6081,2.778,2.5786,2.6927,,,,,,4227827209,1269164212,15789702209,4713179940,1144792800,2158836611,11765184140,15677813906,549097091.4,2241472506,,,,,,-482.1654,-48.3685,13.4547,31.4502,14.5668,-112.7342,36.9705,36.5839,45.657,31.8242,,,,,,10.7993,2.9075,1.9617,3.1512,3.2464,3.4684,3.1784,5.5906,2.3879,2.3166,,,,,,2.7785,0.627,0.3681,1.4337,0.8187,0.2166,0.7018,1.6888,0.9665,0.5684,,,,,
2014/1/3,0.1797,-0.4202,0.4082,0.2439,0,-3.7037,1.5216,-0.4075,-2.2727,-3.4304,,,,,,0.3798,0.6759,0.7445,1.2907,0.9704,2.0768,0.4936,1.808,2.7476,1.9041,,,,,,4235424382,1263831589,15854149974,4724675501,1144792800,2078879700,11944197931,15613934571,536617612.1,2164582077,,,,,,-483.0318,-48.1653,13.5096,31.5269,14.5668,-108.5588,37.533,36.4348,44.6194,30.7325,,,,,,10.8187,2.8953,1.9697,3.1589,3.2464,3.34,3.2268,5.5678,2.3336,2.2372,,,,,,2.7835,0.6244,0.3696,1.4372,0.8187,0.2086,0.7125,1.682,0.9445,0.5489,,,,,
2014/1/6,-3.139,-3.5865,-4.336,-3.3252,-3.744,-2.6525,-1.582,-5.2016,-3.7509,-6.5662,,,,,,0.482,0.8509,0.8378,1.2629,0.9963,0.9266,0.4603,1.8059,2.9865,3.6665,,,,,,4102473841,1218504296,15166707156,4567569503,1101932200,2023737002,11755238929,14801754456,516489419.6,2022451284,,,,,,-467.8694,-46.4378,12.9238,30.4785,14.0214,-105.6793,36.9392,34.5396,42.9457,28.7145,,,,,,10.4791,2.7914,1.8843,3.0539,3.1249,3.2514,3.1757,5.2782,2.2461,2.0903,,,,,,2.6962,0.602,0.3536,1.3894,0.788,0.203,0.7012,1.5945,0.9091,0.5128,,,,,
2014/1/7,1.0185,0.6565,-2.762,2.2651,0.2509,-1.0899,-1.4382,0.4316,-1.8706,0.2304,,,,,,0.2898,0.7286,0.9116,0.6259,0.6681,0.8896,0.1706,2.0481,1.6384,2.1032,,,,,,4144258297,1226503230,14747796689,4671029551,1104697400,2001679923,11586170349,14865633791,506827887.2,2027111310,,,,,,-472.6347,-46.7427,12.5668,31.1689,14.0566,-104.5275,36.408,34.6887,42.1424,28.7807,,,,,,10.5859,2.8097,1.8323,3.1231,3.1327,3.2159,3.1301,5.3009,2.2041,2.0951,,,,,,2.7236,0.606,0.3438,1.4209,0.79,0.2008,0.6911,1.6013,0.8921,0.514,,,,,
2014/1/8,8.4326,0,0.7283,-1.8868,-1.0013,1.2397,-0.6867,1.2891,1.5886,-0.9195,,,,,,1.2308,0.5824,0.4827,0.9993,0.7421,1.0126,0.294,0.9999,1.5693,1.0783,,,,,,4493728291,1226503230,14855209630,4582896918,1093636600,2026494137,11506608664,15057271796,514879164.2,2008471206,,,,,,-512.4903,-46.7427,12.6584,30.5808,13.9159,-105.8233,36.1579,35.1358,42.8118,28.516,,,,,,11.4785,2.8097,1.8456,3.0641,3.1014,3.2558,3.1086,5.3693,2.2391,2.0758,,,,,,2.9533,0.606,0.3463,1.3941,0.7821,0.2033,0.6864,1.622,0.9063,0.5093,,,,,
2014/1/9,0.7608,-0.2174,-3.6153,-2.0903,1.2642,-1.9048,-4.6672,-3.0303,-2.0328,0.464,,,,,,1.5022,0.9318,0.584,0.6722,0.9043,0.869,0.581,1.299,1.4112,1.9992,,,,,,4527915573,1223836919,14318144929,4487100577,1107462600,1987894248,10969567292,14600990832,504412504.1,2017791258,,,,,,-516.3892,-46.6411,12.2007,29.9416,14.0918,-103.8076,34.4704,34.0711,41.9415,28.6484,,,,,,11.5659,2.8036,1.7789,3.0001,3.1406,3.1938,2.9635,5.2066,2.1936,2.0855,,,,,,2.9758,0.6046,0.3338,1.3649,0.792,0.1994,0.6543,1.5728,0.8878,0.5116,,,,,
2014/1/10,-0.5034,-3.7037,0.15,-4.3553,5.3683,-4.7157,0.7253,-3.375,-0.0798,0.6928,,,,,,0.5181,0.6807,0.4728,0.6621,3.3541,1.4423,0.4841,1.355,1.0567,1.0655,,,,,,4505124052,1178509626,14339627517,4291676043,1166914400,1894151663,11049128977,14108207391,504009940.2,2031771336,,,,,,-513.7899,-44.9136,12.219,28.6375,14.8483,-98.9124,34.7204,32.9212,41.9081,28.8469,,,,,,11.5076,2.6998,1.7816,2.8694,3.3092,3.0432,2.985,5.0309,2.1918,2.0999,,,,,,2.9608,0.5822,0.3343,1.3055,0.8345,0.19,0.6591,1.5198,0.8871,0.5152,,,,,
2014/1/13,6.2395,0.2262,0.3745,-1.25,7.2275,0.4367,1.8002,0.8409,-3.0351,-4.4725,,,,,,1.4839,0.6373,0.5263,0.5245,4.6805,0.8253,0.2903,0.8128,1.3425,2.1228,,,,,,4786219481,1181175937,14393333987,4238030093,1251253000,1902423067,11248033189,14226840442,488712513.9,1940900829,,,,,,-545.8476,-45.0152,12.2648,28.2796,15.9215,-99.3443,35.3454,33.198,40.6361,27.5567,,,,,,12.2257,2.7059,1.7883,2.8336,3.5484,3.0565,3.0387,5.0732,2.1253,2.006,,,,,,3.1455,0.5836,0.3355,1.2892,0.8948,0.1909,0.6709,1.5325,0.8602,0.4921,,,,,
2014/1/14,1.1111,1.1287,-1.791,4.34,0.3315,0.5797,-0.0884,0.8339,3.0478,3.6014,,,,,,0.9065,0.4079,0.8825,0.5239,2.0966,0.9797,0.2871,0.5303,1.4428,1.6545,,,,,,4839399698,1194507494,14135542930,4421959066,1255400800,1913451607,11238087978,14345473492,503607376.4,2010801219,,,,,,-551.9126,-45.5233,12.0451,29.5069,15.9742,-99.9202,35.3142,33.4749,41.8746,28.5491,,,,,,12.3615,2.7365,1.7562,2.9565,3.5601,3.0742,3.036,5.1155,2.1901,2.0782,,,,,,3.1805,0.5902,0.3295,1.3451,0.8978,0.192,0.6703,1.5453,0.8864,0.5099,,,,,
2014/1/15,0.471,0.2232,-0.6079,0.0867,0.1101,1.1527,-1.7699,1.9084,0.7194,-0.2317,,,,,,0.6065,0.6486,0.7363,0.5201,3.2459,1.1347,0.4461,0.8235,1.5649,1.7401,,,,,,4862191219,1197173805,14049612578,4425790920,1256783400,1935508686,11039183766,14619242071,507230451,2006141193,,,,,,-554.5119,-45.6249,11.9719,29.5325,15.9918,-101.072,34.6891,34.1137,42.1758,28.483,,,,,,12.4197,2.7426,1.7455,2.9591,3.564,3.1096,2.9823,5.2131,2.2058,2.0734,,,,,,3.1954,0.5915,0.3275,1.3463,0.8988,0.1942,0.6585,1.5748,0.8928,0.5087,,,,,
2014/1/16,-0.4688,-0.2227,0.2294,3.0303,-3.0803,-2.2792,1.3514,-0.5618,1.8254,1.9744,,,,,,0.8936,0.5041,0.4107,1.1241,2.1249,1.363,0.2342,0.9276,2.3356,1.4614,,,,,,4839399698,1194507494,14081836460,4559905796,1218070600,1891394528,11188361925,14537111497,516489419.6,2045751414,,,,,,-551.9126,-45.5233,11.9994,30.4274,15.4992,-98.7684,35.1579,33.9221,42.9457,29.0453,,,,,,12.3615,2.7365,1.7496,3.0488,3.4543,3.0388,3.0226,5.1838,2.2461,2.1143,,,,,,3.1805,0.5902,0.3283,1.3871,0.8711,0.1898,0.6674,1.566,0.9091,0.5187,,,,,
2014/1/17,-1.4914,-1.1161,-4.958,-0.2521,1.2486,-2.3324,-2.0444,-8.4746,-1.7147,-1.7084,,,,,,0.7018,0.492,0.7973,0.3501,1.0645,0.9226,0.1477,2.7807,1.1744,1.2099,,,,,,4767226547,1181175937,13383652349,4548410235,1233279200,1847280370,10959622081,13305152896,507633014.9,2010801219,,,,,,-543.6816,-45.0152,11.4044,30.3507,15.6927,-96.4647,34.4391,31.0473,42.2093,28.5491,,,,,,12.1771,2.7059,1.6628,3.0411,3.4974,2.9679,2.9608,4.7445,2.2076,2.0782,,,,,,3.133,0.5836,0.312,1.3836,0.882,0.1853,0.6537,1.4332,0.8935,0.5099,,,,,
2014/1/20,-1.8327,-0.6772,-0.7223,-4.0438,-0.6726,-3.5821,-3.3575,-6.7215,3.0928,-3.1286,,,,,,0.4433,0.3747,0.5336,0.7572,0.886,1.267,0.2075,3.1049,3.4432,2.1675,,,,,,4679859048,1173177003,13286980703,4364481262,1224983600,1781109132,10591649289,12410842207,523333005,1947890868,,,,,,-533.7177,-44.7104,11.322,29.1234,15.5872,-93.0093,33.2828,28.9604,43.5148,27.6559,,,,,,11.954,2.6876,1.6508,2.9181,3.4739,2.8616,2.8614,4.4256,2.2759,2.0132,,,,,,3.0756,0.5796,0.3097,1.3276,0.876,0.1787,0.6318,1.3369,0.9211,0.4939,,,,,
2014/1/21,0.7305,0.6818,1.1318,-0.0878,1.0158,0.774,0.5634,2.5735,-0.0769,0.2392,,,,,,0.3693,0.4043,0.4146,0.5099,0.7865,1.5243,0.231,1.6269,2.9728,1.5385,,,,,,4714046330,1181175937,13437358819,4360649408,1237427000,1794894807,10651320553,12730238882,522930441.2,1952550894,,,,,,-537.6166,-45.0152,11.4502,29.0978,15.7455,-93.7292,33.4703,29.7058,43.4813,27.7221,,,,,,12.0413,2.7059,1.6695,2.9155,3.5091,2.8837,2.8775,4.5395,2.2741,2.018,,,,,,3.0981,0.5836,0.3133,1.3265,0.8849,0.1801,0.6353,1.3713,0.9204,0.4951,,,,,
2014/1/22,4.9154,1.8059,3.1974,4.3058,1.4525,2.1505,1.6807,4.086,1.1547,1.6706,,,,,,0.6571,0.6626,0.4852,0.7083,1.6258,3.3086,0.4407,1.4922,3.2301,3.0272,,,,,,4945760131,1202506428,13867010580,4548410235,1255400800,1833494695,10830334343,13250399180,528968898.9,1985171076,,,,,,-564.0426,-45.8281,11.8163,30.3507,15.9742,-95.7449,34.0328,30.9195,43.9834,28.1852,,,,,,12.6332,2.7548,1.7229,3.0411,3.5601,2.9457,2.9259,4.725,2.3004,2.0517,,,,,,3.2504,0.5941,0.3233,1.3836,0.8978,0.184,0.646,1.4273,0.9311,0.5034,,,,,
2014/1/23,-0.3072,0.4435,-3.2533,-1.8534,0.8811,-1.3534,-1.7447,0.4821,0.8371,-1.5258,,,,,,0.4838,0.4405,1.2146,1.1352,2.0355,2.1118,0.5826,0.9515,3.6802,2.5942,,,,,,4930565783,1207839051,13415876231,4464109456,1266461600,1808680481,10641375342,13314278515,533397101.3,1954880907,,,,,,-562.3097,-46.0314,11.4319,29.7882,16.115,-94.4491,33.4391,31.0686,44.3516,27.7552,,,,,,12.5944,2.767,1.6668,2.9847,3.5915,2.9059,2.8748,4.7477,2.3196,2.0204,,,,,,3.2404,0.5967,0.3128,1.3579,0.9057,0.1815,0.6347,1.4342,0.9389,0.4957,,,,,
2014/1/24,-0.3082,1.766,0.7206,-1.4592,0.1092,2.439,-0.0935,0.9596,-1.3585,1.0727,,,,,,0.425,0.7626,1.1874,1.2881,1.7308,1.745,0.4723,1.3946,6.4874,2.102,,,,,,4915371436,1229169542,13512547877,4398967944,1267844200,1852794639,10637391944,13442037185,526150952,1975851024,,,,,,-560.5769,-46.8443,11.5143,29.3535,16.1326,-96.7527,33.4253,31.3667,43.7491,28.0529,,,,,,12.5555,2.8159,1.6788,2.9412,3.5954,2.9767,2.8736,4.7933,2.2881,2.0421,,,,,,3.2304,0.6073,0.315,1.3381,0.9067,0.1859,0.6345,1.448,0.9261,0.501,,,,,
