ÈÕÆÚ,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH
2014/1/2,0.319,-1.1257,3.6325,-1.7617,-1.7544,-1.5267,1.0563,1.2012,0,0.5435,-0.566,0,0.2762,-0.2415,,0.5044,,,1.4019,-0.6383,0.9259,1.0724,0.7112,-1.0651,-0.4301,-1.9432,0.6353,-3.1315,,-0.6003,0.3881,,-1.1429,,,,0,0.4348,1.0424,1.213,7.1393,1.8535,0.9771,1.5069,0.4247,0.2743,0.5101,0.3731,0.4017,,0.3481,2.191,,5.2312,,,0.6394,0.2253,0.2412,1.2478,0.6768,0.4847,0.2891,0.3157,0.1995,1.5526,,2.6782,0.4336,,1.3275,,,,0.0375,0.0788,5496126193,3210068993,1125307980,1678539531,3009830813,1796234803,1187669837,3016430023,1384536917,1375298162,6081009781,1143285959,3482991897,2891000000,,994656000,,,2855233920,1571576420,11698998885,1189789380,2542555652,2434432000,7730798970,4918950243,2165363965,1955388800,,5775992400,5121600000,,2076000000,,,,4918950243,,83.1258,-18.4806,31.3368,37.3094,111.8857,-2.7061,-22.627,-2.6719,20.8419,36.8323,64.388,208.7765,61.7364,23.1217,,50.6249,,,-13.2388,-14.2425,63.1921,135.3106,72.5384,745.8594,19.245,456.3332,110.4929,-19.7725,,28.9629,20.2709,,96.652,,,,202.3742,-6.07,0.924,3.6399,3.9452,1.0471,1.2575,1.2626,1.029,1.5051,2.4861,1.6102,0.8662,3.6452,0.8801,3.1696,,6.1357,,,1.9001,3.5035,1.812,3.1599,2.017,2.0292,1.5045,2.6634,4.9825,3.4167,,2.5326,1.2617,,1.8929,,,,1.1812,17.0693,0.2929,1.6008,3.5322,1.0487,0.8854,0.4826,0.7355,0.699,2.5497,0.7516,0.6082,1.68,0.3806,3.4873,,14.9337,,,0.7245,61.5605,1.1078,0.7307,1.2632,2.3118,0.7269,1.0877,3.7993,1.631,,4.2857,1.2491,,3.886,,,,0.4824,0.9464
2014/1/3,-2.0668,-2.277,0.3093,-4.1139,-1.7857,-1.292,-1.3937,-1.7804,-0.197,-1.0811,0,0,-0.8264,4.4621,,0.2509,,,1.2289,-2.5696,-1.1796,0.5305,-2.4011,-1.6746,-2.8078,-1.8293,-1.6414,-4.9569,,1.6393,-2.7062,,3.7572,,,,-1.4675,-0.4329,1.2149,0.9893,5.4015,2.9099,0.8983,1.3839,0.4697,0.3164,0.3335,0.326,1.2802,,0.3983,5.5922,,4.8842,,,0.9333,0.5466,0.2571,0.7119,0.8142,0.5001,0.4616,0.2252,0.2126,2.1447,,3.2828,0.8786,,3.6899,,,,0.1013,0.218,5382533760,3136974443,1128788314,1609485690,2956083835,1773027635,1171116948,2962725038,1381808765,1360430074,6081009781,1143285959,3454206840,3020000000,,997152000,,,2890321280,1531193300,11561002830,1196101260,2481505587,2393664000,7513735500,4828969445,2129821374,1858462200,,5870680800,4983000000,,2154000000,,,,4828969445,,81.4077,-18.0597,31.4337,35.7745,109.8877,-2.6711,-22.3116,-2.6244,20.8009,36.4341,64.388,208.7765,61.2262,24.1534,,50.7519,,,-13.4014,-13.8765,62.4467,136.0284,70.7966,733.3689,18.7046,447.9856,108.6793,-18.7924,,29.4377,19.7223,,100.2835,,,,199.5646,-6.0486,0.9049,3.5571,3.9574,1.004,1.235,1.2463,1.0146,1.4783,2.4812,1.5927,0.8662,3.6452,0.8729,3.3111,,6.1511,,,1.9234,3.4134,1.7906,3.1767,1.9685,1.9952,1.4622,2.6147,4.9008,3.2473,,2.5741,1.2276,,1.964,,,,1.1648,17.009,0.2869,1.5643,3.5432,1.0055,0.8696,0.4764,0.7253,0.6866,2.5447,0.7434,0.6082,1.68,0.3774,3.6429,,14.9712,,,0.7334,59.9786,1.0947,0.7346,1.2329,2.2731,0.7064,1.0678,3.7369,1.5502,,4.3559,1.2153,,4.032,,,,0.4757,0.943
2014/1/6,-4.0584,-2.9126,-4.2138,-3.5204,-1.2987,-3.6649,-2.4735,-2.4169,-4.1461,-2.0492,-2.6565,0,-3.1944,-1.6225,,-3.786,,,-3.4901,-3.956,-5.9682,-2.6385,-2.3155,-2.5547,-2,-3.1056,-3.2092,-4.5351,,-5.6876,-4.5033,,-1.1838,,,,-1.7021,-0.8696,1.446,0.9042,3.2466,1.8106,0.5506,1.518,0.741,0.3376,0.9015,0.3888,0.7376,,0.4943,2.9175,,4.8507,,,0.7503,0.2657,0.3736,0.5487,0.6358,0.5471,0.3201,0.2651,0.17,1.5047,,2.2188,0.8686,,1.7684,,,,0.1766,0.3557,5164086773,3045606255,1081223750,1552826128,2917693135,1708047565,1142149391,2891118390,1324517582,1332552409,5919464929,1143285959,3343864122,2971000000,,992118000,,,2789445120,1470618620,10871022555,1164541860,2424046703,2332512000,7363460790,4679001450,2061470239,1774178200,,5536779600,4758600000,,2128500000,,,,4679001450,,78.1039,-17.5337,30.1091,34.5151,108.4606,-2.5732,-21.7597,-2.5609,19.9384,35.6875,62.6775,208.7765,59.2704,23.7615,,49.2467,,,-12.9337,-13.3275,58.7198,132.4393,69.1573,714.6332,18.3305,434.073,105.1915,-17.9401,,27.7634,18.8342,,99.0963,,,,196.232,-5.998,0.8682,3.4535,3.7906,0.9687,1.219,1.2006,0.9895,1.4426,2.3784,1.5601,0.8432,3.6452,0.845,3.2573,,5.9686,,,1.8563,3.2784,1.6837,3.0929,1.923,1.9442,1.433,2.5335,4.7435,3.1,,2.4277,1.1723,,1.9408,,,,1.1453,16.8666,0.2752,1.5188,3.3939,0.9701,0.8583,0.4589,0.7073,0.67,2.4392,0.7282,0.5921,1.68,0.3654,3.5838,,14.5272,,,0.7078,57.6058,1.0294,0.7152,1.2044,2.215,0.6923,1.0347,3.617,1.4799,,4.1082,1.1606,,3.9843,,,,0.4677,0.9351
2014/1/7,-0.1692,0.8,-1.1803,0.7982,0.2632,1.9022,0,-0.3096,0.309,0.5579,1.1696,0,0.4304,-0.4376,,0.6829,,,-0.7862,0.4577,-0.7052,1.084,-0.7407,-0.1248,-0.2268,-0.3205,0.9284,0.7126,,0.9001,-0.8322,,0.4228,,,,0.4329,0.6579,1.1318,0.7461,2.2071,1.0464,0.3126,1.0496,0.3781,0.3161,0.6884,0.2011,0.473,,0.3165,2.4855,,2.9022,,,0.6366,0.1749,0.2129,0.4088,0.527,0.374,0.1886,0.2728,0.1481,0.9334,,1.3078,0.5827,,1.1822,,,,0.1126,0.1943,5155348893,3069971105,1068462526,1565220407,2925371275,1740537600,1142149391,2882167559,1328609810,1339986453,5988698437,1143285959,3358256650,2958000000,,998893440,,,2767515520,1477349140,10794358080,1177165620,2406090801,2329600000,7346763600,4664004651,2080608557,1786820800,,5586615600,4719000000,,2137500000,,,,4664004651,,77.9717,-17.674,29.7538,34.7906,108.746,-2.6222,-21.7597,-2.553,20,35.8866,63.4106,208.7765,59.5255,23.6576,,49.5831,,,-12.832,-13.3885,58.3057,133.875,68.645,713.7411,18.289,432.6818,106.168,-18.068,,28.0133,18.6774,,99.5153,,,,197.0266,-6.0358,0.8667,3.4811,3.7459,0.9764,1.2222,1.2235,0.9895,1.4381,2.3857,1.5688,0.853,3.6452,0.8486,3.2431,,6.0094,,,1.8417,3.2934,1.6719,3.1264,1.9087,1.9418,1.4297,2.5254,4.7875,3.1221,,2.4496,1.1626,,1.949,,,,1.15,16.9729,0.2748,1.5309,3.3538,0.9779,0.8606,0.4676,0.7073,0.6679,2.4467,0.7323,0.599,1.68,0.367,3.5681,,14.6264,,,0.7022,57.8695,1.0221,0.723,1.1954,2.2122,0.6907,1.0313,3.6506,1.4904,,4.1452,1.1509,,4.0012,,,,0.4696,0.941
2014/1/8,1.0169,0.1984,-1.5201,-0.6787,-0.2625,-1.0667,-1.087,3.1056,0.924,0.4161,-1.3487,0,0.2857,2.6031,,2.3579,,,-1.2678,-2.2779,1.1364,-0.8043,0,-1.5,-0.2273,-1.7685,-1.1827,-0.4717,,4.1035,0.5594,,-1.6842,,,,0.2155,0.6536,1.1331,0.6145,2.5272,1.1551,0.4635,1.1547,0.4158,0.5119,0.5781,0.212,0.5649,,0.2807,3.7992,,5.2233,,,0.5122,0.2331,0.2139,0.272,0.4507,0.3471,0.4544,0.1574,0.2669,0.7511,,2.9348,0.3532,,1.2704,,,,0.064,0.1197,5207776170,3076062318,1052220967,1554596739,2917693135,1721971866,1129734723,2971675869,1340886492,1345561986,5907926011,1143285959,3367851669,3035000000,,1022446160,,,2732428160,1443696540,10917021240,1167697800,2406090801,2294656000,7330066410,4581522253,2056002148,1778392400,,5815861200,4745400000,,2101500000,,,,4581522253,,78.7646,-17.7091,29.3015,34.5545,108.4606,-2.5942,-21.5232,-2.6323,20.1848,36.0359,62.5553,208.7765,59.6956,24.2734,,50.7522,,,-12.6694,-13.0836,58.9683,132.7982,68.645,703.0349,18.2474,425.0298,104.9124,-17.9828,,29.1628,18.7819,,97.8392,,,,197.571,-6.0789,0.8755,3.488,3.689,0.9698,1.219,1.2104,0.9788,1.4828,2.4078,1.5753,0.8415,3.6452,0.851,3.3275,,6.1511,,,1.8183,3.2184,1.6909,3.1012,1.9087,1.9127,1.4265,2.4807,4.7309,3.1074,,2.5501,1.1691,,1.9162,,,,1.1531,17.0942,0.2776,1.5339,3.3028,0.9712,0.8583,0.4626,0.6996,0.6886,2.4693,0.7353,0.5909,1.68,0.368,3.661,,14.9713,,,0.6933,56.5513,1.0337,0.7172,1.1954,2.179,0.6892,1.0131,3.6074,1.4834,,4.3153,1.1573,,3.9338,,,,0.4709,0.9478
2014/1/9,-1.1745,-1.9802,-1.7641,-2.7335,-1.3158,-1.3477,-1.8315,-2.4096,0.7121,-1.3812,-0.9766,0,-1.7094,0.8237,,-3.408,,,-3.2103,0.6993,-4.2135,-2.973,0.2985,-0.2538,-0.6834,-1.473,-2.7926,-3.3175,,0.3428,3.0598,,-5.4247,,,,-0.2151,1.2987,0.9283,0.8635,2.9401,1.6537,0.4727,0.9567,0.6066,0.436,0.9699,0.2458,0.5355,,0.3072,4.7845,,6.2695,,,0.5346,0.2514,0.3036,0.3503,0.6142,0.4194,0.2258,0.1859,0.239,0.846,,4.2522,0.8674,,1.6677,,,,0.0532,1.0156,5146611014,3015150192,1033659186,1512102067,2879302436,1698764698,1109043611,2900069221,1350435022,1326976875,5850231421,1143285959,3310281555,3060000000,,987601040,,,2644709760,1453792320,10457034390,1132982460,2413273162,2288832000,7279974840,4514036656,1998587195,1719393600,,5835795600,4890600000,,1987500000,,,,4514036656,,77.8396,-17.3584,28.7846,33.6099,107.0335,-2.5593,-21.129,-2.5689,20.3286,35.5382,61.9444,208.7765,58.6751,24.4733,,49.0225,,,-12.2626,-13.175,56.4836,128.8502,68.85,701.2506,18.1227,418.7692,101.9827,-17.3862,,29.2628,19.3566,,92.5317,,,,197.2429,-6.1609,0.8652,3.4189,3.6239,0.9433,1.203,1.1941,0.9608,1.4471,2.4249,1.5536,0.8333,3.6452,0.8365,3.3549,,5.9415,,,1.76,3.2409,1.6196,3.009,1.9144,1.9078,1.4167,2.4442,4.5988,3.0043,,2.5588,1.2048,,1.8122,,,,1.1512,17.3247,0.2743,1.5036,3.2446,0.9447,0.847,0.4564,0.6868,0.672,2.4869,0.7252,0.5851,1.68,0.3617,3.6912,,14.4611,,,0.6711,56.9467,0.9902,0.6958,1.199,2.1735,0.6845,0.9982,3.5066,1.4342,,4.3301,1.1928,,3.7204,,,,0.4701,0.9605
2014/1/10,-2.8862,-0.404,-1.2346,-2.9274,-2.4,-3.0055,-1.8657,0.9259,0,-3.2213,-2.3669,0,-4.3478,-2.4183,,-3.953,,,0,-2.0833,-3.5191,-1.1142,-2.2321,3.1807,1.3761,-1.9934,-2.5992,-3.4314,,-0.3416,-2.5641,,-0.9811,,,,-1.0776,0.641,1.0002,0.5597,2.0318,1.2881,0.5448,1.306,0.6904,0.399,0.5439,0.3652,0.6923,,0.4742,2.5011,,5.1499,,,0.4535,0.2312,0.3731,0.5176,0.5043,0.8512,0.6183,0.1565,0.2343,0.8761,,2.9765,0.3412,,0.9768,,,,0.1098,0.4156,4998067063,3002967767,1020897962,1467836784,2810199178,1647708928,1088352499,2926921714,1350435022,1284231122,5711764405,1143285959,3166356270,2986000000,,948561600,,,2644709760,1423504980,10089044910,1120358700,2359405457,2361632000,7380157980,4424055858,1946640332,1660394800,,5815861200,4765200000,,1968000000,,,,4424055858,,75.5929,-17.2883,28.4292,32.6261,104.4647,-2.4823,-20.7348,-2.5926,20.3286,34.3934,60.4783,208.7765,56.124,23.8815,,47.0847,,,-12.2626,-12.9006,54.496,127.4145,67.3131,723.555,18.3721,410.4216,99.332,-16.7896,,29.1628,18.8603,,91.6239,,,,194.7949,-6.1901,0.8403,3.4051,3.5791,0.9157,1.1741,1.1582,0.9429,1.4605,2.4249,1.5035,0.8136,3.6452,0.8001,3.2738,,5.7066,,,1.76,3.1734,1.5626,2.9755,1.8717,1.9685,1.4362,2.3955,4.4793,2.9012,,2.5501,1.1739,,1.7944,,,,1.1369,17.4069,0.2664,1.4975,3.2045,0.917,0.8267,0.4427,0.674,0.6783,2.4869,0.7018,0.5713,1.68,0.346,3.6019,,13.8894,,,0.6711,55.7603,0.9553,0.6881,1.1722,2.2426,0.6939,0.9783,3.4155,1.385,,4.3153,1.1622,,3.6839,,,,0.4643,0.9651
2014/1/13,-0.6993,2.8398,0.2273,0.3619,-1.0929,0.5634,0,-2.4465,1.5152,1.3025,0.404,0,0.303,-0.2009,,0.5102,,,1.4925,-3.5461,-2.2796,-0.5634,0.1522,-1.8496,0,-0.5085,1.1236,0.2538,,0.5141,-1.5235,,-3.0488,,,,-0.2179,-3.397,0.5377,1.1495,1.9455,0.7739,0.3802,0.6928,0.3341,0.328,0.8884,0.2291,0.4328,,0.2405,2.0802,,2.249,,,0.3791,0.4548,0.2124,0.5725,0.3447,0.645,0.4086,0.1281,0.1659,0.5847,,2.1279,0.274,,1.2017,,,,0.0469,0.522,4963115545,3088244743,1023218184,1473148618,2779486618,1656991795,1088352499,2855315067,1370896159,1300957721,5734842241,1143285959,3175951289,2980000000,,953401200,,,2684183040,1373026080,9859051485,1114046820,2362996637,2317952000,7380157980,4401560659,1968512695,1664609000,,5845762800,4692600000,,1908000000,,,,4401560659,,75.0643,-17.7792,28.4938,32.7441,103.323,-2.4963,-20.7348,-2.5292,20.6366,34.8413,60.7227,208.7765,56.2941,23.8335,,47.3249,,,-12.4457,-12.4431,53.2536,126.6967,67.4156,710.1723,18.3721,408.3347,100.4481,-16.8322,,29.3128,18.5729,,88.8305,,,,194.1858,-5.9741,0.8344,3.5018,3.5873,0.919,1.1613,1.1647,0.9429,1.4247,2.4616,1.5231,0.8169,3.6452,0.8025,3.2672,,5.7357,,,1.7862,3.0608,1.527,2.9587,1.8745,1.9321,1.4362,2.3833,4.5296,2.9086,,2.5632,1.1561,,1.7397,,,,1.1334,16.7996,0.2645,1.54,3.2118,0.9203,0.8177,0.4452,0.674,0.6617,2.5246,0.7109,0.5736,1.68,0.347,3.5947,,13.9603,,,0.6811,53.783,0.9335,0.6842,1.174,2.2012,0.6939,0.9733,3.4539,1.3885,,4.3375,1.1445,,3.5716,,,,0.4629,0.9314
2014/1/14,1.2324,0,2.0408,2.0433,2.7624,2.521,1.1407,2.8213,-0.4975,1,1.4085,0,1.8127,3.8926,,3.5533,,,0.817,0.7353,2.0218,2.2663,2.1277,0.6281,0.6787,2.5554,0.9722,3.038,,5.4561,0.9845,,1.2579,,,,1.0917,2.4176,0.5174,0.7883,1.4813,0.7947,0.4392,0.7239,0.721,0.3268,0.9018,0.2058,0.4342,,0.1859,2.9221,,3.1934,,,0.4123,0.3116,0.2016,0.4872,0.3784,0.4631,0.2754,0.1317,0.2062,0.7924,,5.7634,0.4263,,1.3445,,,,0.0557,0.2853,5024280701,3088244743,1044100188,1503249011,2856268017,1698764698,1100767166,2935872545,1364075780,1313967298,5815614667,1143285959,3233521403,3096000000,,987278400,,,2706112640,1383121860,10058379120,1139294340,2413273162,2332512000,7430249550,4514036656,1987651013,1715179400,,6164713200,4738800000,,1932000000,,,,4514036656,,75.9894,-17.7792,29.0753,33.4132,106.1772,-2.5593,-20.9713,-2.6006,20.5339,35.1898,61.5779,208.7765,57.3146,24.7613,,49.0065,,,-12.5473,-12.5346,54.3303,129.568,68.85,714.6332,18.4968,418.7692,101.4247,-17.3436,,30.9121,18.7558,,89.9478,,,,196.2413,-6.1166,0.8447,3.5018,3.6605,0.9377,1.1933,1.1941,0.9537,1.4649,2.4494,1.5384,0.8284,3.6452,0.8171,3.3944,,5.9395,,,1.8008,3.0834,1.5579,3.0258,1.9144,1.9442,1.446,2.4442,4.5736,2.9969,,2.7031,1.1674,,1.7616,,,,1.1454,17.2001,0.2678,1.54,3.2773,0.9391,0.8402,0.4564,0.6817,0.6803,2.512,0.718,0.5817,1.68,0.3533,3.7346,,14.4563,,,0.6866,54.1785,0.9524,0.6997,1.199,2.215,0.6986,0.9982,3.4875,1.4307,,4.5741,1.1557,,3.6165,,,,0.4678,0.9536
2014/1/15,0.6957,0.3945,-0.5556,0.8245,-0.2688,0.2732,-0.3759,-1.5244,-0.6,-0.7072,-0.5952,0,0.4451,0.3876,,1.3725,,,1.6207,-1.4599,0.3049,-0.554,0,1.3733,0.4494,-0.3322,-0.6878,0.2457,,6.1439,-1.2535,,0.3106,,,,0.432,-0.2146,0.5895,0.7982,1.5232,0.9441,0.3778,0.6783,0.3403,0.2174,0.3176,0.2057,0.3373,,0.1656,2.4536,,2.9452,,,0.4342,0.3162,0.2011,0.2846,0.2817,0.6919,0.2848,0.1083,0.1287,0.5192,,9.8446,0.2852,,0.6988,,,,0.0772,0.1069,5059232219,3100427168,1038299631,1515643290,2848589877,1703406131,1096628944,2891118390,1355891325,1304674743,5780997913,1143285959,3247913932,3108000000,,1000829280,,,2749971840,1362930300,10089044910,1132982460,2413273162,2364544000,7463643930,4499039856,1973980786,1719393600,,6543466800,4679400000,,1938000000,,,,4499039856,,76.518,-17.8493,28.9138,33.6887,105.8918,-2.5662,-20.8925,-2.5609,20.4107,34.9409,61.2114,208.7765,57.5697,24.8572,,49.6792,,,-12.7507,-12.3516,54.496,128.8502,68.85,724.4472,18.5799,417.3779,100.7271,-17.3862,,32.8113,18.5207,,90.2272,,,,197.3316,-6.1109,0.8506,3.5156,3.6402,0.9455,1.1901,1.1974,0.9501,1.4426,2.4347,1.5275,0.8235,3.6452,0.8207,3.4075,,6.0211,,,1.83,3.0383,1.5626,3.009,1.9144,1.9709,1.4525,2.4361,4.5422,3.0043,,2.8691,1.1528,,1.7671,,,,1.1517,17.1843,0.2696,1.5461,3.2591,0.9469,0.838,0.4577,0.6791,0.67,2.497,0.713,0.5782,1.68,0.3549,3.7491,,14.6548,,,0.6978,53.3876,0.9553,0.6958,1.199,2.2454,0.7017,0.9949,3.4635,1.4342,,4.8551,1.1413,,3.6277,,,,0.4704,0.9528
