ÈÕÆÚ,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH
2014/1/2,0.9317,0.9524,-0.3322,2.5401,0.2577,-0.2688,1.049,2.6565,-1.2075,0,0.5396,1.423,0.8591,2.0384,,,0,0.8902,-3.8682,-0.9479,1.1429,2.6622,,,0.4378,0.4728,0.4008,0.8192,1.0543,0.244,0.5845,1.8531,0.9148,0.4969,0.8726,0.507,0.2682,0.12,,,,1.4032,1.5383,0.6105,0.7777,0.9589,,,3959268446,1012211843,2591841144,2019863053,1371966422,2773914648,2396208872,1165836552,5976176769,2258964531,1879923289,3989236200,1398120885,8672328250,,,3100556290,1428000000,5382019807,2773095600,1630537893,3243954193,,,11.9949,-3.0565,-9.9307,20.7246,150.634,61.9209,79.0409,-3.7134,24.0119,114.1786,24.7329,47.3516,81.6255,41.1142,,,152.7499,148.0821,22.5195,140.8985,66.4448,82.6367,,,1.3377,9.8855,4.9697,1.6155,1.5186,1.522,1.3834,3.2968,3.5731,3.7448,1.2591,2.3202,1.4232,1.3458,,,1.2835,2.8589,2.9874,1.2097,1.7373,0.8851,,,3.8552,0.8623,1.0986,0.2877,0.4253,1.2537,0.733,0.6245,2.8012,0.7285,1.1645,2.2546,0.795,0.3224,,,0.8678,1.3457,3.2943,0.1887,0.7945,0.2686,,
2014/1/3,-0.6154,-0.3145,-1.3333,-2.7379,0,-1.0782,-1.0381,0.9242,-2.6667,-0.7109,0.8945,-0.3827,0.1704,-0.1175,,,0,3.3824,-3.7258,-2.5518,-3.2015,-3.4036,,,0.3591,0.5016,0.4909,1.2137,0.7285,0.268,0.4172,1.9263,2.6064,0.4892,1.716,1.4569,0.4559,0.1541,,,,3.0835,1.2147,0.8609,1.1723,0.6752,,,3934903717,1009028787,2557283262,1964560414,1371966422,2744007213,2371334731,1176611381,5816812055,2242905542,1896738345,3973971266,1400502692,8662137500,,,3100556290,1476300000,5181497459,2702330800,1578336115,3133544083,,,11.9211,-3.0469,-9.7983,20.1572,150.634,61.2533,78.2204,-3.7477,23.3716,113.3669,24.9541,47.1705,81.7645,41.0659,,,152.7499,153.0907,21.6805,137.303,64.3176,79.8241,,,1.3294,9.8544,4.9035,1.5713,1.5186,1.5056,1.369,3.3273,3.4778,3.7182,1.2704,2.3113,1.4256,1.3443,,,1.2835,2.9556,2.8761,1.1789,1.6817,0.855,,,3.8315,0.8596,1.084,0.2799,0.4253,1.2402,0.7254,0.6303,2.7265,0.7234,1.1749,2.246,0.7963,0.322,,,0.8678,1.3912,3.1715,0.1839,0.7691,0.2594,,
2014/1/6,-1.548,-1.5773,-4.3919,-3.0831,2.3136,-3.5422,-2.7972,-0.9158,-5.8219,-2.6253,0,-4.9936,-3.2313,-4.1176,,,0,-6.1166,-1.548,-3.437,-4.6693,-4.0268,,,0.476,0.887,0.5734,0.9627,2.8324,0.4235,0.5442,3.8518,2.1927,0.5893,5.1722,1.2562,0.2571,0.176,,,,2.0958,0.4938,1.3346,1.1044,0.5503,,,3873991895,993113506.3,2444970146,1903990857,1403708576,2646808047,2305003690,1165836552,5478162038,2184022580,1896738345,3775527118,1355248354,8305461250,,,3100556290,1386000000,5101288520,2609452000,1504639487,3007361100,,,11.7366,-2.9989,-9.368,19.5357,154.1191,59.0836,76.0325,-3.7134,22.0109,110.3907,24.9541,44.815,79.1225,39.3749,,,152.7499,143.7267,21.3449,132.5839,61.3145,76.6097,,,1.3089,9.699,4.6881,1.5228,1.5537,1.4523,1.3307,3.2968,3.2753,3.6206,1.2704,2.1959,1.3795,1.2889,,,1.2835,2.7749,2.8316,1.1383,1.6032,0.8206,,,3.7721,0.846,1.0364,0.2712,0.4351,1.1963,0.7051,0.6245,2.5677,0.7044,1.1749,2.1338,0.7706,0.3087,,,0.8678,1.3061,3.1225,0.1776,0.7332,0.249,,
2014/1/7,-0.3145,-1.6026,0,-0.6916,0,0.565,0,-1.6636,-1.4545,1.9608,0,-2.1563,0.703,0.8589,,,0,-1.6667,1.1006,2.7119,0.4082,0,,,0.2813,0.3405,0.3707,0.597,1.4851,0.2542,0.3061,2.8548,1.5783,0.6769,1.5229,1.2532,0.144,0.094,,,,1.2943,0.2894,0.7302,0.4412,0.2797,,,3861809531,977198225.8,2444970146,1890823562,1403708576,2661761765,2305003690,1146441859,5398479681,2226846552,1896738345,3694114134,1364775583,8376796500,,,3100556290,1362900000,5157434778,2680216800,1510780872,3007361100,,,11.6997,-2.9508,-9.368,19.4006,154.1191,59.4174,76.0325,-3.6516,21.6908,112.5553,24.9541,43.8486,79.6787,39.7131,,,152.7499,141.3313,21.5798,136.1794,61.5647,76.6097,,,1.3047,9.5436,4.6881,1.5123,1.5537,1.4605,1.3307,3.242,3.2277,3.6916,1.2704,2.1485,1.3892,1.3,,,1.2835,2.7286,2.8627,1.1692,1.6097,0.8206,,,3.7603,0.8324,1.0364,0.2694,0.4351,1.203,0.7051,0.6141,2.5304,0.7182,1.1749,2.0878,0.776,0.3114,,,0.8678,1.2843,3.1568,0.1824,0.7362,0.249,,
2014/1/8,-2.2082,1.3029,-1.7668,-1.8106,0.7538,-0.5618,-1.7986,-2.4436,2.583,4.3269,2.8369,1.6529,-1.0471,-0.365,,,0,-1.3867,-0.6221,-0.165,-1.8293,-0.6993,,,0.5865,0.5811,0.4207,0.783,1.1945,0.2592,0.4882,1.9111,1.6181,1.2882,3.0996,0.8617,0.2199,0.1251,,,,1.2596,0.4227,0.8222,0.6657,0.4289,,,3776532980,989930450.2,2401772793,1856588595,1414289294,2646808047,2263546789,1118427302,5537923806,2323200490,1950546525,3755173872,1350484739,8346224250,,,3100556290,1344000000,5125351202,2675794000,1483144637,2986330602,,,11.4413,-2.9893,-9.2025,19.0493,155.2808,59.0836,74.665,-3.5624,22.2511,117.4254,25.662,44.5734,78.8444,39.5682,,,152.7499,139.3714,21.4456,135.9547,60.4385,76.074,,,1.2759,9.6679,4.6053,1.4849,1.5654,1.4523,1.3068,3.1627,3.3111,3.8513,1.3064,2.1841,1.3747,1.2952,,,1.2835,2.6908,2.8449,1.1673,1.5803,0.8149,,,3.6772,0.8433,1.0181,0.2645,0.4384,1.1963,0.6924,0.5991,2.5957,0.7493,1.2083,2.1223,0.7679,0.3102,,,0.8678,1.2665,3.1372,0.1821,0.7227,0.2472,,
2014/1/9,-1.2903,-3.2154,-3.9568,0.1418,0.4988,-0.8475,-1.8315,-1.5414,-3.5971,-2.3041,-2.5862,-3.6585,-2.2928,-2.1978,,,0,0.3125,-2.8169,-3.6364,-1.4493,-1.9366,,,0.3028,0.7993,0.468,0.7636,2.1734,0.337,0.5663,1.9956,1.4876,0.7074,1.9282,0.6283,0.2378,0.0889,,,,1.3226,0.9151,0.6717,0.7479,0.339,,,3727803522,958099889.1,2306738618,1859222054,1421343106,2624377470,2222089888,1101187575,5338717914,2269670524,1900101356,3617789462,1319521244,8162790750,,,3100556290,1348200000,4980975112,2578492400,1461649787,2928496735,,,11.2937,-2.8931,-8.8384,19.0764,156.0553,58.5829,73.2975,-3.5075,21.4507,114.7198,24.9984,42.9426,77.0366,38.6986,,,152.7499,139.8069,20.8415,131.0109,59.5626,74.6007,,,1.2595,9.3571,4.4231,1.487,1.5732,1.44,1.2829,3.114,3.192,3.7626,1.2727,2.1041,1.3431,1.2668,,,1.2835,2.6992,2.7648,1.1248,1.5574,0.7991,,,3.6298,0.8162,0.9778,0.2649,0.4406,1.1861,0.6797,0.5899,2.5024,0.732,1.177,2.0447,0.7503,0.3034,,,0.8678,1.2705,3.0488,0.1755,0.7122,0.2424,,
2014/1/10,-3.268,-3.6545,0,-4.6742,-2.4814,-2.849,-1.4925,-3.9139,0.1244,2.8302,-4.0708,-2.5316,-2.7076,-4.1199,,,0,0.7788,0.4831,-1.8868,0.8403,1.6158,,,0.3617,0.9189,0.5011,1.2523,1.3079,0.3277,0.3955,1.7045,0.8978,0.9421,1.7697,0.5784,0.1787,0.1807,,,,0.7592,0.5242,0.5013,0.6325,0.2909,,,3605979877,923086271.9,2306738618,1772317907,1386074046,2549608881,2188924368,1058088257,5345358110,2333906483,1822752098,3526199856,1283794135,7826496000,,,3100556290,1358700000,5005037794,2529841600,1473932558,2975815354,,,10.9246,-2.7874,-8.8384,18.1847,152.1829,56.9138,72.2035,-3.3702,21.4773,117.9666,23.9807,41.8555,74.9508,37.1042,,,152.7499,140.8957,20.9421,128.539,60.0631,75.8061,,,1.2183,9.0151,4.4231,1.4175,1.5342,1.399,1.2637,2.9921,3.1959,3.8691,1.2208,2.0509,1.3068,1.2146,,,1.2835,2.7202,2.7782,1.1036,1.5705,0.812,,,3.5112,0.7864,0.9778,0.2525,0.4296,1.1523,0.6696,0.5668,2.5055,0.7527,1.1291,1.9929,0.7299,0.2909,,,0.8678,1.2804,3.0635,0.1722,0.7182,0.2464,,
2014/1/13,0,0.3448,0.3745,-2.3774,0,1.7595,0.3788,0,2.236,0.9174,2.214,1.0101,0,-0.1302,,,0,-0.9274,-2.2436,-0.1748,-0.2083,-1.9435,,,0.2521,0.4352,0.3201,0.8182,0.9297,0.2512,0.3133,0.7932,1.2285,0.9167,0.9846,0.3261,0.1135,0.106,,,,0.7576,0.4503,0.3286,0.6102,0.2938,,,3605979877,926269328,2315378089,1730182563,1386074046,2594470035,2197215748,1058088257,5464881645,2355318469,1863108233,3561818036,1283794135,7816305250,,,3100556290,1346100000,4892745279,2525418800,1470861866,2917981487,,,10.9246,-2.797,-8.8715,17.7524,152.1829,57.9152,72.477,-3.3702,21.9576,119.0488,24.5117,42.2783,74.9508,37.0559,,,152.7499,139.5891,20.4723,128.3143,59.938,74.3329,,,1.2183,9.0462,4.4396,1.3838,1.5342,1.4236,1.2685,2.9921,3.2674,3.9046,1.2479,2.0716,1.3068,1.213,,,1.2835,2.695,2.7158,1.1017,1.5672,0.7962,,,3.5112,0.7891,0.9814,0.2465,0.4296,1.1726,0.6721,0.5668,2.5615,0.7596,1.1541,2.013,0.7299,0.2905,,,0.8678,1.2685,2.9948,0.1719,0.7167,0.2416,,
2014/1/14,1.3514,1.3746,10.0746,1.5221,2.799,1.7291,1.5094,1.6293,4.0097,2.7273,1.083,2.8571,2.0408,3.1291,,,0,1.248,1.3115,2.2767,2.714,1.8018,,,0.2564,0.4527,1.4123,0.7145,1.2118,0.4652,0.3954,0.8717,1.7111,1.9425,1.5322,0.454,0.1181,0.1047,,,,0.7265,0.431,0.4944,0.8506,0.2567,,,3654709335,939001552.5,2548643792,1756517153,1424870012,2639331188,2230381268,1075327984,5684008127,2419554427,1883286300,3663584266,1309994015,8060883250,,,3100556290,1362900000,4956912430,2582915200,1510780872,2970557730,,,11.0722,-2.8355,-9.7652,18.0226,156.4425,58.9167,73.571,-3.4251,22.838,122.2956,24.7772,43.4862,76.4804,38.2154,,,152.7499,141.3313,20.7408,131.2356,61.5647,75.6722,,,1.2348,9.1705,4.8869,1.4049,1.5771,1.4482,1.2877,3.0409,3.3984,4.0111,1.2614,2.1308,1.3334,1.251,,,1.2835,2.7286,2.7514,1.1268,1.6097,0.8105,,,3.5586,0.7999,1.0803,0.2502,0.4417,1.1929,0.6823,0.576,2.6642,0.7803,1.1666,2.0706,0.7448,0.2996,,,0.8678,1.2843,3.0341,0.1758,0.7362,0.2459,,
2014/1/15,-0.3333,-1.6949,-1.0169,0.8996,1.2376,-1.4164,-1.1152,0.2004,-0.7009,-1.5487,1.4286,0.4167,0.5455,0,,,0,1.5408,-2.2654,0.5137,-0.6098,-0.177,,,0.1863,0.9939,1.4513,0.5222,1.5999,0.3271,0.3313,0.77,1.2324,0.8197,1.4428,0.3057,0.1166,0.0706,,,,0.9654,0.6908,0.3961,0.4163,0.2356,,,3642526971,923086271.9,2522725380,1772317907,1442504542,2601946894,2205507128,1077482950,5644166949,2382083451,1910190390,3678849200,1317139437,8060883250,,,3100556290,1383900000,4844619916,2596183600,1501568794,2965300105,,,11.0353,-2.7874,-9.6659,18.1847,158.3787,58.0821,72.7505,-3.432,22.6779,120.4017,25.1311,43.6674,76.8976,38.2154,,,152.7499,143.509,20.2709,131.9098,61.1893,75.5383,,,1.2307,9.0151,4.8372,1.4175,1.5966,1.4277,1.2733,3.0469,3.3746,3.9489,1.2794,2.1397,1.3407,1.251,,,1.2835,2.7707,2.6891,1.1326,1.5999,0.8091,,,3.5468,0.7864,1.0693,0.2525,0.4471,1.176,0.6746,0.5772,2.6455,0.7683,1.1833,2.0792,0.7489,0.2996,,,0.8678,1.3041,2.9653,0.1767,0.7317,0.2455,,
