ÈÕÆÚ,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH
2014/1/2,0,1.995,0.9535,0.3731,-1.0765,0.8343,1.6461,,,,,1.5082,0,2.107,3.1469,6.3898,6.0929,5.5504,,,,,,,,0.8993,2.1583,,,,,0.5494,2.0029,1.604,0.8118,1.6059,0.6816,0.9321,,,,,3.2298,4.7619,5.4339,2.9584,5.3563,20.7205,3.3882,,,,,,,,0.5484,1.498,,,,,1509519161,3159033366,2848239933,3663226683,2683200210,1512698760,23218957446,,,,,1168933500,643399680,645750000,503706600,599400000,699836118.7,1077067260,,,,,,,,14778984000,2251221140,,,,,-38.5189,50.0962,19.2903,251.8651,23.8953,80.3274,35.3911,,,,,27.2225,31.1427,104.6424,27.4363,41.0019,62.8825,29.5083,,,,,,,,19.576,64.7105,,,,,1.6953,1.9425,2.4599,1.5104,3.2615,1.9101,6.1886,,,,,1.8497,2.6971,1.8517,2.6379,2.0045,3.3875,2.5356,,,,,,,,1.8937,2.0884,,,,,1.1094,1.3105,1.4529,5.0514,2.757,2.7546,7.3008,,,,,3.3664,1.9424,1.3011,4.0118,4.2075,3.9469,1.6236,,,,,,,,1.0245,4.0064,,,,
2014/1/3,-0.8357,-1.2225,0.5903,-0.1859,-1.6037,0.591,1.8623,,,,,1.2274,5.4228,-1.1111,2.8249,-1.8018,-0.6696,0.6135,,,,,,,,0.5348,-1.6901,,,,,0.4565,1.2159,1.5043,0.7212,1.9054,0.5876,1.2369,,,,,3.8273,8.4507,6.3573,6.1835,4.7079,21.6249,3.9587,,,,,,,,0.9052,1.9028,,,,,1496904795,3120414376,2865053628,3656417712,2640170654,1521639060,23651375277,,,,,1183280875,678289920,638575000,517935600,588600000,695150118.5,1083675034,,,,,,,,14858016000,2213172332,,,,,-38.1971,49.4838,19.4042,251.3969,23.5121,80.8022,36.0502,,,,,27.5566,32.8315,103.4797,28.2113,40.2631,62.4614,29.6893,,,,,,,,19.6807,63.6168,,,,,1.6812,1.9188,2.4744,1.5076,3.2092,1.9214,6.3039,,,,,1.8724,2.8433,1.8312,2.7125,1.9684,3.3648,2.5512,,,,,,,,1.9039,2.0531,,,,,1.1002,1.2945,1.4615,5.042,2.7128,2.7709,7.4368,,,,,3.4077,2.0477,1.2866,4.1252,4.1317,3.9205,1.6336,,,,,,,,1.0299,3.9387,,,,
2014/1/6,-2.5281,-4.9505,-1.4085,-3.7244,-4.3073,-5.4054,-2.504,,,,,-6.1902,-4.0976,-3.2103,-5.3846,-5.0765,-10.0078,-3.3101,,,,,,,,-4.2553,-1.7192,,,,,0.4432,1.531,1.0315,1.0425,2.1709,0.7797,0.6513,,,,,3.15,7.1338,3.386,5.5053,3.6534,18.9556,3.0695,,,,,,,,1.4744,1.0785,,,,,1459061696,2965938417,2824700760,3520238281,2526449683,1439388300,23059150856,,,,,1110033750,650496000,618075000,490046760,558720000,625581037.4,1047804258,,,,,,,,14225760000,2175123524,,,,,-37.2314,47.0341,19.1309,242.0339,22.4993,76.4345,35.1475,,,,,25.8508,31.4862,100.1577,26.6923,38.2192,56.2104,28.7066,,,,,,,,18.8432,62.5231,,,,,1.6387,1.8238,2.4396,1.4514,3.0709,1.8175,6.146,,,,,1.7565,2.7268,1.7724,2.5664,1.8685,3.0281,2.4667,,,,,,,,1.8229,2.0178,,,,,1.0724,1.2304,1.4409,4.8542,2.596,2.6211,7.2506,,,,,3.1968,1.9638,1.2453,3.903,3.9219,3.5282,1.5795,,,,,,,,0.9861,3.871,,,,
2014/1/7,2.8818,0.5208,1.9048,-0.7737,1.2165,-1.3665,-0.1223,,,,,1.2925,-1.6364,1.99,2.7875,2.7062,1.6998,3.8739,,,,,,,,0.9259,10.0583,,,,,0.5982,0.8642,1.0374,1.0628,1.1702,0.6948,0.53,,,,,2.069,5.1636,3.7269,3.4709,3.2205,10.1034,2.4359,,,,,,,,0.6899,9.2628,,,,,1501109584,2981386013,2878504584,3493002395,2557185080,1419719640,23030949694,,,,,1124381125,639851520,630375000,503706600,573840000,636214653.4,1088394873,,,,,,,,14357480000,2393904170,,,,,-38.3044,47.2791,19.4953,240.1613,22.773,75.39,35.1045,,,,,26.1849,30.971,102.1509,27.4363,39.2534,57.1659,29.8186,,,,,,,,19.0177,68.8119,,,,,1.6859,1.8333,2.4861,1.4402,3.1083,1.7927,6.1385,,,,,1.7792,2.6822,1.8076,2.6379,1.9191,3.0795,2.5623,,,,,,,,1.8397,2.2207,,,,,1.1033,1.2368,1.4684,4.8167,2.6275,2.5853,7.2417,,,,,3.2381,1.9317,1.2701,4.0118,4.0281,3.5881,1.6407,,,,,,,,0.9953,4.2604,,,,
2014/1/8,-1.1204,0,1.6355,-0.3899,0.3606,-0.7557,-2.0816,,,,,0.4701,0.5545,1.626,0.452,2.5721,4.6742,-1.0408,,,,,,,,-0.1835,0.6623,,,,,0.2633,1.0667,1.302,0.648,0.9926,0.9154,2.0114,,,,,2.2367,7.4757,7.0046,4.7806,4.4792,13.5567,5.3875,,,,,,,,0.9851,6.7236,,,,,1484290429,2981386013,2925582930,3479384452,2566405700,1408991280,22551529924,,,,,1129667000,643399680,640625000,505983240,588600000,665952732.1,1077067260,,,,,,,,14331136000,2409757840,,,,,-37.8752,47.2791,19.8141,239.225,22.8551,74.8203,34.3738,,,,,26.308,31.1427,103.8119,27.5603,40.2631,59.8379,29.5083,,,,,,,,18.9828,69.2676,,,,,1.667,1.8333,2.5267,1.4346,3.1195,1.7791,6.0107,,,,,1.7876,2.6971,1.837,2.6499,1.9684,3.2235,2.5356,,,,,,,,1.8364,2.2354,,,,,1.0909,1.2368,1.4924,4.7979,2.637,2.5658,7.0909,,,,,3.2533,1.9424,1.2908,4.03,4.1317,3.7558,1.6236,,,,,,,,0.9934,4.2886,,,,
2014/1/9,-1.6997,-2.8497,-1.8391,-3.5225,-4.1916,-1.269,-7.1697,,,,,-4.5455,-8.0882,-4.16,-5.8493,-5.0153,-4.9526,-5.2585,,,,,,,,-1.8382,-6.1842,,,,,0.3774,1.2285,0.9201,1.2947,1.5646,0.5588,1.9539,,,,,2.2535,6.6215,3.9029,4.9356,3.8964,12.2619,2.7185,,,,,,,,0.6598,5.0266,,,,,1459061696,2896424235,2871779106,3356822964,2458831808,1391110680,20934663252,,,,,1078318500,591360000,613975000,476386920,559080000,632970499.4,1020429192,,,,,,,,14067696000,2260733342,,,,,-37.2314,45.9317,19.4497,230.7983,21.8971,73.8708,31.9093,,,,,25.1122,28.6238,99.4933,25.9482,38.2438,56.8744,27.9566,,,,,,,,18.6339,64.9839,,,,,1.6387,1.781,2.4802,1.384,2.9888,1.7566,5.5798,,,,,1.7063,2.4789,1.7606,2.4949,1.8697,3.0638,2.4023,,,,,,,,1.8026,2.0972,,,,,1.0724,1.2016,1.4649,4.6289,2.5265,2.5332,6.5825,,,,,3.1054,1.7853,1.2371,3.7942,3.9245,3.5698,1.5382,,,,,,,,0.9752,4.0234,,,,
2014/1/10,-0.5764,-2.4,-0.2342,-3.854,-2.5,-1.928,1.5716,,,,,-0.9804,-4,-3.8397,-2.27,-1.803,-0.7688,0.555,,,,,,,,-0.7491,9.9579,,,,,0.2743,1.0353,0.8505,1.1951,1.4559,0.534,1.1647,,,,,1.532,4.3745,3.2981,2.9679,2.2104,7.2268,1.5547,,,,,,,,0.6007,8.0058,,,,,1450652119,2826910053,2865053628,3227452505,2397361013,1364289780,21263676819,,,,,1067746750,567705600,590400000,465572880,549000000,628104268.3,1026092999,,,,,,,,13962320000,2485855456,,,,,-37.0168,44.8294,19.4042,221.9034,21.3497,72.4466,32.4108,,,,,24.866,27.4789,95.6731,25.3592,37.5543,56.4371,28.1117,,,,,,,,18.4943,71.455,,,,,1.6292,1.7383,2.4744,1.3307,2.914,1.7227,5.6675,,,,,1.6896,2.3798,1.693,2.4382,1.836,3.0403,2.4156,,,,,,,,1.7891,2.306,,,,,1.0662,1.1727,1.4615,4.4505,2.4633,2.4844,6.686,,,,,3.075,1.7138,1.1896,3.7081,3.8537,3.5424,1.5468,,,,,,,,0.9679,4.424,,,,
2014/1/13,-3.7681,0.5464,0.4695,1.6878,0.7692,0.9174,-4.1556,,,,,1.273,1.1458,1.0417,2.0782,2.623,1.1765,-0.276,,,,,,,,-1.8868,-0.5102,,,,,0.8112,0.6042,0.7584,0.8726,0.8323,0.2954,1.5819,,,,,1.1602,3.1741,1.782,4.2877,2.0274,6.8863,1.0276,,,,,,,,0.6043,7.7253,,,,,1395989865,2842357649,2878504584,3281924277,2415802251,1376806200,20380040382,,,,,1081339000,574210560,596550000,475248600,563400000,635493730.3,1023261095,,,,,,,,13698880000,2473172520,,,,,-35.622,45.0743,19.4953,225.6486,21.5139,73.1112,31.0639,,,,,25.1826,27.7937,96.6697,25.8862,38.5393,57.1011,28.0342,,,,,,,,18.1453,71.0904,,,,,1.5678,1.7478,2.4861,1.3532,2.9365,1.7385,5.432,,,,,1.7111,2.407,1.7106,2.4889,1.8841,3.076,2.409,,,,,,,,1.7553,2.2942,,,,,1.026,1.1791,1.4684,4.5256,2.4823,2.5072,6.4082,,,,,3.1141,1.7335,1.202,3.7852,3.9548,3.5841,1.5425,,,,,,,,0.9496,4.4014,,,,
2014/1/14,4.8193,3.8043,1.5187,2.2822,1.6539,3.1169,-0.8764,,,,,3.352,3.0896,2.7491,3.7126,2.3642,2.1271,5.6273,,,,,,,,0.9615,2.5641,,,,,1.0666,1.0975,0.5415,0.8125,0.777,0.4813,1.51,,,,,1.4949,5.0335,1.749,4.8346,2.095,7.8394,2.1917,,,,,,,,0.5854,5.9359,,,,,1463266485,2950490821,2922220191,3356822964,2455758268,1419719640,20201433017,,,,,1117585000,591951360,612950000,492892560,576720000,649011038.8,1080843131,,,,,,,,13830600000,2536587200,,,,,-37.3387,46.7891,19.7913,230.7983,21.8698,75.39,30.7917,,,,,26.0267,28.6524,99.3272,26.8473,39.4504,58.3157,29.6117,,,,,,,,18.3198,72.9133,,,,,1.6434,1.8143,2.5238,1.384,2.985,1.7927,5.3844,,,,,1.7684,2.4814,1.7577,2.5813,1.9287,3.1415,2.5445,,,,,,,,1.7722,2.3531,,,,,1.0754,1.224,1.4907,4.6289,2.5233,2.5853,6.352,,,,,3.2185,1.787,1.235,3.9257,4.0483,3.6603,1.6293,,,,,,,,0.9587,4.5143,,,,
2014/1/15,-0.5747,-0.2618,1.7261,0.8114,1.5019,0.2519,-0.4188,,,,,1.2162,0.3996,3.8462,3.5797,1.3733,7.609,1.1354,,,,,,,,-2.0952,-2.375,,,,,0.5597,0.6886,1.3355,0.8918,0.9959,0.3878,0.6389,,,,,1.759,4.6399,6.4803,6.8571,3.3697,21.4714,3.2794,,,,,,,,0.7316,4.6571,,,,,1454856908,2942767023,2972661276,3384058850,2492640745,1423295760,20116829528,,,,,1131177250,594316800,636525000,510536520,584640000,698394272.5,1093114712,,,,,,,,13540816000,2476343254,,,,,-37.1241,46.6666,20.1329,232.6709,22.1982,75.5799,30.6627,,,,,26.3432,28.7669,103.1475,27.8083,39.9922,62.7529,29.9479,,,,,,,,17.936,71.1816,,,,,1.634,1.8095,2.5674,1.3953,3.0299,1.7972,5.3618,,,,,1.79,2.4913,1.8253,2.6737,1.9552,3.3805,2.5734,,,,,,,,1.7351,2.2972,,,,,1.0693,1.2208,1.5164,4.6664,2.5612,2.5918,6.3254,,,,,3.2576,1.7942,1.2825,4.0662,4.1039,3.9388,1.6478,,,,,,,,0.9386,4.4071,,,,
