ÈÕÆÚ,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH
2014/1/2,0.5803,1.4963,0.4651,3.4392,7.3798,0.7407,,4.7544,3.6256,,,,2.2137,-0.2469,-0.5706,,,,,0.7772,0.6332,0.3311,2.6557,24.5777,0.7557,,2.3781,6.0158,,,,1.862,0.5385,0.8918,,,,,2542005731,2135977506,2072300544,974636433.3,1802152433,988519882.8,,1045248224,732119749,,,,2276300000,3029532556,2726948725,,,,,14.6408,77.1892,80.5247,26.0017,21.0985,100.3769,,117.7468,24.2405,,,,16.1082,9.6771,21.5205,,,,,1.0678,1.3705,1.612,3.6378,2.8211,1.7181,,4.0959,2.5219,,,,4.4917,1.2254,1.8591,,,,,0.3925,0.4052,0.3461,4.0651,2.6755,0.8353,,2.9288,2.5487,,,,0.9791,0.3548,0.6569,,,,
2014/1/3,-1.9231,-0.4914,-0.9259,5.8824,-2.7027,-0.7353,,-1.2859,-2.1969,,,,-0.224,-1.7327,-0.7891,,,,,0.5948,0.3825,0.3733,9.0638,15.3273,0.6141,,2.9053,6.0212,,,,1.6103,0.6101,0.7224,,,,,2493121006,2125481302,2053112576,1031967988,1753445610,981251354.3,,1031807059,716035751.2,,,,2271200000,2977040655,2705430478,,,,,14.3593,76.8099,79.7791,27.5313,20.5283,99.6388,,116.2326,23.708,,,,16.0722,9.5094,21.3507,,,,,1.0472,1.3637,1.597,3.8517,2.7449,1.7055,,4.0433,2.4665,,,,4.4817,1.2042,1.8444,,,,,0.3849,0.4032,0.3429,4.3042,2.6032,0.8292,,2.8911,2.4927,,,,0.9769,0.3487,0.6517,,,,
2014/1/6,-2.3529,-3.4568,-3.972,6.0386,-5.5556,0,,-1.6858,-4.8253,,,,-5.015,-3.4005,-3.3984,,,,,0.7713,0.4344,0.5237,16.3885,9.0504,0.7873,,1.3184,3.6724,,,,2.5757,0.7782,1.087,,,,,2434459335,2052007874,1971563712,1094284896,1656031965,981251354.3,,1014412610,777948325.4,,,,2157300000,2875806275,2613488878,,,,,14.0214,74.1547,76.6103,29.1938,19.3878,99.6388,,114.2732,22.564,,,,15.2661,9.1861,20.6251,,,,,1.0226,1.3166,1.5336,4.0843,2.5924,1.7055,,3.9751,2.3474,,,,4.2569,1.1632,1.7817,,,,,0.3759,0.3893,0.3293,4.5641,2.4585,0.8292,,2.8424,2.3724,,,,0.9279,0.3368,0.6295,,,,
2014/1/7,0.2008,2.046,-0.4866,-3.5687,0.084,1.9753,,-0.5456,1.9231,,,,0.394,0.3911,0.8982,,,,,0.4375,0.5633,0.3766,11.4267,6.1717,0.8646,,1.8049,1.9877,,,,1.0067,0.414,0.5195,,,,,2439347807,2093992690,1961969728,1055232967,1657423589,1000634097,,1008878013,792908870.2,,,,2165800000,2887054540,2636963329,,,,,14.0496,75.672,76.2375,28.1519,19.4041,101.607,,113.6497,22.9979,,,,15.3263,9.222,20.8104,,,,,1.0247,1.3435,1.5261,3.9386,2.5946,1.7392,,3.9534,2.3926,,,,4.2737,1.1678,1.7978,,,,,0.3766,0.3972,0.3277,4.4012,2.4606,0.8456,,2.8269,2.4181,,,,0.9316,0.3381,0.6352,,,,
2014/1/8,-1.002,1.0025,-1.467,0,3.1906,0.7264,,3.605,3.0875,,,,-2.4333,-0.6494,0.9644,,,,,0.4349,0.5015,0.5281,6.8577,7.8177,2.8284,,9.3861,4.6534,,,,1.5944,0.3926,0.6865,,,,,2414905445,2114985098,1933187776,1055232967,1710305282,1007902626,,1045248224,817389761.5,,,,2113100000,2868307432,2662393984,,,,,13.9088,76.4306,75.1191,28.1519,20.0232,102.3451,,117.7468,23.708,,,,14.9534,9.1621,21.0111,,,,,1.0144,1.357,1.5038,3.9386,2.6774,1.7518,,4.0959,2.4665,,,,4.1697,1.1602,1.8151,,,,,0.3728,0.4012,0.3229,4.4012,2.5391,0.8517,,2.9288,2.4927,,,,0.9089,0.3359,0.6413,,,,
2014/1/9,-0.4049,-2.7295,-2.4814,-5.5118,-3.336,-4.0865,,-8.0182,-3.9933,,,,-0.4023,-0.1307,-1.6165,,,,,0.292,0.3105,0.4827,8.6722,5.867,1.8446,,5.555,3.8195,,,,1.0279,0.3711,0.6519,,,,,2405128500,2057255976,1885217856,997070520,1653248718,966714297.2,,961438608,784748573,,,,2104600000,2864558011,2619357491,,,,,13.8525,74.3444,73.2551,26.6002,19.3553,98.1627,,108.3057,22.7612,,,,14.8932,9.1501,20.6714,,,,,1.0103,1.32,1.4664,3.7215,2.588,1.6802,,3.7675,2.368,,,,4.1529,1.1587,1.7857,,,,,0.3713,0.3903,0.3149,4.1587,2.4544,0.8169,,2.694,2.3932,,,,0.9052,0.3355,0.631,,,,
2014/1/10,-2.439,-4.0816,-1.0178,0.0833,-2.3569,-2.7569,,-3.9474,-3.8128,,,,-4.3619,-1.8325,0.1494,,,,,0.5533,0.4329,0.5648,4.0986,5.5274,1.3439,,4.1756,3.2787,,,,2.1236,0.4145,0.7963,,,,,2346466829,1973286344,1866029888,997901412.1,1614283260,940063025.8,,923487084,754827483.6,,,,2012800000,2812066110,2623269899,,,,,13.5146,71.3099,72.5095,26.6224,18.8991,95.4564,,104.0304,21.8934,,,,14.2436,8.9825,24.3937,,,,,0.9856,1.2661,1.4515,3.7246,2.527,1.6339,,3.6188,2.2777,,,,3.9718,1.1374,2.1073,,,,,0.3623,0.3743,0.3117,4.1621,2.3966,0.7944,,2.5876,2.3019,,,,0.8657,0.3294,0.7446,,,,
2014/1/13,-1.4583,-2.1277,0.5141,0.3331,0.2586,0,,1.8836,2.4324,,,,-0.2534,0.4,-2.5354,,,,,0.3951,0.774,0.2716,2.7463,3.9899,0.4634,,2.4073,2.5999,,,,0.8507,0.3104,0.5004,,,,,2312247521,1931301529,1875623872,1001224981,1618458131,940063025.8,,940881532.5,773188152.1,,,,2007700000,2823314374,2556758955,,,,,13.3175,69.7927,72.8823,26.7111,18.948,95.4564,,105.9899,22.4259,,,,14.2075,9.0184,23.7752,,,,,0.9713,1.2392,1.459,3.737,2.5336,1.6339,,3.687,2.3331,,,,3.9617,1.142,2.0539,,,,,0.357,0.3664,0.3133,4.176,2.4028,0.7944,,2.6363,2.3579,,,,0.8636,0.3307,0.7257,,,,
2014/1/14,2.3256,1.9022,0.5115,2.6556,2.5795,0.5155,,2.1008,6.1566,,,,2.7942,2.656,3.8256,,,,,0.4325,0.5138,2.3836,3.6409,3.6502,0.4792,,2.959,4.5177,,,,0.979,0.5721,0.774,,,,,2366020719,1968038243,1885217856,1027813528,1660206836,944908711.5,,960647951.3,820789885.3,,,,2063800000,2898302804,2654569167,,,,,13.6272,71.1203,73.2551,27.4204,19.4367,95.9485,,108.2166,23.8066,,,,14.6045,9.2579,24.6847,,,,,0.9939,1.2627,1.4664,3.8362,2.5989,1.6423,,3.7644,2.4767,,,,4.0724,1.1723,2.1324,,,,,0.3653,0.3733,0.3149,4.2869,2.4647,0.7985,,2.6917,2.5031,,,,0.8877,0.3395,0.7535,,,,
2014/1/15,0.4132,2.1333,0,4.5271,3.1852,0,,0.3292,1.1599,,,,-0.3295,-0.3881,2.5792,,,,,0.2858,0.4594,0.7035,10.0473,7.3465,0.3593,,4.1006,5.9823,,,,0.843,0.3545,1.2849,,,,,2375797664,2010023058,1885217856,1074343485,1713088529,944908711.5,,963810578.3,830310232,,,,2057000000,2887054540,2723036316,,,,,13.6835,72.6375,73.2551,28.6618,20.0558,95.9485,,108.5729,24.0827,,,,14.5564,9.222,25.3214,,,,,0.998,1.2897,1.4664,4.0099,2.6817,1.6423,,3.7768,2.5054,,,,4.059,1.1678,2.1874,,,,,0.3668,0.3813,0.3149,4.481,2.5433,0.7985,,2.7006,2.5321,,,,0.8848,0.3381,0.7729,,,,
