ÈÕÆÚ,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH
2014/1/2,-0.2004,1.6981,-0.5517,-0.2024,0.6397,1.3089,0.6128,0.2876,,2.1534,-0.4464,0.2288,-1.1409,0,,,0.8039,1.0367,0.6137,1.5083,1.0888,0.3361,0.5888,0.4262,,2.886,0.0381,1.2261,1.3361,2.4374,,,5978491111,2753470720,3469014310,1787863085,1729811551,2426864477,3848050539,4673845775,,1913127666,4.06091E+11,26683423159,7687200300,4941000000,,,-38.5268,42.2988,97.6282,194.6299,50.8307,69.1856,61.6185,49.0514,,40.7138,7.7387,60.8985,122.2672,16.4409,,,0.8336,1.536,1.6827,2.6119,3.1195,0.8256,6.3241,3.9794,,3.4683,0.9115,4.9084,6.8686,1.8473,,,0.1439,3.2776,3.2467,0.6197,0.7563,0.2429,1.9996,0.6526,,1.8384,0.1805,9.5186,1.6976,0.2851,,
2014/1/3,-3.6145,-2.0408,-3.19,-1.6227,-1.6949,-0.2584,-4.2082,-1.5296,,2.5033,-1.7937,1.0274,-1.1039,-3.9344,,,1.0702,1.164,1.1936,2.0783,0.9392,0.2322,1.6457,0.5582,,4.9659,0.0419,1.2523,0.9917,3.504,,,5762401070,2697277440,3358352272,1758851108,1700492711,2420593509,3686117072,4602352914,,1961018872,3.98807E+11,26957567917,7602344100,4746600000,,,-37.1343,41.4356,94.5139,191.4716,49.9692,69.0068,59.0255,48.301,,41.733,7.5999,61.5242,120.9175,15.794,,,0.8035,1.5046,1.629,2.5695,3.0666,0.8235,6.058,3.9185,,3.5551,0.8952,4.9588,6.7928,1.7746,,,0.1387,3.2107,3.1431,0.6097,0.7435,0.2423,1.9154,0.6427,,1.8845,0.1773,9.6164,1.6789,0.2739,,
2014/1/6,-4.7917,-5.1136,-3.5817,-4.3299,-3.4483,-2.5907,-1.8497,-0.9709,,-4.1131,2.2831,-2.0339,-3.2471,-2.0478,,,1.0297,1.5558,0.9131,2.2801,1.0313,0.4198,0.6887,0.3287,,3.839,0.0718,0.7799,1.4315,2.3716,,,5486286019,2559348480,3238067449,1682694668,1641855031,2357883833,3617934560,4557669876,,1880359998,4.07912E+11,26409278400,7355489700,4649400000,,,-35.3549,39.3167,91.1287,183.181,48.2461,67.2191,57.9337,47.8321,,40.0165,7.7735,60.2729,116.9912,15.4706,,,0.765,1.4277,1.5707,2.4583,2.9608,0.8022,5.946,3.8805,,3.4089,0.9156,4.8579,6.5723,1.7383,,,0.132,3.0466,3.0305,0.5833,0.7178,0.236,1.88,0.6364,,1.807,0.1813,9.4208,1.6244,0.2683,,
2014/1/7,-1.7505,3.3932,-0.7429,0.8621,0,0,1.649,0.2941,,3.6193,-1.7857,-0.1153,-0.2622,0,,,1.1058,1.3175,0.5412,1.3272,0.7066,0.1542,0.5308,0.3018,,5.9225,0.0489,0.741,0.9802,1.7351,,,5390246001,2646192640,3214010484,1697200657,1641855031,2357883833,3677594258,4571074787,,1948415923,4.00628E+11,26378817872,7336204200,4649400000,,,-34.736,40.6508,90.4517,184.7602,48.2461,67.2191,58.889,47.9728,,41.4648,7.6346,60.2034,116.6845,15.4706,,,0.7516,1.4761,1.559,2.4794,2.9608,0.8022,6.044,3.8919,,3.5323,0.8993,4.8523,6.555,1.7383,,,0.1297,3.1499,3.008,0.5883,0.7178,0.236,1.911,0.6383,,1.8724,0.1781,9.41,1.6201,0.2683,,
2014/1/8,-0.4454,1.5444,-0.1497,2.1368,1.1161,-0.266,1.5064,2.0528,,1.2937,-0.2273,-0.5774,-1.735,-1.3937,,,0.6139,1.6452,0.5466,3.0811,0.6341,0.3682,0.5684,0.4412,,4.8135,0.0378,0.7665,1.0824,2.3179,,,5366235997,2687060480,3209199091,1733465628,1660179306,2351612865,3732992550,4664909167,,1973621821,3.99718E+11,26226515228,7208919900,4584600000,,,-34.5813,41.2786,90.3163,188.7081,48.7846,67.0403,59.7761,48.9576,,42.0012,7.6173,59.8558,114.66,15.255,,,0.7482,1.4989,1.5567,2.5324,2.9939,0.8,6.1351,3.9718,,3.5779,0.8972,4.8243,6.4413,1.714,,,0.1291,3.1986,3.0035,0.6009,0.7259,0.2353,1.9398,0.6514,,1.8966,0.1777,9.3556,1.592,0.2645,,
2014/1/9,-1.1186,-2.0913,-0.7496,-0.4184,-1.3245,-1.0667,-2.3402,0.7663,,-4.8531,0.2278,-1.0453,-0.1605,9.5406,,,0.7815,1.6013,0.6843,2.4528,0.6647,0.2936,0.4023,0.5254,,5.7799,0.026,1.8789,0.8382,7.5067,,,5306210986,2630867200,3185142126,1726212634,1638190176,2326528994,3645633706,4700655598,,1877839408,4.00628E+11,25952370469,7197348600,5022000000,,,-34.1945,40.4154,89.6392,187.9185,48.1384,66.3252,58.3772,49.3327,,39.9628,7.6346,59.2301,114.4759,16.7104,,,0.7399,1.4676,1.545,2.5218,2.9542,0.7915,5.9915,4.0022,,3.4043,0.8993,4.7739,6.431,1.8776,,,0.1277,3.1317,2.981,0.5983,0.7162,0.2328,1.8944,0.6564,,1.8045,0.1781,9.2578,1.5895,0.2898,,
2014/1/10,0.4525,10.0971,-3.3233,6.0924,1.7897,-3.2345,-3.5067,-2.0913,,0,0.4545,-3.9906,0.3215,-3.871,,,0.8807,6.2077,0.7947,8.0289,1.6785,0.4493,1.375,0.3811,,,0.0303,1.092,0.8038,4.9302,,,5330220990,2896508160,3079291482,1831381051,1667509016,2251277383,3517791495,4602352914,,1877839408,4.02449E+11,24916712493,7220491200,4827600000,,,-34.3492,44.4962,86.6603,199.3673,49,64.1799,56.3301,48.301,,39.9628,7.6693,56.8664,114.844,16.0635,,,0.7432,1.6158,1.4936,2.6755,3.0071,0.7659,5.7814,3.9185,,3.4043,0.9033,4.5834,6.4516,1.8049,,,0.1283,3.4479,2.8819,0.6348,0.7291,0.2253,1.8279,0.6427,,1.8045,0.1789,8.8884,1.5946,0.2786,,
2014/1/13,0.4505,-3.8801,-0.1563,-2.1782,-2.6374,0.2786,7.2683,-5.1456,,0,1.3575,-10.0244,-4.7543,-3.6913,,,0.6646,4.1964,0.6144,3.0391,1.0178,0.198,1.9525,1.0505,,,0.0484,2.8804,1.3156,2.6047,,,5354230995,2784121600,3074480089,1791489582,1623530756,2257548350,3773475916,4365532813,,1877839408,4.07912E+11,22418949138,6877209300,4649400000,,,-34.5039,42.7697,86.5249,195.0246,47.7077,64.3587,60.4243,45.8157,,39.9628,7.7735,51.1659,109.384,15.4706,,,0.7466,1.5531,1.4913,2.6172,2.9278,0.768,6.2016,3.7169,,3.4043,0.9156,4.1239,6.1449,1.7383,,,0.1288,3.3141,2.8774,0.621,0.7098,0.2259,1.9608,0.6096,,1.8045,0.1813,7.9974,1.5188,0.2683,,
2014/1/14,1.1211,4.4037,2.5039,2.834,1.5801,1.1111,0,0.3071,,0,2.4554,-2.3098,0.6169,4.5296,,,0.7702,3.5211,0.5849,3.8251,0.7441,0.252,1.3715,0.536,,,0.0778,5.1267,1.4247,3.1389,,,5414256006,2906725120,3151462376,1842260542,1649184741,2282632221,3773475916,4378937724,,1877839408,4.17928E+11,21901120150,6919637400,4860000000,,,-34.8907,44.6531,88.6914,200.5517,48.4615,65.0738,60.4243,45.9563,,39.9628,7.9643,49.9841,110.0589,16.1713,,,0.7549,1.6215,1.5287,2.6914,2.9741,0.7766,6.2016,3.7283,,3.4043,0.9381,4.0287,6.1828,1.817,,,0.1303,3.4601,2.9495,0.6386,0.721,0.2284,1.9608,0.6115,,1.8045,0.1858,7.8127,1.5281,0.2804,,
2014/1/15,-0.8869,0.3515,2.4427,-0.1969,0.4444,-0.2747,9.9944,-3.0612,,0,1.3072,-4.0334,0.6132,0.6667,,,0.4163,3.1105,1.1008,3.1819,0.749,0.1901,4.7257,1.017,,,0.0512,2.2784,0.9344,2.5748,,,5366235997,2916942080,3228444663,1838634045,1656514451,2276361253,4150610437,4244888610,,1877839408,4.23391E+11,21017764817,6962065500,4892400000,,,-34.5813,44.8101,90.8579,200.1569,48.6769,64.895,66.4634,44.5495,,39.9628,8.0684,47.968,110.7337,16.2791,,,0.7482,1.6272,1.566,2.6861,2.9873,0.7744,6.8214,3.6142,,3.4043,0.9504,3.8662,6.2207,1.8291,,,0.1291,3.4722,3.0215,0.6373,0.7243,0.2278,2.1568,0.5927,,1.8045,0.1882,7.4975,1.5375,0.2823,,
