ÈÕÆÚ,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH
2014/1/2,0,0,4.0278,1.2259,-0.4078,4.3557,2.7815,,,,2.3284,4.4861,0,2.3577,0.339,1.0738,4.1126,6.9085,-1.5394,3.5994,3.5714,0.8427,,,,,,,,,,,,,,,,,,,,2.9297,1,-1.8309,,,,,,,,,,,,,,4.9853,0.7033,0.3171,3.1168,1.7707,,,,1.2983,2.6033,,3.934,0.9675,0.4496,2.9909,2.8809,1.9765,5.9812,5.3546,1.106,,,,,,,,,,,,,,,,,,,,1.4966,1.1481,1.3264,,,,,,,,,,,,1285200000,7362404027,6566681350,10303698088,2927742896,4278000000,3897331898,,,,11759869267,1953380966,2590164972,1380917632,2141047180,3582501811,1196050752,6379275375,2237400000,965350000,872250168,1533378750,,,,,,,,,,,,,,,,,,,,2281383000,2599539121,11945266724,,,,,,,,,,,,-208.7429,28.7176,51.4396,47.6287,62.3831,-466.6071,116.4702,,,,38.4843,59.0461,606.7674,94.3265,90.0572,82.3611,97.1774,69.9993,54.1395,56.0622,43.7859,73.2502,,,,,,,,,,,,,,,,,,,,52.2975,21.2496,58.8822,,,,,,,,,,,,11.1331,7.3133,9.7737,8.159,2.977,5.7217,6.8702,,,,4.9221,3.9793,4.1695,2.7856,7.335,12.2962,7.3035,11.7902,9.4603,5.7183,3.4062,9.218,,,,,,,,,,,,,,,,,,,,3.4278,1.2806,5.6533,,,,,,,,,,,,4.901,7.4299,8.0242,8.6292,2.1947,10.4964,11.7531,,,,10.6791,6.864,5.6858,7.2005,21.685,6.9827,11.9691,16.4808,19.9299,16.5343,22.2295,37.0351,,,,,,,,,,,,,,,,,,,,2.9834,1.683,3.2529,,,,,,,,,,,
2014/1/3,0,0,0.2003,-1.6003,-1.8837,-0.3478,-2.4485,,,,-1.9837,9.1304,0,0.1589,4.7297,-0.8263,-0.5717,-0.4693,0.3392,0.7572,0.7586,-1.5566,,,,,,,,,,,,,,,,,,,,0.8539,-1.2871,-2.7976,,,,,,,,,,,,,,3.9128,0.8589,0.2575,2.8836,1.5021,,,,1.4441,3.4879,,2.9502,2.2054,0.4161,2.5963,1.3188,1.7151,7.0892,5.6653,1.233,,,,,,,,,,,,,,,,,,,,1.4736,0.7579,1.5029,,,,,,,,,,,,1285200000,7362404027,6579832247,10138803266,2872592948,4263120000,3801907534,,,,11526592980,2131733141,2590164972,1383111306,2242312925,3552899351,1189212624,6349336538,2582350770,972660000,878867238.2,1509510000,,,,,,,,,,,,,,,,,,,,2300863500,2566079707,11611084703,,,,,,,,,,,,-208.7429,28.7176,51.5426,46.8664,61.208,-464.9841,113.6185,,,,37.7209,64.4373,606.7674,94.4764,94.3167,81.6805,96.6218,69.6708,54.3232,56.4867,44.1181,72.11,,,,,,,,,,,,,,,,,,,,52.744,20.9761,57.2349,,,,,,,,,,,,11.1331,7.3133,9.7933,8.0285,2.9209,5.7018,6.702,,,,4.8245,4.3426,4.1695,2.79,7.6819,12.1946,7.2617,11.7349,9.4924,5.7616,3.432,9.0745,,,,,,,,,,,,,,,,,,,,3.457,1.2641,5.4952,,,,,,,,,,,,4.901,7.4299,8.0402,8.4911,2.1534,10.4599,11.4653,,,,10.4672,7.4907,5.6858,7.2119,22.7107,6.925,11.9007,16.4035,19.9975,16.6595,22.3982,36.4586,,,,,,,,,,,,,,,,,,,,3.0089,1.6614,3.1619,,,,,,,,,,,
2014/1/6,0,0,-3.4644,-1.7582,-3.5893,-3.7522,-3.963,,,,-3.3929,-1.4442,0,-4.5599,7.2581,-1.7174,-0.8887,-2.7929,-2.8664,-2.8294,-4.449,-2.2304,,,,,,,,,,,,,,,,,,,,1.0348,-2.4072,0.7195,,,,,,,,,,,,,,2.9979,0.5108,0.2156,2.0186,1.2829,,,,1.3275,3.6629,,2.0875,5.9197,0.6734,3.1703,1.1556,1.389,5.8692,4.3987,1.7254,,,,,,,,,,,,,,,,,,,,1.8729,1.1158,0.7468,,,,,,,,,,,,1285200000,7362404027,6351883362,9960538593,2769486524,4103160000,3651237487,,,,11135512147,2100946158,2590164972,1320043185,2405061444,3491882035,1178644608,6172006500,2508330720,945140000,839766368.6,1475842500,,,,,,,,,,,,,,,,,,,,2324673000,2504308480,11694630208,,,,,,,,,,,,-208.7429,28.7176,49.757,46.0424,59.0111,-447.5371,109.1158,,,,36.4411,63.5067,606.7674,90.1684,101.1622,80.2778,95.7632,67.725,52.7661,54.8885,42.1553,70.5017,,,,,,,,,,,,,,,,,,,,53.2898,20.4711,57.6468,,,,,,,,,,,,11.1331,7.3133,9.454,7.8873,2.8161,5.4879,6.4364,,,,4.6608,4.2799,4.1695,2.6628,8.2395,11.9852,7.1972,11.4071,9.2204,5.5986,3.2794,8.8721,,,,,,,,,,,,,,,,,,,,3.4928,1.2337,5.5347,,,,,,,,,,,,4.901,7.4299,7.7617,8.3418,2.0761,10.0674,11.0109,,,,10.1121,7.3825,5.6858,6.8831,24.359,6.8061,11.7949,15.9453,19.4243,16.1882,21.4017,35.6454,,,,,,,,,,,,,,,,,,,,3.0401,1.6214,3.1846,,,,,,,,,,,
2014/1/7,0,0,1.8634,4.6085,-1.4719,5.893,2.0289,,,,1.602,6.7711,0,1.2879,4.2406,1.6955,2.2152,4.3284,1.362,2.2748,1.7908,4.8689,,,,,,,,,,,,,,,,,,,,4.7486,0.5139,1.3097,,,,,,,,,,,,,,2.1104,1.1691,0.3113,3.2259,1.0521,,,,1.0338,2.4192,,1.2411,5.2557,0.5121,3.158,1.7438,1.2452,5.5942,3.0346,1.7469,,,,,,,,,,,,,,,,,,,,2.974,0.5327,0.7873,,,,,,,,,,,,1285200000,7362404027,6470241437,10419570125,2728723519,4344960000,3725316927,,,,11313899895,2243203250,2590164972,1337044157,2507050516,3551086956,1204753824,6439153050,2542493820,966640000,854805164.6,1547700000,,,,,,,,,,,,,,,,,,,,2435062500,2517177486,11847796968,,,,,,,,,,,,-208.7429,28.7176,50.6841,48.1643,58.1425,-473.9105,111.3296,,,,37.0249,67.8068,606.7674,91.3296,105.4521,81.6389,97.8845,70.6563,53.4847,56.1371,42.9102,73.9344,,,,,,,,,,,,,,,,,,,,55.8204,20.5763,58.4018,,,,,,,,,,,,11.1331,7.3133,9.6302,8.2508,2.7747,5.8113,6.567,,,,4.7355,4.5697,4.1695,2.6971,8.5889,12.1884,7.3566,11.9008,9.3459,5.7259,3.3381,9.3041,,,,,,,,,,,,,,,,,,,,3.6587,1.24,5.6072,,,,,,,,,,,,4.901,7.4299,7.9063,8.7262,2.0456,10.6607,11.2343,,,,10.2741,7.8824,5.6858,6.9717,25.392,6.9215,12.0562,16.6355,19.6889,16.5564,21.7849,37.381,,,,,,,,,,,,,,,,,,,,3.1844,1.6297,3.2263,,,,,,,,,,,
2014/1/8,0,0,-0.271,0.2566,0.8787,1.6267,4.8871,,,,-0.2426,-4.5433,0,1.4766,0.6924,1.0888,3.8184,6.1516,2.4186,3.4253,2.1112,5.0325,,,,,,,,,,,,,,,,,,,,-0.5333,-1.7382,-0.2791,,,,,,,,,,,,,,2.1308,1.0923,0.3004,4.9675,2.0922,,,,2.1121,5.8316,,2.4665,3.5683,0.7578,5.5144,3.3843,2.3585,13.7745,6.3277,3.139,,,,,,,,,,,,,,,,,,,,1.0255,1.1421,0.4582,,,,,,,,,,,,1285200000,7362404027,6452706908,10446309826,2752701757,4415640000,3907376568,,,,11286455626,2141287722,2590164972,1356787221,2524410358,3589751393,1250755776,6835266900,2603987400,999750000,872851719.8,1625587500,,,,,,,,,,,,,,,,,,,,2422075500,2473422867,11814726872,,,,,,,,,,,,-208.7429,28.7176,50.5468,48.2879,58.6534,-481.6197,116.7704,,,,36.9351,64.7261,606.7674,92.6782,106.1823,82.5278,101.6221,75.0029,54.7783,58.0599,43.8161,77.6551,,,,,,,,,,,,,,,,,,,,55.5226,20.2187,58.2388,,,,,,,,,,,,11.1331,7.3133,9.6041,8.272,2.799,5.9058,6.8879,,,,4.724,4.3621,4.1695,2.7369,8.6483,12.3211,7.6376,12.6329,9.572,5.9221,3.4086,9.7723,,,,,,,,,,,,,,,,,,,,3.6392,1.2184,5.5916,,,,,,,,,,,,4.901,7.4299,7.8849,8.7486,2.0635,10.8341,11.7833,,,,10.2492,7.5243,5.6858,7.0747,25.5678,6.9968,12.5166,17.6589,20.1651,17.1235,22.2449,39.2622,,,,,,,,,,,,,,,,,,,,3.1674,1.6014,3.2173,,,,,,,,,,,
2014/1/9,0,0,2.7853,1.3225,0.6098,-0.7582,-1.7995,,,,-3.0395,0.1487,0,-3.7995,10,-2.2046,-4.5726,-5.3235,-5.8309,-2.5376,-2.7567,-5.7496,,,,,,,,,,,,,,,,,,,,-4.0214,-2.1852,4.0955,,,,,,,,,,,,,,6.1331,1.8222,0.3172,4.9265,1.7446,,,,1.7696,3.6991,,2.4432,6.099,0.6287,3.7689,2.6176,3.6814,13.5688,6.8044,2.1103,,,,,,,,,,,,,,,,,,,,1.5013,1.2902,1.164,,,,,,,,,,,,1285200000,7362404027,6632435836,10584464948,2769486524,4382160000,3837063879,,,,10943402264,2144472582,2590164972,1305235887,2776851393,3510610122,1193564160,6471394875,2219591400,974380000,848789646.2,1532122500,,,,,,,,,,,,,,,,,,,,2324673000,2419373043,12298594590,,,,,,,,,,,,-208.7429,28.7176,51.9547,48.9265,59.0111,-477.968,114.6691,,,,35.8124,64.8224,606.7674,89.1569,116.8006,80.7083,96.9754,71.0101,51.5842,56.5866,42.6082,73.1902,,,,,,,,,,,,,,,,,,,,53.2898,19.7768,60.6239,,,,,,,,,,,,11.1331,7.3133,9.8716,8.3814,2.8161,5.861,6.7639,,,,4.5804,4.3686,4.1695,2.6329,9.5132,12.0495,7.2883,11.9604,9.0138,5.7718,3.3146,9.2104,,,,,,,,,,,,,,,,,,,,3.4928,1.1918,5.8206,,,,,,,,,,,,4.901,7.4299,8.1045,8.8643,2.0761,10.752,11.5713,,,,9.9376,7.5355,5.6858,6.8059,28.1246,6.8426,11.9442,16.7188,18.9893,16.689,21.6316,37.0047,,,,,,,,,,,,,,,,,,,,3.0401,1.5664,3.3491,,,,,,,,,,,
2014/1/10,0,0,-2.3794,1.3474,2.7706,-2.4618,0.1309,,,,-1.8809,-3.4653,0,-3.6975,-5.0534,-1.3939,-9.8958,-1.3167,-0.3096,1.2798,-0.4252,-1.1971,,,,,,,,,,,,,,,,,,,,5.121,0.9574,-1.486,,,,,,,,,,,,,,3.2335,1.1004,0.4585,2.8691,1.1558,,,,1.1063,1.626,,1.5765,4.3456,0.5386,6.6835,1.7725,1.8465,8.1245,4.1885,1.3629,,,,,,,,,,,,,,,,,,,,2.6451,0.976,0.8247,,,,,,,,,,,,1285200000,7362404027,6474625070,10727076686,2846216886,4274280000,3842086214,,,,10737570246,2070159176,2590164972,1256975064,2636526004,3461675443,1075451040,6386184338,2212719600,986850000,845180335.2,1513781250,,,,,,,,,,,,,,,,,,,,2443720500,2442537253,12115838797,,,,,,,,,,,,-208.7429,28.7176,50.7185,49.5857,60.646,-466.2014,114.8192,,,,35.1388,62.5761,606.7674,85.8603,110.8982,79.5833,87.3789,70.0751,51.8048,57.3108,42.427,72.314,,,,,,,,,,,,,,,,,,,,56.0188,19.9662,59.723,,,,,,,,,,,,11.1331,7.3133,9.6367,8.4943,2.8941,5.7167,6.7728,,,,4.4942,4.2172,4.1695,2.5356,9.0324,11.8815,6.5671,11.803,9.0524,5.8456,3.3005,9.1002,,,,,,,,,,,,,,,,,,,,3.6717,1.2032,5.7341,,,,,,,,,,,,4.901,7.4299,7.9117,8.9838,2.1336,10.4873,11.5865,,,,9.7507,7.2743,5.6858,6.5542,26.7034,6.7472,10.7623,16.4987,19.0705,16.9026,21.5396,36.5618,,,,,,,,,,,,,,,,,,,,3.1957,1.5814,3.2993,,,,,,,,,,,
2014/1/13,0,0,-3.1144,4.0715,-0.674,0.2611,-1.3072,,,,-0.8307,-5.1282,0,0.5236,6.4472,1.0995,-2.8902,0.4327,2.4845,1.8736,-5.2669,5.7261,,,,,,,,,,,,,,,,,,,,-2.3029,2.2129,-4.2666,,,,,,,,,,,,,,3.4945,1.7358,0.152,1.8868,0.6009,,,,0.7358,2.0927,,1.4643,4.2298,0.427,4.7163,1.1437,1.6281,9.287,6.5774,3.2724,,,,,,,,,,,,,,,,,,,,1.6427,0.994,1.1368,,,,,,,,,,,,1285200000,7362404027,6272977979,11163825134,2827034296,4285440000,3791862865,,,,10648376372,1963997167,2590164972,1263556086,2806507790,3499735749,1044368640,6413820188,2267694000,1005340000,800665499,1600462500,,,,,,,,,,,,,,,,,,,,2387443500,2496587077,11598900983,,,,,,,,,,,,-208.7429,28.7176,49.1389,51.6046,60.2373,-467.4186,113.3183,,,,34.8469,59.367,606.7674,86.3099,118.048,80.4583,84.8535,70.3784,53.0918,58.3846,40.1924,76.4548,,,,,,,,,,,,,,,,,,,,54.7288,20.408,57.1749,,,,,,,,,,,,11.1331,7.3133,9.3366,8.8401,2.8746,5.7317,6.6843,,,,4.4569,4.0009,4.1695,2.5488,9.6148,12.0121,6.3773,11.854,9.2773,5.9552,3.1267,9.6213,,,,,,,,,,,,,,,,,,,,3.5871,1.2299,5.4894,,,,,,,,,,,,4.901,7.4299,7.6653,9.3495,2.1193,10.5147,11.435,,,,9.6697,6.9013,5.6858,6.5885,28.425,6.8214,10.4512,16.5701,19.5443,17.2193,20.4052,38.6553,,,,,,,,,,,,,,,,,,,,3.1221,1.6164,3.1586,,,,,,,,,,,
2014/1/14,0,0,1.3277,5.3094,0.8482,6.5104,0.298,,,,5.0902,4.2703,0,5.4688,-2.7835,0.5351,3.3333,6.6427,3.7727,3.5073,3.8317,4.4741,,,,,,,,,,,,,,,,,,,,4.1704,1.4433,0.03,,,,,,,,,,,,,,2.4668,2.1908,0.1837,4.8404,1.4922,,,,1.2239,1.4646,,2.6398,4.7882,0.5471,2.5196,1.7557,1.6101,14.8363,5.2772,2.6476,,,,,,,,,,,,,,,,,,,,2.1344,0.4897,0.5342,,,,,,,,,,,,1285200000,7362404027,6356266995,11756555171,2851012534,4564440000,3803163118,,,,11190400685,2047865154,2590164972,1332656809,2728388501,3518463836,1079180928,6839872875,2353247910,1040600000,831344642.9,1672068750,,,,,,,,,,,,,,,,,,,,2487010500,2532620292,11602382046,,,,,,,,,,,,-208.7429,28.7176,49.7913,54.3445,60.7482,-497.8495,113.656,,,,36.6207,61.9022,606.7674,91.03,114.7621,80.8889,87.6819,75.0534,55.0949,60.4323,41.7325,79.8755,,,,,,,,,,,,,,,,,,,,57.0112,20.7026,57.192,,,,,,,,,,,,11.1331,7.3133,9.4605,9.3095,2.899,6.1048,6.7042,,,,4.6838,4.1718,4.1695,2.6882,9.3471,12.0764,6.5899,12.6415,9.6273,6.164,3.2465,10.0517,,,,,,,,,,,,,,,,,,,,3.7367,1.2476,5.4911,,,,,,,,,,,,4.901,7.4299,7.767,9.8459,2.1372,11.1992,11.4691,,,,10.1619,7.196,5.6858,6.9489,27.6338,6.8579,10.7996,17.6708,20.2816,17.8232,21.187,40.3848,,,,,,,,,,,,,,,,,,,,3.2524,1.6397,3.1595,,,,,,,,,,,
2014/1/15,0,0,2.7586,-0.6444,-1.0093,0.8965,1.2545,,,,0.5518,1.6071,0,3.6214,1.5376,5.6834,3.2258,0.202,-1.2995,0.0413,4.0521,0.8114,,,,,,,,,,,,,,,,,,,,0.5222,0.3049,4.5155,,,,,,,,,,,,,,2.707,1.3601,0.3028,4.3582,1.8883,,,,0.7523,1.0434,,2.611,4.9476,2.0345,3.4502,1.1467,1.2827,8.6136,7.0377,1.5263,,,,,,,,,,,,,,,,,,,,1.6698,0.6364,0.5499,,,,,,,,,,,,1285200000,7362404027,6531612291,11680792685,2822238648,4605360000,3850875300,,,,11252150290,2080775376,2590164972,1380917632,2770341453,3718431475,1113993216,6853690800,2322668400,1041030000,865031545.9,1685636250,,,,,,,,,,,,,,,,,,,,2499997500,2540341696,12126281985,,,,,,,,,,,,-208.7429,28.7176,51.1649,53.9943,60.1351,-502.3127,115.0818,,,,36.8228,62.897,606.7674,94.3265,116.5267,85.4861,90.5104,75.205,54.3789,60.4572,43.4235,80.5236,,,,,,,,,,,,,,,,,,,,57.3089,20.7657,59.7745,,,,,,,,,,,,11.1331,7.3133,9.7215,9.2495,2.8697,6.1596,6.7883,,,,4.7096,4.2388,4.1695,2.7856,9.4909,12.7628,6.8024,12.667,9.5022,6.1666,3.378,10.1333,,,,,,,,,,,,,,,,,,,,3.7562,1.2514,5.739,,,,,,,,,,,,4.901,7.4299,7.9813,9.7825,2.1157,11.2996,11.613,,,,10.218,7.3116,5.6858,7.2005,28.0587,7.2476,11.148,17.7065,20.0181,17.8306,22.0456,40.7125,,,,,,,,,,,,,,,,,,,,3.2693,1.6447,3.3022,,,,,,,,,,,
