ÈÕÆÚ,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH
2014/1/2,1.2891,-2.4402,0,-0.5076,1.2802,1.0766,1.5841,-1.4241,-0.6088,0,-10,0.1572,,,-1.9789,1.4054,-0.188,0.2625,,,,,0.9169,0.836,,1.4222,0.9888,2.0321,1.4226,1.9194,0.446,,0.8445,0.8346,,,1.5161,1.1025,0.6622,0.586,,,,,1782000000,18309546681,2113736600,4142029196,1596660000,904838303.2,10696473954,2473346134,10560587149,826469642.6,1495195850,3590218632,,,891291617.9,5205590400,1810233066,2220626253,,,,,19.3903,1412.1329,166.8467,34.5158,-256.0916,73.0525,64.8657,2023.4596,60.049,-8.8534,78.7674,72.3305,,,667.7045,51.8392,-30.9777,112.5229,,,,,2.2372,14.5881,36.1834,3.2787,4.5768,3.4539,13.7162,3.6876,8.0555,2.4087,4.8401,9.1443,,,2.0466,10.0218,5.32,1.3964,,,,,2.4436,89.0063,12.8752,1.1765,2.0757,5.7905,19.5067,6.2042,6.7612,5.6684,12.1904,20.2163,,,1.6904,11.2428,6.8519,2.1293,,,,
2014/1/3,-0.9091,-2.4522,0,-2.0408,0.4213,-1.4201,-0.3199,3.2103,-0.4836,0,0.6423,-2.0251,,,-2.961,-0.0924,-2.2599,-2.356,,,,,0.4169,2.8364,,1.6954,1.413,1.9903,1.2362,3.3867,0.5144,,19.6342,0.7825,,,1.349,0.5051,0.7387,1.0744,,,,,1765800000,17860563192,2113736600,4057497988,1603387500,891988528.5,10662258923,2552747294,10509520480,826469642.6,1504798907,3517512478,,,864900749,5200780800,1769323845,2168307833,,,,,19.214,1377.5048,166.8467,33.8114,-257.1707,72.0151,64.6582,2088.4181,59.7587,-8.8534,79.2733,70.8658,,,647.934,51.7913,-30.2776,109.8719,,,,,2.2169,14.2303,36.1834,3.2118,4.5961,3.4049,13.6724,3.806,8.0166,2.4087,4.8712,8.9592,,,1.986,10.0126,5.1998,1.3635,,,,,2.4214,86.8237,12.8752,1.1525,2.0844,5.7083,19.4443,6.4033,6.7285,5.6684,12.2687,19.8069,,,1.6404,11.2324,6.6971,2.0792,,,,
2014/1/6,-4.9541,0.7039,0,-6.25,-3.4965,-5.1621,-0.1203,1.5552,-0.6479,0,-10.0191,0.9454,,,-4.0222,-2.8977,-3.4682,-5.0938,,,,,0.6331,1.0342,,2.3405,0.8858,1.561,0.7697,3.1145,0.5981,,13.6933,1.2438,,,1.4453,0.8928,0.7076,1.1782,,,,,1678320000,17986278569,2113736600,3803904364,1547325000,845943502.4,10649428287,2592447874,10441431588,826469642.6,1354030924,3550765680,,,830112785.4,5050080000,1707960012,2057857836,,,,,18.2622,1387.2006,166.8467,31.6982,-248.1787,68.2976,64.5804,2120.8974,59.3715,-8.8534,71.3308,71.5357,,,621.8729,50.2906,-29.2275,104.2752,,,,,2.107,14.3305,36.1834,3.0111,4.4354,3.2291,13.6559,3.8652,7.9646,2.4087,4.3831,9.0438,,,1.9061,9.7224,5.0195,1.294,,,,,2.3014,87.4348,12.8752,1.0804,2.0115,5.4136,19.421,6.5029,6.6849,5.6684,11.0395,19.9941,,,1.5744,10.9069,6.4648,1.9732,,,,
2014/1/7,-1.5444,-1.2981,0,0,0.1449,0,-0.3213,0.3063,2.2172,0,-2.4823,4.1429,,,1.1561,0.381,-1.5968,0.565,,,,,1.1026,0.8164,,1.1903,0.4408,1.1693,0.8878,1.4915,0.3912,,14.8728,2.5646,,,0.6437,0.5753,0.7685,0.675,,,,,1652400000,17752807155,2114206019,3803904364,1549567500,845943502.4,10615213256,2600387990,10672933821,826469642.6,1320420228,3697868830,,,839709465,5069318400,1680687197,2069484152,,,,,17.9801,1369.194,166.8467,31.6982,-248.5384,68.2976,64.3729,2127.3933,60.6879,-8.8534,69.5602,74.4993,,,629.0621,50.4822,-28.7608,104.8643,,,,,2.0745,14.1445,36.1834,3.0111,4.4418,3.2291,13.612,3.8771,8.1412,2.4087,4.2743,9.4185,,,1.9282,9.7595,4.9393,1.3014,,,,,2.2659,86.2999,12.8752,1.0804,2.0144,5.4136,19.3586,6.5228,6.8331,5.6684,10.7655,20.8225,,,1.5926,10.9485,6.3616,1.9844,,,,
2014/1/8,-0.7843,1.5175,0,1.1111,0.7236,1.7722,6.527,-0.916,0.5423,0,1.0909,3.9781,,,-2.8571,1.2966,0.2028,0.5618,,,,,0.5096,0.9591,,1.2918,1.4427,1.1555,1.8405,1.5595,0.5425,,12.528,3.5002,,,0.6405,0.5971,0.8375,0.6485,,,,,1639440000,18022197248,2114206019,3846169968,1560780000,860934906.2,11308067627,2576567642,10730809379,826469642.6,1334824812,3844971979,,,815717766,5135049600,1684096299,2081110467,,,,,17.8391,1389.9709,166.8467,32.0504,-250.3367,69.508,68.5746,2107.9057,61.017,-8.8534,70.319,77.4629,,,611.0889,51.1367,-28.8192,105.4534,,,,,2.0582,14.3591,36.1834,3.0445,4.474,3.2863,14.5005,3.8415,8.1854,2.4087,4.321,9.7932,,,1.8731,9.886,4.9493,1.3087,,,,,2.2481,87.6094,12.8752,1.0924,2.029,5.5096,20.6221,6.4631,6.8701,5.6684,10.8829,21.6508,,,1.5471,11.0905,6.3745,1.9955,,,,
2014/1/9,-0.1976,2.4415,0,-1.4652,-2.1552,5.4726,-1.2859,-0.3082,-0.5393,0,-7.4101,-0.2052,,,-2.6471,-0.7493,9.919,-1.9553,,,,,0.4014,1.5834,,1.6646,1.5826,4.0064,1.4113,1.4066,0.3612,,16.5982,1.8908,,,0.8539,0.9072,3.413,0.499,,,,,1636200000,18462201068,7398431832,3789815829,1527142500,908050746.9,11162653746,2568627526,10672933821,826469642.6,1235913333,3837081389,,,794125236.9,5096572800,1851142288,2040418363,,,,,17.8038,1423.9064,550.8947,31.5808,-244.9416,73.3119,67.6927,2101.4098,60.6879,-8.8534,65.1083,77.304,,,594.9131,50.7536,-31.6777,103.3915,,,,,2.0542,14.7097,119.4706,2.9999,4.3776,3.4662,14.314,3.8297,8.1412,2.4087,4.0008,9.7731,,,1.8235,9.812,5.4403,1.2831,,,,,2.2436,89.7484,42.5112,1.0764,1.9853,5.8111,20.3569,6.4432,6.8331,5.6684,10.0765,21.6063,,,1.5061,11.0074,7.0068,1.9565,,,,
2014/1/10,0,-0.535,0,1.1152,-4.2584,-2.1226,0.5364,-2.9366,-3.6683,0,0.2331,-3.0699,,,-1.0574,-4.4354,2.7624,-1.4245,,,,,0.3566,0.9097,,2.3309,0.7063,4.7331,1.0723,1.1042,0.3899,,8.1187,2.1521,,,0.4707,0.9729,4.4197,0.5177,,,,,1636200000,18363424700,7398431832,3832081433,1462110000,888776084.8,11222530050,2493196424,10281422692,826469642.6,1238794250,3719286146,,,785728142.3,4870521600,1902278816,2011352575,,,,,17.8038,1416.2882,550.8947,31.933,-234.5109,71.7557,68.0558,2039.6992,58.4617,-8.8534,65.2601,74.9308,,,588.6224,48.5025,-32.5528,101.9187,,,,,2.0542,14.631,119.4706,3.0334,4.1911,3.3926,14.3908,3.7172,7.8426,2.4087,4.0101,9.4731,,,1.8042,9.3768,5.5905,1.2648,,,,,2.2436,89.2682,42.5112,1.0884,1.9007,5.6877,20.4661,6.254,6.5824,5.6684,10.1,20.9431,,,1.4902,10.5191,7.2003,1.9287,,,,
2014/1/13,-0.5941,-2.6895,0,-4.2279,0,-4.2169,2.8201,-4.4586,6.9536,0,-0.155,0,,,0.3053,-0.9546,0.8961,-2.8902,,,,,0.1374,0.9749,,2.0715,0.7139,2.083,0.8792,2.4022,0.83,,4.9029,,,,0.4432,0.6597,2.4275,0.6031,,,,,1626480000,17869542862,7398431832,3670063284,1462110000,851297575.2,11539019083,2382034800,10996356058,826469642.6,1236873639,3719286146,,,788127312.2,4824028800,1919324325,1953220997,,,,,17.6981,1378.1973,550.8947,30.5829,-234.5109,68.7299,69.9751,1948.7572,62.5269,-8.8534,65.1589,74.9308,,,590.4198,48.0395,-32.8445,98.9731,,,,,2.042,14.2375,119.4706,2.9051,4.1911,3.2496,14.7966,3.5515,8.3879,2.4087,4.0039,9.4731,,,1.8097,9.2873,5.6406,1.2282,,,,,2.2303,86.8674,42.5112,1.0424,1.9007,5.4479,21.0433,5.9751,7.0402,5.6684,10.0843,20.9431,,,1.4947,10.4187,7.2648,1.8729,,,,
2014/1/14,1.1952,-0.0503,-3.5689,2.3033,2.1472,1.5094,0.4448,0.8333,9.9381,0,4.8137,0,,,1.2177,3.0243,9.9467,2.0833,,,,,0.3335,1.0472,19.891,1.6992,0.9783,0.8348,1.2972,1.2201,1.4112,,9.8068,,,,0.4544,0.8456,4.7153,0.6259,,,,,1645920000,17860563192,2038397350,3754594492,1493505000,864147349.9,11590341629,2401885090,12089182775,826469642.6,1296412587,3719286146,,,797723991.8,4969920000,2110234027,1993913101,,,,,17.9096,1377.5048,151.7811,31.2873,-239.5464,69.7673,70.2863,1964.9968,68.7409,-8.8534,68.2955,74.9308,,,597.609,49.4923,-36.1115,101.035,,,,,2.0664,14.2303,32.9162,2.972,4.2811,3.2986,14.8625,3.5811,9.2215,2.4087,4.1966,9.4731,,,1.8318,9.5681,6.2017,1.2538,,,,,2.257,86.8237,11.7126,1.0664,1.9416,5.5301,21.1369,6.0249,7.7398,5.6684,10.5697,20.9431,,,1.5129,10.7338,7.9875,1.9119,,,,
2014/1/15,-0.5906,0.5028,-4.9223,3.94,-0.1502,1.6109,0.4797,0.6612,-1.8868,0,-0.6667,0,,,0.9023,3.2581,-0.8078,2.3324,,,,,0.3961,0.7771,11.0502,2.0936,0.6557,1.2119,0.5802,1.3744,0.423,,7.4096,,,,0.5147,1.2253,3.1024,0.9089,,,,,1636200000,17950359890,1938061729,3902524106,1491262500,878067939.2,11645941054,2417765322,11861084986,826469642.6,1287769836,3719286146,,,804921501.5,5131843200,2093188517,2040418363,,,,,17.8038,1384.4304,144.31,32.52,-239.1867,70.8912,70.6235,1977.9886,67.4439,-8.8534,67.8402,74.9308,,,603.001,51.1048,-35.8198,103.3915,,,,,2.0542,14.3019,31.296,3.0891,4.2747,3.3517,14.9338,3.6048,9.0475,2.4087,4.1686,9.4731,,,1.8483,9.8799,6.1516,1.2831,,,,,2.2436,87.2602,11.1361,1.1084,1.9386,5.6192,21.2383,6.0647,7.5938,5.6684,10.4993,20.9431,,,1.5266,11.0835,7.9229,1.9565,,,,
