ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/1/2,-0.3456,-0.2649,1.9755,2.5726,0.2577,1.8605,-1.618,,,,,1.7232,-2.6593,-0.1443,-1.8411,0.9009,0.1894,1.2066,-0.5862,-0.2001,-0.9466,,,,,,-0.6739,0.4241,1.3743,0.5915,3.2658,0.2387,1.2004,2.2643,,,,,0.3166,0.7793,0.5745,1.0488,2.8384,0.4679,0.1956,0.6874,0.2555,0.3561,,,,,,0.048,10762669415,4906280557,2207440755,2120404080,2329329024,2993430110,2049937259,,,,,10762669415,9388527020,2545983190,1620800000,5286330831,3669041797,3891052486,1891772223,21250916652,28170998014,,,,,,1620800000,25.5437,47.0731,30.3516,40.3148,320.058,28.2648,37.8401,,,,,15.9379,20.0281,23.7704,96.7349,22.1534,94.8547,602.1387,55.2071,44.4647,17.563,,,,,,42.924,5.9228,3.6191,4.1476,2.223,0.958,3.1002,3.3291,,,,,3.6955,2.8247,4.7012,6.5123,4.3262,3.485,1.7919,3.5753,4.1672,1.5178,,,,,,2.8897,0.6271,0.6893,0.1818,1.2872,0.6777,1.0381,0.9167,,,,,0.3913,0.6548,1.9476,2.8642,0.9043,0.1958,1.2248,1.403,0.6355,0.5036,,,,,,1.2709
2014/1/3,-1.7555,0.9296,-2.214,-2.1222,-1.0283,-0.848,-2.2663,,,,,-2.6776,-2.4023,-1.7341,-3.2577,-0.9454,-3.2136,-1.1923,-3.184,0.2674,-3.1399,,,,,,-1.3569,0.5949,2.2736,0.4017,3.5363,0.1865,0.6683,2.0011,,,,,0.1261,0.6925,0.5191,1.3521,1.5529,1.3652,0.1306,1.2846,0.2837,0.6571,,,,,,0.2387,10573727884,4951890071,2158567528,2075405151,2305377055,2968045510,2003478593,,,,,10573727884,9162990101,2501833193,1568000000,5236355014,3551133082,3844661398,1831538909,21307737285,27286447905,,,,,,1568000000,25.0953,47.5107,29.6796,39.4592,316.7669,28.0252,36.9825,,,,,15.5234,19.547,23.3582,93.5836,21.944,91.8064,594.9597,53.4494,44.5836,17.0116,,,,,,42.3756,5.8188,3.6528,4.0558,2.1759,0.9482,3.0739,3.2537,,,,,3.5994,2.7569,4.6197,6.3002,4.2853,3.373,1.7705,3.4614,4.1784,1.4701,,,,,,2.8528,0.6161,0.6957,0.1778,1.2599,0.6707,1.0293,0.8959,,,,,0.3811,0.6391,1.9138,2.7709,0.8957,0.1895,1.2102,1.3583,0.6372,0.4878,,,,,,1.2547
2014/1/6,6.1107,-2.3684,-3.9623,-3.8765,-1.8182,-2.7632,-4.9867,,,,,1.7967,0.3378,-2.6471,-5.3061,-1.4316,-3.125,-3.0166,-3.6541,-3.4667,-5.7787,,,,,,-1.5131,1.0146,1.5584,0.3764,2.5885,0.2661,0.6582,1.9208,,,,,0.2872,0.4436,0.5638,1.3978,1.2058,0.9772,0.1433,1.264,0.2808,1.0891,,,,,,0.3041,11219861267,4834608464,2073039380,1994952520,2263461108,2886033727,1903571903,,,,,11219861267,9193946149,2435608197,1484800000,5161391289,3440160173,3728683679,1764613005,20569069059,25709641191,,,,,,1484800000,26.6288,46.3854,28.5036,37.9296,311.0075,27.2508,35.1383,,,,,15.8067,19.613,22.7399,88.618,21.6298,88.9375,577.0122,51.4963,43.038,16.0285,,,,,,41.7481,6.1744,3.5663,3.8951,2.0915,0.931,2.989,3.0914,,,,,3.6651,2.7662,4.4974,5.9659,4.2239,3.2676,1.7171,3.3349,4.0335,1.3852,,,,,,2.8105,0.6538,0.6792,0.1707,1.2111,0.6585,1.0008,0.8512,,,,,0.3881,0.6412,1.8631,2.6239,0.8829,0.1836,1.1736,1.3087,0.6151,0.4596,,,,,,1.2361
2014/1/7,0.2079,1.0782,2.6523,0.5468,-1.3228,-1.4208,1.6631,,,,,0.3585,1.6354,-0.7553,0.2155,0.1076,1.6129,0.4666,-0.1264,4.1436,-0.8975,,,,,,0.5587,0.4861,1.0967,0.317,1.2082,0.2449,0.9202,1.3312,,,,,0.199,0.5742,0.4926,0.8914,2.6236,0.4591,0.0732,0.5905,0.7261,0.9033,,,,,,0.1386,11243187382,4886733623,2128021761,2005861352,2233521147,2845027835,1935229578,,,,,11243187382,9344304095,2417212364,1488000000,5166944158,3495646627,3746080337,1762382141,21421378551,25478888989,,,,,,1488000000,26.6842,46.8855,29.2596,38.137,306.8937,26.8636,35.7227,,,,,15.8583,19.9338,22.5682,88.8089,21.6531,90.372,579.7043,51.4312,44.8214,15.8846,,,,,,41.9696,6.1872,3.6047,3.9984,2.103,0.9186,2.9465,3.1429,,,,,3.677,2.8114,4.4634,5.9787,4.2285,3.3203,1.7251,3.3307,4.2007,1.3727,,,,,,2.8255,0.6551,0.6865,0.1753,1.2177,0.6498,0.9866,0.8654,,,,,0.3894,0.6517,1.8491,2.6295,0.8838,0.1866,1.1791,1.307,0.6406,0.4555,,,,,,1.2427
2014/1/8,0,0.4,-0.4785,1.1557,0.5362,-2.6767,-0.2337,,,,,2.2534,-1.2305,0,-2.1505,3.9226,0.5952,0,-1.2658,3.3156,-0.3019,,,,,,0.1389,0.5036,2.2127,0.2317,2.1694,0.2518,1.1962,1.4981,,,,,0.297,0.9964,0.4528,0.8281,2.5943,0.3986,0.1154,0.6753,1.2919,0.8702,,,,,,0.2164,11243187382,4906280557,2117839838,2029042618,2245497131,2768874035,1930707053,,,,,11243187382,9229324489,2417212364,1456000000,5369623859,3516454048,3746080337,1740073507,22131636460,25401971588,,,,,,1456000000,26.6842,47.0731,29.1196,38.5777,308.5392,26.1445,35.6392,,,,,16.2264,19.6885,22.5682,86.8991,22.5025,90.9099,579.7043,50.7802,46.3075,15.8367,,,,,,42.0534,6.1872,3.6191,3.9792,2.1273,0.9236,2.8677,3.1355,,,,,3.7624,2.7768,4.4634,5.8502,4.3944,3.3401,1.7251,3.2886,4.3399,1.3686,,,,,,2.8311,0.6551,0.6893,0.1744,1.2318,0.6533,0.9602,0.8634,,,,,0.3984,0.6437,1.8491,2.573,0.9185,0.1877,1.1791,1.2905,0.6619,0.4541,,,,,,1.2451
2014/1/9,0.2697,0,-2.3077,-3.4274,-1.8667,0.5642,-2.3211,,,,,1.2362,-1.7729,-2.7397,0.8791,-1.1375,-0.3945,-2.4768,-1.0256,0.0642,-1.4383,,,,,,0,0.3872,2.3439,0.1755,2.4951,0.2031,0.9515,2.158,,,,,0.1552,0.8411,0.4345,0.8361,1.7391,0.6251,0.1196,0.6202,0.4763,1.0225,,,,,,0.1801,11273511331,4906280557,2068966611,1959498819,2203581185,2784495328,1885892942,,,,,11273511331,9065699666,2350987368,1468800000,5308542305,3502582434,3653298161,1722226599,22145841618,25036613934,,,,,,1468800000,26.7562,47.0731,28.4476,37.2555,302.7798,26.292,34.8119,,,,,16.4347,19.3394,21.9499,87.663,22.2465,90.5513,565.3463,50.2593,46.3372,15.6089,,,,,,42.074,6.2039,3.6191,3.8874,2.0543,0.9063,2.8838,3.0627,,,,,3.8107,2.7276,4.3412,5.9016,4.3444,3.3269,1.6824,3.2548,4.3427,1.3489,,,,,,2.8325,0.6569,0.6893,0.1704,1.1895,0.6411,0.9656,0.8433,,,,,0.4035,0.6323,1.7984,2.5956,0.9081,0.1869,1.1499,1.2772,0.6623,0.4476,,,,,,1.2458
2014/1/10,-3.2692,-6.2417,-4.5276,-0.4175,-2.9891,-0.8415,-1.0246,,,,,-2.7608,0.1951,-3.5994,0,-0.9414,-1.7822,-1.4286,-2.9793,-1.5394,1.4593,,,,,,0.4161,0.4208,2.0144,0.356,1.864,0.2381,0.6994,1.1232,,,,,0.1035,0.711,0.6385,0.5938,0.8245,0.5057,0.1192,0.9151,0.2856,0.666,,,,,,0.0975,10904958716,4600045250,1975292926,1951317195,2137713269,2761063389,1866569426,,,,,10904958716,9083388836,2266366539,1468800000,5258566488,3440160173,3601108187,1670916739,21804917822,25401971588,,,,,,1468800000,25.8814,44.1349,27.1596,37.1,293.7293,26.0708,34.4553,,,,,15.9546,19.3772,21.1598,87.663,22.0371,88.9375,557.2699,48.762,45.6239,15.8367,,,,,,42.1793,6.0011,3.3932,3.7114,2.0458,0.8792,2.8596,3.0314,,,,,3.6994,2.7329,4.1849,5.9016,4.3035,3.2676,1.6584,3.1579,4.2759,1.3686,,,,,,2.8396,0.6354,0.6463,0.1627,1.1846,0.6219,0.9575,0.8347,,,,,0.3917,0.6335,1.7337,2.5956,0.8995,0.1836,1.1335,1.2392,0.6521,0.4541,,,,,,1.2489
2014/1/13,0.2567,-2.9745,-1.7526,1.5374,0.2801,2.3338,0.7269,,,,,-1.9929,-2.5316,0.3247,1.3072,-2.4287,-0.6048,0.4831,-0.534,0.7818,-1.4383,,,,,,-0.6906,0.2677,1.6399,0.3954,1.047,0.1214,0.5549,1.2721,,,,,0.1847,0.5609,0.5152,0.579,1.3581,0.4624,0.0903,0.4976,0.2791,0.8269,,,,,,0.1571,10932950054,4463216709,1940674390,1981316481,2143701261,2825501219,1880137001,,,,,10932950054,8853429625,2273724872,1488000000,5130850512,3419352752,3618504845,1661993285,21975379720,25036613934,,,,,,1488000000,25.9479,42.8221,26.6836,37.6703,294.5521,26.6792,34.7057,,,,,15.6217,18.8866,21.2285,88.8089,21.5019,88.3996,559.962,48.5016,45.9805,15.6089,,,,,,41.8482,6.0165,3.2923,3.6464,2.0772,0.8817,2.9263,3.0534,,,,,3.6222,2.6637,4.1985,5.9787,4.1989,3.2478,1.6664,3.141,4.3093,1.3489,,,,,,2.8173,0.6371,0.627,0.1598,1.2028,0.6237,0.9798,0.8408,,,,,0.3835,0.6175,1.7393,2.6295,0.8777,0.1825,1.139,1.2326,0.6572,0.4476,,,,,,1.2391
2014/1/14,-2.8163,2.1898,2.9381,1.7206,1.676,0.3455,2.4492,,,,,-1.6156,0.2498,2.1036,1.5054,0.2706,3.0426,2.5641,2.2819,1.0989,3.7634,,,,,,0.8345,0.706,0.8512,0.2296,1.5033,0.1437,0.4766,1.7326,,,,,0.2047,0.4187,0.3971,0.6914,0.9809,0.4372,0.1428,0.768,0.2808,0.9248,,,,,,0.1444,10625045337,4560951381,1997693155,2015406579,2179629215,2835264527,1926184528,,,,,10625045337,8875541088,2321554036,1510400000,5144732684,3523389854,3711287021,1699917964,22216867409,25978852093,,,,,,1510400000,25.2171,43.7598,27.4676,38.3185,299.4887,26.7714,35.5557,,,,,15.3643,18.9338,21.6751,90.1459,21.56,91.0892,574.32,49.6083,46.4858,16.1963,,,,,,42.1835,5.847,3.3644,3.7535,2.113,0.8965,2.9364,3.1282,,,,,3.5625,2.6704,4.2868,6.0687,4.2103,3.3466,1.7091,3.2127,4.3567,1.3997,,,,,,2.8399,0.6191,0.6408,0.1645,1.2235,0.6341,0.9832,0.8613,,,,,0.3772,0.619,1.7759,2.6691,0.88,0.188,1.1682,1.2607,0.6644,0.4644,,,,,,1.249
2014/1/15,2.7662,0.5714,-0.4077,0.6766,-0.5495,2.4105,0.4482,,,,,2.7463,-0.5481,0.6339,-0.3178,0.5397,2.3622,0.1563,0.7874,4.156,-1.1103,,,,,,0.1379,0.7907,1.0328,0.1666,1.4974,0.1085,0.7785,1.2962,,,,,0.1041,0.2509,0.4411,0.562,1.1752,1.1681,0.1064,0.6392,1.029,0.5951,,,,,,0.0558,10918954385,4587013960,1989547617,2029042618,2167653231,2903607680,1934818440,,,,,10918954385,8826895870,2336270702,1505600000,5172497026,3606619536,3717085907,1713303145,23140202692,25690411840,,,,,,1505600000,25.9147,44.0099,27.3556,38.5777,297.8432,27.4167,35.7151,,,,,15.8059,18.83,21.8125,89.8594,21.6764,93.2409,575.2174,49.9989,48.4178,16.0165,,,,,,42.2937,6.0088,3.3836,3.7382,2.1273,0.8916,3.0072,3.1422,,,,,3.6649,2.6557,4.314,6.0495,4.233,3.4257,1.7118,3.238,4.5377,1.3841,,,,,,2.8473,0.6363,0.6444,0.1639,1.2318,0.6306,1.0069,0.8652,,,,,0.3881,0.6156,1.7872,2.6606,0.8848,0.1925,1.17,1.2706,0.692,0.4593,,,,,,1.2523
