ÈÕÆÚ,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH
2014/1/2,0.6361,1.1745,0.9091,5.7774,3.3449,6.6073,0,0.2105,-0.1371,-1.1841,0.5732,,5.4489,2.1458,0.0256,-0.3571,1.049,5.0547,5.2632,6.1708,,,,,,-0.2421,-5.0329,-2.5013,0.507,0.626,-0.3991,0.5405,2.3514,,1.3202,1.5656,0.643,2.677,3.6639,1.8409,,0.619,1.4157,4.1195,5.0539,,6.4044,0.3529,1.2863,2.3292,5.1062,1.5654,5.5953,6.4198,,,,,,1.1599,4.6226,1.5669,0.4787,0.4798,0.6389,0.7888,1.429,,2568444836,1869134181,3428353858,15099604200,17087766864,20308272866,2307891575,23304960000,1202242093,584264585.1,1407541474,,2579319999,7117807675,4737242835,1675886422,1371165991,2904539107,1822924800,1629296315,,,,,,2515637985,10407276065,36373894152,2474160000,7831106510,23841480486,1681823964,14595900242,,61.3569,136.1295,-48.4836,53.1878,36.2478,42.6381,72.7231,162.0712,23.2962,57.9133,42.5658,,45.8515,150.459,146.5765,55.0266,53.5545,45.5576,51.3526,47.0053,,,,,,55.1742,27.9744,21.1108,29.8173,1167.0894,28.1679,54.8819,79.3629,,14.3575,1780.5383,5.0783,12.6598,5.5988,9.5956,12.7038,21.4351,2.7779,2.9305,3.2646,,6.2378,8.2084,2.5597,4.5886,6.4974,4.2686,6.6412,4.89,,,,,,2.5237,5.4035,2.791,1.8681,16.7923,2.1413,3.1565,7.3303,,9.0267,71.4888,16.424,7.3705,15.4167,21.1909,5.8722,46.9518,6.4646,10.3308,18.9981,,9.5753,25.1379,12.0392,6.7542,5.9764,7.448,16.4493,15.7918,,,,,,5.3399,5.6669,4.2808,6.7419,23.308,2.3071,3.4884,12.1204,
2014/1/3,-0.7585,0.1658,-1.2012,0.5653,0.2697,0.6309,0,0,-3.9808,2.8991,0.95,,1.2331,3.916,-0.3077,2.8276,0.8651,2.298,1.0598,0,,,,,,-0.9709,6.5874,-2.1466,-1.261,1.2028,-3.8351,-2.1505,-1.5316,,1.3995,0.8759,0.8144,1.1126,2.2491,1.0978,,,1.6741,5.6074,3.9141,,4.7093,0.511,0.7319,5.4045,5.7944,0.9185,3.9014,3.9358,,,,,,1.067,4.5722,0.8809,0.4012,0.8715,1.3103,0.6198,1.1235,,2548962322,1872233906,3387172430,15184964634,17133856592,20436400771,2307891575,23304960000,1154383451,601203063.6,1420912673,,2611126059,7396538875,4722666703,1723273095,1383027289,2971286146,1842243840,1629296315,,,,,,2491214316,11092846999,35593093283,2442960000,7925300658,22927124909,1645655706,14372351036,,60.8915,136.3553,-47.9012,53.4885,36.3456,42.9071,72.7231,162.0712,22.3688,59.5923,42.9702,,46.4169,156.3509,146.1255,56.5825,54.0177,46.6046,51.8968,47.0053,,,,,,54.6385,29.8172,20.6576,29.4413,1181.1274,27.0876,53.7016,78.1474,,14.2486,1783.4911,5.0173,12.7313,5.6139,9.6561,12.7038,21.4351,2.6673,3.0155,3.2956,,6.3147,8.5298,2.5518,4.7183,6.5536,4.3667,6.7116,4.89,,,,,,2.4992,5.7594,2.7311,1.8446,16.9943,2.0592,3.0886,7.218,,8.9582,71.6073,16.2267,7.4122,15.4583,21.3246,5.8722,46.9518,6.2073,10.6303,19.1786,,9.6933,26.1222,12.0022,6.9452,6.0281,7.6192,16.6236,15.7918,,,,,,5.2881,6.0402,4.1889,6.6569,23.5884,2.2186,3.4134,11.9348,
2014/1/6,-4.0764,-2.3179,-2.4316,-1.401,-3.6315,-1.3461,-9.9793,0,-3.6455,-6.0856,1.7566,,-2.5522,4.0039,-4.1667,2.1689,-3.0875,-1.8954,1.1293,-4.4814,,,,,,-0.9804,-3.0669,-5.1899,-4.3423,-4.3852,-3.5119,-5.4945,-0.1944,,1.8344,0.4685,0.9951,0.8006,1.4875,0.8297,14.2924,,1.1114,5.3571,8.6479,,4.498,0.8149,0.9308,5.1288,8.618,0.6057,3.1747,4.6174,,,,,,1.4932,1.8305,1.0986,0.5496,0.9282,1.3691,1.0492,1.0655,,2445055577,1828837756,3304809575,14972220167,16511645257,20161302623,2077579748,23304960000,1112300852,564615950,1445872243,,2544484790,7692690775,4525888924,1760648499,1340326618,2914968332,1863048960,1556280883,,,,,,2466790646,10752638866,33745832690,2336880000,7577756735,22121946117,1555235063,14344407385,,58.4093,133.1947,-46.7364,52.7391,35.0257,42.3295,65.4659,162.0712,21.5533,55.9657,43.725,,45.2323,162.6111,140.0369,57.8097,52.35,45.7212,52.4829,44.8988,,,,,,54.1029,28.9027,19.5855,28.1629,1129.3321,26.1363,50.751,77.9955,,13.6677,1742.1519,4.8953,12.553,5.4101,9.5262,11.436,21.4351,2.5701,2.832,3.3535,,6.1535,8.8714,2.4455,4.8207,6.3513,4.2839,6.7874,4.6708,,,,,,2.4747,5.5828,2.5894,1.7645,16.249,1.9869,2.9189,7.204,,8.593,69.9476,15.8321,7.3083,14.897,21.0375,5.2862,46.9518,5.981,9.9834,19.5154,,9.4459,27.1682,11.5021,7.0958,5.842,7.4748,16.8114,15.0841,,,,,,5.2362,5.8549,3.9715,6.3678,22.5539,2.1407,3.2258,11.9116,
2014/1/7,0.5312,5.0847,0.3115,2.7541,5.3733,1.8692,-4.193,0,0.9644,0.68,0.7398,,4.1667,0.0189,1.503,-0.1895,5.2212,-0.6082,-1.808,1.9258,,,,,,0.9901,0.815,1.1851,0.9346,-0.1286,0.0617,0.3876,0.7143,,0.9398,1.0137,0.6496,1.0708,2.1558,0.8144,13.1694,,0.6202,3.0061,6.9412,,4.8747,0.334,0.9045,2.9488,6.4587,0.4192,2.3701,2.8471,,,,,,0.9868,1.6334,0.8915,0.3342,0.4381,0.6829,0.5906,0.9729,,2458043920,1921829506,3315104931,15384576727,17398872531,20538149401,1990466984,23304960000,1123027789,568455338.5,1456569201,,2650504990,7694142500,4593910872,1757311410,1410308273,2897238649,1829364480,1586252283,,,,,,2491214316,10840268234,34145755087,2358720000,7568012513,22135593216,1561263106,14446867438,,58.7195,139.9673,-46.882,54.1916,36.9077,43.1207,62.7209,162.0712,21.7612,56.3463,44.0485,,47.1169,162.6417,142.1416,57.7002,55.0833,45.4431,51.534,45.7634,,,,,,54.6385,29.1383,19.8176,28.4261,1127.8799,26.1525,50.9477,78.5526,,13.7403,1830.7359,4.9106,12.8987,5.7008,9.7042,10.9565,21.4351,2.5949,2.8512,3.3783,,6.4099,8.873,2.4822,4.8115,6.6829,4.2579,6.6647,4.7608,,,,,,2.4992,5.6283,2.6201,1.781,16.2282,1.9881,2.9302,7.2554,,8.6387,73.5042,15.8814,7.5096,15.6974,21.4307,5.0645,46.9518,6.0387,10.0513,19.6598,,9.8395,27.1733,11.6749,7.0824,6.147,7.4293,16.5074,15.3746,,,,,,5.2881,5.9027,4.0186,6.4273,22.5249,2.142,3.2383,11.9967,
2014/1/8,-0.0661,-0.6452,-0.9317,0,0.6954,0.9174,-2.1583,0,0.6613,1.7084,-1.2852,,7.3143,0,0.4495,4.9753,1.3457,3.3837,-0.352,4.3216,,,,,,6.1275,-0.8559,4.6291,-1.1905,-0.0429,-1.0481,-0.7722,3.4816,,0.8791,1.3332,0.7365,,1.4275,0.6203,11.7254,,0.7506,3.586,4.7009,,9.2191,0.2772,1.2761,8.0116,8.3102,1.491,3.6501,7.5351,,,,,,4.7334,1.2579,1.2746,0.3069,0.8982,1.053,0.4977,1.4207,,2456420377,1909430606,3284218861,15384576727,17519858069,20726572790,1947507265,23304960000,1130454130,578166732.8,1437849524,,2844370498,7694142500,4614560392,1844743159,1429286349,2995273363,1822924800,1654803889,,,,,,2643862252,10747484198,35726400749,2330640000,7564764439,21903592547,1549207020,14949853151,,58.6808,139.0643,-46.4453,54.1916,37.1644,43.5163,61.3672,162.0712,21.9051,57.3089,43.4824,,50.5632,162.6417,142.7805,60.5709,55.8245,46.9808,51.3526,47.7411,,,,,,57.9865,28.8889,20.735,28.0877,1127.3958,25.8784,50.5543,81.2875,,13.7313,1818.9247,4.8648,12.8987,5.7404,9.7933,10.7201,21.4351,2.612,2.8999,3.3349,,6.8788,8.873,2.4934,5.0509,6.7728,4.4019,6.6412,4.9665,,,,,,2.6523,5.5801,2.7414,1.7598,16.2212,1.9673,2.9076,7.508,,8.633,73.03,15.7335,7.5096,15.8066,21.6274,4.9552,46.9518,6.0786,10.223,19.4072,,10.5592,27.1733,11.7274,7.4347,6.2298,7.6807,16.4493,16.039,,,,,,5.6121,5.8521,4.2046,6.3508,22.5153,2.1196,3.2133,12.4143,
2014/1/9,-3.2386,-1.6234,-1.5674,0,-2.9924,3.4545,1.8382,0,-1.9708,-1.2109,-0.9299,,-3.1949,-0.2075,0.6581,-0.3256,-1.4938,-3.3078,-4.4022,-4.2775,,,,,,-0.9238,-2.6379,-1.9723,0.4016,-1.2452,-2.7414,-1.1673,-1.1215,,1.3637,0.4701,0.7334,,1.9307,1.1565,11.3056,,0.5912,3.4946,5.4903,,5.6887,0.2609,1.3116,6.6571,9.5363,1.0549,3.1383,5.3737,,,,,,2.1716,1.3729,1.079,0.5554,1.4945,1.2167,0.619,0.9948,,2376866776,1878433356,3232742076,15384576727,16995587407,21442581668,1983307031,23304960000,1108175107,571165495,1424478326,,2753496041,7678173525,4644927334,1838736397,1407936013,2896195727,1742676480,1584020370,,,,,,2619438582,10463977420,35021775574,2340000000,7470570292,21303120228,1531122892,14782191247,,56.7803,136.8068,-45.7173,54.1916,36.0523,45.0196,62.4953,162.0712,21.4734,56.6149,43.078,,48.9478,162.3042,143.7201,60.3737,54.9906,45.4268,49.0919,45.699,,,,,,57.4508,28.1268,20.3261,28.2005,1113.3578,25.1689,49.9641,80.3758,,13.2866,1789.3967,4.7886,12.8987,5.5686,10.1316,10.9171,21.4351,2.5605,2.8648,3.3038,,6.659,8.8546,2.5098,5.0345,6.6716,4.2563,6.3488,4.7541,,,,,,2.6278,5.4329,2.6873,1.7668,16.0192,1.9133,2.8737,7.4238,,8.3534,71.8445,15.4869,7.5096,15.3336,22.3745,5.0463,46.9518,5.9588,10.0992,19.2267,,10.2219,27.1169,11.8046,7.4105,6.1367,7.4266,15.7252,15.353,,,,,,5.5603,5.6978,4.1217,6.3763,22.2349,2.0615,3.1758,12.2751,
2014/1/10,-2.459,-3.4653,-2.2293,0,-2.4746,-3.3392,-7.16,3.8655,-1.3403,-6.0498,0,,-0.33,-3.5735,-2.4582,-2.4319,-3.9596,-1.7285,-5.0313,-2.6771,,,,,,-2.5641,-3.5468,0.5438,0,-1.6522,-0.5766,-1.5748,-1.0712,,1.3203,0.5705,0.6357,,1.6389,1.1129,9.6018,1.1855,0.5851,4.7949,,,2.8231,0.264,0.6927,4.9141,5.308,1.1661,4.4546,3.6378,,,,,,1.4273,1.459,1.1917,0.7376,0.6644,0.8527,0.6619,1.1007,,2318419233,1813339131,3160674578,15384576727,16575018633,20726572790,1841301293,24205824000,1093322425,536610998.9,1424478326,,2744408595,7403797500,4530747635,1794019396,1352187915,2846135448,1654997760,1541614028,,,,,,2552273490,10092841275,35212214810,2340000000,7348385339,21180296344,1507010720,14623843893,,55.3841,132.066,-44.6981,54.1916,35.1601,43.5163,58.0206,168.3361,21.1856,53.1898,43.078,,48.7862,156.5043,140.1873,58.9055,52.8132,44.6416,46.622,44.4756,,,,,,55.9777,27.1292,20.4366,28.2005,1094.9632,25.0238,49.1773,79.5149,,12.9599,1727.3879,4.6818,12.8987,5.4308,9.7933,10.1354,22.2637,2.5262,2.6915,3.3038,,6.637,8.5382,2.4481,4.912,6.4075,4.1828,6.0294,4.6268,,,,,,2.5605,5.2402,2.7019,1.7668,15.7545,1.9023,2.8284,7.3443,,8.148,69.3548,15.1416,7.5096,14.9541,21.6274,4.685,48.7667,5.879,9.4882,19.2267,,10.1881,26.1479,11.5144,7.2303,5.8937,7.2983,14.934,14.9419,,,,,,5.4177,5.4957,4.1441,6.3763,21.8676,2.0496,3.1258,12.1436,
2014/1/13,1.5406,0.5128,0,0,0.9385,1.6364,-1.8146,-3.0542,0.3019,-4.2088,0,,-1.2141,0,-1.8767,0.5208,3.0702,-2.8948,0.5088,-0.5584,,,,,,0.3589,-2.5536,-7.4635,-0.1333,-0.3537,-3.9304,-0.8,-4.0127,,0.9996,0.519,0.4596,,0.978,0.634,6.9013,0.4907,0.7823,4.5651,,,2.4384,,1.4532,2.5387,3.6903,2.3993,2.5137,3.4363,,,,,,1.2735,1.487,1.7618,0.7138,0.8306,1.7831,0.4389,0.969,,2354137176,1822638306,3160674578,15384576727,16730571467,21065734890,1807888178,23466528000,1096623021,514026360.9,1424478326,,2711087961,7403797500,4445720199,1803363247,1393702456,2763744572,1663418880,1533005221,,,,,,2561432366,9835107841,32584153348,2336880000,7322396355,20347823357,1494954634,14037027227,,56.2373,132.7432,-44.6981,54.1916,35.4901,44.2284,56.9677,163.1948,21.2495,50.9512,43.078,,48.1939,156.5043,137.5564,59.2123,54.4347,43.3493,46.8592,44.2273,,,,,,56.1786,26.4364,18.9113,28.1629,1091.0907,24.0403,48.7839,76.3241,,13.1595,1736.2463,4.6818,12.8987,5.4818,9.9535,9.9515,21.5837,2.5338,2.5782,3.3038,,6.5565,8.5382,2.4021,4.9376,6.6042,4.0617,6.0601,4.601,,,,,,2.5696,5.1064,2.5003,1.7645,15.6988,1.8275,2.8058,7.0496,,8.2735,69.7105,15.1416,7.5096,15.0945,21.9813,4.6,47.2773,5.8967,9.0889,19.2267,,10.0644,26.1479,11.2983,7.268,6.0747,7.087,15.01,14.8585,,,,,,5.4371,5.3553,3.8348,6.3678,21.7902,1.969,3.1008,11.6563,
2014/1/14,1.5172,0.8503,1.3029,0,-1.1019,-0.5367,3.0363,2.0446,3.5365,3.8225,0,,2.3464,0,4.3169,4.0711,2.383,2.6792,0.8934,4.3261,,,,,,1.4303,0.9434,4.5587,0.534,1.5084,-0.2012,1.4113,2.3225,,0.9795,0.3557,0.6643,,1.0277,0.4986,8.007,0.6733,0.7275,3.8285,,,2.1389,,0.8847,3.9018,4.7887,1.4456,2.8359,3.6762,,,,,,1.0732,0.8523,1.0434,0.3432,0.6419,1.8657,0.5221,0.9948,,2389855119,1838136931,3201856005,15384576727,16546212553,20952680857,1862781152,23946336000,1135405024,533674995.9,1424478326,,2774700081,7403797500,4637639268,1876779219,1426914089,2837792068,1745118144,1599324915,,,,,,2598067871,9927891878,34069579392,2349360000,7432849538,20306882062,1516052784,14363036486,,57.0906,133.872,-45.2805,54.1916,35.099,43.991,58.6974,166.5315,22.001,52.8988,43.078,,49.3247,156.5043,143.4946,61.6228,55.7319,44.5107,47.2778,46.1406,,,,,,56.9821,26.6858,19.7734,28.3133,1107.549,23.9919,49.4724,78.0968,,13.3592,1751.0103,4.7428,12.8987,5.4214,9.9001,10.2537,22.025,2.6235,2.6768,3.3038,,6.7103,8.5382,2.5058,5.1386,6.7616,4.1705,6.1142,4.8,,,,,,2.6064,5.1546,2.6142,1.7739,15.9356,1.8239,2.8454,7.2133,,8.399,70.3032,15.3389,7.5096,14.9281,21.8633,4.7397,48.2439,6.1053,9.4363,19.2267,,10.3006,26.1479,11.7861,7.5638,6.2194,7.2769,15.1441,15.5013,,,,,,5.5149,5.4059,4.0096,6.4018,22.1189,1.9651,3.1445,11.9271,
2014/1/15,4.9592,0.5059,0.9646,10.0043,0.5571,2.518,0.0641,-0.7565,0.3634,-0.127,0,,0.7096,0,1.8596,0.889,-0.4156,6.505,-0.7969,0.4785,,,,,,2.4677,2.8037,4.6395,1.328,1.6171,0.672,0.5964,2.7886,,2.2448,0.3949,0.439,2.781,0.7428,0.5766,7.0435,0.2908,0.5967,2.8329,,,2.7759,,1.2347,3.619,4.5,1.4113,5.9458,2.6605,,,,,,2.0529,1.2574,1.3685,0.9136,0.5728,1.3956,0.4916,0.9163,,2508373750,1847436106,3232742076,16923691018,16638392010,21480266346,1863974478,23765184000,1139530769,532997456.8,1424478326,,2794389547,7403797500,4723881381,1893464667,1420983441,3022389347,1731210768,1606977187,,,,,,2662180004,10206243986,35650225054,2380560000,7553048591,20443353044,1525094849,14763562146,,59.9219,134.5493,-45.7173,59.6131,35.2945,45.0987,58.735,165.2717,22.081,52.8316,43.078,,49.6747,156.5043,146.1631,62.1707,55.5002,47.4061,46.9011,46.3613,,,,,,58.3882,27.434,20.6908,28.6893,1125.4595,24.1531,49.7674,80.2745,,14.0217,1759.8687,4.7886,14.1891,5.4516,10.1494,10.2603,21.8584,2.633,2.6734,3.3038,,6.7579,8.5382,2.5524,5.1843,6.7335,4.4418,6.0655,4.823,,,,,,2.6707,5.2991,2.7355,1.7974,16.1933,1.8361,2.8623,7.4145,,8.8155,70.6589,15.4869,8.2609,15.0113,22.4138,4.7427,47.879,6.1274,9.4243,19.2267,,10.3737,26.1479,12.0053,7.6311,6.1936,7.7502,15.0234,15.5755,,,,,,5.651,5.5574,4.1957,6.4869,22.4766,1.9783,3.1633,12.2596,
