ÈÕÆÚ,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH
2014/1/2,2.1246,0.7752,0,1.7989,2.7299,,,0,0.6443,1.6,,,2.3094,1.2572,,0.3245,4.8548,,,0.3324,0.3735,0.7117,,,6826369296,44960498538,2001172876,18385179364,2258012879,,,4553814192,11225484633,1282821006,,,248.3965,180.7184,-5.7017,25.4781,-17.7295,,,16.5502,11.4447,46.2281,,,3.125,2.3683,6.7304,4.1869,5.4621,,,0.793,1.7081,4.0457,,,0.2287,0.6381,0.718,0.4777,0.4292,,,0.2884,0.4984,1.5815,,
2014/1/3,-2.4965,2.967,0,3.3784,3.0769,,,-2.4876,-1.1524,-1.1811,,,1.7121,3.2879,,0.8754,7.7777,,,0.4498,0.3133,0.6641,,,6655946762,46294491351,2001172876,19006300288,2327490198,,,4440535232,11096125655,1267669576,,,242.1952,186.0804,-5.7017,26.3388,-18.275,,,16.1385,11.3128,45.6821,,,3.047,2.4385,6.7304,4.3283,5.6301,,,0.7733,1.6884,3.9979,,,0.223,0.657,0.718,0.4938,0.4424,,,0.2812,0.4927,1.5629,,
2014/1/6,-6.4011,-3.842,0,-2.5641,-4.749,,,-2.2959,-4.6632,-3.5857,,,1.7019,2.0738,,0.4205,4.9046,,,0.571,0.516,0.9736,,,6229890426,44515834266,2001172876,18518959255,2216958099,,,4338584168,10578689743,1222215289,,,226.692,178.9311,-5.7017,25.6635,-17.4071,,,15.7679,10.7852,44.0441,,,2.8519,2.3448,6.7304,4.2173,5.3628,,,0.7555,1.6096,3.8545,,,0.2087,0.6318,0.718,0.4811,0.4214,,,0.2747,0.4697,1.5068,,
2014/1/7,0.304,1.8868,0,0,6.2678,,,0.5222,-0.1359,0,,,1.2288,2.028,,0.2734,8.8827,,,0.2962,0.2403,0.498,,,6248826263,45355755668,2001172876,18518959255,2355912738,,,4361239960,10564316524,1222215289,,,227.381,182.3072,-5.7017,25.6635,-18.4982,,,15.8503,10.7706,44.0441,,,2.8606,2.3891,6.7304,4.2173,5.6989,,,0.7595,1.6075,3.8545,,,0.2093,0.6437,0.718,0.4811,0.4478,,,0.2762,0.4691,1.5068,,
2014/1/8,3.0303,2.2876,0,3.2508,0,,,-1.2987,-2.3129,-0.4132,,,1.5907,3.4635,,0.695,8.8508,,,0.335,0.7349,0.6945,,,6438184634,46393305634,2001172876,19120968767,2355912738,,,4304600480,10319971788,1217164812,,,234.2714,186.4776,-5.7017,26.4977,-18.4982,,,15.6444,10.5215,43.8621,,,2.9473,2.4437,6.7304,4.3544,5.6989,,,0.7496,1.5703,3.8386,,,0.2157,0.6584,0.718,0.4968,0.4478,,,0.2726,0.4582,1.5006,,
2014/1/9,3.9706,0.1065,0,1.8491,-3.3512,,,-2.3684,-1.2535,-2.6971,,,3.6212,3.6042,,0.9305,7.8358,,,0.5214,0.4103,0.738,,,6693818436,46442712775,2001172876,19474529908,2276961238,,,4202649416,10190612810,1184336716,,,243.5733,186.6762,-5.7017,26.9877,-17.8783,,,15.2739,10.3896,42.6791,,,3.0643,2.4463,6.7304,4.435,5.5079,,,0.7319,1.5506,3.7351,,,0.2243,0.6591,0.718,0.506,0.4328,,,0.2661,0.4525,1.4601,,
2014/1/10,-4.2433,-1.2766,0,-1.2267,1.5257,,,-2.4259,-1.9746,-4.4776,,,2.0309,1.8347,,0.5423,5.3596,,,0.3653,0.502,0.9625,,,6409780879,45849827080,2001172876,19235637245,2311699898,,,4100698352,9989387733,1131306714,,,233.2378,184.2931,-5.7017,26.6566,-18.151,,,14.9034,10.1844,40.7681,,,2.9343,2.4151,6.7304,4.3806,5.592,,,0.7141,1.52,3.5678,,,0.2147,0.6507,0.718,0.4998,0.4394,,,0.2597,0.4435,1.3947,,
2014/1/13,-2.3634,-1.8319,0,-4.918,5.1913,,,0.5525,-0.7194,0.4464,,,1.2437,1.819,,0.6208,8.5038,,,0.2792,0.5426,0.6752,,,6258294181,45009905679,2001172876,18289622298,2431706177,,,4123354144,9917521634,1136357190,,,227.7255,180.917,-5.7017,25.3457,-19.0933,,,14.9857,10.1112,40.9501,,,2.8649,2.3709,6.7304,4.1651,5.8822,,,0.7181,1.509,3.5837,,,0.2097,0.6388,0.718,0.4752,0.4622,,,0.2611,0.4403,1.401,,
2014/1/14,4.236,2.3052,0,-0.5747,0.1299,,,5.2198,2.7536,2,,,1.2723,1.9432,,0.4941,7.447,,,0.7379,0.4251,0.5265,,,6523395902,46047455645,2001172876,18184509527,2434864237,,,4338584168,10190612810,1159084334,,,237.372,185.0875,-5.7017,25.2,-19.1181,,,15.7679,10.3896,41.7691,,,2.9863,2.4255,6.7304,4.1412,5.8899,,,0.7555,1.5506,3.6554,,,0.2185,0.6535,0.718,0.4724,0.4628,,,0.2747,0.4525,1.429,,
2014/1/15,2.4673,2.4678,0,3.5208,-1.4267,,,0.2611,-0.4231,-0.2179,,,1.7348,2.6595,,0.542,6.47,,,0.5062,0.3574,0.6192,,,6684350517,47183819894,2001172876,18824741864,2400125577,,,4349912064,10147493151,1156559096,,,243.2288,189.6551,-5.7017,26.0872,-18.8453,,,15.8091,10.3456,41.6781,,,3.06,2.4854,6.7304,4.287,5.8059,,,0.7575,1.544,3.6475,,,0.2239,0.6696,0.718,0.4891,0.4562,,,0.2755,0.4505,1.4259,,
