ÈÕÆÚ,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH
2014/1/2,1.1527,2.0576,-1.3064,1.5799,0.3731,-1.5399,,0.3356,1.1325,-0.1704,-0.6623,0,,1.7754,1.5791,0.6178,1.8669,0.266,0.6556,,0.187,1.1762,0.2576,2.0022,0.3935,,2594776500,2669979051,11419649616,2185227992,2883553842,20714598143,,2669979051,2845098000,15948617536,1572643302,3923040988,,139.3681,71.6359,126.7139,13.5294,43.8799,22.055,,33.9675,139.7976,22.5433,20.0391,13.9873,,9.3454,3.1135,2.897,2.9054,0.4853,6.017,,1.4763,4.931,1.8372,2.1498,1.5896,,15.1284,6.0781,6.4615,2.5387,2.6359,7.8141,,2.882,8.2126,4.3639,1.5499,7.5138,
2014/1/3,-0.2849,3.629,-0.4813,-0.6404,-1.487,-2.5415,,0.6689,-2.6876,-2.3891,-1.6667,-2.3659,,1.1818,3.2442,0.7425,1.206,0.2336,0.6103,,0.5607,1.2126,0.3779,1.9767,0.8813,,2587383974,2766873452,11364681387,2171232936,2840675718,20188127418,,2766873452,2768634000,15567592543,1546432580,3830224560,,138.9711,74.2356,126.104,13.4428,43.2274,21.4944,,34.2216,136.0404,22.0047,19.7052,13.6564,,9.3187,3.2265,2.8831,2.8868,0.4781,5.8641,,1.4874,4.7985,1.7933,2.1139,1.552,,15.0853,6.2986,6.4304,2.5224,2.5967,7.6155,,2.9036,7.9919,4.2597,1.524,7.336,
2014/1/6,0.2857,-6.8093,-3.9903,-3.0387,-0.7547,-1.5547,,-3.3223,-4.0276,-4.3706,-5.5932,-2.9079,,1.8159,2.058,0.7051,1.0058,0.378,0.5573,,0.4034,1.3816,0.4306,2.1881,0.9626,,2594776500,2578467672,10911193496,2105256245,2819236656,19874269870,,2578467672,2657124000,14887190771,1459937199,3718844848,,139.3681,69.1806,121.072,13.0343,42.9012,21.1603,,33.0939,130.5612,21.043,18.603,13.2592,,9.3454,3.0068,2.768,2.7991,0.4745,5.7729,,1.4384,4.6052,1.715,1.9957,1.5069,,15.1284,5.8697,6.1738,2.4458,2.5771,7.4971,,2.8079,7.67,4.0735,1.4388,7.1227,
2014/1/7,3.8462,-1.6701,0.8816,-2.6591,0.3802,-4.1773,,0.6873,1.4388,-0.3656,1.0772,-0.1664,,2.4869,0.9986,0.338,0.8177,0.2166,0.5637,,0.2942,0.9637,0.2898,1.6715,0.4491,,2694575596,2535403494,11007387897,2049276022,2829956187,19044066035,,2535403494,2695356000,14832758630,1475663632,3712657086,,144.7285,68.0252,122.1394,12.6877,43.0643,20.2763,,33.3108,132.4398,20.966,18.8034,13.2372,,9.7048,2.9566,2.7924,2.7247,0.4763,5.5318,,1.4478,4.6715,1.7087,2.0172,1.5044,,15.7103,5.7717,6.2282,2.3807,2.5869,7.1839,,2.8263,7.7803,4.0586,1.4543,7.1108,
2014/1/8,0.2743,1.2739,-0.1248,-2.8293,-1.8939,1.1696,,0,0.4728,0.7339,-1.0657,-1,,1.5478,0.923,0.5868,1.4822,0.3109,0.4461,,0.1487,1.6473,0.3421,1.3341,0.5137,,2701968121,2567701628,10993645840,1991296505,2776358532,19266803649,,2567701628,2708100000,14941622913,1459937199,3675530515,,145.1255,68.8918,121.9869,12.3288,42.2487,20.5135,,33.3328,133.066,21.1199,18.603,13.1048,,9.7314,2.9943,2.789,2.6476,0.4673,5.5965,,1.4487,4.6935,1.7212,1.9957,1.4893,,15.7534,5.8452,6.2205,2.3134,2.5379,7.2679,,2.8282,7.8171,4.0884,1.4388,7.0397,
2014/1/9,-2.736,-3.1447,-0.5,-0.6024,-3.0888,-3.8886,,-0.6826,-1.4118,-2.3679,-2.693,-1.6835,,1.0258,0.7528,1.3604,0.6346,0.4876,0.6341,,0.1899,1.1859,0.312,1.7663,0.4377,,2628042865,2486956293,10938677611,1979300743,2690602284,18517595310,,2486956293,2669868000,14587813992,1420621116,3613652897,,141.1549,66.7254,121.377,12.2545,40.9437,19.7158,,33.1208,131.1874,20.6198,18.102,12.8842,,9.4652,2.9001,2.775,2.6316,0.4529,5.3788,,1.4395,4.6273,1.6805,1.942,1.4642,,15.3224,5.6614,6.1894,2.2994,2.4595,6.9853,,2.8102,7.7068,3.9916,1.4,6.9212,
2014/1/10,-0.4923,-3.0303,0.5025,-3.4343,-0.3984,0.5467,,0,-1.6706,-3.3582,-1.107,-2.0548,,0.8549,0.8141,0.842,0.6987,0.3257,0.3472,,0.1397,1.9944,0.3687,1.4162,0.5292,,2615105945,2411593981,10993645840,1911324758,2679882753,18618839680,,2411593981,2625264000,14097924716,1404894683,3539399755,,140.4601,64.7034,121.9869,11.8336,40.7806,19.8236,,33.0662,128.9958,19.9273,17.9016,12.6194,,9.4186,2.8122,2.789,2.5413,0.4511,5.4082,,1.4372,4.55,1.624,1.9205,1.4342,,15.2469,5.4899,6.2205,2.2205,2.4497,7.0235,,2.8056,7.578,3.8575,1.3845,6.779,
2014/1/13,-2.4735,-0.2232,-1.25,-2.8243,0,-1.3051,,-2.0619,1.699,-0.5792,2.4254,-0.6993,,0.8372,0.4824,0.2589,1.2227,0.2671,0.535,,0.1659,2.2339,0.2768,1.674,0.3377,,2550421346,2406210959,10856225267,1857343829,2679882753,18375853191,,2406210959,2669868000,14016276503,1438968621,3514648708,,136.9858,64.5589,120.4621,11.4994,40.7806,19.5649,,32.3535,131.1874,19.8119,18.3358,12.5312,,9.1856,2.8059,2.7541,2.4695,0.4511,5.3377,,1.4062,4.6273,1.6146,1.967,1.4241,,14.8698,5.4776,6.1427,2.1578,2.4497,6.9318,,2.7451,7.7068,3.8352,1.4181,6.7316,
2014/1/14,-0.1449,10.0671,0.6329,4.7363,1.6,-0.9917,,5.9649,1.074,1.7476,1.4572,2.4648,,1.0159,2.7506,0.262,0.9256,0.1412,0.5562,,1.9426,2.2859,0.3031,1.4094,0.4616,,2546725083,2648446962,10924935554,1945312751,2722760877,18193613325,,2648446962,2698542000,14261221141,1459937199,3601277373,,136.7872,71.0582,121.2245,12.0441,41.4331,19.3709,,34.2721,132.5964,20.1582,18.603,12.8401,,9.1723,3.0884,2.7715,2.5864,0.4583,5.2847,,1.4896,4.677,1.6428,1.9957,1.4592,,14.8483,6.029,6.1816,2.2599,2.4889,6.8631,,2.9079,7.7895,3.9022,1.4388,6.8975,
2014/1/15,1.7417,5.6911,-1.5094,-0.2055,0,1.3356,,0.6623,-2.4793,4.5802,1.0772,0,,1.1073,5.2198,0.4182,0.8974,0.1189,0.3426,,1.3234,1.8898,0.6104,1.7263,0.4125,,2591080237,2799171586,10760030866,1941314163,2722760877,18436599813,,2799171586,2631636000,14914406842,1475663632,3601277373,,139.1696,75.1021,119.3947,12.0193,41.4331,19.6296,,34.5421,129.3088,21.0814,18.8034,12.8401,,9.3321,3.2642,2.7297,2.5811,0.4583,5.3553,,1.5013,4.561,1.7181,2.0172,1.4592,,15.1069,6.3722,6.0883,2.2553,2.4889,6.9547,,2.9308,7.5964,4.0809,1.4543,6.8975,
