ÈÕÆÚ,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH
2014/1/2,2.108,0.411,0.1295,0,1.5491,9.9934,0.8389,0,0.5208,-0.7264,1.6245,-1.9486,-0.8982,-0.5181,-0.5903,9.5552,0.3279,-1.857,-1.105,0.1075,-1.1719,-1.0163,1.0499,0.1567,0.9901,0.3211,0.5106,0.5382,0.6924,4.6398,0.3088,,1.0924,1.3057,1.0758,0.9555,0.4802,0.3657,0.652,5.489,0.2644,1.0195,1.3031,0.9161,0.4894,1.6537,0.3193,0.1016,1571138071,1953767278,1560629025,2456401109,4081408509,3109792192,1571138071,14535109241,1457864100,1379410560,1456438550,4605120000,2891590010,1354453286,1240641465,2058441545,1959269040,1352960000,7146588719,3688137023,6385349932,1805887142,1987010025,3688137023,44.5345,23.3,42.7483,35.0858,25.109,1445.691,27.1652,51.9511,-16.7805,-9.9968,12.2724,46.9464,8.6623,28.3921,186.3198,-696.5549,-9.0608,-3098.466,7.583,253.9183,124.658,-7.2983,59.6641,106.2928,2.0244,2.2326,3.7032,2.366,3.13,5.0755,1.2348,1.7017,13.5518,3.609,3.6814,2.1868,2.4552,54.9907,2.5869,2107.9886,1.0467,13.3974,1.2951,4.784,2.7684,13.338,2.1407,2.0026,4.4362,1.3951,0.0346,0.1035,0.7576,4.1421,2.706,0.0715,40.3281,16.3568,0.282,0.4112,0.4988,1.9977,0.5652,9.8327,1.7037,125.4666,0.1456,0.0474,5.1532,2.1453,0.232,0.0198
2014/1/3,-0.3871,0.1364,-1.8111,-1.6151,1.3559,-2.5702,0,0,0,-0.2439,-1.9538,-3.8844,-1.9637,3.6458,-3.2067,2.5564,-0.9804,-0.2838,-2.6071,-2.5779,-1.8445,0.2053,-0.5195,-0.7825,0.6284,0.3365,0.5563,0.5174,1.09,3.5867,0.4077,,0.6443,1.0683,0.3777,1.3528,0.5121,0.863,1.0731,4.6319,0.2916,0.5156,1.1504,1.5864,0.7818,1.6442,0.2531,0.2599,1565056246,1956432718,1532364075,2416728413,4136749641,3029863283,1565056246,14535109241,1457864100,1376046144,1427982379,4426240000,2834806520,1403834396,1200858425,2111063359,1940060520,1349120000,6960271694,3593061526,6267570091,1809595329,1976687895,3593061526,44.3621,23.3318,41.9741,34.5192,25.4494,1408.5333,27.1866,51.9511,-16.7805,-9.9724,12.0326,45.1229,8.4922,29.4272,180.3452,-714.3615,-8.9719,-3089.6719,7.3853,247.3726,122.3586,-7.3133,59.3542,105.5458,2.0166,2.2357,3.6361,2.3278,3.1724,4.9451,1.2358,1.7017,13.5518,3.6002,3.6094,2.1018,2.407,56.9956,2.5039,2161.877,1.0365,13.3593,1.2614,4.6606,2.7174,13.3654,2.1296,1.9885,4.419,1.397,0.034,0.1018,0.7678,4.0357,2.7081,0.0715,40.3281,16.3169,0.2764,0.3952,0.489,2.0705,0.5471,10.084,1.687,125.1105,0.1418,0.0461,5.0582,2.1497,0.2308,0.0197
2014/1/6,-2.9793,-2.9973,-4.3478,-4.5144,-4.0134,-0.184,-1.8303,10.0295,-2.0725,-2.445,-6.8841,-4.9812,-3.698,-3.0151,-1.9632,-1.9062,-2.9703,0.0949,-4.0153,-3.6384,-5.5034,-2.459,-1.5666,-1.1041,0.5681,0.4476,0.7,0.55,0.9315,2.7972,0.3171,0.1469,1.2801,0.9725,0.6146,1.1397,0.5629,0.4961,0.7567,2.8047,0.3002,0.7206,1.2054,1.5103,0.9175,1.3669,0.2461,0.2604,1518428923,1897793045,1465739550,2307628498,3970726244,3024286847,1518428923,15992907808,1427649300,1342401984,1329679244,4205760000,2729975463,1361507731,1177283290,2070823149,1882434960,1350400000,6680796158,3462332716,5922643415,1765097083,1945721505,3462332716,43.0405,22.6325,40.1491,32.9609,24.428,1405.941,26.6965,57.1616,-16.4327,-9.7286,11.2043,42.8752,8.1781,28.5399,176.8047,-700.7447,-8.7055,-3092.6033,7.0888,238.3723,115.6248,-7.1335,58.4243,104.4147,1.9565,2.1687,3.478,2.2227,3.0451,4.936,1.2135,1.8723,13.271,3.5122,3.361,1.9971,2.318,55.2772,2.4548,2120.6682,1.0057,13.372,1.2107,4.4911,2.5678,13.0367,2.0962,1.9672,4.2874,1.3551,0.0325,0.0972,0.737,4.0282,2.6593,0.0787,39.4923,15.9179,0.2574,0.3755,0.4709,2.0081,0.5364,9.8918,1.6369,125.2292,0.1362,0.0445,4.7798,2.0969,0.2272,0.0195
2014/1/7,1.4686,-1.5449,-0.8264,0.8596,-1.2195,9.3423,0.5085,1.3405,4.2328,-0.5013,4.4747,1.4837,-0.32,-0.3454,0.6258,-0.8969,0.3401,-0.1896,1.5936,2.746,-0.2841,1.6807,-0.2653,0.7974,0.7488,0.3548,0.679,0.3769,0.673,4.8996,0.1201,3.5479,1.4952,0.6712,0.9023,0.9741,0.2568,0.3815,0.3819,1.9725,0.2509,0.6063,0.7664,2.0504,0.5457,2.0512,0.1426,0.2065,1540728947,1868473209,1453626000,2327464846,3922302753,3306826246,1540728947,16207289950,1488078900,1335673152,1389178510,4268160000,2721239541,1356804768,1184650520,2052250744,1888837800,1347840000,6787263029,3557408214,5905817724,1794762581,1940560440,3557408214,43.6726,22.2828,39.8173,33.2442,24.1301,1537.2888,26.8237,57.9278,-17.1282,-9.6798,11.7057,43.5113,8.152,28.4414,177.9111,-694.46,-8.7351,-3086.7405,7.2018,244.918,115.2963,-7.2534,58.2694,105.218,1.9852,2.1352,3.4493,2.2418,3.0079,5.3971,1.2193,1.8974,13.8327,3.4946,3.5114,2.0268,2.3106,55.0862,2.4701,2101.6488,1.0091,13.3467,1.23,4.6144,2.5605,13.2558,2.0907,1.9824,4.3504,1.3342,0.0323,0.098,0.728,4.4046,2.672,0.0797,41.164,15.8382,0.2689,0.3811,0.4694,2.0011,0.5397,9.8031,1.6424,124.9918,0.1383,0.0457,4.7662,2.1321,0.2266,0.0196
2014/1/8,-1.5789,-1.1412,2.2222,2.983,2.9982,0.5621,0.3373,-8.2672,0,-1.5113,-0.7449,-0.0975,-1.4446,-1.2132,-1.6169,1.0558,-0.678,0.3799,-1.3725,-1.3363,-0.7123,-0.8264,0,-0.3165,0.7753,0.4027,0.7266,0.7386,1.0202,4.0751,0.1393,2.2038,1.5522,1.1759,0.5664,0.6789,0.3696,0.394,0.4577,4.3728,0.2827,0.5013,0.5622,1.307,0.5377,1.5479,0.1981,0.1251,1516401648,1847149691,1485928800,2396892065,4039902659,3325414364,1516401648,14867401562,1488078900,1315486656,1378830812,4264000000,2681927894,1340344398,1165495723,2073918549,1876032120,1352960000,6694104517,3509870465,5863753495,1779929832,1940560440,3509870465,42.983,22.0285,40.7021,34.2358,24.8536,1545.9302,26.9319,53.1388,-17.1282,-9.5335,11.6185,43.4689,8.0342,28.0963,175.0344,-701.7921,-8.6758,-3098.466,7.1029,241.6452,114.4751,-7.1934,58.2694,104.9486,1.9539,2.1108,3.5259,2.3087,3.0981,5.4275,1.2242,1.7406,13.8327,3.4418,3.4852,2.0248,2.2772,54.4179,2.4302,2123.8381,1.0023,13.3974,1.2131,4.5527,2.5423,13.1463,2.0907,1.9773,4.2817,1.319,0.033,0.101,0.7498,4.4293,2.6828,0.0731,41.164,15.5988,0.2669,0.3807,0.4626,1.9769,0.531,9.9066,1.6313,125.4666,0.1364,0.0451,4.7323,2.1145,0.2266,0.0196
2014/1/9,-2.9412,-1.1544,-0.6793,3.0345,-2.1404,-1.062,-0.1681,-6.3446,-2.5381,-1.5345,0,1.4634,-2.443,-4.2105,-4.4248,-3.5821,-0.3413,-1.8921,-1.3917,2.1445,-1.076,-0.625,-3.7234,-0.1587,0.6684,0.3448,0.6229,1.0335,0.7413,1.3588,0.0253,2.0108,0.726,1.1837,0.58,1.5635,0.6805,0.6167,0.7385,2.8985,0.2749,0.3915,0.6717,2.6778,0.5142,1.2967,0.4796,0.2544,1471801599,1825826174,1475834175,2469625341,3953432140,3290096939,1471801599,13924120136,1450310400,1295300160,1378830812,4326400000,2616408483,1283908844,1113925116,1999628930,1869629280,1327360000,6600946004,3585138567,5800657152,1768805271,1868305530,3585138567,41.7188,21.7742,40.4256,35.2747,24.3216,1529.5117,26.8993,49.7673,-16.6935,-9.3873,11.6185,44.1051,7.8379,26.9133,167.2895,-676.6533,-8.6462,-3039.8385,7.0041,246.8272,113.2433,-7.1485,56.0997,104.8335,1.8964,2.0864,3.502,2.3788,3.0318,5.3698,1.2228,1.6301,13.4816,3.389,3.4852,2.0544,2.2216,52.1266,2.3227,2047.7603,0.9988,13.1439,1.1963,4.6504,2.5149,13.0641,2.0128,1.9751,4.1557,1.3037,0.0328,0.104,0.7338,4.3823,2.6795,0.0685,40.1192,15.3594,0.2669,0.3863,0.4513,1.8936,0.5075,9.5517,1.6257,123.0926,0.1345,0.046,4.6814,2.1013,0.2181,0.0196
2014/1/10,-2.2039,0,-3.5568,2.008,-4.9869,0.8475,-0.5051,-2.1555,-0.2604,-2.0779,6.9418,-2.3077,-2.1703,-2.0147,-1.7196,-7.5851,-3.7671,0.9643,-0.2016,0,-2.103,-2.0964,-3.5912,-0.9539,0.4905,0.4569,0.4636,2.4267,0.9055,1.2583,0.0601,1.0552,0.4946,1.2257,0.9767,0.6216,0.5459,0.5568,0.4336,3.9984,0.387,0.3887,0.7182,1.472,0.488,0.9547,0.2427,0.1604,1439365200,1825826174,1423342125,2519216211,3756279356,3317979117,1439365200,13623985137,1446533550,1268384832,1474547022,4226560000,2559624994,1258042549,1094770319,1847954290,1799198040,1340160000,6587637646,3585138567,5678670888,1731723399,1801211685,3585138567,40.7994,21.7742,38.9878,35.9831,23.1088,1542.4736,26.7193,48.6946,-16.65,-9.1922,12.425,43.0872,7.6678,26.3711,164.4128,-625.3282,-8.3205,-3069.1522,6.99,246.8272,110.8618,-6.9986,54.0851,103.6619,1.8546,2.0864,3.3774,2.4265,2.8806,5.4153,1.2146,1.595,13.4465,3.3186,3.7271,2.007,2.1734,51.0765,2.2827,1892.4349,0.9612,13.2706,1.1938,4.6504,2.4621,12.7902,1.9406,1.9531,4.0641,1.3037,0.0316,0.1061,0.6972,4.4194,2.6616,0.067,40.0147,15.0403,0.2855,0.3774,0.4415,1.8555,0.4988,8.8272,1.5645,124.2796,0.1343,0.046,4.5829,2.0572,0.2103,0.0193
2014/1/13,0.1408,-1.0219,-2.5532,-4.7244,-2.5783,-2.6891,-0.5076,-5.0354,-0.2611,0,1.4035,-1.7717,-0.6826,-1.3084,-0.2692,-1.1725,0.3559,-0.8596,4.0404,0.663,-2.6667,3.4261,1.1461,0.1605,0.2569,0.3923,0.5949,1.2518,0.6768,1.8023,0.0394,1.2515,0.4838,0.862,0.5633,0.5296,0.2862,0.2786,0.3172,1.3387,0.2363,0.2859,1.1553,1.1865,0.7977,2.0611,0.1453,0.2173,1441392475,1807168096,1387001475,2400198123,3659432375,3228756149,1441392475,12937962282,1442756700,1268384832,1495242419,4151680000,2542153151,1241582179,1091823427,1826286484,1805600880,1328640000,6853804823,3608907442,5527239664,1791054393,1821855945,3608907442,40.8568,21.5517,37.9923,34.2831,22.5129,1500.9953,26.5583,46.2426,-16.6066,-9.1922,12.5994,42.3239,7.6155,26.0261,163.9703,-617.9961,-8.3501,-3042.7699,7.2724,248.4636,107.9055,-7.2384,54.705,103.7296,1.8572,2.0651,3.2912,2.3119,2.8063,5.2697,1.2073,1.5147,13.4114,3.3186,3.7795,1.9714,2.1585,50.4082,2.2766,1870.2455,0.9646,13.1565,1.2421,4.6812,2.3964,13.2285,1.9628,1.9543,4.0699,1.2904,0.0308,0.1011,0.6792,4.3006,2.6456,0.0637,39.9102,15.0403,0.2895,0.3707,0.4385,1.8312,0.4974,8.7237,1.57,123.2113,0.1397,0.0463,4.4607,2.1277,0.2127,0.0193
2014/1/14,1.5471,1.7699,3.0568,-0.8264,1.8904,-1.0938,0.8503,-1.4913,2.8796,2.3873,-1.5571,1.7034,1.2027,0,2.1592,2.7119,1.4184,-2.6012,-0.1942,1.427,2.2831,1.4493,0.5666,0,0.268,0.322,0.4428,0.7946,0.4939,1.9938,0.1052,1.262,0.6474,0.6718,0.6392,0.4868,0.5666,0.6943,0.2391,1.1113,0.1829,0.6534,0.7781,1.8528,0.4031,2.0782,0.34,0.1455,1463692499,1839153372,1429398900,2380361774,3728608790,3193438724,1463692499,12745018354,1484302050,1298664576,1471960097,4222400000,2572728876,1241582179,1115398561,1875812897,1831212240,1294080000,6840496464,3660406670,5653432351,1817011704,1832178075,3660406670,41.4889,21.9332,39.1537,33.9997,22.9385,1484.5769,26.7753,45.553,-17.0848,-9.4116,12.4032,43.0448,7.7071,26.0261,167.5108,-634.7553,-8.4686,-2963.6227,7.2583,252.0092,110.3691,-7.3433,55.0149,103.6956,1.886,2.1016,3.3918,2.2928,2.8594,5.2121,1.2171,1.4921,13.7976,3.3978,3.7206,2.005,2.1845,50.4082,2.3257,1920.964,0.9783,12.8143,1.2397,4.748,2.4511,13.4202,1.9739,1.9537,4.1328,1.3133,0.0317,0.1003,0.6921,4.2536,2.6672,0.0627,41.0595,15.3993,0.285,0.377,0.4438,1.8312,0.5082,8.9603,1.5923,120.0064,0.1394,0.047,4.5626,2.1585,0.2139,0.0193
2014/1/15,0.6925,0,1.8362,3.8889,10.0186,4.0745,0,0.4205,1.0178,-0.2591,1.9332,0,0.3396,1.3258,0.2642,0.495,0.3497,-4.55,0,-0.974,1.3393,-1.6327,0,0.1603,0.418,0.2596,0.7438,0.5367,3.9478,1.5862,0.1463,0.7766,0.9645,0.5167,0.6095,0.4602,0.4043,0.358,0.2451,0.8216,0.2121,0.6981,0.6593,1.1064,0.4134,1.2249,0.3527,0.0914,1473828874,1839153372,1455644925,2472931399,4102161433,3323555552,1473828874,12798613889,1499409450,1295300160,1500416268,4222400000,2581464797,1258042549,1118345453,1885099099,1837615080,1235200000,6840496464,3624753358,5729147963,1787346206,1832178075,3624753358,41.7763,21.9332,39.8726,35.3219,25.2366,1545.066,26.8087,45.7446,-17.2587,-9.3873,12.643,43.0448,7.7332,26.3711,167.9534,-637.8976,-8.4982,-2828.7793,7.2583,249.5545,111.8473,-7.2234,55.0149,103.9896,1.899,2.1016,3.4541,2.3819,3.1459,5.4244,1.2186,1.4984,13.938,3.389,3.7925,2.005,2.1919,51.0765,2.3319,1930.4738,0.9817,12.2313,1.2397,4.7018,2.4839,13.2011,1.9739,1.9592,4.1615,1.3133,0.0323,0.1042,0.7614,4.4269,2.6705,0.063,41.4774,15.3594,0.2905,0.377,0.4453,1.8555,0.5095,9.0046,1.5979,114.5462,0.1394,0.0465,4.6237,2.1233,0.2139,0.0194
