ÈÕÆÚ,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH
2014/1/2,0.3984,0.2506,5.1973,,,0.0935,0.4552,1.6633,0.6127,3.942,-1.2048,,1.016,0.7254,3.3265,,,0.5239,0.6748,0.4299,0.5078,2.0446,0.8609,,2399009760,2644210948,12690209390,,,2520087312,9859298400,3032304678,2707058539,7700217800,3278688000,,24.4133,24.1226,44.5655,,,-26.9633,430.2868,62.3182,581.2837,31.704,74.4503,,2.5904,2.0434,3.1841,,,4.8553,4.7077,7.5977,4.4742,3.7324,4.528,,4.4701,6.2287,8.6338,,,2.5732,9.3746,6.517,3.3503,2.5585,3.4131,
2014/1/3,-0.873,-1,-1.4181,,,-1.9141,-2.4169,-0.2836,-0.1218,3.9041,-3.1564,,1.0405,1.1121,2.504,,,0.6776,1.0458,0.4333,0.3476,3.8998,1.2828,,2378066024,2617768839,12510247592,,,2471850346,9621007200,3023705210,2703761269,8000839800,3175200000,,24.2002,23.8814,43.9335,,,-26.4472,419.8871,62.1415,580.5756,32.9418,72.1003,,2.5678,2.023,3.139,,,4.7623,4.5939,7.5761,4.4688,3.8781,4.3851,,4.431,6.1664,8.5113,,,2.524,9.1481,6.4985,3.3462,2.6584,3.3053,
2014/1/6,-4.3235,-3.0303,-5.29,,,-3.6173,-4.1022,0.0875,-2.439,-2.0934,-2.2593,,0.8284,0.7837,2.385,,,0.5058,1.078,1.3862,0.5114,1.5856,0.617,,2275251320,2538442510,11848452591,,,2382435484,9226337400,3026351200,2637815872,7833350400,3103464000,,23.1539,23.1577,41.6094,,,-25.4905,402.6627,62.1958,566.4153,32.2522,70.4714,,2.4568,1.9617,2.9729,,,4.5901,4.4055,7.5828,4.3598,3.7969,4.286,,4.2395,5.9795,8.0611,,,2.4327,8.7728,6.5042,3.2646,2.6028,3.2307,
2014/1/7,2.5105,-0.7812,2.2048,,,-0.0988,1.2107,-0.0656,-1.125,-0.2741,1.061,,0.8999,0.7441,1.9936,,,0.4277,0.6575,0.4699,0.2682,0.7127,0.5529,,2332370600,2518610928,12109687460,,,2380082461,9338036400,3024366707,2608140443,7811877400,3136392000,,23.7352,22.9768,42.5268,,,-25.4653,407.5375,62.1551,560.0431,32.1638,71.2191,,2.5184,1.9464,3.0385,,,4.5855,4.4588,7.5778,4.3107,3.7865,4.3315,,4.3459,5.9328,8.2388,,,2.4303,8.879,6.5,3.2278,2.5956,3.2649,
2014/1/8,1.6327,0.7874,6.4717,,,1.4335,0.7177,0.5906,-3.4134,2.199,2.8121,,0.9859,0.4829,5.8185,,,0.6206,0.9749,0.7505,0.9965,1.7198,0.6998,,2370450120,2538442510,12893392065,,,2414201290,9405055800,3042227140,2519114158,7983661400,3224592000,,24.1227,23.1577,45.279,,,-25.8303,410.4624,62.5221,540.9266,32.871,73.2219,,2.5595,1.9617,3.2351,,,4.6513,4.4908,7.6225,4.1636,3.8697,4.4533,,4.4168,5.9795,8.772,,,2.4651,8.9427,6.5383,3.1177,2.6527,3.3567,
2014/1/9,-1.9277,-1.3021,-3.8721,,,-4.922,-1.7419,-5.436,-4.8429,-4.142,-2.2611,,0.666,0.4751,3.3302,,,1.4589,1.0034,0.9237,0.9913,1.7784,0.5868,,2324754696,2505389873,12394143206,,,2295373644,9241230600,2876852758,2397115174,7652977200,3151680000,,23.6577,22.8562,43.5257,,,-24.559,403.3126,59.1234,514.7299,31.5095,71.5662,,2.5102,1.9361,3.1099,,,4.4223,4.4126,7.2082,3.962,3.7095,4.3526,,4.3317,5.9017,8.4323,,,2.3438,8.787,6.1829,2.9667,2.5428,3.2808,
2014/1/10,-3.0303,-2.6385,-2.1077,,,-5.4844,-4.029,-1.6096,-2.6135,0.0561,-2.9104,,0.6176,0.6999,1.9327,,,1.6711,1.2922,0.9203,0.6209,1.3926,0.5383,,2254307584,2439284600,12132908337,,,2169486929,8868900600,2830547931,2334467047,7657271800,3059952000,,22.9408,22.2531,42.6083,,,-23.2121,387.0631,58.1718,501.2775,31.5272,69.4833,,2.4341,1.885,3.0443,,,4.1798,4.2348,7.0922,3.8584,3.7115,4.2259,,4.2004,5.746,8.2546,,,2.2152,8.4329,6.0834,2.8891,2.5443,3.1854,
2014/1/13,-2.3649,0.271,1.6268,,,-6.128,-2.7708,-0.3973,-2.8249,-2.2434,-1.8832,,0.7306,0.605,1.8102,,,5.1254,0.9268,0.6487,0.8113,0.9619,0.7972,,2200996256,2445895127,12330285793,,,2036541147,8623162800,2819302473,2268521650,7485487800,3002328000,,22.3983,22.3134,43.3015,,,-21.7896,376.3385,57.9407,487.1171,30.8199,68.1749,,2.3766,1.8902,3.0938,,,3.9237,4.1175,7.064,3.7494,3.6283,4.1463,,4.1011,5.7615,8.3889,,,2.0795,8.1993,6.0592,2.8075,2.4872,3.1254,
2014/1/14,2.1626,3.2432,4.1902,,,9.9942,2.0725,1.6424,4.3605,3.9013,1.2926,,0.5128,0.7287,2.4987,,,3.1886,0.6316,0.4382,0.6201,1.1326,0.6138,,2248595656,2525221455,12846950311,,,2240077610,8801881200,2865607300,2367439745,7777520600,3041136000,,22.8826,23.0371,45.1159,,,-23.9673,384.1382,58.8923,508.3577,32.0223,69.0561,,2.428,1.9515,3.2235,,,4.3158,4.2028,7.18,3.9129,3.7698,4.1999,,4.1898,5.9484,8.7404,,,2.2873,8.3692,6.1588,2.9299,2.5842,3.1658,
2014/1/15,-0.1693,0,1.446,,,-0.7878,2.3689,1.6851,-1.532,3.0922,0.8894,,0.6884,0.9879,3.7138,,,1.3615,1.074,1.0369,0.4452,1.7179,0.9447,,2244787704,2525221455,13032717329,,,2222429940,9010386000,2913896620,2331169777,8018018200,3068184000,,22.8439,23.0371,45.7683,,,-23.7785,393.238,59.8847,500.5695,33.0125,69.6703,,2.4239,1.9515,3.2701,,,4.2818,4.3024,7.301,3.853,3.8864,4.2373,,4.1827,5.9484,8.8668,,,2.2693,8.5675,6.2625,2.8851,2.6641,3.1939,
