ÈÕÆÚ,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH
2014/1/2,2.2222,3.2164,1.864,0.9129,1.2579,2.0473,-0.1167,2.2222,0,0.1049,0,0.6711,-1.6053,,0.758,,,,,,,3.3103,6.099,-0.964,1.5742,0.7952,2.1565,0.6329,0.7318,,0.9794,0.255,0.6469,0.2083,0.408,1.2973,0.8611,0.9646,,1.8213,,0.8183,3.7456,,4.5666,,,,,,,1.1713,3.3628,0.6602,0.8636,0.5755,1.0683,0.4631,0.5132,,3552040173,2477329791,2369852979,11464916002,22602489155,4671087333,4949887213,6826102472,5229603987,2020643550,1964619598,1653750000,1876364400,,805939200,,,,,,,9580740000,13223591601,21333850924,4047386039,1748871647,9950660928,2028612592,20931535632,,116.7088,-16.8405,69.9885,68.5142,73.0609,27.2935,45.4016,32.2703,115.3178,-107.8355,93.4463,64.8144,36.873,,30.6342,,,,,,,67.714,145.4546,66.2536,130.1176,98.9133,64.9061,729.8852,63.6603,,3.9197,1.8803,7.9927,3.1643,2.2144,2.6371,3.7353,3.0665,3.2638,3.369,2.1193,1.3832,4.5569,,3.0249,,,,,,,2.8413,2.7853,8.4986,2.4904,2.3347,2.967,1.556,4.6802,,4.5024,3.4063,19.7584,5.3332,1.4831,1.6977,13.3735,3.0319,6.7142,10.3648,7.4426,0.8919,4.0082,,5.4465,,,,,,,1.5457,4.6228,6.9298,2.2299,0.5487,1.5582,1.9857,2.6485,
2014/1/3,-1.8395,-0.2833,-3.1216,-1.398,-1.5528,1.6928,-2.1028,-1.4689,0,-2.935,0,-1.2,-2.8614,,-2.3148,,,,,,,0.7746,2.115,-2.116,-1.2235,-0.5917,1.1728,-1.8868,-2.6985,,0.587,0.4777,0.7545,0.3213,0.3284,2.1847,1.1264,0.7899,,2.0179,,0.7744,3.4716,,5.4504,,,,,,,0.859,2.9508,0.6819,0.691,0.5043,1.8061,0.4211,0.9136,,3486701641,2470311860,2295874791,11304633459,22251518827,4750159031,4845800800,6725836572,5229603987,1961337450,1964619598,1633905000,1822673250,,787283200,,,,,,,9654957000,13503266261,20882436389,3997866634,1738523294,10067361408,1990336883,20366699175,,114.562,-16.7928,67.8037,67.5563,71.9264,27.7555,44.4469,31.7963,115.3178,-104.6705,93.4463,64.0366,35.8179,,29.9251,,,,,,,68.2386,148.5309,64.8517,128.5256,98.328,65.6673,716.1138,61.9425,,3.8476,1.875,7.7432,3.1201,2.18,2.6818,3.6568,3.0215,3.2638,3.2701,2.1193,1.3666,4.4265,,2.9549,,,,,,,2.8633,2.8442,8.3188,2.4599,2.3209,3.0018,1.5267,4.5539,,4.4196,3.3966,19.1416,5.2586,1.4601,1.7264,13.0923,2.9874,6.7142,10.0606,7.4426,0.8812,3.8935,,5.3205,,,,,,,1.5577,4.7206,6.7832,2.2026,0.5455,1.5765,1.9482,2.5771,
2014/1/6,-5.2811,-4.2614,-3.2222,-2.5021,-3.8906,-3.2059,-5.6683,-1.4908,0,-5.2916,0,-2.6991,-2.1964,,-5.7464,,,,,,,-3.7736,-2.3898,-2.6373,-5.3675,-2.5794,-4.3277,-1.6026,-4.32,,0.821,0.3547,0.7908,0.3224,0.4177,1.6519,1.5891,0.843,,2.6821,,0.5332,3.7371,,4.4754,,,,,,,1.1405,1.9275,0.6342,1.2336,0.4574,1.144,0.4475,0.9952,,3302565780,2365042889,2221896603,11021781913,21385792017,4597872798,4571128320,6625570672,5229603987,1857551775,1964619598,1589805000,1782640375,,742042400,,,,,,,9290619000,13180564731,20331710656,3783282546,1693680431,9631679616,1958440458,19486857771,,108.5119,-16.0772,65.6189,65.866,69.128,26.8657,41.9275,31.3223,115.3178,-99.1318,93.4463,62.3082,35.0312,,28.2054,,,,,,,65.6635,144.9813,63.1414,121.627,95.7918,62.8254,704.6376,59.2666,,3.6444,1.7951,7.4937,3.042,2.0952,2.5958,3.4495,2.9764,3.2638,3.0971,2.1193,1.3298,4.3293,,2.7851,,,,,,,2.7553,2.7763,8.0994,2.3279,2.261,2.8719,1.5022,4.3572,,4.1862,3.2519,18.5248,5.1271,1.4032,1.6711,12.3502,2.9428,6.7142,9.5282,7.4426,0.8574,3.808,,5.0147,,,,,,,1.4989,4.6078,6.6043,2.0844,0.5314,1.5083,1.917,2.4657,
2014/1/7,0,0.2967,0.3444,1.4542,0.6565,-1.7834,0.5693,1.0896,0,0.5701,0,2.2191,2.8269,,2.3884,,,,,,,0.2179,-0.8705,0.6217,0.9599,1.4257,-0.0808,0,0.7246,,0.3569,0.2701,0.423,0.3219,0.2915,1.2855,1.0403,0.5053,,0.9023,,0.6106,2.7837,,1.1619,,,,,,,0.5524,1.4911,0.2864,0.5653,0.3286,0.6655,0.2944,0.5582,,3302565780,2372060820,2229549519,11182064456,21526180148,4515872519,4597149923,6697762120,5229603987,1868142150,1964619598,1625085000,1833034700,,2125952188,,,,,,,9310860000,13065826409,20458106726,3819596776,1717826588,9623899584,1958440458,19628066885,,108.5119,-16.1249,65.8449,66.8239,69.5818,26.3866,42.1662,31.6636,115.3178,-99.6969,93.4463,63.6909,36.0215,,28.8791,,,,,,,65.8066,143.7192,63.5339,122.7945,97.1574,62.7747,704.6376,59.696,,3.6444,1.8004,7.5195,3.0863,2.109,2.5495,3.4691,3.0089,3.2638,3.1147,2.1193,1.3593,4.4517,,2.8516,,,,,,,2.7613,2.7521,8.1497,2.3502,2.2933,2.8696,1.5022,4.3887,,4.1862,3.2616,18.5886,5.2016,1.4125,1.6413,12.4205,2.9749,6.7142,9.5825,7.4426,0.8764,3.9157,,5.1345,,,,,,,1.5022,4.5677,6.6454,2.1044,0.539,1.5071,1.917,2.4836,
2014/1/8,0.3597,-1.1834,-1.0297,1.7707,-0.7609,3.6316,3.3962,2.2754,0,0.5669,0,0.6784,-1.0791,,1.4119,,,,,,,-0.6522,3.1833,6.0459,2.0743,-1.2048,-0.1617,-0.9772,1.3282,,0.4409,0.2561,0.5043,0.3593,0.4861,1.606,2.3118,1.0406,,0.9002,,0.7336,2.999,,1.4964,,,,,,,0.7058,2.0729,1.2671,0.772,0.303,1.0841,0.3451,0.653,,3314445513,2343989094,2206590771,11380060538,21362393995,4679873077,4753279543,6850166288,5229603987,1878732525,1964619598,1636110000,1813253750,,2155968702,,,,,,,9250137000,13481752826,21694982552,3898827824,1697129882,9608339520,1939302604,19888760634,,108.9022,-15.9341,65.1669,68.0071,69.0524,27.3448,43.5983,32.3841,115.3178,-100.2621,93.4463,64.123,35.6328,,29.2868,,,,,,,65.3774,148.2942,67.3751,125.3416,95.9869,62.6732,697.7519,60.4889,,3.6576,1.7791,7.442,3.1409,2.0929,2.6421,3.5869,3.0773,3.2638,3.1324,2.1193,1.3685,4.4037,,2.8919,,,,,,,2.7433,2.8397,8.6424,2.399,2.2656,2.865,1.4875,4.447,,4.2012,3.223,18.3972,5.2937,1.4017,1.7009,12.8423,3.0426,6.7142,9.6368,7.4426,0.8824,3.8734,,5.207,,,,,,,1.4924,4.7131,7.0471,2.1481,0.5325,1.5046,1.8983,2.5166,
2014/1/9,-4.3011,-5.3892,-4.3931,-2.4855,-1.3143,-2.5657,-3.7105,-2.9274,0,-1.8038,0,-2.965,-1.2208,,-7.6877,,,,,,,-2.6988,-4.7872,-4.3695,-3.895,-1.4228,-3.1579,-0.6579,-1.8023,,0.5331,0.5038,1.2556,0.2844,0.3488,1.957,0.8773,0.6199,,1.134,,0.8485,2.9446,,3.2487,,,,,,,0.6848,1.6984,1.125,0.6687,0.4737,1.3273,0.3279,0.6886,,3171888716,2217666329,2109653836,11097208992,21081617732,4559801240,4576910899,6649634488,5229603987,1844843325,1964619598,1587600000,1791117925,,1990225345,,,,,,,9000498000,12836349765,20747012029,3746968315,1672983725,9304918272,1926544034,19530306729,,104.2182,-15.0754,62.3041,66.3168,68.1448,26.6432,41.9806,31.4361,115.3178,-98.4536,93.4463,62.2218,35.1978,,27.0354,,,,,,,63.6131,141.195,64.4311,120.4596,94.6212,60.6941,693.1614,59.3987,,3.5002,1.6832,7.1151,3.0628,2.0654,2.5743,3.4538,2.9872,3.2638,3.0759,2.1193,1.3279,4.3499,,2.6696,,,,,,,2.6692,2.7038,8.2648,2.3055,2.2334,2.7745,1.4777,4.3669,,4.0205,3.0493,17.589,5.1622,1.3833,1.6572,12.3658,2.9535,6.7142,9.463,7.4426,0.8562,3.8261,,4.8067,,,,,,,1.4521,4.4875,6.7392,2.0644,0.5249,1.4571,1.8858,2.4712,
2014/1/10,0.7491,-4.1139,-1.6929,-1.7842,-2.3307,-1.3487,-4.4852,-5.0663,0,-5.0517,0,-4.4444,-4.0231,,-1.5082,,,,,,,-1.3868,-3.4637,2.2628,-1.7621,-2.4742,-3.6789,-1.9868,-3.2258,,0.5295,0.53,0.6105,0.215,0.4538,1.0426,1.4339,1.0583,,1.8599,,0.9035,2.7815,,1.4113,,,,,,,0.6175,1.2654,0.6966,0.5293,0.3687,0.9945,0.3404,0.8583,,3195648182,2126433220,2073940228,10899212910,20590259272,4498301030,4371629361,6312741064,5229603987,1751648025,1964619598,1517040000,1719058750,,1960208832,,,,,,,8875678500,12391738767,21216483145,3680942442,1631590314,8962596864,1888268324,18900296834,,104.9989,-14.4552,61.2493,65.1336,66.5565,26.2839,40.0977,29.8434,115.3178,-93.48,93.4463,59.4564,33.7817,,26.6276,,,,,,,62.7309,136.3045,65.8891,118.3369,92.28,58.4612,679.39,57.4826,,3.5265,1.614,6.9947,3.0082,2.0173,2.5396,3.2989,2.8359,3.2638,2.9205,2.1193,1.2689,4.1749,,2.6293,,,,,,,2.6322,2.6101,8.4518,2.2649,2.1781,2.6724,1.4484,4.226,,4.0507,2.9238,17.2913,5.0701,1.351,1.6349,11.8112,2.8039,6.7142,8.985,7.4426,0.8182,3.6722,,4.7342,,,,,,,1.432,4.332,6.8917,2.028,0.5119,1.4035,1.8483,2.3915,
2014/1/13,-0.1859,0.9901,4.305,1.6436,0.2273,-3.9062,-1.918,-2.1601,0,1.3301,0,2.0349,0.4932,,1.9308,,,,,,,0.038,-4.2245,-2,0.4484,-3.1712,-3.6458,1.0135,0,,0.313,0.2171,1.2289,0.2475,0.2446,1.3446,2.3822,0.8693,,0.8617,,0.6197,1.933,,1.1053,,,,,,,0.5514,1.9968,0.614,0.5095,0.5248,0.9501,0.2907,0.4972,,3189708316,2147487015,2163224248,11078352222,20637055316,4322586146,4287781973,6176379440,5229603987,1774946850,1964619598,1547910000,1727536300,,1998055740,,,,,,,8879052000,11868245174,20792153482,3697448910,1579848549,8635835520,1907406179,18900296834,,104.8037,-14.5983,63.8862,66.2041,66.7078,25.2572,39.3286,29.1988,115.3178,-94.7234,93.4463,60.6662,33.9483,,27.1417,,,,,,,62.7547,130.5463,64.5713,118.8676,89.3536,56.3298,686.2757,57.4826,,3.5199,1.6299,7.2958,3.0576,2.0219,2.4404,3.2357,2.7746,3.2638,2.9594,2.1193,1.2947,4.1955,,2.6801,,,,,,,2.6332,2.4999,8.2828,2.2751,2.1091,2.575,1.463,4.226,,4.0431,2.9528,18.0357,5.1534,1.3541,1.571,11.5847,2.7433,6.7142,9.1045,7.4426,0.8348,3.6903,,4.8256,,,,,,,1.4325,4.149,6.7539,2.0371,0.4957,1.3523,1.867,2.3915,
2014/1/14,3.1657,1.634,5.0708,1.8723,0.7937,2.981,3.2367,2.5974,0,1.79,0,2.2792,2.9171,,2.4167,,,,,,,0.5699,1.571,0.2605,2.5,2.1834,4.3243,1.6722,2.1264,,0.9787,0.3287,1.5585,0.222,0.4336,1.4537,1.3507,0.4602,,0.8355,,0.6351,1.9917,,0.9989,,,,,,,0.6654,2.1572,0.2989,0.5417,0.2545,1.0592,0.3025,0.4278,,3290686047,2182576672,2272916043,11285776689,20800841469,4451443728,4426563857,6336804880,5229603987,1806717975,1964619598,1583190000,1777930625,,2046343174,,,,,,,8929654500,12054694947,20846323226,3789885133,1614343059,9009277056,1939302604,19302199698,,108.1215,-14.8368,67.1257,67.4437,67.2372,26.0101,40.6016,29.9572,115.3178,-96.4189,93.4463,62.0489,34.9386,,27.7977,,,,,,,63.1123,132.5971,64.7396,121.8393,91.3046,58.7656,697.7519,58.7049,,3.6313,1.6566,7.6657,3.1149,2.0379,2.5131,3.3404,2.8467,3.2638,3.0123,2.1193,1.3242,4.3179,,2.7448,,,,,,,2.6482,2.5391,8.3044,2.3319,2.1551,2.6863,1.4875,4.3159,,4.1711,3.001,18.9502,5.2499,1.3649,1.6179,11.9596,2.8146,6.7142,9.2674,7.4426,0.8538,3.798,,4.9422,,,,,,,1.4407,4.2142,6.7715,2.088,0.5065,1.4108,1.8983,2.4424,
2014/1/15,1.6245,-0.9646,0.4489,3.4252,1.5748,1.9737,1.1757,2.0886,0,1.0551,0,-0.2786,0.3974,,0.574,,,,,,,1.7756,3.2719,3.2482,8.1882,0.8547,5.1813,-0.3289,10.0169,,1.1183,0.2399,0.7652,0.6292,0.4936,1.4869,0.8545,0.7001,,0.9435,,0.536,2.2588,,0.9295,,,,,,,0.9962,2.6339,1.2959,2.5572,0.263,1.847,0.3444,2.3876,,3344144845,2161522877,2283119931,11672340469,21128413776,4539301170,4478607064,6469155868,5229603987,1825780650,1964619598,1578780000,1784995250,,2058088767,,,,,,,9088209000,12449107928,21523445029,4100206738,1628140863,9476078976,1932923319,21235678340,,109.878,-14.6937,67.427,69.7538,68.2961,26.5235,41.0789,30.5829,115.3178,-97.4362,93.4463,61.8761,35.0775,,27.9572,,,,,,,64.233,136.9355,66.8424,131.8157,92.085,61.8105,695.4567,64.5854,,3.6903,1.6406,7.7002,3.2216,2.07,2.5627,3.3797,2.9062,3.2638,3.0441,2.1193,1.3205,4.335,,2.7606,,,,,,,2.6952,2.6222,8.5741,2.5229,2.1735,2.8255,1.4826,4.7482,,4.2389,2.9721,19.0353,5.4297,1.3864,1.6498,12.1002,2.8734,6.7142,9.3652,7.4426,0.8515,3.8131,,4.9706,,,,,,,1.4663,4.3521,6.9914,2.259,0.5108,1.4839,1.892,2.687,
