ÈÕÆÚ,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH
2014/1/2,3.1179,2.8348,,,3.2874,4.3478,2.3324,,,,1.4031,2.177,1.9913,0.8547,,2.6643,3.4706,,,2.0174,3.9337,1.8368,,,,0.9289,1.4798,3.725,1.5625,,4472453795,3718762604,,,4129529240,3390271663,2204376894,,,,22218970847,3487390182,3842310354,9813229629,,25.4755,149.4995,,,47.6539,-374.2572,40.4931,,,,72.6596,65.2436,152.6983,42.6115,,2.7326,9.1149,,,4.0707,8.0727,2.6821,,,,5.4865,2.1298,2.7391,1.9804,,3.2643,8.2898,,,7.9449,22.0011,3.6383,,,,4.6256,3.3481,0.5667,2.3897,
2014/1/3,-0.5162,0.5626,,,0.2053,2.4225,-1.4245,,,,-3.5125,-2.1306,-1.6129,-2.8602,,1.8574,4.8244,,,1.5413,3.7966,1.132,,,,1.5891,1.4364,3.4646,1.5743,,4449365906,3739683912,,,4138008766,3472400337,2172975513,,,,21438528018,3413088398,3780337606,9532554629,,25.3439,150.3406,,,47.7518,-383.3235,39.9162,,,,70.1075,63.8535,150.2354,41.3927,,2.7184,9.1662,,,4.0791,8.2683,2.6439,,,,5.2937,2.0844,2.6949,1.9237,,3.2474,8.3364,,,7.9612,22.5341,3.5865,,,,4.4631,3.2768,0.5576,2.3213,
2014/1/6,-6.0786,0,,,-5.0717,-1.8448,-3.1214,,,,-4.0816,-3.9326,-6.7299,-4.3621,,2.4974,,,,2.0094,3.5057,1.5445,,,,1.2077,1.1395,4.1033,1.6517,,4178907786,3739683912,,,3928140494,3408339971,2105148532,,,,20563486058,3278865820,3525923168,9116739814,,23.8034,150.3406,,,45.3299,-376.2518,38.6703,,,,67.2459,61.3424,140.1246,39.5872,,2.5532,9.1662,,,3.8722,8.1158,2.5614,,,,5.0777,2.0024,2.5135,1.8398,,3.05,8.3364,,,7.5575,22.1184,3.4745,,,,4.2809,3.148,0.5201,2.2201,
2014/1/7,0.2368,0,,,0.8095,5.9759,1.1337,,,,1.6101,1.6813,4.2553,1.1403,,1.2042,,,,1.0529,3.3719,0.9821,,,,0.8074,0.9371,4.5455,1.1384,,4188802595,3739683912,,,3959938717,3612019083,2129013581,,,,20894583015,3333992950,3675962452,9220693518,,23.8598,150.3406,,,45.6969,-398.7362,39.1087,,,,68.3287,62.3738,146.0874,40.0386,,2.5592,9.1662,,,3.9035,8.6008,2.5904,,,,5.1594,2.0361,2.6205,1.8608,,3.0572,8.3364,,,7.6186,23.4401,3.5139,,,,4.3498,3.2009,0.5422,2.2454,
2014/1/8,1.4173,0,,,2.6231,3.8654,3.5398,,,,3.056,2.8037,2.4845,1.2401,,1.5184,,,,1.9973,5.7649,2.49,,,,1.4742,1.5928,5.4066,1.4193,,4248171451,3739683912,,,4063812912,3751637828,2204376894,,,,21533127148,3427469388,3767290712,9335042592,,24.1979,150.3406,,,46.8956,-414.1489,40.4931,,,,70.4168,64.1226,149.7169,40.5351,,2.5955,9.1662,,,4.0059,8.9332,2.6821,,,,5.3171,2.0932,2.6856,1.8839,,3.1006,8.3364,,,7.8185,24.3462,3.6383,,,,4.4828,3.2906,0.5557,2.2732,
2014/1/9,-2.0186,0,,,-5.5816,-3.7215,-3.5328,,,,-2.2515,-4.1958,-4.5022,-4.0089,,1.4451,,,,1.9927,3.3003,1.9904,,,,0.9732,0.9904,3.6294,1.1707,,4162416437,3739683912,,,3836985587,3612019083,2126501471,,,,21048306603,3283659484,3597681087,8960809259,,23.7095,150.3406,,,44.278,-398.7362,39.0625,,,,68.8314,61.4321,142.9764,38.9101,,2.5431,9.1662,,,3.7823,8.6008,2.5874,,,,5.1974,2.0053,2.5647,1.8083,,3.038,8.3364,,,7.3821,23.4401,3.5098,,,,4.3818,3.1526,0.5307,2.1821,
2014/1/10,-3.7242,0,,,-0.5525,-1.3188,0.886,,,,-1.1798,-3.0657,0.4533,0,,1.2653,,,,1.6439,3.0477,1.3187,,,,0.8299,0.9449,2.338,1.3276,,4007397758,3739683912,,,3815786772,3564384452,2145342299,,,,20799983885,3182992551,3613989704,8960809259,,22.8265,150.3406,,,44.0334,-393.4777,39.4086,,,,68.0193,59.5488,143.6245,38.9101,,2.4484,9.1662,,,3.7614,8.4873,2.6103,,,,5.1361,1.9439,2.5763,1.8083,,2.9248,8.3364,,,7.3413,23.131,3.5409,,,,4.3301,3.0559,0.5331,2.1821,
2014/1/13,-0.4938,0,,,-2.2222,1.659,0.4098,,,,0.5685,-0.9036,-1.7148,-0.6961,,1.0922,,,,1.3098,3.2066,0.9495,,,,0.5703,0.5958,1.7316,1.0673,,3987608140,3756307662,,,3730991510,3623517097,2154134685,,,,20918232798,3154230570,3552016957,8898437037,,22.7137,150.3406,,,43.0549,-400.0055,39.5701,,,,68.406,59.0107,141.1616,38.6392,,2.4363,9.1662,,,3.6778,8.6281,2.621,,,,5.1653,1.9263,2.5321,1.7958,,2.9104,8.3364,,,7.1782,23.5147,3.5554,,,,4.3548,3.0283,0.5239,2.1669,
2014/1/14,2.316,-1.6476,,,2.2727,6.8903,-1.4577,,,,0.9045,1.8237,2.8466,1.7523,,0.9626,2.1065,,,2.1105,4.4274,2.0345,,,,0.6755,0.8724,2.1364,0.7584,,4079959693,3956011605,,,3815786772,3873188266,2122733305,,,,21107431060,3211754532,3653130387,9054367592,,23.2398,158.9956,,,44.0334,-427.5671,38.9933,,,,69.0247,60.0869,145.18,39.3163,,2.4927,9.6939,,,3.7614,9.2226,2.5828,,,,5.212,1.9614,2.6042,1.8272,,2.9778,8.8163,,,7.3413,25.135,3.5035,,,,4.3942,3.0835,0.5388,2.2049,
2014/1/15,0.6467,3.9658,,,3.3333,0.5089,1.8343,,,,3.3613,1.9403,3.4821,2.9851,,2.2838,3.2053,,,2.1778,3.2096,1.7009,,,,1.7189,1.9607,4.5815,2.2178,,4106345851,4112899587,,,3942979664,3892899148,2161671016,,,,21816924541,3274072157,3780337606,9324647222,,23.3901,165.301,,,45.5012,-429.743,39.7086,,,,71.3449,61.2528,150.2354,40.49,,2.5089,10.0783,,,3.8868,9.2696,2.6302,,,,5.3872,1.9995,2.6949,1.8818,,2.9971,9.166,,,7.586,25.2629,3.5678,,,,4.5419,3.1433,0.5576,2.2707,
2014/1/16,-1.2048,-1.3811,,,-1.0753,-4.3882,-0.9297,,,,0.1626,-1.2445,0.2588,0.4459,,1.7685,1.8067,,,1.5393,5.2709,1.2266,,,,1.3727,0.9578,3.2656,2.1735,,4056871805,4056095317,,,3900582034,3722071506,2141574133,,,,21852399215,3233326017,3790122777,9366228703,,23.1083,163.018,,,45.0119,-410.885,39.3394,,,,71.4609,60.4905,150.6243,40.6705,,2.4786,9.9391,,,3.845,8.8628,2.6057,,,,5.3959,1.9746,2.7019,1.8902,,2.961,9.0394,,,7.5044,24.1543,3.5346,,,,4.5492,3.1042,0.559,2.2808,
2014/1/17,-1.626,-1.0337,,,-0.3261,-1.9859,2.1701,,,,-1.7857,-2.3721,-1.2048,-0.8879,,1.0276,1.2423,,,1.0663,2.5842,2.2144,,,,0.7431,0.8867,2.5561,1.0741,,3990906410,4014168357,,,3887862744,3648155699,2188048176,,,,21462177800,3156627402,3744458647,9283065740,,22.7325,161.333,,,44.8651,-402.7254,40.1931,,,,70.1848,59.0555,148.8095,40.3094,,2.4383,9.8364,,,3.8325,8.6868,2.6623,,,,5.2996,1.9278,2.6693,1.8734,,2.9128,8.9459,,,7.48,23.6746,3.6113,,,,4.468,3.0306,0.5523,2.2606,
2014/1/20,0.6612,-0.1011,,,1.8539,-4.5475,3.4443,,,,1.0468,0.6074,0.9582,0.112,,0.8646,1.1277,,,1.9413,2.4425,3.3649,,,,0.8205,0.6703,2.4695,1.1403,,4017292568,4010110909,,,3959938717,3482255778,2263411488,,,,21686850736,3175802056,3780337606,9293461111,,22.8828,161.1699,,,45.6969,-384.4114,41.5775,,,,70.9195,59.4143,150.2354,40.3545,,2.4545,9.8265,,,3.9035,8.2918,2.754,,,,5.3551,1.9395,2.6949,1.8755,,2.9321,8.9369,,,7.6186,22.598,3.7357,,,,4.5148,3.049,0.5576,2.2631,
2014/1/21,1.9704,1.4503,,,1.6595,3.2075,1.4983,,,,1.3086,1.283,1.2079,0,,1.132,1.3315,,,1.8486,1.9307,2.1758,,,,0.7195,0.6658,3.0052,3.4021,,4096451042,4068267661,,,4025655044,3593950774,2297324979,,,,21970648128,3216548195,3826001736,9293461111,,23.3337,163.5073,,,46.4552,-396.7416,42.2005,,,,71.8476,60.1766,152.0501,40.3545,,2.5028,9.969,,,3.9683,8.5577,2.7952,,,,5.4251,1.9643,2.7274,1.8755,,2.9898,9.0665,,,7.7451,23.3229,3.7917,,,,4.5739,3.0881,0.5643,2.2631,
2014/1/22,2.496,0.8311,,,0.6319,2.5594,-0.0547,,,,1.8299,3.0551,4.5183,2.0134,,1.4195,2.1005,,,1.999,2.7873,1.9232,,,,1.2522,1.3309,6.9736,2.6148,,4198697404,4102079726,,,4051093623,3685934889,2296068924,,,,22372694434,3314818296,3998873085,9480577777,,23.9161,164.8662,,,46.7488,-406.8959,42.1774,,,,73.1623,62.015,158.9203,41.167,,2.5653,10.0518,,,3.9934,8.7768,2.7937,,,,5.5244,2.0244,2.8507,1.9132,,3.0645,9.1419,,,7.794,23.9198,3.7896,,,,4.6576,3.1825,0.5898,2.3087,
2014/1/23,0.3928,-1.4177,,,0.8896,5.3922,2.8993,,,,-0.37,-0.4338,1.2235,-0.3289,,1.4444,3.782,,,1.923,3.2305,3.0866,,,,1.452,1.3404,5.2263,1.8225,,4215188753,4043922974,,,4087131609,3884686280,2362639850,,,,22289920195,3300437306,4047798938,9449391666,,24.0101,162.5288,,,47.1646,-428.8363,43.4002,,,,72.8916,61.746,160.8646,41.0316,,2.5754,9.9093,,,4.0289,9.25,2.8747,,,,5.504,2.0156,2.8856,1.9069,,3.0765,9.0123,,,7.8633,25.2096,3.8995,,,,4.6403,3.1687,0.5971,2.3011,
2014/1/24,1.8779,1.0368,,,-0.7261,-1.2262,2.286,,,,0.8488,1.5251,-0.5641,0.8801,,2.1776,2.8937,,,2.1033,1.9782,3.5078,,,,1.2732,1.3234,4.4774,1.9496,,4294347228,4085849935,,,4057453268,3837051649,2416650224,,,,22479118456,3350770773,4024966873,9532554629,,24.4609,164.2139,,,46.8222,-423.5779,44.3924,,,,73.5104,62.6877,159.9573,41.3927,,2.6237,10.0121,,,3.9996,9.1366,2.9404,,,,5.5507,2.0463,2.8693,1.9237,,3.1343,9.1057,,,7.8062,24.9005,3.9886,,,,4.6797,3.217,0.5937,2.3213,
2014/1/27,-1.3825,-1.7875,,,2.5078,0.4281,-1.7672,,,,-2.6828,-2.2175,-0.4862,-1.9629,,1.5818,3.1041,,,2.8011,1.8577,5.385,,,,1.2012,1.5088,3.5754,1.7097,,4234978372,4012815874,,,4159207581,3853477384,2373944347,,,,21876048998,3276468989,4005396532,9345437963,,24.1228,161.2786,,,47.9964,-425.3911,43.6079,,,,71.5382,61.2976,159.1795,40.5802,,2.5875,9.8331,,,4.1,9.1757,2.8885,,,,5.4018,2.0009,2.8553,1.886,,3.091,8.9429,,,8.002,25.0071,3.9182,,,,4.5542,3.1456,0.5908,2.2758,
2014/1/28,-0.6231,-1.3819,,,-2.9052,-2.2592,-1.1111,,,,-1.1892,-1.0241,-1.7915,-2.1135,,1.1933,1.8924,,,2.6078,2.998,2.473,,,,0.801,0.78,3.3016,1.4038,,4208592214,3957364088,,,4038374334,3766420990,2347567187,,,,21615901388,3242913344,3933638613,9147925926,,23.9725,159.0499,,,46.602,-415.7809,43.1234,,,,70.6875,60.6698,156.3278,39.7226,,2.5713,9.6972,,,3.9808,8.9684,2.8564,,,,5.3375,1.9804,2.8042,1.8461,,3.0717,8.8194,,,7.7695,24.4421,3.8746,,,,4.5,3.1134,0.5802,2.2277,
2014/1/29,3.2915,1.3329,,,5.5643,1.6136,0.321,,,,2.407,5.765,7.0481,1.7045,,1.9354,1.6672,,,4.1438,1.2436,2.4124,,,,0.905,2.9817,6.6603,1.0186,,4347119544,4010110909,,,4263081777,3827196208,2355103519,,,,22136196607,3429866220,4210885116,9303856481,,24.7615,161.1699,,,49.1951,-422.4899,43.2618,,,,72.3889,64.1674,167.3459,40.3997,,2.656,9.8265,,,4.2023,9.1131,2.8655,,,,5.466,2.0946,3.0018,1.8776,,3.1728,8.9369,,,8.2019,24.8365,3.8871,,,,4.6083,3.2929,0.6211,2.2656,
2014/1/30,-0.2276,5.2277,,,9.995,4.0773,0.8,,,,1.8697,3.7037,-0.5422,1.0056,,1.8823,5.3134,,,6.3322,2.3489,1.6716,,,,1.6547,4.2115,5.515,1.698,,4337224734,4219745712,,,4689177966,3983240689,2373944347,,,,22550067804,3556898302,4188053051,9397414814,,24.7052,169.5953,,,54.1121,-439.7159,43.6079,,,,73.7424,66.544,166.4385,40.8059,,2.6499,10.3402,,,4.6224,9.4847,2.8885,,,,5.5682,2.1722,2.9855,1.8965,,3.1656,9.4041,,,9.0216,25.8492,3.9182,,,,4.6945,3.4149,0.6177,2.2884,
2014/2/7,3.8023,2.9167,,,9.9458,10.0206,1.0582,,,,7.8658,1.2803,4.5171,5.1991,,5.4707,7.3581,,,9.3299,4.8516,2.3566,,,,3.39,3.195,5.7707,3.7639,,4502138222,4342821629,,,5155551905,4382386045,2399065451,,,,24323801507,3602438105,4377233018,9885997222,,25.6445,174.5418,,,59.494,-483.7782,44.0694,,,,79.5428,67.396,173.9568,42.9275,,2.7507,10.6417,,,5.0821,10.4351,2.919,,,,6.0062,2.2,3.1204,1.9951,,3.2859,9.6784,,,9.9189,28.4394,3.9596,,,,5.0637,3.4586,0.6456,2.4074,
2014/2/10,0.9524,0.3426,,,2.5905,1.9865,1.0471,,,,2.0904,1.3972,3.5768,2.8391,,3.9393,6.5353,,,10.4104,4.6282,3.3637,,,,3.041,3.1591,7.6076,4.2401,,4545015729,4357698937,,,5289104442,4469442439,2424186555,,,,24832271835,3652771572,4533795748,10166672222,,25.8888,175.1398,,,61.0352,-493.3884,44.5308,,,,81.2055,68.3376,180.1788,44.1462,,2.7769,10.6782,,,5.2137,10.6424,2.9496,,,,6.1317,2.2308,3.232,2.0517,,3.3172,9.7115,,,10.1759,29.0044,4.0011,,,,5.1696,3.5069,0.6687,2.4758,
