ÈÕÆÚ,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH
2014/1/2,1.763,2.3994,,,0.6541,-1.0748,0.3906,2.1289,0.4431,0.3565,1.4954,3.3007,,,1.1456,0.9185,0.8601,1.458,0.2727,0.3453,1617975155,1166675984,,,5889468204,32978354120,4739080000,7572263851,3182400000,68150051052,189.3715,128.4765,,,-32.2982,834.1528,46.9461,816.635,-151.6689,29.6608,4.3482,2.6022,,,5.1669,1.9009,2.8054,2.8451,1.1576,1.82,9.5808,4.26,,,6.3936,1.4856,1.0457,2.6658,2.2589,1.6982
2014/1/3,4.4273,0.2757,,,-2.1121,-2.0894,-2.9183,-0.0579,-2.3529,-1.7762,3.8358,3.325,,,1.1269,1.4384,1.0872,1.959,0.523,0.4729,1689608319,1169892183,,,5765076511,32289295321,4600780000,7567879216,3107520000,66939570572,197.7556,128.8306,,,-31.6161,816.7238,45.576,816.1622,-148.1002,29.1339,4.5407,2.6094,,,5.0578,1.8612,2.7235,2.8434,1.1303,1.7877,10.0049,4.2718,,,6.2586,1.4546,1.0152,2.6643,2.2058,1.668
2014/1/6,1.3825,-7.079,,,-4.7303,-4.0973,-5.7114,-1.6802,-3.4639,-5.7866,7.7813,3.3259,,,1.0987,1.208,1.0823,1.9353,0.4154,0.9044,1712966959,1087075073,,,5492371647,30966302427,4338010000,7440724814,2999880000,63066033034,200.4895,119.7107,,,-30.1205,783.2601,42.973,802.4491,-142.9703,27.448,4.6035,2.4246,,,4.8185,1.785,2.568,2.7956,1.0912,1.6842,10.1432,3.9694,,,5.9625,1.395,0.9572,2.6195,2.1294,1.5715
2014/1/7,-1.6364,-0.074,,,0.1742,0.6231,-0.2125,3.2999,0.312,-0.9597,4.1728,2.1927,,,0.5254,0.7241,0.5424,1.5734,0.2574,0.4253,1684936591,1086271023,,,5501940239,31159238891,4328790000,7686264349,3009240000,62460792794,197.2088,119.6221,,,-30.173,788.1402,42.8817,828.9295,-143.4163,27.1846,4.5281,2.4229,,,4.8269,1.7961,2.5625,2.8879,1.0946,1.6681,9.9773,3.9664,,,5.9729,1.4037,0.9552,2.706,2.136,1.5564
2014/1/8,3.9741,4.1451,,,-0.6087,1.1942,-1.4909,0.1141,-0.4666,-0.1938,4.296,3.6835,,,0.6439,1.1088,0.7458,0.8719,0.3408,0.4686,1751898026,1131297801,,,5468450168,31531330642,4264250000,7695033618,2995200000,62339744746,205.0461,124.5805,,,-29.9893,797.5519,42.2423,829.8752,-142.7472,27.1319,4.7081,2.5233,,,4.7975,1.8175,2.5243,2.8912,1.0895,1.6648,10.3738,4.1308,,,5.9365,1.4204,0.941,2.709,2.126,1.5534
2014/1/9,-1.5111,-4.7619,,,-5.1619,-3.8462,-0.8649,-3.4758,-1.25,-0.1942,4.0559,2.8662,,,1.5287,0.7927,0.5524,0.99,0.3094,0.3244,1725424901,1077426477,,,5186176712,30318587156,4227370000,7427570911,2957760000,62218696698,201.9476,118.6481,,,-28.4413,766.8768,41.877,801.0305,-140.9629,27.0793,4.637,2.4031,,,4.5499,1.7476,2.5025,2.7907,1.0759,1.6616,10.217,3.9341,,,5.6301,1.3658,0.9328,2.6149,2.0995,1.5504
2014/1/10,-0.722,-0.6716,,,-2.8598,-5.0455,-2.8353,-5.7261,-0.4747,-3.5019,1.8774,2.0279,,,1.0298,0.9362,0.7023,1.8348,0.268,0.6787,1712966959,1070190031,,,5037863541,28788876622,4107510000,7002261360,2943720000,60039831833,200.4895,117.8513,,,-27.628,728.1844,40.6896,755.1628,-140.2938,26.131,4.6035,2.387,,,4.4198,1.6595,2.4315,2.6309,1.0708,1.6034,10.1432,3.9077,,,5.4691,1.2969,0.9064,2.4652,2.0895,1.4961
2014/1/13,-6.9091,0,,,-0.3799,0.9095,0.5612,-1.7533,1.1129,1.2097,3.3918,1.0324,,,0.5477,0.6746,0.5404,1.0992,0.187,0.5018,1594616515,1070190031,,,5018726357,29050718966,4130560000,6879491593,2976480000,60766120121,186.6375,117.8513,,,-27.523,734.8074,40.918,741.9226,-141.8551,26.4471,4.2854,2.387,,,4.403,1.6745,2.4452,2.5848,1.0827,1.6228,9.4424,3.9077,,,5.4483,1.3087,0.9115,2.4219,2.1128,1.5142
2014/1/14,5.2734,6.1608,,,1.5253,3.5104,2.0089,4.0153,1.1006,-0.5976,1.7875,3.8041,,,0.6236,0.7182,0.4991,0.6477,0.2303,0.5915,1678707620,1136122099,,,5095275091,30070525988,4213540000,7155723569,3009240000,60402975977,196.4797,125.1118,,,-27.9428,760.6024,41.74,771.713,-143.4163,26.289,4.5114,2.534,,,4.4701,1.7333,2.4943,2.6886,1.0946,1.6131,9.9404,4.1484,,,5.5314,1.3546,0.9298,2.5192,2.136,1.5052
2014/1/15,2.0408,2.9724,,,0.6573,-1.7874,1.4223,0.5515,0.1555,-1.8036,1.6866,6.4958,,,0.6192,0.5724,0.6909,0.8658,0.2207,0.5853,1712966959,1169892183,,,5128765162,29533060125,4273470000,7195185280,3013920000,59313543545,200.4895,128.8306,,,-28.1265,747.0077,42.3337,775.9688,-143.6394,25.8149,4.6035,2.6094,,,4.4995,1.7024,2.5298,2.7034,1.0963,1.584,10.1432,4.2718,,,5.5678,1.3304,0.943,2.5331,2.1393,1.478
2014/1/16,-2.9091,0.3436,,,-9.9813,-1.8665,-0.2157,0.975,0.1553,0,1.2657,5.0596,,,1.7589,0.7687,0.5247,0.6838,0.2541,0.5336,1663135193,1173912431,,,4616845505,28981813086,4264250000,7265339433,3018600000,59313543545,194.6571,129.2733,,,-25.3191,733.0645,42.2423,783.5346,-143.8624,25.8149,4.4696,2.6183,,,4.0504,1.6706,2.5243,2.7297,1.098,1.584,9.8482,4.2864,,,5.012,1.3056,0.941,2.5578,2.1426,1.478
