ÈÕÆÚ,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH
2014/1/2,-0.5181,0,1.4504,2.4448,1.0169,3.1111,0,,-0.3623,-1.5598,-0.9868,,0.7546,0.2626,2.1653,2.0023,0.325,0.4944,,,0.1145,0.9264,1.2358,,2303673446,5017339044,1723257392,6738943445,2174668350,14634306276,721548193.8,,2303673446,14864346682,13876093438,,102.3682,69.9519,463.1349,259.735,-43.3339,23.3863,25.3822,,57.6646,9.3907,27.113,,1.133,3.5621,3.4867,7.0229,1.5372,3.8864,2.4811,,0.6382,1.5033,0.9894,,0.2311,2.0307,1.5362,4.5354,0.8738,2.1946,2.3457,,0.1302,0.5219,0.236,
2014/1/3,-1.8229,-1.9248,-3.386,-2.3865,0.6711,4.6695,0,,-1.0909,-3.4331,-6.9767,,1.3915,0.3906,1.3564,1.9824,0.6957,0.7638,,,0.1489,1.8079,4.3728,,2261679399,4920763315,1664907819,6578121854,2189263440,15317661094,721548193.8,,2261679399,14354039005,12907993896,,100.5021,68.6055,447.4532,253.5365,-43.6247,24.4784,25.3822,,57.0805,9.0683,25.2214,,1.1124,3.4936,3.3686,6.8553,1.5475,4.0679,2.4811,,0.6318,1.4517,0.9203,,0.2269,1.9916,1.4842,4.4272,0.8797,2.2971,2.3457,,0.1289,0.504,0.2195,
2014/1/6,-2.6525,-6.5421,2.0249,2.7603,-4.6667,0.0686,0,,-2.2059,-3.3728,-5,,1.3507,1.2246,1.5257,3.7737,0.5874,0.5958,,,0.2927,1.2901,2.8917,,2201687903,4598844220,1698620906,6759694618,2087097813,15328174245,721548193.8,,2201687903,13869900953,12262594201,,97.8363,64.1173,456.5137,260.5348,-41.5889,24.4952,25.3822,,55.837,8.7625,23.9603,,1.0829,3.265,3.4368,7.0445,1.4753,4.0707,2.4811,,0.618,1.4027,0.8743,,0.2209,1.8614,1.5143,4.5494,0.8386,2.2987,2.3457,,0.126,0.487,0.2086,
2014/1/7,0.2725,1.2,-1.145,1.4582,0.3497,1.989,0,,0.3759,0.8491,1.8797,,0.5503,0.5463,1.0111,2.7727,0.2546,0.7376,,,0.1378,0.7806,1.516,,2207687053,4654030351,1679171048,6858262690,2094395358,15633055626,721548193.8,,2207687053,13987664263,12493094092,,98.1029,64.8867,451.2865,264.3338,-41.7343,24.9824,25.3822,,56.0291,8.8368,24.4107,,1.0858,3.3042,3.3975,7.1472,1.4804,4.1516,2.4811,,0.6201,1.4146,0.8908,,0.2215,1.8837,1.4969,4.6157,0.8416,2.3444,2.3457,,0.1265,0.4911,0.2125,
2014/1/8,5.163,3.7549,-1.2355,3.7065,-0.1742,0.538,0,,1.8727,2.8064,-1.107,,2.1857,0.7485,0.9166,5.1781,0.3466,0.5289,,,0.4108,1.8555,1.461,,2321670895,4828786431,1658424533,7112464559,2090746585,15717160835,721548193.8,,2321670895,14380208630,12354794158,,103.1679,67.3231,445.7107,274.1314,-41.6616,25.1168,25.3822,,57.116,9.0848,24.1404,,1.1419,3.4283,3.3555,7.4121,1.4779,4.174,2.4811,,0.6322,1.4543,0.8809,,0.2329,1.9544,1.4784,4.7868,0.8401,2.357,2.3457,,0.1289,0.5049,0.2101,
2014/1/9,0.2584,1.2381,3.9875,-2.9905,-1.0471,-1.2709,0,,0,-0.6369,10.0746,,2.7861,0.9687,1.5916,3.7395,0.4052,1.0763,,,0.2924,1.5115,4.0738,,2327670045,4888571406,1724554049,6899765036,2068853951,15517410965,721548193.8,,2327670045,14288614944,13599493569,,103.4345,68.1566,463.4834,265.9334,-41.2253,24.7976,25.3822,,57.1429,9.027,26.5725,,1.1448,3.4707,3.4893,7.1905,1.4624,4.1209,2.4811,,0.6325,1.445,0.9697,,0.2335,1.9786,1.5374,4.6436,0.8313,2.3271,2.3457,,0.129,0.5017,0.2313,
2014/1/10,-0.2577,-0.5644,2.2556,-3.2331,-0.8818,-3.1165,0,,-0.3676,-1.5568,7.7966,,3.4589,0.4206,1.8374,4.6487,0.2189,0.3562,,,0.2974,0.6264,7.9181,,2321670895,4860978341,1763453765,6676689926,2050610089,15033806016,721548193.8,,2321670895,14066173137,14659793068,,103.1679,67.7719,473.9379,257.3356,-40.8618,24.0248,25.3822,,56.8389,8.8864,28.6443,,1.1419,3.4511,3.568,6.958,1.4495,3.9925,2.4811,,0.6291,1.4225,1.0453,,0.2329,1.9674,1.572,4.4935,0.824,2.2545,2.3457,,0.1283,0.4939,0.2493,
2014/1/13,-5.168,-4.5412,0.5147,-4.8174,-0.5338,-5.5944,0,,-1.845,-1.4884,1.8868,,2.5328,0.7698,0.922,3.4283,0.2154,0.4676,,,0.3285,0.5033,4.2135,,2201687903,4640233818,1772530365,6355046744,2039663772,14192753931,721548193.8,,2201687903,13856816141,14936392937,,97.8363,64.6943,476.3773,244.9387,-40.6437,22.6807,25.3822,,55.737,8.7542,29.1847,,1.0829,3.2944,3.5864,6.6228,1.4418,3.7692,2.4811,,0.6169,1.4014,1.065,,0.2209,1.8781,1.5801,4.277,0.8196,2.1284,2.3457,,0.1258,0.4865,0.254,
2014/1/14,1.6349,1.6848,-1.0241,2.2041,1.7889,6.2222,0,,2.2556,1.4164,9.5679,,1.789,0.2916,0.6395,1.9209,0.2598,0.4589,,,0.3551,1.1217,8.5088,,2237682801,4718414170,1754377165,6495117162,2076151496,15075858620,721548193.8,,2237682801,14053088324,16365492261,,99.4358,65.7843,471.4985,250.3373,-41.3708,24.092,25.3822,,56.9754,8.8782,31.9771,,1.1006,3.3499,3.5496,6.7688,1.4675,4.0037,2.4811,,0.6306,1.4212,1.1669,,0.2245,1.9097,1.564,4.3713,0.8342,2.2608,2.3457,,0.1286,0.4934,0.2783,
2014/1/15,4.2895,1.7544,3.8433,-0.9585,0.5272,1.1158,0,,0.7353,1.0242,-0.8451,,2.7828,0.3856,1.2258,2.4927,0.2828,0.3595,,,0.2237,0.9145,7.2348,,2333669194,4801193366,1821803338,6432863642,2087097813,15244069037,721548193.8,,2333669194,14197021259,16227192326,,103.7011,66.9384,489.6197,247.9379,-41.5889,24.3608,25.3822,,57.4659,8.9691,31.7069,,1.1478,3.4087,3.6861,6.7039,1.4753,4.0483,2.4811,,0.636,1.4358,1.157,,0.2341,1.9433,1.6241,4.3294,0.8386,2.2861,2.3457,,0.1297,0.4985,0.276,
