ÈÕÆÚ,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH
2014/1/2,0.2538,-1.0989,-0.4,0,1.3917,3.3378,1.7401,0.4505,-0.5319,0.5587,1.7444,1.0753,2.2017,-2.0649,0.5398,2.7616,1.1152,0.4848,0.2,0.5362,0.738,-1.0989,2.9827,,,,,,4.5849,2.0408,1.8809,,,,,0,0.1742,,,,,0.8998,0.7364,0.2906,0.6988,1.2191,2.0208,0.8797,1.0159,0.4396,0.5675,0.9616,0.9219,1.5495,0.8881,0.4014,2.8809,1.0112,1.107,1.5614,2.2522,11.0676,1.2606,4.9406,,,,,,2.7258,1.927,2.611,,,,,0.3478,0.457,,,,,1096174296,2592000000,10023870345,1673828226,1172597814,1422245968,1771692054,2796420000,2546633668,1708788674,5664441868,3055901945,1201588024,2415149206,4384205800,1507870228,2551556071,1578469885,1024865640,1012500000,494151840,1676037348,822742080,,,,,,1833168000,1445229495,780000000,,,,,2432612800,2006692500,,,,,72.9254,18.5753,11.071,77.0817,-8.7057,16.5127,23.7309,129.4548,-5.8726,34.9507,26.5445,12.9394,52.5777,28.8823,15.733,24.5081,15.8316,24.4802,55.3544,16.6696,48.2736,27.6565,24.5538,,,,,,30.0455,34.2072,62.3725,,,,,32.4999,418.1118,,,,,3.1282,1.13,2.3587,2.3316,2.6592,1.5635,1.356,4.6476,3.1789,2.3032,5.7423,1.5329,1.8076,1.8739,2.5531,1.5368,2.205,1.6389,2.3959,1.9933,3.0924,2.6245,2.2058,,,,,,1.444,2.8705,7.2793,,,,,1.132,33.4751,,,,,1.0249,0.6396,1.3384,1.4371,0.6319,0.1563,1.9991,3.13,0.7786,1.76,2.4738,0.6115,4.9401,2.3514,2.3006,2.8614,2.023,2.2415,1.9494,1.3877,1.1834,3.6199,1.2855,,,,,,1.3185,4.7883,10.2142,,,,,3.266,61.7729,,,,
2014/1/3,1.0127,-1.9444,-2.5244,-0.2632,0,-1.6796,-0.6842,-2.5411,-1.6043,0.5556,-1.9754,-0.3546,-1.1814,-2.008,-3.1544,-0.7072,0.2206,1.4475,-2.495,-0.1778,-2.0147,-1.8333,-0.1524,,,,,,-0.4739,-0.0667,-0.5385,,,,,-0.9709,-1.2174,,,,,1.0481,0.7566,0.8361,0.7585,1.0049,2.1308,0.8197,1.0278,0.6297,0.9835,0.5836,0.9542,1.1465,0.616,0.7173,1.4475,1.1744,2.701,1.866,2.4167,9.9871,1.4074,9.4316,,,,,,3.0386,1.3197,1.9162,,,,,0.5714,0.4239,,,,,1107274795,2541600000,9770829441,1669423414,1172597814,1398358115,1759571014,2725360000,2505778582,1718281944,5552546446,3045065413,1187392752,2366652234,4245912060,1497206365,2557184504,1601318665,999295140,1010700000,484196400,1645309997,821487900,,,,,,1824480000,1444266009,775800000,,,,,2408995200,1982263200,,,,,73.6639,18.2141,10.7915,76.8788,-8.7057,16.2354,23.5686,126.1652,-5.7784,35.1449,26.0201,12.8935,51.9566,28.3023,15.2367,24.3348,15.8665,24.8345,53.9733,16.64,47.3011,31.4077,24.5164,,,,,,29.9031,34.1844,62.0367,,,,,32.1844,413.0217,,,,,3.1598,1.1081,2.2991,2.3255,2.6592,1.5372,1.3467,4.5295,3.1279,2.316,5.6288,1.5274,1.7863,1.8363,2.4725,1.5259,2.2099,1.6627,2.3361,1.9897,3.0301,2.9805,2.2025,,,,,,1.4371,2.8686,7.2401,,,,,1.1211,33.0676,,,,,1.0353,0.6271,1.3046,1.4333,0.6319,0.1537,1.9854,3.0505,0.7661,1.7697,2.425,0.6093,4.8817,2.3042,2.228,2.8411,2.0275,2.274,1.9008,1.3853,1.1595,4.1109,1.2836,,,,,,1.3122,4.7851,10.1592,,,,,3.2342,61.0209,,,,
2014/1/6,0.7519,-2.4079,-3.4138,-2.6385,-3.7255,-3.8108,-2.1814,-4.908,-3.5326,1.4733,4.8289,-5.7829,-2.8833,-0.1025,-4.851,2.5641,-2.788,1.5458,-3.6847,-4.5414,-5.8879,-2.0939,-3.5115,,,,,,-5,-4.0694,0.5027,,,,,-2.451,-2.4648,,,,,1.9419,0.7027,0.8426,0.7731,1.07,2.137,0.9283,0.9316,0.7821,3.9539,2.4494,1.3488,0.9123,0.7887,0.6096,5.4114,1.3663,4.2781,1.9793,2.4336,10.4188,1.3313,4.5445,,,,,,2.0928,1.4051,2.7864,,,,,0.8252,0.7199,,,,,1115600170,2480400000,9437275523,1625375303,1128912797,1345069830,1721187720,2591600000,2417259230,1743597332,5820673213,2868971773,1153157096,2364227385,4039942660,1535596272,2485891025,1626071510,962473620,964800000,455687640,1610858118,792641760,,,,,,1733256000,1385493343,779700000,,,,,2349951200,1933404600,,,,,74.2177,17.7755,10.4231,74.8503,-8.3813,15.6167,23.0544,119.9731,-5.5743,35.6627,27.2766,12.1479,50.4585,28.2733,14.4975,24.9587,15.4241,25.2184,51.9845,15.8843,44.516,30.75,23.6555,,,,,,28.4079,32.7933,62.3485,,,,,31.3956,402.8416,,,,,3.1836,1.0814,2.2206,2.2642,2.5601,1.4787,1.3173,4.3072,3.0174,2.3501,5.9006,1.4391,1.7347,1.8344,2.3526,1.5651,2.1483,1.6884,2.2501,1.8994,2.8517,2.9181,2.1251,,,,,,1.3653,2.7519,7.2765,,,,,1.0936,32.2525,,,,,1.0431,0.612,1.2601,1.3955,0.6084,0.1478,1.9421,2.9007,0.739,1.7958,2.5421,0.5741,4.741,2.3018,2.1199,2.914,1.971,2.3091,1.8307,1.3224,1.0912,4.0248,1.2385,,,,,,1.2466,4.5904,10.2102,,,,,3.155,59.5168,,,,
2014/1/7,-1.8657,1.016,1.2797,0,-0.4073,0.5464,0.7042,-1.4516,0.2817,-0.726,-1.5234,-0.661,1.231,-3.0769,2.0393,1.25,-1.5094,0.8197,-0.9564,0.2799,0.993,-0.9827,0.1582,,,,,,4.6366,0.4868,1.5006,,,,,-0.5025,-1.8051,,,,,0.9899,0.3996,0.4169,0.4913,0.7234,1.121,0.7298,0.7025,0.5237,1.3854,2.3262,0.7188,0.7497,0.803,0.4019,4.6929,1.2059,3.2679,1.2984,1.3006,6.257,0.911,3.6199,,,,,,1.9493,1.063,1.3399,,,,,0.352,0.5573,,,,,1094786734,2505600000,9558045045,1625375303,1124314375,1352419938,1733308760,2553980000,2424068411,1730939638,5732001369,2850007842,1167352368,2291481927,4122330420,1554791225,2448368142,1639399965,953268240,967500000,460212840,1595028876,793895940,,,,,,1813620000,1393557552,791400000,,,,,2338142400,1898505600,,,,,72.8331,17.9561,10.5565,74.8503,-8.3472,15.702,23.2168,118.2315,-5.59,35.4038,26.8611,13.3371,51.0797,27.4033,14.7932,25.2707,15.1913,25.4251,51.4873,15.9287,44.9581,30.4479,23.6929,,,,,,29.7251,32.953,63.2841,,,,,31.2378,395.5701,,,,,3.1242,1.0924,2.249,2.2642,2.5497,1.4867,1.3266,4.2447,3.0259,2.333,5.8107,1.58,1.7561,1.778,2.4006,1.5846,2.1158,1.7022,2.2285,1.9047,2.88,2.8894,2.1285,,,,,,1.4286,2.7653,7.3857,,,,,1.0881,31.6704,,,,,1.0236,0.6183,1.2762,1.3955,0.6059,0.1486,1.9558,2.8586,0.7411,1.7828,2.5033,0.6303,4.7993,2.231,2.1631,2.9504,1.9412,2.3281,1.8132,1.3261,1.1021,3.9853,1.2405,,,,,,1.3044,4.6128,10.3635,,,,,3.1391,58.4425,,,,
2014/1/8,2.0279,0.2874,-2.1059,-1.084,0.2045,-0.5435,2.9138,-0.3273,-1.1236,1.0969,-1.3628,1.0456,0.0715,0.8466,-0.9993,-0.823,0.0766,-0.9292,0.1073,0.186,1.1799,1.6929,3.4755,,,,,,1.7964,3.1142,4.2456,,,,,0,-3.125,,,,,1.1016,0.4645,0.7728,0.7019,0.6872,0.7796,1.2649,0.6152,0.5807,2.2472,1.1819,0.6639,0.9088,0.7042,0.4635,2.72,0.9016,2.4119,1.2249,1.7707,6.6082,1.7697,4.5789,,,,,,3.7494,1.6612,2.1754,,,,,0.3921,0.8281,,,,,1116987732,2512800000,9356762508,1607756059,1126613586,1345069830,1783813095,2545620000,2396831687,1749926179,5653885696,2879808305,1168187384,2310880716,4081136540,1541994590,2450244286,1624167445,954291060,969300000,465643080,1622031700,821487900,,,,,,1846200000,1933411052,825000000,,,,,2338142400,1839177300,,,,,74.31,18.0077,10.3342,74.039,-8.3643,15.6167,23.8933,117.8445,-5.5272,35.7921,26.495,13.4766,51.1162,27.6353,14.6454,25.0627,15.203,25.1889,51.5426,15.9584,45.4886,30.9633,24.5164,,,,,,30.2591,33.9792,65.9709,,,,,31.2378,383.2086,,,,,3.1875,1.0955,2.2017,2.2396,2.5549,1.4787,1.3652,4.2308,2.9919,2.3586,5.7316,1.5965,1.7574,1.793,2.3766,1.5716,2.1175,1.6864,2.2309,1.9082,2.914,2.9383,2.2025,,,,,,1.4542,2.8514,7.6993,,,,,1.0881,30.6807,,,,,1.0444,0.62,1.2493,1.3803,0.6071,0.1478,2.0128,2.8493,0.7328,1.8023,2.4692,0.6369,4.8028,2.2499,2.1415,2.9261,1.9427,2.3064,1.8152,1.3285,1.1151,4.0528,1.2836,,,,,,1.3278,4.7564,10.8034,,,,,3.1391,56.6162,,,,
2014/1/9,-2.3602,-2.5788,-0.6761,-1.9178,0.6122,-2.8689,0,-4.1051,-3.125,-3.255,-1.3069,-1.8815,-3.9314,-0.2099,0.2163,-3.7344,-1.9142,-2.9308,-1.2862,-3.6212,-5.8309,-5.4535,-3.9695,,,,,,-5.0588,-2.8859,-2.5818,,,,,-1.0101,-2.8463,,,,,1.2833,0.4754,0.4401,0.8604,1.0303,1.1133,,0.9516,0.5251,2.8192,1.7962,0.7172,0.83,0.7344,0.5419,2.7772,1.1666,3.3686,1.2253,2.1763,6.5203,1.7232,3.7355,,,,,,2.4513,1.0253,1.4351,,,,,0.5693,0.6252,,,,,1090624046,2448000000,9293502282,1576922381,1133511220,1306481761,1783813095,2441120000,2321930697,1692966556,5579992493,2825625646,1122261504,2306031019,4089963800,1484409730,2403340682,1576565820,942017220,934200000,438491880,1533574173,788879220,,,,,,1752804000,1877614626,803700000,,,,,2314524800,1786828800,,,,,72.5561,17.5433,10.2643,72.619,-8.4155,15.1687,23.8933,113.0069,-5.3545,34.6271,26.1487,13.223,49.1066,27.5773,14.677,24.1268,14.9119,24.4506,50.8796,15.3805,42.8362,29.2748,23.5432,,,,,,28.7283,32.9986,64.2677,,,,,30.9223,372.3013,,,,,3.1123,1.0673,2.1868,2.1967,2.5705,1.4362,1.3652,4.0571,2.8984,2.2819,5.6567,1.5665,1.6883,1.7893,2.3817,1.5129,2.0769,1.6369,2.2022,1.8391,2.7441,2.7781,2.1151,,,,,,1.3807,2.7691,7.5005,,,,,1.0771,29.8074,,,,,1.0197,0.604,1.2409,1.3539,0.6108,0.1436,2.0128,2.7323,0.7099,1.7437,2.4369,0.6249,4.614,2.2452,2.1462,2.8169,1.9055,2.2388,1.7918,1.2804,1.0501,3.8317,1.2326,,,,,,1.2607,4.6191,10.5245,,,,,3.1074,55.0047,,,,
2014/1/10,-2.0356,-2.6471,-2.6609,-3.0726,-2.2312,-1.6878,0,-4.6233,-5.2786,-5.2336,-3.2539,-3.164,-1.5625,-1.8927,-2.518,-3.4483,-3.5129,-3.3816,-4.5603,-2.9865,-1.2384,1.3965,-0.2385,,,,,,3.5936,-1.8659,-1.2691,,,,,-1.0204,-3.5156,,,,,0.7122,0.6772,0.5471,0.8378,0.6931,1.412,,1.0703,1.2847,1.6983,1.6443,0.7141,1.0233,0.5962,0.4048,2.7371,1.305,2.2861,2.1437,2.0529,5.0033,1.6164,2.5368,,,,,,2.9485,0.6482,1.1565,,,,,0.6053,1.1631,,,,,1068423048,2383200000,9046212308,1528469459,1108219895,1284431436,1783813095,2328260000,2199365440,1604362699,5398426335,2736224259,1104726168,2262383744,3986979100,1433223187,2318914194,1523252000,899058780,906300000,433061640,1554990206,786997950,,,,,,1815792000,1842579660,793500000,,,,,2290907200,1724010600,,,,,71.0792,17.0789,9.9912,70.3877,-8.2277,14.9127,23.8933,107.7823,-5.0718,32.8149,25.2979,12.8046,48.3394,27.0554,14.3075,23.2948,14.3881,23.6238,48.5594,14.9211,42.3057,29.6836,23.4871,,,,,,29.7607,32.3828,63.452,,,,,30.6067,359.2126,,,,,3.049,1.039,2.1286,2.1292,2.5132,1.412,1.3652,3.8695,2.7454,2.1624,5.4726,1.5169,1.6619,1.7554,2.3218,1.4607,2.004,1.5816,2.1018,1.7842,2.7101,2.8169,2.11,,,,,,1.4303,2.7174,7.4053,,,,,1.0661,28.7595,,,,,0.999,0.5881,1.2079,1.3123,0.5972,0.1411,2.0128,2.606,0.6724,1.6524,2.3576,0.6051,4.5419,2.2027,2.0921,2.7197,1.8386,2.1631,1.7101,1.2422,1.0371,3.8853,1.2297,,,,,,1.306,4.533,10.391,,,,,3.0757,53.071,,,,
2014/1/13,-1.4286,-0.1511,-0.5722,0.2882,-8.0913,2.5751,0,1.6158,-1.8576,-2.7613,-2.1118,1.4851,0.1512,0.8574,-0.6642,2.6786,0.8091,0.5,-2.6166,0.4965,2.4033,-0.0599,-0.7171,,,,,,2.512,1.0563,-0.9452,,,,,0,-0.2024,,,,,0.3843,0.336,0.2992,0.5617,1.7544,0.8732,,0.5073,0.6852,1.3225,0.7665,0.5828,0.494,0.3042,0.2389,2.4524,0.6191,1.4764,1.8466,1.1123,4.4853,0.8933,1.7753,,,,,,3.925,0.8716,0.8272,,,,,0.4376,0.5247,,,,,1053159862,2379600000,8994453941,1532874270,1018550650,1317506924,1783813095,2365880000,2158510355,1560060771,5284419678,2776861253,1106396200,2281782533,3985694440,1471613094,2337675636,1530868260,875533920,910800000,443469600,1554059074,781354140,,,,,,1861404000,1862043530,786000000,,,,,2290907200,1720520700,,,,,70.0637,17.0531,9.934,70.5906,-7.562,15.2967,23.8933,109.5238,-4.9776,31.9087,24.7636,12.9948,48.4124,27.2873,14.3787,23.9188,14.5045,23.7419,47.2888,14.9952,43.3225,29.6658,23.3186,,,,,,30.5082,32.7249,62.8523,,,,,30.6067,358.4854,,,,,3.0054,1.0374,2.1164,2.1353,2.3098,1.4484,1.3652,3.932,2.6944,2.1027,5.357,1.5394,1.6644,1.7705,2.3333,1.4998,2.0202,1.5895,2.0468,1.7931,2.7752,2.8152,2.0949,,,,,,1.4662,2.7461,7.3353,,,,,1.0661,28.7013,,,,,0.9847,0.5872,1.201,1.316,0.5489,0.1448,2.0128,2.6481,0.6599,1.6068,2.3079,0.6141,4.5487,2.2216,2.1025,2.7926,1.8534,2.1739,1.6654,1.2483,1.062,3.8829,1.2209,,,,,,1.3388,4.5808,10.2927,,,,,3.0757,52.9635,,,,
2014/1/14,1.1858,1.059,0.9591,1.1494,2.4831,1.6736,0,1.7668,2.8391,1.8256,0.5593,1.6585,3.9245,0.9564,2.6746,3.1884,1.5249,1.3682,1.986,2.7668,2.449,1.6177,3.3708,,,,,,2.217,2.5087,3.0153,,,,,1.5464,1.6227,,,,,0.4037,0.4989,0.5428,0.5192,0.6711,1.0511,,0.5754,0.5784,0.7823,1.2498,0.5168,0.806,0.6854,0.2274,2.205,0.5487,1.0903,1.3357,1.9358,5.6801,0.9502,1.8857,,,,,,3.4411,1.4586,1.3595,,,,,0.4439,0.5452,,,,,1065647923,2404800000,9080717886,1550493514,1043841976,1339557249,1783813095,2407680000,2219792983,1588540582,5313976960,2822916513,1149817032,2303606170,4092295480,1518534091,2373322375,1551812975,892921860,936000000,454330080,1579199635,807691920,,,,,,1902672000,1908756817,809700000,,,,,2326333600,1748439900,,,,,70.8945,17.2337,10.0293,71.402,-7.7497,15.5527,23.8933,111.4589,-5.1189,32.4912,24.9021,13.2103,50.3124,27.5483,14.7633,24.6814,14.7257,24.0667,48.2279,15.4101,44.3834,30.1457,24.1047,,,,,,31.1846,33.5459,64.7475,,,,,31.08,364.3026,,,,,3.041,1.0484,2.1367,2.1598,2.3672,1.4726,1.3652,4.0015,2.7709,2.1411,5.387,1.565,1.7297,1.7874,2.3957,1.5477,2.051,1.6112,2.0875,1.8427,2.8432,2.8607,2.1655,,,,,,1.4987,2.815,7.5565,,,,,1.0826,29.167,,,,,0.9964,0.5934,1.2125,1.3312,0.5625,0.1472,2.0128,2.6949,0.6787,1.6361,2.3208,0.6243,4.7272,2.2428,2.1588,2.8816,1.8817,2.2037,1.6984,1.2829,1.088,3.9457,1.262,,,,,,1.3684,4.6958,10.6031,,,,,3.1233,53.823,,,,
2014/1/15,2.0833,-0.5988,1.5833,0.5682,-1.1013,-0.1372,0,0.1736,0.9202,-0.7968,0.437,-1.2476,0.3631,0.4211,0.4342,0,-0.2372,0.3681,5.3837,0.3846,2.2908,-0.5307,3.1056,,,,,,-0.6849,0.136,-0.3335,,,,,2.0305,0.7984,,,,,0.5845,0.3201,0.5917,0.4694,0.7391,0.7318,,0.4005,0.516,0.8022,0.6799,0.5841,0.574,0.6203,0.2576,2.2431,0.625,1.6358,5.0481,1.2999,6.7218,0.9047,5.3311,,,,,,3.6504,1.3164,1.1256,,,,,0.8515,0.4477,,,,,1087848922,2390400000,9224491127,1559303136,1032345919,1337719722,1783813095,2411860000,2240220526,1575882888,5337200538,2787697785,1153992112,2313305564,4110062320,1518534091,2367693943,1557525170,940994400,939600000,464738040,1570819448,832775520,,,,,,1889640000,1911352000,807000000,,,,,2373568800,1762399500,,,,,72.3715,17.1305,10.1881,71.8076,-7.6644,15.5314,23.8933,111.6524,-5.166,32.2323,25.011,13.0455,50.4951,27.6643,14.8274,24.6814,14.6908,24.1553,50.8244,15.4694,45.4002,29.9857,24.8533,,,,,,30.971,33.5915,64.5316,,,,,31.7111,367.2112,,,,,3.1044,1.0421,2.1706,2.1721,2.3411,1.4706,1.3652,4.0085,2.7964,2.124,5.4105,1.5455,1.736,1.7949,2.4061,1.5477,2.0461,1.6172,2.1998,1.8498,2.9083,2.8456,2.2327,,,,,,1.4884,2.8188,7.5313,,,,,1.1046,29.3999,,,,,1.0171,0.5898,1.2317,1.3387,0.5563,0.147,2.0128,2.6996,0.6849,1.6231,2.3309,0.6165,4.7444,2.2523,2.1681,2.8816,1.8772,2.2118,1.7899,1.2878,1.1129,3.9248,1.3012,,,,,,1.3591,4.7021,10.5677,,,,,3.1867,54.2527,,,,
