ÈÕÆÚ,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH
2014/1/2,1.2972,2.6403,1.0571,1.5856,-0.3289,2.1544,0.1555,-0.3231,-0.7812,1.2837,-2.8302,0.7216,-0.299,-1.1532,-0.3442,-0.7653,1.444,-2.7941,0.1966,0.5799,2.4035,0.6115,1.3471,0.5601,3.7025,0.4941,0.5202,0.2517,1.2869,0.4789,5.5255,1.0936,0.5506,0.3339,0.477,0.6174,1.0612,0.043,10413435129,909601174.8,1007099084,3929438839,5332871284,991797231,3578424440,3376224000,5253190228,1978557532,65915098502,3358184613,5177005122,6674542704,2211048526,7370507706,1326814560,8371896815,6674542704,33.6049,51.1518,14.9129,8.9637,19.0341,51.1857,14.3905,692.9997,60.6333,12.5779,9.3103,16.6777,11.1424,9.5067,116.0914,33.872,200.4711,8.8068,7.3878,0.9727,6.0876,2.6645,1.8709,0.7992,1.7419,1.5254,3.1645,0.9749,0.9257,1.5562,1.9354,1.2471,1.2841,2.0959,0.9171,1.9378,1.0774,0.9979,0.7368,11.7855,1.5289,0.636,0.6742,1.7372,1.5098,1.9344,2.1658,0.8971,1.5803,1.5626,0.8907,0.7022,1.2151,0.5481,38,0.6322,0.5457
2014/1/3,-1.979,0.1608,-1.2552,-2.1852,-0.9901,1.0545,-2.1739,-1.2966,-2.6247,-1.2674,-4.551,0.5118,-1.7991,-4.25,-0.6908,-2.5707,-0.8897,-5.7489,-1.8967,0.3983,1.325,0.5489,1.0509,0.9741,5.5405,0.6482,0.6059,0.3371,1.2353,0.8387,6.4224,1.221,1.7502,0.5844,0.8711,0.6946,2.3126,0.0701,10207348520,911063556.1,994457673.2,3843571809,5280070578,1002255550,3500632605,3332448000,5115311219,1953480757,62915321568,3375370819,5083865600,6390874639,2195773580,7181034500,1315010160,7890607740,6390874639,32.9399,51.234,14.7257,8.7678,18.8456,51.7255,14.0777,684.0143,59.0419,12.4185,8.8866,16.763,10.9419,9.1026,115.2894,33.0012,198.6875,8.3005,7.2535,0.9534,6.0974,2.631,1.8301,0.7913,1.7603,1.4923,3.1235,0.9493,0.914,1.4854,1.9453,1.2246,1.2295,2.0815,0.8936,1.9205,1.0155,0.9797,0.7222,11.8044,1.5097,0.6221,0.6675,1.7555,1.477,1.9093,2.109,0.8857,1.5084,1.5706,0.8747,0.6723,1.2067,0.534,37.6619,0.5958,0.5357
2014/1/6,-7.3634,-4.4944,-3.6017,-5.9574,-4.1667,-3.1304,-3.0159,-1.8062,-2.4259,-5.7766,-3.7508,2.2403,-4.5802,-6.8755,-3.6522,-2.3747,-4.6679,-4.4944,-3.6667,0.9036,1.532,0.866,1.6508,1.0002,2.4515,0.7406,0.5818,0.22,1.7339,1.0114,7.6892,1.7154,2.0401,0.7057,0.7949,0.5701,1.3566,0.0861,9455738534,870116879.5,958640341.8,3614593063,5060067637,970880593.4,3395057971,3272256000,4991220111,1840635270,60555497046,3450990125,4851016794,5951467244,2115580110,7010508615,1253627280,7535973684,5951467244,30.5144,48.9314,14.1953,8.2455,18.0604,50.1062,13.6531,671.6593,57.6096,11.7011,8.5533,17.1385,10.4407,8.4768,111.0788,32.2176,189.4131,7.9275,6.9898,0.8832,5.8233,2.5363,1.721,0.7583,1.7052,1.4473,3.0671,0.9262,0.8612,1.4297,1.9888,1.1685,1.145,2.0054,0.8723,1.8309,0.9699,0.9441,0.669,11.2739,1.4553,0.585,0.6397,1.7006,1.4324,1.8748,2.0578,0.8346,1.4518,1.6057,0.8346,0.6261,1.1627,0.5213,35.9039,0.5691,0.5163
2014/1/7,-0.5128,-0.6723,0.2198,0.7919,-1.3913,-0.5386,-0.491,0.3344,0.2762,1.6349,-0.3963,-3.9841,0.32,-0.9346,-0.9025,0.8108,0.3766,0.1681,-1.1073,0.4403,0.9043,0.5251,0.8387,0.943,1.9519,0.4322,0.3792,0.1492,1.1558,0.5639,5.4463,0.9176,1.0248,0.5454,0.3684,0.3198,0.9339,0.1143,9407247567,864267354.2,960747243.6,3643215406,4989666696,965651434,3378388292,3283200000,5005008012,1870727400,60315514891,3313500478,4866540047,5895846055,2096486426,7067350576,1258349040,7548639186,5895846055,30.3579,48.6024,14.2265,8.3108,17.8091,49.8364,13.5861,673.9057,57.7688,11.8924,8.5194,16.4557,10.4742,8.3976,110.0763,32.4788,190.1265,7.9408,6.9105,0.8787,5.7842,2.5418,1.7347,0.7478,1.696,1.4402,3.0773,0.9288,0.8753,1.424,1.9096,1.1723,1.1343,1.9873,0.8794,1.8378,0.9715,0.9334,0.6656,11.1981,1.4585,0.5896,0.6308,1.6914,1.4254,1.8811,2.0635,0.8482,1.4461,1.5418,0.8373,0.6202,1.1522,0.5255,36.0391,0.57,0.5104
2014/1/8,-1.1598,0.846,-1.0965,-1.0101,-1.2346,-3.0686,-0.6579,-0.8333,-1.6529,-1.4745,0.1989,-0.8299,-0.4785,-0.1887,-1.6393,4.8257,-1.1257,-3.1879,0.8397,0.3083,0.6134,0.5424,0.8514,0.7479,1.9079,0.4376,0.5248,0.2762,1.036,0.4416,2.9763,0.6801,0.6635,0.6872,1.5901,0.3087,1.8745,0.0477,9298142892,871579260.8,950212734.4,3606415251,4928065873,936019530.8,3356162053,3255840000,4922280607,1843142948,60435505969,3286002549,4843255167,5884721817,2062117796,7408402347,1244183760,7307994648,5884721817,30.0058,49.0136,14.0706,8.2268,17.5892,48.3071,13.4967,668.2898,56.8139,11.717,8.5364,16.3192,10.424,8.3817,108.2718,34.0461,187.9862,7.6876,6.9727,0.8685,5.8331,2.514,1.7171,0.7386,1.644,1.4307,3.0517,0.9134,0.8623,1.4269,1.8938,1.1667,1.1321,1.9548,0.9219,1.8171,0.9405,0.9418,0.6579,11.2928,1.4425,0.5837,0.623,1.6395,1.416,1.8654,2.0294,0.8357,1.449,1.529,0.8333,0.6191,1.1333,0.5509,35.6334,0.5518,0.515
2014/1/9,-2.3468,-2.6846,-1.3304,-0.907,-1.6071,0.5587,-2.3179,-2.6891,-1.9608,-2.9932,-0.2647,-2.6151,0.1603,-0.5671,-0.3704,-4.0921,-2.0873,-2.0797,0.7634,0.5269,1.086,0.6347,0.6475,0.7272,1.5863,0.5589,0.5991,0.2113,1.6657,0.4666,2.3757,1.1294,0.5983,0.4584,0.8021,0.4102,1.5425,0.0608,9080379196,848181159.8,937571323.3,3573704001,4848864814,941248690.2,3278370217,3168288000,4825765301,1787974043,60275517866,3200071520,4851016794,5851349104,2054480323,7105245218,1218214080,7156008624,5851349104,29.3016,47.6978,13.8834,8.1522,17.3066,48.577,13.1839,650.319,55.6999,11.3663,8.5138,15.8924,10.4407,8.3342,107.8708,32.6529,184.0624,7.5278,7.0294,0.8481,5.6765,2.4805,1.7016,0.7267,1.6531,1.3975,2.9696,0.8955,0.8365,1.4231,1.8442,1.1685,1.1257,1.9475,0.8841,1.7792,0.921,0.9495,0.6424,10.9897,1.4233,0.5784,0.613,1.6487,1.3832,1.8153,1.9896,0.8107,1.4451,1.489,0.8346,0.6156,1.1291,0.5283,34.8897,0.5404,0.5192
2014/1/10,-2.5367,-4.1379,-0.2247,1.7162,-2.3593,0.3704,-1.5254,1.3817,-1.4286,-2.805,0.9954,-2.0408,-2.88,0.1901,-2.7881,-0.8,-3.1008,-3.0088,-0.4821,0.567,1.0874,0.4092,1.6885,0.7975,1.4423,0.4213,0.5115,0.2227,1.1527,0.4745,1.6013,1.1269,0.4992,0.4305,0.6781,0.3271,1.0836,0.019,8850035798,813084008.4,935464421.4,3635037594,4734463285,944734796.5,3228361180,3212064000,4756825797,1737820494,60875473252,3134763938,4711307510,5862473342,1997199273,7048403256,1180440000,6940695091,5862473342,28.5583,45.7241,13.8522,8.2921,16.8982,48.7569,12.9828,659.3044,54.9042,11.0475,8.5985,15.5681,10.14,8.35,104.8632,32.3917,178.355,7.3013,6.984,0.8266,5.4416,2.475,1.7308,0.7095,1.6593,1.3762,3.0106,0.8827,0.8131,1.4372,1.8066,1.1349,1.1279,1.8932,0.8771,1.724,0.8933,0.9433,0.6261,10.5349,1.4201,0.5883,0.5985,1.6548,1.3621,1.8403,1.9612,0.7879,1.4595,1.4586,0.8106,0.6167,1.0976,0.5241,33.8078,0.5241,0.5158
2014/1/13,-3.1507,0.1799,-0.2252,0.225,0.5576,-0.9225,-2.926,-0.1704,-0.8696,0.2886,0.5256,-0.1096,0,-2.7514,0.1912,1.6129,-0.6,2.0073,-1.4533,0.7601,0.5176,0.2772,1.2614,0.498,1.3853,1.4436,0.3849,0.1637,0.7642,0.4886,1.1234,0.7162,0.8449,0.4037,0.5188,0.3586,0.7742,0.0313,8571199054,814546389.7,933357519.6,3643215406,4760863638,936019530.8,3133899665,3206592000,4715462094,1742835849,61195449459,3131326697,4711307510,5701171893,2001018010,7162087179,1173357360,7080015612,5701171893,27.6586,45.8064,13.821,8.3108,16.9925,48.3071,12.6029,658.1812,54.4268,11.0794,8.6437,15.551,10.14,8.1203,105.0637,32.9142,177.2849,7.4478,6.8759,0.8006,5.4514,2.4694,1.7347,0.7135,1.644,1.3359,3.0055,0.8751,0.8154,1.4448,1.8046,1.1349,1.0968,1.8968,0.8912,1.7137,0.9112,0.9288,0.6064,10.5539,1.417,0.5896,0.6019,1.6395,1.3223,1.8372,1.9441,0.7902,1.4672,1.457,0.8106,0.5998,1.0997,0.5326,33.605,0.5346,0.5079
2014/1/14,-0.2829,2.8725,2.2573,1.0101,2.2181,3.7244,3.5461,0.8532,2.6316,1.5827,0.5882,1.427,1.9769,1.8537,1.5267,1.0582,3.6217,1.9678,-0.2809,1.3117,0.8176,0.5318,1.0983,0.5019,3.4222,1.2378,0.2783,0.2475,0.7314,0.3399,1.0407,0.6457,0.742,0.401,0.3819,0.3554,0.675,0.0243,8546952381,837944490.6,954426538.1,3680015562,4866465049,970880593.4,3245030859,3233952000,4839553202,1770420301,61555422691,3176010832,4804447033,5806852152,2031567903,7237876462,1215853200,7219336134,5806852152,27.5803,47.1222,14.133,8.3947,17.3694,50.1062,13.0498,663.7971,55.8591,11.2547,8.6946,15.7729,10.3405,8.2708,106.6678,33.2625,183.7057,7.5944,6.8544,0.7983,5.608,2.5251,1.7522,0.7293,1.7052,1.3833,3.0312,0.8981,0.8283,1.4533,1.8304,1.1573,1.1172,1.9258,0.9006,1.7757,0.9291,0.9258,0.6047,10.857,1.4489,0.5956,0.6152,1.7006,1.3691,1.8529,1.9953,0.8027,1.4758,1.4778,0.8266,0.6109,1.1165,0.5382,34.822,0.5452,0.5063
2014/1/15,0.5674,-1.0471,-0.2208,2.6667,0.3617,0,1.0274,0.6768,1.4245,1.4164,3.9636,1.0823,1.7771,0.3831,0,-0.5236,0.1942,0.8772,0.9155,0.8284,0.8329,0.5331,1.7095,0.4298,1.8451,0.6657,0.4692,0.1843,0.8741,0.6566,0.8572,0.9124,1.0575,0.3164,0.3333,0.1877,0.7655,0.0364,8595445727,829170202.8,952319636.2,3778149310,4884065285,970880593.4,3278370217,3255840000,4908492706,1795497076,63995241264,3210383243,4889824928,5829100628,2031567903,7199981820,1218214080,7282663644,5829100628,27.7368,46.6287,14.1018,8.6186,17.4322,50.1062,13.1839,668.2898,56.6548,11.4141,9.0392,15.9436,10.5243,8.3025,106.6678,33.0883,184.0624,7.661,6.9256,0.8028,5.5493,2.5195,1.7989,0.732,1.7052,1.3975,3.0517,0.9109,0.8401,1.5109,1.8502,1.1779,1.1214,1.9258,0.8959,1.7792,0.9373,0.9355,0.6081,10.7433,1.4457,0.6115,0.6174,1.7006,1.3832,1.8654,2.0237,0.8141,1.5343,1.4938,0.8413,0.6132,1.1165,0.5354,34.8897,0.5499,0.5115
