ÈÕÆÚ,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH
2014/1/2,0.1229,0.6424,0,1.0264,0.6329,-0.3221,0.2092,1.2547,,0,0.7154,1.6049,0.125,1.4593,0.5629,0.1858,0.2822,1.7417,,0.1433,10615109074,1428800000,10615109074,1483165515,3075407892,3365812995,1197587379,1375935000,,3365812995,11.0122,48.8328,6.6214,127.4348,45.3021,37.9918,-24.1974,14.472,,20.9626,2.1017,1.4501,1.2637,1.7362,1.0953,1.422,71.9115,1.7904,,0.7846,2.187,4.2849,1.315,3.7166,1.3059,1.817,6.3744,1.589,,1.0026
2014/1/3,-1.5951,-1.8085,-1.2841,2.0319,-1.2579,-2.7464,-1.4614,-3.0979,,-1.4286,0.997,1.6967,0.2123,3.009,0.5849,0.2023,0.2603,2.4115,,0.0987,10445788315,1402960000,10445788315,1513302405,3036723516,3273375482,1180086102,1333310000,,3273375482,10.8366,47.9497,6.5415,130.0242,44.7322,47.2392,-23.8438,14.0236,,26.4394,2.0681,1.4238,1.2484,1.7715,1.0815,1.7681,70.8606,1.7349,,0.9896,2.1521,4.2075,1.2991,3.7921,1.2895,2.2593,6.2813,1.5398,,1.2645
2014/1/6,-5.611,-4.8212,-3.9024,-2.9872,-3.5032,-3.8206,-2.3305,-3.9642,,-3.9855,2.0703,2.1007,0.377,1.9315,0.7911,0.257,0.3371,2.2735,,0.3232,9859677998,1335320000,9859677998,1468097070,2930341482,3148312963,1152584096,1280455000,,3148312963,10.2285,45.6379,6.288,126.1402,43.1652,45.4344,-23.2881,13.4677,,25.394,1.9521,1.3552,1.2001,1.7186,1.0437,1.7006,69.2092,1.6662,,0.9505,2.0314,4.0046,1.2488,3.6788,1.2443,2.173,6.1349,1.4787,,1.2145
2014/1/7,-0.5284,-0.2277,0.6768,4.2522,-0.6601,-0.3454,0.6508,1.1984,,0.566,1.1179,1.3961,0.1488,2.618,0.5733,0.1235,0.178,1.2984,,0.232,9807579304,1332280000,9807579304,1530523485,2910999294,3137437962,1160084643,1295800000,,3137437962,10.1745,45.534,6.3285,131.5039,42.8802,45.2774,-23.4397,13.6291,,25.5306,1.9418,1.3521,1.2078,1.7917,1.0368,1.6947,69.6595,1.6861,,0.9556,2.0206,3.9955,1.2568,3.8352,1.2361,2.1655,6.1748,1.4964,,1.2211
2014/1/8,-0.2656,-0.4564,0.1681,0.8439,-0.3322,-1.2132,0.8621,-0.5263,,-1.3133,1.0284,1.8469,0.1706,3.5062,0.4956,0.1992,0.26,1.4882,,0.2073,9781529956,1326200000,9781529956,1543439295,2901328200,3099375456,1170085373,1288980000,,3099375456,10.1474,45.3262,6.3433,132.6136,42.7378,44.7281,-23.6418,13.5574,,25.2106,1.9366,1.3459,1.2106,1.8068,1.0333,1.6741,70.2601,1.6772,,0.9436,2.0153,3.9773,1.2598,3.8676,1.232,2.1392,6.228,1.4886,,1.2058
2014/1/9,-1.5979,-4.6991,-0.1678,-4.0446,-0.3333,-2.1053,0,-3.5714,,-0.3802,1.3884,3.7519,0.1377,2.2784,0.6455,0.1907,0.2643,2.4122,,0.1963,9625233872,1263880000,9625233872,1481012880,2891657106,3034125446,1170085373,1242945000,,3034125446,9.9853,43.1963,6.3357,127.2499,42.5953,43.7865,-23.6418,13.0732,,25.1271,1.9057,1.2827,1.2092,1.7337,1.0299,1.6389,70.2601,1.6173,,0.9405,1.9831,3.7904,1.2583,3.7112,1.2279,2.0942,6.228,1.4354,,1.2018
2014/1/10,-2.3004,-1.804,-2.0168,-2.4709,-2.0067,-0.5376,-0.641,0.2743,,0,1.4826,2.1438,0.2269,1.5192,0.4883,0.1363,0.1469,1.7601,,0.2187,9403814419,1241080000,9403814419,1444418085,2833630542,3017812944,1162584825,1246355000,,3017812944,9.7556,42.417,6.1977,124.1056,41.7406,43.5511,-23.4902,13.109,,25.0856,1.8618,1.2595,1.1828,1.6909,1.0092,1.6301,69.8097,1.6218,,0.9389,1.9375,3.722,1.2309,3.6195,1.2032,2.0829,6.1881,1.4393,,1.1998
2014/1/13,-0.9695,1.7146,-1.7153,1.9374,0.3413,0.9009,-3.2258,-0.5472,,-0.3817,1.1151,1.8164,0.2268,1.5139,0.3006,0.0876,0.3347,1.5537,,0.0436,9312641703,1262360000,9312641703,1472402340,2843301636,3045000448,1125082089,1239535000,,3045000448,9.661,43.1443,6.0855,126.5101,41.883,43.9434,-22.7325,13.0373,,24.9661,1.8438,1.2811,1.1614,1.7236,1.0127,1.6448,67.5577,1.6129,,0.9345,1.9187,3.7858,1.2086,3.6896,1.2073,2.1017,5.9885,1.4315,,1.1941
2014/1/14,10.0699,1.5051,8.2024,3.3626,3.0612,2.8571,1.7778,1.3755,,1.9157,3.5823,2.122,1.2101,2.0185,0.4956,0.1197,0.19,1.2386,,0.1686,10250418210,1281360000,10250418210,1521912945,2930341482,3132000461,1145083548,1256585000,,3132000461,10.6339,43.7937,6.5825,130.7641,43.1652,45.1989,-23.1366,13.2166,,25.436,2.0295,1.3004,1.2563,1.7816,1.0437,1.6917,68.7588,1.6351,,0.952,2.1119,3.8428,1.3073,3.8137,1.2443,2.1617,6.0949,1.4511,,1.2165
2014/1/15,-0.5083,1.4235,-0.3226,1.6973,-0.6601,-0.5208,1.7467,-0.1357,,-0.188,2.8378,3.131,0.3103,2.1671,0.2752,0.1047,0.324,1.4805,,0.0484,10198319515,1299600000,10198319515,1547744565,2910999294,3115687958,1165085008,1254880000,,3115687958,10.5798,44.4171,6.5695,132.9835,42.8802,44.9635,-23.5407,13.1987,,25.4194,2.0191,1.3189,1.2538,1.8118,1.0368,1.6829,69.9598,1.6329,,0.9514,2.1012,3.8975,1.3047,3.8784,1.2361,2.1505,6.2014,1.4492,,1.2157
