ÈÕÆÚ,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH
2014/1/2,-0.7315,1.4184,0,0.2427,2.6471,0.5464,-0.5302,4.6961,3.0429,3.0241,0,0,1.1407,,-2.6726,0.3311,,,,-0.2541,0,-1,0.241,,-0.875,,0,,,,,,0.2858,0.3662,0.9943,0.5444,0.8145,0.4831,0.2977,4.0536,2.6585,1.3012,2.3675,,2.2822,,0.2074,0.1134,,,,0.5588,0.4445,0.4113,0.3789,,0.3653,,0.0472,,,,,,947344303.5,2403426311,2831766313,2336745740,13332245108,2466363721,8147877868,1675133914,2528776342,2505963398,796831500,832900218.8,607357800,,947344303.5,2403426311,,,,2286502470,1710160821,4064902380,9096233203,,39118690000,,28418250000,,,,,,195.6043,50.5332,18.1398,-5.8737,18.5713,45.5591,35.5772,69.3734,35.2416,31.3902,18.604,35.9684,47.6387,,70.7749,21.0555,,,,17.9807,38.3676,17.1419,101.8049,,11.648,,11.2191,,,,,,12.7205,3.7303,3.5401,6.2672,2.85,1.5249,5.2343,3.9215,2.4132,3.9532,1.3721,2.9963,1.4211,,4.6026,1.5543,,,,2.6945,2.1685,1.7631,2.129,,1.8578,,0.7508,,,,,,59.5153,2.4774,0.9572,1.627,1.4447,0.7404,3.0813,3.364,3.4061,6.5101,0.6246,5.0386,1.3759,,21.5342,1.0322,,,,0.6689,0.4304,0.5406,0.4388,,0.6337,,0.165,,,,,
2014/1/3,-2.2105,-1.9231,0.6711,0.1211,-1.9102,-1.9022,-2.0256,1.9129,0,-0.7338,-2.785,0,-1.1278,,-1.6018,-0.33,,,,-1.0191,-2.71,-1.5873,-2.1635,,-3.657,,-1.1429,,,,,,0.314,0.3713,1.5197,0.7665,0.5731,0.5334,0.3123,4.1835,2.4837,1.0002,3.3984,,1.8551,,0.2931,0.1015,,,,0.3732,0.5839,0.5125,0.7141,,0.6295,,0.107,,,,,,926403008.4,2357206574,2850771456,2339574730,13077569938,2419449194,7982835566,1707178032,2528776342,2487574074,774639500,832900218.8,600507900,,926403008.4,2357206574,,,,2263200534,1663814999,4000380120,8899439696,,37688120000,,28093470000,,,,,,191.2804,49.5614,18.2615,-5.8808,18.2165,44.6925,34.8565,70.7005,35.2416,31.1599,18.0859,35.9684,47.1014,,69.6961,21.0026,,,,17.7974,37.3278,16.8698,99.6023,,11.2221,,11.0908,,,,,,12.4393,3.6586,3.5639,6.2748,2.7956,1.4959,5.1283,3.9965,2.4132,3.9242,1.3339,2.9963,1.4051,,4.5325,1.5504,,,,2.6671,2.1097,1.7351,2.083,,1.7899,,0.7422,,,,,,58.1997,2.4297,0.9637,1.629,1.4171,0.7263,3.0189,3.4284,3.4061,6.4623,0.6072,5.0386,1.3604,,21.206,1.0296,,,,0.6621,0.4187,0.532,0.4293,,0.6106,,0.1631,,,,,
2014/1/6,-1.3994,-3.7433,-3.1111,1.5719,-3.8462,-3.3241,-6.9641,-3.9482,-3.2215,-3.9651,-5.1925,0,-0.7605,,-1.8605,-2.3179,,,,-2.4453,-0.8357,-3.2258,-1.9656,,-5.1047,,-2.8902,,,,,,0.2351,0.5115,0.8543,1.7177,1.11,0.6132,1.1745,3.6865,2.0914,1.125,3.2807,,1.6907,,0.1625,0.2604,,,,0.4657,0.4955,0.5142,0.5015,,0.8342,,0.1367,,,,,,913439349.5,2268968895,2762080788,2376351600,12574586479,2339024290,7426903601,1639774886,2447312406,2388940424,734416500,832900218.8,595941300,,913439349.5,2268968895,,,,2207858436,1649911253,3871335600,8724512135,,35764250000,,27281520000,,,,,,188.6038,47.7062,17.6934,-5.9732,17.5159,43.2069,32.4291,67.9091,34.1063,29.9244,17.1468,35.9684,46.7432,,68.4185,20.5215,,,,17.3622,37.0159,16.3256,97.6446,,10.6492,,10.7703,,,,,,12.2652,3.5216,3.453,6.3734,2.688,1.4462,4.7712,3.8387,2.3354,3.7686,1.2646,2.9963,1.3944,,4.4494,1.5149,,,,2.6019,2.0921,1.6792,2.042,,1.6985,,0.7208,,,,,,57.3853,2.3388,0.9337,1.6546,1.3626,0.7022,2.8086,3.293,3.2964,6.206,0.5757,5.0386,1.35,,20.8173,1.0061,,,,0.6459,0.4152,0.5148,0.4208,,0.5794,,0.1584,,,,,
2014/1/7,0.655,1.2963,0.9939,2.619,-7.8481,0.5731,0.1754,0,5.6865,0.7698,1.6053,0,-0.5109,,-0.4739,0.678,,,,-1.3193,1.6854,-0.7576,0.7519,,-0.2759,,0,,,,,,0.1698,0.235,0.8107,2.0473,1.5924,0.311,0.8829,2.1534,4.291,0.5477,1.5906,,0.8287,,0.239,0.1622,,,,0.4586,0.4211,0.6527,0.2963,,0.3715,,0.0676,,,,,,919422576.7,2298381455,2789532662,2438589380,11587720199,2352428441,7439933256,1639774886,2586479963,2407329749,746206000,832900218.8,592896900,,919422576.7,2298381455,,,,2178731016,1677718746,3842007300,8790109970,,35665590000,,27281520000,,,,,,189.8391,48.3246,17.8692,-6.1297,16.1412,43.4545,32.486,67.9091,36.0457,30.1547,17.422,35.9684,46.5045,,68.0727,20.6541,,,,17.1332,37.6397,16.2019,98.3787,,10.6198,,10.7703,,,,,,12.3456,3.5673,3.4873,6.5403,2.4771,1.4545,4.7796,3.8387,2.4682,3.7976,1.2849,2.9963,1.3873,,4.4269,1.5247,,,,2.5675,2.1273,1.6664,2.0574,,1.6938,,0.7208,,,,,,57.7611,2.3691,0.943,1.6979,1.2557,0.7062,2.8136,3.293,3.4838,6.2538,0.5849,5.0386,1.3431,,20.712,1.0126,,,,0.6374,0.4222,0.5109,0.424,,0.5778,,0.1584,,,,,
2014/1/8,0,-0.1828,0.6056,-0.58,-2.1429,0,0.1168,-0.4043,-0.6562,-0.6944,-1.0223,0,0.1284,,-1.4286,0,,,,-0.6684,-1.3812,1.5267,-1.1194,,0.4149,,-1.7857,,,,,,0.1665,0.3145,0.8495,1.0624,1.474,0.2961,0.3728,2.4755,3.3709,1.2163,2.4001,,1.2951,,0.2253,0.109,,,,0.4803,0.2304,0.5648,0.3839,,0.4666,,0.1332,,,,,,919422576.7,2294179661,2806426122,2424444430,11339411909,2352428441,7448619693,1633145069,2569508310,2390612181,738577500,832900218.8,593658000,,919422576.7,2294179661,,,,2164167306,1654545835,3900663900,8691713217,,35813580000,,26794350000,,,,,,189.8391,48.2362,17.9775,-6.0941,15.7953,43.4545,32.5239,67.6345,35.8092,29.9453,17.2439,35.9684,46.5642,,67.1445,20.6677,,,,17.0187,37.1198,16.4493,97.2775,,10.6639,,10.578,,,,,,12.3456,3.5607,3.5084,6.5024,2.424,1.4545,4.7851,3.8232,2.452,3.7712,1.2718,2.9963,1.3891,,4.3665,1.5257,,,,2.5504,2.098,1.6919,2.0343,,1.7009,,0.7079,,,,,,57.7611,2.3648,0.9487,1.6881,1.2288,0.7062,2.8169,3.2797,3.4609,6.2104,0.5789,5.0386,1.3448,,20.4296,1.0132,,,,0.6331,0.4164,0.5187,0.4193,,0.5802,,0.1556,,,,,
2014/1/9,-1.0846,-0.7326,-0.2257,-3.734,0.393,-2.849,-1.8659,0.9472,-3.5667,-1.8881,-1.784,0,0.1282,,-0.2415,1.0101,,,,-2.0188,-0.2801,0,-4.4025,,-1.5152,,-1.2121,,,,,,0.2202,0.4151,0.7234,1.1201,1.2454,0.373,0.4379,6.096,2.9145,1.1484,1.4628,,1.7395,,0.0801,0.3232,,,,0.4798,0.1986,0.412,0.9755,,0.3456,,0.1196,,,,,,909450531.4,2277372484,2800091075,2333916750,11383980063,2285407688,7309636702,1648614643,2477861382,2345474748,725401000,832900218.8,594419100,,909450531.4,2277372484,,,,2120476176,1649911253,3900663900,8309059176,,35270950000,,26469570000,,,,,,187.7802,47.8828,17.9369,-5.8665,15.8574,42.2165,31.917,68.2752,34.532,29.3799,16.9363,35.9684,46.6238,,67.0138,20.8863,,,,16.6751,37.0159,16.4493,92.9948,,10.5023,,10.4498,,,,,,12.2117,3.5346,3.5005,6.2596,2.4335,1.413,4.6958,3.8594,2.3646,3.7,1.2491,2.9963,1.3909,,4.358,1.5418,,,,2.4989,2.0921,1.6919,1.9448,,1.6751,,0.6993,,,,,,57.1347,2.3474,0.9465,1.625,1.2336,0.6861,2.7643,3.3108,3.3375,6.0931,0.5686,5.0386,1.3466,,20.3899,1.0239,,,,0.6203,0.4152,0.5187,0.4008,,0.5714,,0.1537,,,,,
2014/1/10,-1.4254,-2.214,-1.9608,-5.2121,0.0559,-2.346,-2.7926,-1.8767,-2.1918,-3.4212,-2.5813,0,-0.2561,,0.7264,-1,,,,-2.0604,-1.9663,0,-2.3684,,-0.2797,,-1.227,,,,,,0.1304,0.3973,1.3565,1.6991,0.7515,0.4302,0.3738,3.3095,1.9642,1.4265,1.9519,,0.9855,,0.0748,0.1469,,,,0.2852,0.2807,0.2691,0.6479,,0.5233,,0.1071,,,,,,896486872.5,2226950953,2745187328,2212270180,11390346942,2231791085,7105505433,1617675494,2423552091,2265230423,706676500,832900218.8,592896900,,896486872.5,2226950953,,,,2076785046,1617469177,3900663900,8112265669,,35172290000,,26144790000,,,,,,185.1035,46.8227,17.5852,-5.5608,15.8663,41.2261,31.0257,66.9939,33.7751,28.3748,16.4991,35.9684,46.5045,,67.3892,20.6433,,,,16.3315,36.288,16.4493,90.7923,,10.473,,10.3215,,,,,,12.0376,3.4564,3.4319,5.9333,2.4349,1.3799,4.5647,3.7869,2.3128,3.5735,1.2169,2.9963,1.3873,,4.3824,1.5239,,,,2.4474,2.0509,1.6919,1.8987,,1.6704,,0.6908,,,,,,56.3202,2.2955,0.928,1.5403,1.2343,0.67,2.6871,3.2487,3.2644,5.8847,0.5539,5.0386,1.3431,,20.5041,1.012,,,,0.6076,0.407,0.5187,0.3913,,0.5698,,0.1518,,,,,
2014/1/13,-1.2236,2.0755,-2.2308,-1.7903,2.2918,0.6006,1.4059,0,-0.5602,-2.7306,1.5702,0,-0.5135,,0,0.3367,,,,0.1403,2.5788,-0.7519,-1.2129,,-1.4025,,1.2422,,,,,,0.1437,0.4015,0.4862,0.6842,0.6556,0.2312,0.4549,,2.2978,1.1525,1.0508,,0.9283,,0.0216,0.1051,,,,0.3569,0.3612,0.2719,0.4884,,0.2932,,0.1254,,,,,,885517622.6,2273170689,2683948534,2172664320,11651388991,2245195236,7205399458,1617675494,2409974769,2203375423,717772500,832900218.8,589852500,,885517622.6,2273170689,,,,2079697788,1659180417,3871335600,8013868916,,34678990000,,26469570000,,,,,,182.8386,47.7945,17.1929,-5.4612,16.2299,41.4737,31.4619,66.9939,33.5859,27.5999,16.7582,35.9684,46.2657,,67.325,20.6931,,,,16.3544,37.2238,16.3256,89.6911,,10.3261,,10.4498,,,,,,11.8903,3.5281,3.3553,5.8271,2.4907,1.3882,4.6289,3.7869,2.2998,3.4759,1.236,2.9963,1.3802,,4.3783,1.5275,,,,2.4508,2.1038,1.6792,1.8757,,1.647,,0.6993,,,,,,55.6311,2.3431,0.9073,1.5128,1.2626,0.674,2.7249,3.2487,3.2461,5.724,0.5626,5.0386,1.3362,,20.4845,1.0145,,,,0.6084,0.4175,0.5148,0.3866,,0.5618,,0.1537,,,,,
2014/1/14,0.6757,1.8484,1.3375,3.3854,1.2022,2.9851,0,0,2.1127,1.8968,1.4493,0,2.5806,,0.7212,2.0134,,,,1.5406,0.5587,0.9091,1.7735,,-5.1209,,1.227,,,,,,0.1507,0.4637,0.4063,0.6956,0.3651,0.335,0.4535,,1.7252,1.1825,1.2373,,2.553,,0.1487,0.3532,,,,0.5704,0.2586,0.3792,0.3034,,1.1682,,0.0878,,,,,,891500849.8,2315188632,2719847137,2246218060,11791460334,2312215989,7205399458,1617675494,2460889729,2245169342,728175000,832900218.8,605074500,,891500849.8,2315188632,,,,2111737950,1668449581,3906529560,8155997560,,32903110000,,26794350000,,,,,,184.074,48.6779,17.4228,-5.6461,16.425,42.7117,31.4619,66.9939,34.2955,28.1235,17.001,35.9684,47.4596,,67.7881,21.1027,,,,16.6064,37.4318,16.474,91.2818,,9.7973,,10.578,,,,,,11.9706,3.5933,3.4002,6.0244,2.5206,1.4296,4.6289,3.7869,2.3484,3.5418,1.2539,2.9963,1.4158,,4.4084,1.5578,,,,2.4886,2.1156,1.6944,1.9089,,1.5627,,0.7079,,,,,,56.007,2.3864,0.9194,1.564,1.2778,0.6941,2.7249,3.2487,3.3146,5.8326,0.5708,5.0386,1.3707,,20.6254,1.0346,,,,0.6178,0.4199,0.5195,0.3934,,0.533,,0.1556,,,,,
2014/1/15,0.1119,0.363,3.4938,1.3854,-1.1339,-0.5797,0.5425,9.153,-1.6552,1.0424,0.0952,0,0.5031,,-0.2387,-0.6579,,,,2.2069,-0.5556,2.2523,1.2064,,-1.0495,,-1.2121,,,,,,0.1448,0.3313,1.2224,0.8065,0.5759,0.2524,0.3248,10.2263,2.5031,0.9338,1.384,,2.3815,,0.1697,0.2407,,,,1.3129,0.1864,0.3804,0.323,,0.4198,,0.0774,,,,,,892498054.4,2323592220,2814872852,2277336950,11657755870,2298811838,7244488425,1765741421,2420157761,2268573937,728868500,832900218.8,608118900,,892498054.4,2323592220,,,,2158341822,1659180417,3994514460,8254394313,,32557800000,,26469570000,,,,,,184.2799,48.8546,18.0316,-5.7243,16.2388,42.4641,31.6326,73.1258,33.7278,28.4166,17.0172,35.9684,47.6984,,67.7106,20.99,,,,16.9729,37.2238,16.845,92.383,,9.6945,,10.4498,,,,,,11.984,3.6064,3.519,6.1079,2.4921,1.4213,4.654,4.1336,2.3095,3.5787,1.2551,2.9963,1.4229,,4.4033,1.5495,,,,2.5435,2.1038,1.7326,1.932,,1.5463,,0.6993,,,,,,56.0697,2.3951,0.9515,1.5856,1.2633,0.6901,2.7397,3.546,3.2598,5.8934,0.5713,5.0386,1.3776,,20.6019,1.029,,,,0.6314,0.4175,0.5312,0.3982,,0.5274,,0.1537,,,,,
