ÈÕÆÚ,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH,000010.SZ,002200.SZ,002310.SZ,002374.SZ,002431.SZ,002663.SZ,002717.SZ,002775.SZ,300197.SZ,300237.SZ,300355.SZ,300495.SZ,300536.SZ,300649.SZ,600610.SH,603007.SH,603316.SH,603359.SH,603388.SH,603717.SH,603778.SH,603955.SH,900906.SH
2014/1/2,0.3911,0.6068,0.5229,0.2899,0.1936,-1.2382,,,0.1835,4.1881,0.7656,,,,0.2422,,,,,,,,0.9975,1.5796,1.115,0.8603,2.4519,1.6549,3.5197,,,4.0211,18.035,2.7792,,,,0.5579,,,,,,,,0.4787,2088050457,1787806793,9791460063,862969042.3,5309960295,4134838000,,,2250976592,636240000,2760805618,,,,639124200,,,,,,,,639124200,1442.0335,157.8453,24.5914,35.0074,23.9207,30.7128,,,36.5681,68.4309,54.5558,,,,-248.6627,,,,,,,,-49.4741,7.2981,7.2571,4.2673,1.6378,3.6975,4.3034,,,4.8395,3.7736,6.318,,,,101.5581,,,,,,,,20.206,12.4954,5.6335,4.3974,2.0051,2.2197,3.9119,,,5.7866,3.6292,7.6019,,,,104.4843,,,,,,,,20.7883
2014/1/3,0.7792,-1.0856,-3.6108,2.8902,-3.913,0.0597,,,-2.3443,-2.9824,1.0492,,,,-1.772,,,,,,,,-0.4938,4.1233,0.65,3.003,6.6424,3.159,4.7973,,,4.447,14.4254,3.3365,,,,0.8695,,,,,,,,0.5112,2104320980,1768397552,9437912852,887910344.1,5102179240,4137306560,,,2198206444,617265000,2789772102,,,,627798600,,,,,,,,627798600,1453.2702,156.1317,23.7035,36.0192,22.9847,30.7312,,,35.7108,66.39,55.1282,,,,-244.2562,,,,,,,,-49.2693,7.355,7.1783,4.1132,1.6852,3.5528,4.306,,,4.726,3.6611,6.3843,,,,99.7584,,,,,,,,20.1224,12.5928,5.5723,4.2387,2.063,2.1328,3.9142,,,5.651,3.521,7.6817,,,,102.6328,,,,,,,,20.7022
2014/1/6,-6.9588,-1.0976,-2.5714,2.9494,-4.4746,-5.9666,,,3.3383,-9.9973,-3.3656,,,,-2.337,,,,,,,,-4.0943,3.2292,0.8737,1.8369,10.503,3.2565,3.9883,,,8.2547,16.558,3.1242,,,,0.9957,,,,,,,,0.6986,1957886272,1748988310,9195223664,914098711,4873876599,3890450560,,,2271589930,555555000,2695880739,,,,613126800,,,,,,,,613126800,1352.1405,154.4181,23.094,37.0815,21.9562,28.8976,,,36.9029,59.7528,53.2728,,,,-238.5479,,,,,,,,-47.2675,6.8432,7.0995,4.0074,1.7349,3.3939,4.0491,,,4.8838,3.2951,6.1694,,,,97.427,,,,,,,,19.3049,11.7165,5.5111,4.1297,2.1239,2.0374,3.6807,,,5.8396,3.169,7.4231,,,,100.2343,,,,,,,,19.8611
2014/1/7,0.277,0.4932,-0.0652,0.1364,0,0.8883,,,-2.1779,-0.6534,0.3705,,,,0.3359,,,,,,,,0.5175,1.327,0.5211,1.0808,5.573,1.3976,1.5625,,,4.7975,10.6294,2.7958,,,,0.3873,,,,,,,,0.367,1963309780,1757614640,9189231338,915345776.1,4873876599,3925010400,,,2222117917,551925000,2705869182,,,,615186000,,,,,,,,615186000,1355.8861,155.1797,23.0789,37.1321,21.9562,29.1543,,,36.0992,59.3624,53.4702,,,,-239.3491,,,,,,,,-47.4989,6.8621,7.1345,4.0048,1.7372,3.3939,4.085,,,4.7774,3.2736,6.1923,,,,97.7542,,,,,,,,19.3994,11.7489,5.5383,4.127,2.1268,2.0374,3.7134,,,5.7124,3.1483,7.4506,,,,100.5709,,,,,,,,19.9583
2014/1/8,1.9337,0,-0.3261,-0.545,-1.8421,-0.8805,,,2.4119,5.6801,1.5135,,,,-2.6778,,,,,,,,-2.8314,1.5441,0.571,2.494,5.5082,3.2474,2.3859,,,5.9304,15.5823,4.5452,,,,1.4102,,,,,,,,0.5097,2001274334,1757614640,9159269710,910357515.7,4784094662,3890450560,,,2275712598,583275000,2746821798,,,,598712400,,,,,,,,598712400,1382.1049,155.1797,23.0037,36.9298,21.5517,28.8976,,,36.9699,62.7342,54.2795,,,,-232.9397,,,,,,,,-46.182,6.9948,7.1345,3.9918,1.7278,3.3314,4.0491,,,4.8926,3.4595,6.286,,,,95.1365,,,,,,,,18.8615,11.9761,5.5383,4.1135,2.1152,1.9998,3.6807,,,5.8502,3.3271,7.5634,,,,97.8778,,,,,,,,19.405
2014/1/9,-2.5745,-2.454,-2.0936,-3.6986,-0.6434,-3.934,,,-3.2609,-6.3649,-4.9091,,,,-0.3009,,,,,,,,0.1325,1.5598,0.8863,1.4707,3.7677,1.4339,2.7985,,,4.3132,14.3069,4.7341,,,,0.6737,,,,,,,,0.3895,1949751011,1714482992,8967515290,876686758.3,4753312283,3737399840,,,2201504579,546150000,2611977818,,,,596910600,,,,,,,,596910600,1346.5222,151.3716,22.5221,35.5639,21.4131,27.7607,,,35.7644,58.7412,51.6148,,,,-232.2387,,,,,,,,-46.2659,6.8148,6.9594,3.9082,1.6639,3.3099,3.8898,,,4.7331,3.2393,5.9774,,,,94.8502,,,,,,,,18.8958,11.6678,5.4024,4.0274,2.0369,1.987,3.5359,,,5.6595,3.1153,7.1921,,,,97.5832,,,,,,,,19.4402
2014/1/10,-3.1989,-0.8805,-3.2743,-4.9787,-2.2666,-2.7741,,,-4.382,0.5438,-3.327,,,,-0.5606,,,,,,,,-2.1164,1.6852,0.4894,1.5431,3.5777,1.3129,2.162,,,5.6616,10.137,3.2237,,,,0.8574,,,,,,,,0.318,1887380673,1699386915,8673891335,833039480.1,4645573958,3633720320,,,2105034153,549120000,2525078365,,,,593564400,,,,,,,,593564400,1303.4485,150.0388,21.7846,33.7933,20.9277,26.9906,,,34.1972,59.0607,49.8976,,,,-230.9368,,,,,,,,-45.2119,6.5968,6.8982,3.7802,1.581,3.2349,3.7819,,,4.5257,3.2569,5.7786,,,,94.3185,,,,,,,,18.4653,11.2945,5.3548,3.8955,1.9355,1.9419,3.4378,,,5.4115,3.1323,6.9528,,,,97.0362,,,,,,,,18.9973
2014/1/13,-0.1437,-0.4442,-3.3506,0.2994,-2.8161,-3.4647,,,-1.1751,3.8462,1.068,,,,-3.7294,,,,,,,,1.8919,1.2589,0.5783,1.7484,1.9267,1.6619,3.051,,,3.0053,14.4172,2.2633,,,,1.5737,,,,,,,,0.9557,1884668919,1691838877,8383263542,835533610.3,4514748850,3507823760,,,2080298147,570240000,2552047161,,,,571428000,,,,,,,,571428000,1301.5757,149.3723,21.0547,33.8944,20.3384,26.0555,,,33.7953,61.3322,50.4306,,,,-222.3243,,,,,,,,-46.0234,6.5873,6.8675,3.6536,1.5858,3.1438,3.6509,,,4.4725,3.3822,5.8403,,,,90.801,,,,,,,,18.7967,11.2783,5.3311,3.765,1.9413,1.8873,3.3187,,,5.3479,3.2528,7.0271,,,,93.4173,,,,,,,,19.3384
2014/1/14,0.1439,0.6373,2.1086,1.6418,2.7273,4.3631,,,2.2989,2.0833,1.683,,,,5,,,,,,,,3.9788,1.6549,0.386,1.7683,2.0537,1.0541,2.3939,,,2.663,11.0299,2.1667,,,,2.1594,,,,,,,,0.691,1887380673,1702621789,8560037148,849251326.3,4637878364,3660874480,,,2128121093,582120000,2594997465,,,,599999400,,,,,,,,599999400,1303.4485,150.3244,21.4987,34.4509,20.893,27.1923,,,34.5722,62.61,51.2793,,,,-233.4405,,,,,,,,-47.8389,6.5968,6.9113,3.7306,1.6118,3.2295,3.8101,,,4.5753,3.4526,5.9386,,,,95.341,,,,,,,,19.5382,11.2945,5.365,3.8444,1.9732,1.9387,3.4635,,,5.4708,3.3205,7.1454,,,,98.0882,,,,,,,,20.1012
2014/1/15,-1.1494,0.1267,-1.9951,1.0279,-0.3319,1.2812,,,-0.4262,4.6769,0.6159,,,,2.8743,,,,,,,,0.7653,1.2281,0.5553,1.5426,1.9434,1.0427,2.842,,,2.2407,17.0502,3.1221,,,,2.1437,,,,,,,,0.357,1865686642,1704778371,8389255868,857980781.9,4622487174,3707777120,,,2119051224,609345000,2610978974,,,,617245200,,,,,,,,617245200,1288.4663,150.5148,21.0698,34.805,20.8237,27.5407,,,34.4249,65.5382,51.5951,,,,-240.1503,,,,,,,,-48.2643,6.5209,6.9201,3.6562,1.6284,3.2188,3.859,,,4.5558,3.6141,5.9752,,,,98.0814,,,,,,,,19.712,11.1647,5.3718,3.7677,1.9935,1.9323,3.5079,,,5.4475,3.4758,7.1894,,,,100.9075,,,,,,,,20.28
