ÈÕÆÚ,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH,000498.SZ,000779.SZ,002060.SZ,002061.SZ,002062.SZ,002116.SZ,002307.SZ,002586.SZ,002628.SZ,002883.SZ,002941.SZ,300284.SZ,300712.SZ,300732.SZ,600039.SH,600068.SH,600133.SH,600284.SH,600502.SH,600512.SH,600820.SH,600853.SH,601186.SH,601390.SH,601611.SH,601669.SH,601800.SH,603018.SH,603357.SH,603458.SH,603843.SH,603860.SH,603909.SH
2014/1/2,5.9406,0.9302,0,1.1589,-0.4255,-0.8136,0.3656,0.8661,0,,,2.2659,,,-0.6623,-0.5051,0.5319,-1.6083,0.3606,-0.3279,-1.8743,-0.3623,-0.8529,-0.3731,,0,-0.495,,,,,,,1.1905,0.3084,,0.8262,0.3197,0.5916,0.2835,2.1645,0.9688,,,12.6593,,,0.4779,0.1739,0.67,0.5304,1.3548,0.445,0.7114,0.1644,0.1586,0.1,,0.7698,0.7294,,,,,,,1515848169,1389858396,2704557875,1282916700,2168192057,2983006731,2353635468,1270772022,2424379672,,,2772168565,,,3283200000,13740588369,2418916836,5181696000,4191115500,2240299594,7883055535,1476221060,46575541575,45637001700,,9219210000,5425936409,,,,,,,18.3514,-48.6731,30.3122,72.9307,14.6881,18.825,98.8322,40.5281,12.1754,,,26.2694,,,17.6619,8.6706,-7.7537,14.6052,20.6599,14.8392,8.9645,85.7398,5.5458,6.0664,,6.4688,5.3566,,,,,,,2.0821,5.8915,1.0987,1.7192,1.2761,4.2298,1.8453,4.1811,1.4956,,,3.1387,,,1.3928,1.0067,3.0515,1.5601,2.7012,1.8797,0.9302,1.8804,0.7084,0.6565,,0.8698,0.6808,,,,,,,0.6695,7.062,0.5012,1.3997,0.335,0.5214,0.4813,2.4106,0.8977,,,2.9948,,,0.3563,0.2308,0.7091,3.7079,0.6152,1.21,0.4918,0.2611,0.0978,0.1015,,0.2035,0.1956,,,,,,
2014/1/3,-0.4673,0,0,2.6187,-0.641,-3.8961,-1.275,-2.42,-0.9615,,,-5.7607,,,-2.3333,0,-2.6455,-1.9231,-2.6347,-0.9868,-0.7865,-1.4545,-2.7957,-1.8727,,-1.9544,-1.4925,,,,,,,1.0491,0.4525,,1.7669,0.4217,1.1118,0.44,2.2268,1.5127,,,9.3827,,,0.8199,0.2662,1.0476,0.7324,1.8633,0.5354,0.4411,0.1587,0.3036,0.1164,,1.0167,0.8493,,,,,,,1508764767,1389858396,2704557875,1316511900,2154293390,2866785690,2323625544,1240019538,2401068329,,,2612472001,,,3206592000,13740588369,2354924328,5082048000,4080690900,2218191375,7821053975,1454748753,45273429660,44782376200,,9039030000,5344952283,,,,,,,18.2657,-48.6731,30.3122,74.8405,14.594,18.0916,97.572,39.5474,12.0584,,,24.7561,,,17.2498,8.6706,-7.5485,14.3243,20.1155,14.6928,8.894,84.4927,5.3908,5.9528,,6.3424,5.2766,,,,,,,2.0724,5.8915,1.0987,1.7642,1.2679,4.065,1.8218,4.0799,1.4812,,,2.9579,,,1.3603,1.0067,2.9708,1.5301,2.63,1.8612,0.9229,1.853,0.6886,0.6442,,0.8528,0.6707,,,,,,,0.6663,7.062,0.5012,1.4363,0.3329,0.5011,0.4752,2.3522,0.8891,,,2.8223,,,0.348,0.2308,0.6904,3.6366,0.599,1.198,0.4879,0.2573,0.095,0.0996,,0.1995,0.1926,,,,,,
2014/1/6,-0.939,-1.8433,0,-2.8708,-2.7957,-2.9872,-3.1365,-2.32,-2.1359,,,-3.3438,,,-3.5836,-2.7919,-4.3478,-2.8431,0,-1.6611,-4.1903,-2.952,-4.646,-4.1985,,-4.6512,-2.5253,,,,,,,1.3659,0.472,,1.2698,0.2525,1.1366,0.4572,1.6531,2.0483,,,6.0329,,,0.831,0.4193,1.0494,0.8202,2.694,0.6272,0.5261,0.3112,0.51,0.3225,,2.0882,1.3904,,,,,,,1494597961,1364238886,2704557875,1278717300,2094065833,2781149133,2250744300,1211251084,2349783374,,,2525116615,,,3091680000,13356967882,2252536313,4937558400,4080690900,2181344342,7493331441,1411804141,43170018105,42902200100,,8618610000,5209978741,,,,,,,18.0942,-47.7759,30.3122,72.692,14.186,17.5511,94.5117,38.6299,11.8008,,,23.9283,,,16.6316,8.4285,-7.2203,13.917,20.1155,14.4487,8.5214,81.9984,5.1403,5.7029,,6.0474,5.1434,,,,,,,2.0529,5.7829,1.0987,1.7135,1.2325,3.9436,1.7646,3.9852,1.4496,,,2.859,,,1.3116,0.9786,2.8416,1.4866,2.63,1.8303,0.8843,1.7983,0.6566,0.6171,,0.8131,0.6537,,,,,,,0.6601,6.9318,0.5012,1.3951,0.3236,0.4861,0.4603,2.2977,0.8701,,,2.7279,,,0.3355,0.2244,0.6604,3.5332,0.599,1.1781,0.4675,0.2497,0.0906,0.0954,,0.1902,0.1878,,,,,,
2014/1/7,-1.4218,0.1174,-3.1111,1.1494,0.6637,0.5865,-0.381,0.4095,0,,,2.3784,,,-0.177,0,0.7576,0.1009,-0.861,0,0.1182,0,-1.1601,-0.7968,,-0.3484,0.7772,,,,,,,0.4963,0.3477,1.3051,0.6923,0.1188,0.609,0.2951,1.409,0.9043,,,5.4764,,,0.5421,0.1708,0.5858,0.7849,1.5083,0.2575,0.3356,0.2026,0.2999,0.1004,,0.6667,0.6632,,,,,,,1473347753,1365840106,2620416074,1293415200,2107964500,2797460858,2242170036,1216211162,2349783374,,,2585173443,,,3086208000,13356967882,2269600982,4942540800,4045555800,2181344342,7502188807,1411804141,42669205830,42560349900,,8588580000,5250470803,,,,,,,17.8369,-47.832,29.3691,73.5275,14.2801,17.6541,94.1516,38.7881,11.8008,,,24.4974,,,16.6022,8.4285,-7.275,13.9311,19.9423,14.4487,8.5314,81.9984,5.0807,5.6575,,6.0263,5.1833,,,,,,,2.0237,5.7897,1.0645,1.7332,1.2407,3.9667,1.7579,4.0016,1.4496,,,2.9269,,,1.3092,0.9786,2.8631,1.4881,2.6074,1.8303,0.8853,1.7983,0.649,0.6122,,0.8103,0.6588,,,,,,,0.6507,6.9399,0.4856,1.4111,0.3257,0.4889,0.4585,2.3071,0.8701,,,2.7928,,,0.3349,0.2244,0.6654,3.5368,0.5939,1.1781,0.468,0.2497,0.0896,0.0946,,0.1896,0.1892,,,,,,
2014/1/8,0,-2.2274,-2.5229,0.6494,0.6593,0.5831,-0.1912,0.8157,-0.3968,,,2.3231,,,0.3546,-0.7833,-3.1955,-2.2177,0.2481,-1.6892,-0.1181,-0.3802,-1.1737,-2.008,,-0.6993,-0.5141,,,,,,,0.4003,1.0212,0.7107,0.9931,0.2656,0.5428,0.4536,1.345,1.1364,,,6.7081,,,0.6156,0.2289,1.3859,1.453,1.2596,0.5603,0.4176,0.2463,0.272,0.2531,,1.2515,0.6117,,,,,,,1473347753,1335416938,2554304659,1301814000,2121863167,2813772583,2237882904,1226131319,2340458837,,,2645230270,,,3097152000,13252344113,2197076139,4832928000,4055594400,2144497309,7493331441,1406436064,42168393555,41705724400,,8528520000,5223476095,,,,,,,17.8369,-46.7666,28.6282,74.005,14.3743,17.757,93.9716,39.1044,11.754,,,25.0665,,,16.661,8.3625,-7.0426,13.6221,19.9918,14.2047,8.5214,81.6867,5.0211,5.5439,,5.9842,5.1567,,,,,,,2.0237,5.6607,1.0377,1.7445,1.2488,3.9899,1.7546,4.0342,1.4438,,,2.9949,,,1.3139,0.9709,2.7716,1.4551,2.6138,1.7994,0.8843,1.7915,0.6414,0.5999,,0.8046,0.6554,,,,,,,0.6507,6.7854,0.4733,1.4203,0.3279,0.4918,0.4576,2.3259,0.8666,,,2.8577,,,0.3361,0.2226,0.6441,3.4583,0.5953,1.1582,0.4675,0.2488,0.0885,0.0927,,0.1882,0.1883,,,,,,
2014/1/9,0,-1.7986,-0.4706,-4.5161,-3.2751,-2.1739,-1.5326,-3.8026,-2.7888,,,-6.6563,,,-1.4134,-1.3158,-2.3301,0.1031,-0.1238,-1.7182,-2.3641,-2.2901,0.7126,0,,-0.3521,-0.7752,,,,,,,1.1174,0.6296,0.531,1.0921,0.2499,0.4876,0.4928,1.7403,1.7508,,,7.2722,,,0.6486,0.2469,0.8732,1.0055,1.4237,0.4099,0.44,0.2266,0.2379,0.1551,,1.1642,0.7516,,,,,,,1473347753,1311398648,2542284402,1243022400,2052369831,2752603614,2203585848,1179506584,2275187077,,,2469154571,,,3053376000,13077971164,2145882132,4837910400,4050575100,2107650276,7316184126,1374227604,42468880920,41705724400,,8498490000,5182984032,,,,,,,17.8369,-45.9254,28.4934,70.6628,13.9035,17.371,92.5314,37.6175,11.4262,,,23.398,,,16.4255,8.2525,-6.8785,13.6362,19.9671,13.9606,8.3199,79.816,5.0568,5.5439,,5.9631,5.1167,,,,,,,2.0237,5.5589,1.0328,1.6657,1.2079,3.9031,1.7277,3.8808,1.4036,,,2.7956,,,1.2953,0.9581,2.7071,1.4566,2.6106,1.7684,0.8633,1.7504,0.6459,0.5999,,0.8018,0.6503,,,,,,,0.6507,6.6633,0.4711,1.3562,0.3171,0.4811,0.4506,2.2374,0.8425,,,2.6675,,,0.3313,0.2197,0.6291,3.4619,0.5946,1.1383,0.4564,0.2431,0.0891,0.0927,,0.1876,0.1868,,,,,,
2014/1/10,-0.4808,-2.3199,-4.2553,-3.7162,-2.2573,-0.2963,-3.3074,-3.7847,-3.6885,,,-0.4975,,,-3.9427,-0.8,-1.3917,-1.8538,-4.5849,0,-0.9685,-1.5625,-2.8302,-2.459,,-1.0601,0,,,,,,,0.7131,0.9473,0.6451,1.1783,0.1732,0.7583,0.5963,3.2088,2.141,,,3.3445,,,1.1298,0.2908,0.9249,0.6335,2.0209,0.424,0.4255,0.2498,0.3349,0.2079,,0.763,0.8916,,,,,,,1466264351,1280975480,2434102087,1196829000,2006040941,2744447751,2130704604,1134865881,2191266242,,,2456870220,,,2932992000,12973347394,2116018961,4748227200,3864861000,2107650276,7245325200,1352755298,41266931460,40680173800,,8408400000,5182984032,,,,,,,17.7511,-44.86,27.2809,68.0368,13.5897,17.3195,89.471,36.1938,11.0047,,,23.2816,,,15.7779,8.1864,-6.7827,13.3834,19.0516,13.9606,8.2393,78.5689,4.9137,5.4075,,5.8999,5.1167,,,,,,,2.014,5.4299,0.9888,1.6038,1.1807,3.8916,1.6705,3.7339,1.3518,,,2.7817,,,1.2442,0.9505,2.6694,1.4296,2.4909,1.7684,0.855,1.7231,0.6276,0.5852,,0.7933,0.6503,,,,,,,0.6476,6.5087,0.451,1.3058,0.31,0.4797,0.4357,2.1528,0.8114,,,2.6542,,,0.3183,0.2179,0.6203,3.3977,0.5673,1.1383,0.452,0.2393,0.0866,0.0905,,0.1856,0.1868,,,,,,
2014/1/13,-0.7246,-3.25,-2.4691,-3.5088,0.4619,-0.5944,-0.2012,-3.1469,0,,,-0.1111,,,0.1866,0,0.4032,-1.574,-3.6364,4.1958,0.7335,0.3968,0.7282,0,,-0.3571,0.2604,,,,,,,0.6141,0.452,0.6567,1.2744,0.1438,0.2037,0.2173,2.9132,1.4518,,,2.798,,,0.7086,0.183,0.5919,0.5484,1.7185,1.2507,0.2747,0.2424,0.1995,0.1453,,0.7297,0.7716,,,,,,,1455639247,1239343777,2374000801,1154835000,2015306719,2728136026,2126417472,1099153318,2191266242,,,2454140364,,,2938464000,12973347394,2124551295,4673491200,3724320600,2196083155,7298469394,1358123375,41567418825,40680173800,,8378370000,5196481386,,,,,,,17.6225,-43.4021,26.6073,65.6496,13.6524,17.2166,89.291,35.0548,11.0047,,,23.2558,,,15.8074,8.1864,-6.8101,13.1727,18.3588,14.5464,8.2998,78.8806,4.9495,5.4075,,5.8788,5.13,,,,,,,1.9994,5.2534,0.9644,1.5475,1.1861,3.8684,1.6672,3.6164,1.3518,,,2.7786,,,1.2466,0.9505,2.6802,1.4071,2.4003,1.8426,0.8613,1.7299,0.6322,0.5852,,0.7904,0.652,,,,,,,0.6429,6.2972,0.4399,1.26,0.3114,0.4768,0.4348,2.085,0.8114,,,2.6513,,,0.3189,0.2179,0.6228,3.3442,0.5467,1.1861,0.4553,0.2402,0.0873,0.0905,,0.1849,0.1873,,,,,,
2014/1/14,0.2433,0.5168,1.7722,1.8182,2.2989,2.7653,1.8145,1.5343,1.7021,,,3.6707,,,2.0484,0.8065,0.2008,1.1727,1.3477,0,1.5777,0.7905,0.4819,0.8403,,2.1505,0.5195,,,,,,,0.5783,0.5677,0.7,1.9964,0.1707,0.3191,0.2983,1.4579,1.291,,,3.5592,,,0.4893,0.1628,0.91,0.4127,0.937,0.4698,0.2687,0.2918,0.1814,0.1636,,0.6738,0.5223,,,,,,,1459180948,1245748654,2416071701,1175832000,2061635609,2803577755,2165001660,1116017584,2228564391,,,2544225606,,,2998656000,13077971164,2128817463,4728297600,3774513600,2196083155,7413615149,1368859528,41767743735,41022024000,,8558550000,5223476095,,,,,,,17.6654,-43.6264,27.0789,66.8432,13.9663,17.6927,90.9112,35.5926,11.192,,,24.1094,,,16.1312,8.2525,-6.8238,13.3272,18.6063,14.5464,8.4307,79.5042,4.9733,5.453,,6.0053,5.1567,,,,,,,2.0043,5.2806,0.9815,1.5757,1.2134,3.9754,1.6974,3.6719,1.3748,,,2.8806,,,1.2721,0.9581,2.6855,1.4236,2.4327,1.8426,0.8748,1.7436,0.6353,0.5901,,0.8074,0.6554,,,,,,,0.6444,6.3298,0.4477,1.2829,0.3186,0.49,0.4427,2.117,0.8252,,,2.7486,,,0.3254,0.2197,0.6241,3.3834,0.5541,1.1861,0.4625,0.2421,0.0877,0.0912,,0.1889,0.1883,,,,,,
2014/1/15,0.2427,0.5141,-0.7463,0.3571,-0.2247,0.4364,-0.198,2.4889,-1.046,,,-0.3755,,,-2.0073,1.8667,-1.8036,0.843,-0.5319,-0.6711,-0.1195,-0.3922,-0.2398,0,,-0.3509,-0.7752,,,,,,,0.7712,0.2622,0.5485,0.9397,0.1195,0.3908,0.3116,2.1509,1.258,,,3.1576,,,0.9961,0.2418,1.2456,0.628,1.0808,0.3167,0.1915,0.1523,0.1485,0.109,,0.7153,0.4498,,,,,,,1462722649,1252153532,2398041315,1180031400,2057002720,2815811549,2160714528,1143794021,2205253048,,,2534671110,,,2938464000,13322093292,2090421957,4768156800,3754436400,2181344342,7404757784,1363491451,41667581280,41022024000,,8528520000,5182984032,,,,,,,17.7083,-43.8507,26.8768,67.0819,13.9349,17.7699,90.7312,36.4785,11.075,,,24.0189,,,15.8074,8.4065,-6.7007,13.4396,18.5073,14.4487,8.4206,79.1924,4.9614,5.453,,5.9842,5.1167,,,,,,,2.0091,5.3077,0.9742,1.5813,1.2107,3.9927,1.6941,3.7633,1.3604,,,2.8698,,,1.2466,0.976,2.6371,1.4356,2.4197,1.8303,0.8738,1.7368,0.6337,0.5901,,0.8046,0.6503,,,,,,,0.646,6.3623,0.4444,1.2874,0.3178,0.4921,0.4419,2.1697,0.8166,,,2.7383,,,0.3189,0.2238,0.6128,3.412,0.5511,1.1781,0.462,0.2412,0.0875,0.0912,,0.1882,0.1868,,,,,,
