ÈÕÆÚ,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH
2014/1/2,-1.374,,,,,,,,0,-0.2825,-0.9626,0.198,2.109,,-0.3185,1.5682,,,0.8477,,,,,,,,0.5978,0.2586,0.719,0.3514,1.2237,,0.2932,2.6577,,,1212846880,,,,,,,,5269922411,3345028000,3222478268,1897384632,3629864408,,93440578600,942869520.3,,,101.2969,,,,,,,,10.6854,15.0929,232.1492,3.679,22.6034,,4.6033,18.1296,,,6.7312,,,,,,,,1.3327,1.0776,4.1526,54.3581,2.3664,,0.7955,1.9911,,,0.6822,,,,,,,,0.1694,0.2182,8.4614,59.3002,0.9794,,0.1379,0.3044,,
2014/1/3,-2.7864,,,,,,,,-2.0867,-1.4164,-1.7279,-1.1858,-1.3769,,-1.5974,-2.9691,,,0.9497,,,,,,,,0.8993,0.2473,0.6037,0.4563,0.7219,,0.2675,3.3603,,,1179052385,,,,,,,,5159956133,3297648000,3166798298,1874886000,3579883487,,91947917600,914874582,,,98.4744,,,,,,,,10.4624,14.8792,228.138,3.6354,22.2922,,4.5297,17.5913,,,6.5436,,,,,,,,1.3049,1.0624,4.0808,53.7136,2.3338,,0.7828,1.932,,,0.6632,,,,,,,,0.1659,0.2151,8.3152,58.597,0.9659,,0.1357,0.2954,,
2014/1/6,-4.6178,,,,,,,,-3.7705,-2.5862,-4.9451,-5,-3.1414,,-1.6234,-4.1616,,,1.5638,,,,,,,,0.9941,0.3961,0.5883,0.8383,0.8898,,0.3449,3.7971,,,1124605698,,,,,,,,4965400410,3212364000,3010198382,1781141700,3467426414,,90455256600,876801466,,,93.927,,,,,,,,10.0679,14.4944,216.8565,3.4536,21.5919,,4.4562,16.8592,,,6.2414,,,,,,,,1.2557,1.0349,3.879,51.0279,2.2605,,0.7701,1.8516,,,0.6325,,,,,,,,0.1597,0.2096,7.904,55.6672,0.9356,,0.1335,0.2831,,
2014/1/7,0.8347,,,,,,,,0.6814,0,0.4624,-2.3158,1.6216,,0.33,0.1277,,,0.5454,,,,,,,,0.679,0.223,0.4425,0.6812,0.6747,,0.1712,2.418,,,1133993058,,,,,,,,4999236188,3212364000,3024118375,1739894208,3523654950,,90753788800,877921263.5,,,94.711,,,,,,,,10.1365,14.4944,217.8593,3.3736,21.942,,4.4709,16.8807,,,6.2935,,,,,,,,1.2643,1.0349,3.8969,49.8462,2.2972,,0.7726,1.854,,,0.6378,,,,,,,,0.1607,0.2096,7.9405,54.378,0.9508,,0.1339,0.2834,,
2014/1/8,-0.6623,,,,,,,,-1.1844,-0.295,-1.0357,-1.5086,0.5319,,-0.9868,1.6582,,,0.671,,,,,,,,0.6804,0.2507,0.3272,0.6629,0.75,,0.2277,3.4125,,,1126483170,,,,,,,,4940023576,3202888000,2992798392,1713645804,3542397796,,89858192200,892478631.4,,,94.0838,,,,,,,,10.0165,14.4516,215.603,3.3227,22.0587,,4.4268,17.1607,,,6.2519,,,,,,,,1.2493,1.0319,3.8566,49.0942,2.3094,,0.765,1.8847,,,0.6336,,,,,,,,0.1588,0.209,7.8583,53.5577,0.9558,,0.1326,0.2881,,
2014/1/9,-3.1667,,,,,,,,-1.5411,-1.7751,-1.5116,-4.5952,0.3527,,0,-0.5019,,,1.2239,,,,,,,,0.7885,0.2799,0.2886,0.7609,3.026,,0.184,3.1961,,,1090811203,,,,,,,,4863893076,3146032000,2947558416,1634900592,3554893026,,89858192200,887999441.3,,,91.1045,,,,,,,,9.8621,14.1951,212.3439,3.1701,22.1366,,4.4268,17.0745,,,6.0539,,,,,,,,1.23,1.0135,3.7983,46.8382,2.3175,,0.765,1.8753,,,0.6135,,,,,,,,0.1564,0.2052,7.7395,51.0966,0.9592,,0.1326,0.2867,,
2014/1/10,0,,,,,,,,0.3478,-2.7108,-1.5348,0,-2.9877,,-0.9967,1.261,,,0.7433,,,,,,,,0.5142,0.2917,0.3439,0.4307,1.628,,0.2542,2.7372,,,1090811203,,,,,,,,4880810965,3060748000,2902318440,1634900592,3448683568,,88962595600,899197416.6,,,91.1045,,,,,,,,9.8964,13.8103,209.0847,3.1701,21.4752,,4.3827,17.2898,,,6.0539,,,,,,,,1.2343,0.9861,3.74,46.8382,2.2483,,0.7574,1.8989,,,0.6135,,,,,,,,0.1569,0.1997,7.6207,51.0966,0.9305,,0.1313,0.2903,,
2014/1/13,-0.6885,,,,,,,,-1.9064,0.3096,-1.3189,3.4404,-3.2609,,-1.0067,1.3699,,,0.5827,,,,,,,,0.53,0.2292,0.1784,0.4867,1.3508,,0.2514,2.6199,,,1083301315,,,,,,,,4787762576,3070224000,2864038461,1691147172,3336226495,,88066999000,911515189.4,,,90.4773,,,,,,,,9.7078,13.853,206.327,3.2791,20.7749,,4.3386,17.5267,,,6.0122,,,,,,,,1.2108,0.9891,3.6907,48.4496,2.175,,0.7498,1.9249,,,0.6093,,,,,,,,0.1539,0.2003,7.5202,52.8545,0.9002,,0.1299,0.2943,,
2014/1/14,1.2132,,,,,,,,1.9435,0.9259,2.4301,0.4435,4.1199,,0.339,0.86,,,0.6712,,,,,,,,0.4156,0.1545,0.1803,0.3118,1.41,,0.323,3.5545,,,1096443619,,,,,,,,4880810965,3098652000,2933638424,1698646716,3473674029,,88365531200,919353772.1,,,91.5749,,,,,,,,9.8964,13.9813,211.3411,3.2937,21.6308,,4.3533,17.6774,,,6.0851,,,,,,,,1.2343,0.9983,3.7804,48.6645,2.2646,,0.7523,1.9415,,,0.6167,,,,,,,,0.1569,0.2022,7.7029,53.0889,0.9373,,0.1304,0.2968,,
2014/1/15,1.1986,,,,,,,,-1.5598,0.6116,-1.0676,0.4415,-1.0791,,0.6757,-0.9744,,,0.6646,,,,,,,,0.5019,0.1975,0.1744,0.1505,0.9462,,0.2396,3.1591,,,1109585922,,,,,,,,4804680465,3117604000,2902318440,1706146260,3436188338,,88962595600,910395391.9,,,92.6726,,,,,,,,9.7421,14.0668,209.0847,3.3082,21.3974,,4.3827,17.5052,,,6.1581,,,,,,,,1.2151,1.0044,3.74,48.8793,2.2402,,0.7574,1.9225,,,0.6241,,,,,,,,0.1545,0.2034,7.6207,53.3233,0.9272,,0.1313,0.2939,,
