ÈÕÆÚ,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH
2014/1/2,-0.312,0.7734,-0.3128,-0.814,-0.2041,0,2.4808,,,,,,,,,,,-0.1515,-0.9434,-0.7653,,,,,0.8654,0.4089,0.6485,0.4684,0.2705,,4.5974,,,,,,,,,,,0.8968,1.3292,0.9121,,,,,2211210220,24419543245,4555742830,14432639241,8942016113,730869449.9,902137540,,,,,,,,,,,2803208070,3546561961,4050800152,,,,,30.935,16.6422,24.0962,18.1751,19.3449,-71.354,25.7077,,,,,,,,,,,33.6205,-167.3842,29.9609,,,,,6.5262,4.6947,3.6731,3.7566,2.7257,1.7355,2.1326,,,,,,,,,,,3.9476,6.2935,1.8723,,,,,1.8254,1.4131,1.8996,1.3391,1.1639,5.0672,1.3805,,,,,,,,,,,28.2211,20.3558,0.7321,,,,
2014/1/3,3.2864,-1.5801,-4.4979,-3.8687,-1.8405,0,0,,,,,,,,,,,-0.607,-2.2222,-2.1851,,,,,2.0351,0.4521,1.1782,0.7883,0.3838,,4.2613,,,,,,,,,,,1.1613,1.8753,1.3387,,,,,2283879101,24033681388,4350829711,13874283913,8777439130,730869449.9,902137540,,,,,,,,,,,2786193150,3467749473,3962286524,,,,,31.9517,16.3793,23.0124,17.4719,18.9889,-71.354,25.7077,,,,,,,,,,,33.4164,-163.6646,29.3062,,,,,6.7407,4.6205,3.5079,3.6113,2.6756,1.7355,2.1326,,,,,,,,,,,3.9236,6.1536,1.8314,,,,,1.8853,1.3908,1.8142,1.2873,1.1425,5.0672,1.3805,,,,,,,,,,,28.0498,19.9035,0.7161,,,,
2014/1/6,-0.6061,-5.2294,-7.667,-4.4715,-6.5625,0,-4.611,,,,,,,,,,,-2.5954,-4.6537,-6.0447,,,,,1.4099,1.0241,2.3514,1.5246,0.9194,,3.1833,,,,,,,,,,,1.0416,2.1235,1.8375,,,,,2270037409,22776874196,4017250215,13253889104,8201419687,730869449.9,860540420,,,,,,,,,,,2713879740,3306371521,3722779060,,,,,31.758,15.5227,21.248,16.6907,17.7427,-71.354,24.5223,,,,,,,,,,,32.5492,-156.0481,27.5348,,,,,6.6998,4.3788,3.239,3.4498,2.5,1.7355,2.0343,,,,,,,,,,,3.8218,5.8672,1.7207,,,,,1.8739,1.3181,1.6751,1.2297,1.0675,5.0672,1.3168,,,,,,,,,,,27.3218,18.9772,0.6728,,,,
2014/1/7,-1.9817,-1.2585,-1.5421,1.617,-1.8952,0,-1.148,,,,,,,,,,,2.5078,0.5675,0.4196,,,,,1.0894,0.5992,2.305,0.5102,1.2669,,3.1584,,,,,,,,,,,1.2075,1.3783,1.0073,,,,,2225051912,22490233960,3955299737,13468207310,8045985869,730869449.9,850661104,,,,,,,,,,,2781939420,3325136399,3738399112,,,,,31.1287,15.3274,20.9204,16.9606,17.4065,-71.354,24.2408,,,,,,,,,,,33.3654,-156.9338,27.6503,,,,,6.5671,4.3237,3.189,3.5056,2.4526,1.7355,2.011,,,,,,,,,,,3.9176,5.9005,1.7279,,,,,1.8368,1.3015,1.6493,1.2496,1.0473,5.0672,1.3017,,,,,,,,,,,28.007,19.0849,0.6756,,,,
2014/1/8,4.6656,-0.1471,0.8434,-0.335,-0.9091,0,0.4279,,,,,,,,,,,-2.1407,0.1129,-1.3928,,,,,2.1133,0.5574,1.7186,0.5111,0.5768,,3.2166,,,,,,,,,,,1.0268,1.2406,1.0619,,,,,2328864598,22457160086,3988657687,13423087688,7972840543,730869449.9,854300852,,,,,,,,,,,2722387200,3328889375,3686332272,,,,,32.581,15.3049,21.0968,16.9038,17.2482,-71.354,24.3445,,,,,,,,,,,32.6512,-157.1109,27.2652,,,,,6.8735,4.3174,3.2159,3.4938,2.4303,1.7355,2.0196,,,,,,,,,,,3.8338,5.9072,1.7039,,,,,1.9225,1.2996,1.6632,1.2454,1.0378,5.0672,1.3073,,,,,,,,,,,27.4075,19.1065,0.6662,,,,
2014/1/9,-1.9316,-1.0309,-0.1195,-2.9412,-1.6628,0,-4.3822,,,,,,,,,,,-2.6562,-0.6764,-2.9661,,,,,1.3655,0.7446,1.2675,1.3092,0.9424,,3.7244,,,,,,,,,,,1.2628,1.6005,1.4074,,,,,2283879101,22225642972,3983892265,13028290991,7840264639,730869449.9,816863444,,,,,,,,,,,2650073790,3306371521,3576991908,,,,,31.9517,15.1471,21.0716,16.4066,16.9614,-71.354,23.2777,,,,,,,,,,,31.7839,-156.0481,26.4565,,,,,6.7407,4.2729,3.2121,3.3911,2.3899,1.7355,1.9311,,,,,,,,,,,3.7319,5.8672,1.6533,,,,,1.8853,1.2862,1.6612,1.2088,1.0205,5.0672,1.25,,,,,,,,,,,26.6794,18.9772,0.6465,,,,
2014/1/10,0,-3.1746,-3.4689,0.9957,-2.0408,0,-3.2463,,,,,,,,,,,-2.5682,-4.1998,-2.7656,,,,,,0.7111,1.8374,0.5731,1.0233,,2.8753,,,,,,,,,,,0.9185,1.6402,1.5314,,,,,2283879101,21520067004,3845695046,13158009906,7680259238,730869449.9,790345280,,,,,,,,,,,2582014110,3167511423,3478064912,,,,,31.9517,14.6662,20.3406,16.5699,16.6153,-71.354,22.522,,,,,,,,,,,30.9676,-149.4945,26.5069,,,,,6.7407,4.1372,3.1006,3.4249,2.3411,1.7355,1.8684,,,,,,,,,,,3.6361,5.6208,1.6565,,,,,1.8853,1.2453,1.6036,1.2209,0.9997,5.0672,1.2094,,,,,,,,,,,25.9943,18.1802,0.6477,,,,
2014/1/13,-6.8182,1.1783,-0.7435,0.3858,-2.381,0,0.6579,,,,,,,,,,,0.3295,-2.4882,0.7485,,,,,4.821,0.4138,1.9083,0.5683,0.6238,,1.3753,,,,,,,,,,,1.0753,1.6441,0.9233,,,,,2128160071,21773633368,3817102517,13208769481,7497395923,730869449.9,795544920,,,,,,,,,,,2590521570,3088698935,3504098332,,,,,29.7731,14.839,20.1894,16.6339,16.2197,-71.354,22.6702,,,,,,,,,,,31.0696,-145.7748,26.7053,,,,,6.2811,4.186,3.0776,3.4381,2.2854,1.7355,1.8807,,,,,,,,,,,3.6481,5.481,1.6689,,,,,1.7568,1.26,1.5916,1.2256,0.9759,5.0672,1.2173,,,,,,,,,,,26.0799,17.7279,0.6526,,,,
2014/1/14,-6.0163,-2.3797,2.372,0.0427,1.7683,0,1.4379,,,,,,,,,,,0.9852,3.5237,2.526,,,,,2.972,1.0017,1.2909,0.5574,0.4157,,1.7834,,,,,,,,,,,0.8194,1.8618,1.3099,,,,,2000124425,21255476017,3907645523,13214409434,7629971827,730869449.9,806984128,,,,,,,,,,,2616043950,3197535228,3592611960,,,,,27.9819,14.4859,20.6683,16.641,16.5065,-71.354,22.9961,,,,,,,,,,,31.3758,-150.9115,27.3799,,,,,5.9032,4.0864,3.1506,3.4395,2.3258,1.7355,1.9077,,,,,,,,,,,3.684,5.6741,1.711,,,,,1.6511,1.23,1.6294,1.2261,0.9931,5.0672,1.2349,,,,,,,,,,,26.3368,18.3525,0.669,,,,
2014/1/15,-0.519,0,-0.122,1.195,0.3595,0,0.3866,,,,,,,,,,,-0.9756,9.9765,-0.4348,,,,,1.2482,0.5713,0.9025,0.3739,0.3142,,1.5571,,,,,,,,,,,0.9584,5.7123,0.8175,,,,,1989743156,21255476017,3902880102,13372328113,7657401324,730869449.9,810103912,,,,,,,,,,,2590521570,3516538156,3576991908,,,,,27.8367,14.4859,20.6756,16.8398,16.5658,-71.354,23.085,,,,,,,,,,,31.0696,-165.9672,27.2608,,,,,5.8726,4.0864,3.1517,3.4806,2.3342,1.7355,1.9151,,,,,,,,,,,3.6481,6.2402,1.7036,,,,,1.6425,1.23,1.63,1.2407,0.9967,5.0672,1.2396,,,,,,,,,,,26.0799,20.1835,0.6661,,,,
