ÈÕÆÚ,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH
2014/1/2,-0.9074,-1.232,1.995,1.1568,0,0,0.9308,-1.448,1.1183,-0.8608,-0.6658,0,0,0.2322,-0.3091,0.0619,0.4241,0.8352,0.4519,0.5468,0.9557,,0.6173,1.206,0.2734,0.9838,0.2718,0.1816,,0.119,0.1311,0.0434,5637109645,3030246426,1901984479,1983240000,3171815047,7722190476,26356568601,6711726941,23331883120,2018697005,11553224043,3171815047,7722190476,26356568601,2018697005,23331883120,13.0953,76.7528,233.9854,26.3066,31.3514,25.5637,60.3854,13.4708,22.822,229.1098,31.0158,12.848,14.1197,24.432,130.4319,13.0927,1.1337,1.8228,0.7893,2.5379,4.1729,2.3659,6.0934,2.5158,2.8467,14.2026,1.6723,1.7101,1.3068,2.4654,8.0855,1.6331,1.5974,3.5728,2.8665,2.1599,12.6389,7.6456,4.6569,4.5659,7.1151,2.5561,6.0213,5.1795,4.2229,1.8842,1.4552,4.0818
2014/1/3,-2.4725,-2.7027,-1.467,-2.4142,3.47,0,-2.6745,-2.9386,-2.3865,-4.1968,-3.8874,0,0,-1.3902,-3.1008,-0.8045,0.5607,0.9395,0.1961,0.8157,1.0917,,0.943,1.1564,0.3301,1.1808,0.6155,0.2507,,0.1719,0.4507,0.0825,5497730561,2948347874,1874082506,1935360000,3281878030,7722190476,25651674205,6514493824,22775068680,1933976002,11104104074,3281878030,7722190476,25651674205,1933976002,22775068680,12.7715,74.6784,230.5528,25.6715,32.4393,25.5637,58.7704,13.0749,22.2774,219.4944,29.81,12.8583,14.131,24.1117,126.4891,12.9979,1.1057,1.7735,0.7777,2.4767,4.3177,2.3659,5.9305,2.4419,2.7788,13.6066,1.6073,1.7114,1.3078,2.4331,7.8411,1.6213,1.5579,3.4763,2.8244,2.1078,13.0775,7.6456,4.5324,4.4317,6.9453,2.4488,5.7872,5.1837,4.2263,1.8595,1.4112,4.0523
2014/1/6,-4.4131,-4.9145,-2.9777,-3.125,-2.9472,0,-5.3064,-5.5209,-6.4997,-6.6465,-4.6025,-3.1299,0,-5.6861,-3.52,-2.4953,0.6194,1.2041,0.3234,0.8069,0.9534,,1.191,1.149,0.423,1.22,0.5409,0.4515,,0.7233,0.4248,0.1848,5255107710,2803450436,1818278561,1874880000,3185156015,7722190476,24290498821,6154833435,21294757120,1805433790,10593036522,3185156015,7722190476,24290498821,1805433790,21294757120,12.2078,71.0083,223.6877,24.8692,31.4832,25.5637,55.6519,12.3531,20.8294,204.9057,28.438,12.4599,14.1357,22.7481,122.0766,12.6777,1.0569,1.6864,0.7545,2.3993,4.1904,2.3659,5.6158,2.307,2.5981,12.7022,1.5334,1.6584,1.3082,2.2955,7.5676,1.5813,1.4891,3.3054,2.7403,2.0419,12.6921,7.6456,4.2919,4.187,6.4938,2.286,5.5208,5.0231,4.2277,1.7543,1.362,3.9524
2014/1/7,0.2947,0,0.5115,0.5376,-5.2356,0,2.4683,1.508,4.0179,0.4854,0.5848,-0.6462,0,2.5411,0.995,1.0237,0.2929,0.7735,0.2006,0.5023,1.2839,,1.7054,0.9694,0.6498,0.6454,0.4026,0.4916,,0.4994,0.2213,0.143,5270594275,2803450436,1827579218,1884960000,3018393920,7722190476,24890064169,6247649020,22150350040,1814198032,10654984104,3018393920,7722190476,24890064169,1814198032,22150350040,12.2438,71.0083,224.8319,25.0029,29.8349,25.5637,57.0255,12.5394,21.6663,205.9004,28.6043,12.376,14.1317,23.3197,123.257,12.8039,1.06,1.6864,0.7584,2.4122,3.971,2.3659,5.7544,2.3418,2.7025,12.7639,1.5423,1.6472,1.3079,2.3532,7.6408,1.5971,1.4935,3.3054,2.7544,2.0529,12.0276,7.6456,4.3978,4.2502,6.7548,2.2971,5.5531,4.9892,4.2265,1.7984,1.3751,3.9918
2014/1/8,-0.6856,-2.6966,-0.5089,-0.2674,1.6575,0,-1.3997,-2.5998,-1.962,-1.7713,-2.1802,0.3252,0,-1.6035,0.3284,-0.2533,0.3098,1.0533,0.1517,0.4582,0.8138,,1.0221,1.0295,0.3358,0.7656,0.3295,0.2717,,0.1877,0.0915,0.0491,5234458956,2727851772,1818278561,1879920000,3068422548,7722190476,24541668088,6085221747,21715763160,1782062479,10422680672,3068422548,7722190476,24541668088,1782062479,21715763160,12.1599,69.0935,223.6877,24.9361,30.3294,25.5637,56.2273,12.2134,21.2412,202.2532,27.9807,12.4238,14.1403,22.9596,123.7367,12.7792,1.0528,1.6409,0.7545,2.4057,4.0368,2.3659,5.6739,2.2809,2.6495,12.5378,1.5087,1.6536,1.3087,2.3168,7.6705,1.594,1.4833,3.2163,2.7403,2.0474,12.2269,7.6456,4.3362,4.1397,6.6222,2.2565,5.4321,5.0085,4.2291,1.7706,1.3805,3.9841
2014/1/9,0.5917,-0.6928,-1.2788,-0.2681,-2.1739,0,4.8861,0.858,2.8143,-0.8197,0.8915,-0.1621,0,2.8148,0,0.8254,0.4872,0.7699,0.2363,0.5058,0.4553,,2.4256,0.9099,0.5348,0.5409,0.5059,0.2275,,0.6186,0.071,0.1043,5265432086,2708952107,1795026917,1874880000,3001717710,7722190476,25740798784,6137430513,22326900960,1767455410,10515602045,3001717710,7722190476,25740798784,1767455410,22326900960,12.2318,68.6148,220.8273,24.8692,29.6701,25.5637,58.9746,12.3182,21.839,200.5954,28.2302,12.4097,14.1472,23.6175,123.7975,12.891,1.059,1.6295,0.7449,2.3993,3.9491,2.3659,5.9511,2.3005,2.7241,12.435,1.5221,1.6517,1.3093,2.3832,7.6743,1.6079,1.4921,3.194,2.7053,2.0419,11.9611,7.6456,4.5481,4.1752,6.8086,2.238,5.4805,5.0028,4.2312,1.8214,1.3812,4.0189
2014/1/10,-2.451,-1.3953,-1.2953,-5.3763,-2,0,0.724,-3.8752,0,0.8264,-1.62,-2.2727,0,0.1921,0,-0.8186,0.3497,0.7071,0.4964,0.7399,0.6723,,1.4308,0.7892,0.3044,0.874,0.3132,0.4068,,0.1982,0.1289,0.0619,5136377378,2671152775,1771775273,1774080000,2941683356,7722190476,25927150176,5899590578,22326900960,1782062479,10345246194,2941683356,7722190476,25927150176,1782062479,22326900960,11.932,67.6574,217.9668,23.5322,29.0767,25.5637,59.4016,11.8408,21.839,202.2532,27.7728,12.1076,14.1239,23.6238,123.5929,12.7643,1.033,1.6068,0.7352,2.2703,3.8701,2.3659,5.9942,2.2114,2.7241,12.5378,1.4975,1.6115,1.3072,2.3839,7.6616,1.5921,1.4555,3.1495,2.6703,1.9321,11.7219,7.6456,4.581,4.0134,6.8086,2.2565,5.3917,4.881,4.2242,1.8219,1.3789,3.9795
2014/1/13,-0.201,-0.9434,-0.5249,0.8523,-4.9887,0,2.1875,1.6716,0.6691,-0.4918,-3.5928,0.1661,0,1.3423,-1.473,-0.127,0.2045,0.5811,0.2653,0.5573,0.5494,,1.4885,0.6258,0.315,0.483,0.3999,0.2189,,0.3335,0.1489,0.034,5126053002,2645953220,1762474615,1789200000,2794932712,7722190476,26494306586,5998207137,22476290200,1773298237,9973560702,2794932712,7722190476,26494306586,1773298237,22476290200,11.908,67.0191,216.8226,23.7327,27.6261,25.5637,60.701,12.0387,21.9851,201.2585,26.775,12.1162,14.1104,23.9181,121.6566,12.736,1.031,1.5916,0.7314,2.2896,3.677,2.3659,6.1253,2.2483,2.7423,12.4761,1.4437,1.6127,1.3059,2.4136,7.5416,1.5886,1.4526,3.1197,2.6562,1.9486,11.1371,7.6456,4.6812,4.0805,6.8542,2.2454,5.198,4.8845,4.2202,1.8446,1.3573,3.9706
2014/1/14,1.9134,2.8571,4.7493,1.831,2.6253,0,-0.3058,3.5783,1.6314,2.9654,1.087,1.6584,0,0.2365,2.3256,1.2079,0.2072,0.8671,0.7792,0.8241,0.2665,,1.1494,0.9841,0.3412,0.5722,0.4895,0.1554,,0.2059,0.2069,0.0336,5224134580,2721551884,1846180534,1821960000,2868308034,7722190476,26413284242,6212843175,22842972880,1825883688,10081968971,2868308034,7722190476,26413284242,1825883688,22842972880,12.1359,68.9339,227.1203,24.1673,28.3514,25.5637,60.5154,12.4695,22.3438,207.2266,27.066,12.3131,14.1058,23.9668,124.445,12.8856,1.0507,1.6371,0.7661,2.3315,3.7736,2.3659,6.1066,2.3288,2.787,12.8461,1.4594,1.6389,1.3055,2.4185,7.7144,1.6073,1.4804,3.2089,2.7824,1.9843,11.4295,7.6456,4.6669,4.2265,6.966,2.3119,5.2545,4.9639,4.2188,1.8483,1.3884,4.0173
2014/1/15,-0.4941,-1.3889,-1.2594,-0.1383,3.0233,0,-0.5215,-0.2801,-1.0702,-0.16,-1.5361,0.4894,0,-0.0944,0.1623,0.0628,0.2406,0.6803,0.2339,0.497,0.4108,,0.9311,0.8544,0.2611,0.4777,0.3731,0.1554,,0.131,0.0656,0.0387,5198323638,2683752552,1822928890,1819440000,2955024323,7722190476,26275546256,6195440253,22598517760,1822962274,9927100016,2955024323,7722190476,26275546256,1822962274,22598517760,12.0759,67.9765,224.2598,24.1338,29.2085,25.5637,60.1998,12.4346,22.1047,206.8951,26.6503,12.3886,14.1232,23.9737,124.8004,12.9096,1.0455,1.6144,0.7565,2.3283,3.8877,2.3659,6.0747,2.3223,2.7572,12.8255,1.437,1.6489,1.3071,2.4192,7.7364,1.6103,1.473,3.1643,2.7473,1.9815,11.775,7.6456,4.6426,4.2146,6.8914,2.3082,5.1738,4.9943,4.224,1.8488,1.3923,4.0247
