ÈÕÆÚ,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH,000657.SZ,000831.SZ,000960.SZ,002149.SZ,002167.SZ,002378.SZ,002428.SZ,002460.SZ,002466.SZ,002716.SZ,002842.SZ,300618.SZ,600111.SH,600259.SH,600392.SH,600456.SH,600459.SH,600549.SH,600711.SH,601958.SH,603399.SH,603663.SH,603799.SH,603993.SH
2014/1/2,-2.3987,-2.585,-1.779,0.2264,0,-0.3966,2.7946,1.1519,-0.8264,,,,-0.5837,-1.6474,-1.9837,-0.5534,0.3471,-1.4975,0.8816,-1.6552,-0.0888,,,-2.0031,1.0735,0.9357,0.5128,1.5501,,0.1714,3.6276,1.7202,0.6645,,,,0.9099,1.2623,2.6447,0.3143,1.7231,0.7115,0.2911,0.1823,1.6322,,,0.2971,1699798142,14034812904,9509398902,2319086400,3576935965,7527995897,8398815600,2313803134,1598490000,,,,32755462568,9529574000,3017682000,5412742506,3957667038,16149286400,2353267031,23005689372,1006537500,,,12519157878,39.2516,93.9769,-9.0077,114.9111,-68.6954,69.43,72.2031,57.0242,-33.3179,,,,34.0646,-121.064,49.0602,464.0546,50.8666,35.1418,34.2348,129.229,51.9623,,,27.4948,1.7851,7.9608,1.7114,2.6594,3.494,5.2912,6.0128,3.1519,5.0954,,,,6.857,20.9972,6.8304,1.4954,2.4105,3.8819,1.4932,1.7569,2.7075,,,2.651,0.5535,12.3543,0.5509,2.0257,8.1544,3.8556,10.7866,6.1592,10.6271,,,,6.3296,5.9545,5.2764,2.2814,0.7488,1.6353,1.7828,2.6701,1.297,,,5.8312
2014/1/3,-1.1017,3.1657,0.0953,1.4307,0,-2.1615,-0.2204,-1.8558,1.1333,,,,2.981,1.4918,-0.0519,-2.3052,-1.6798,0.2534,-0.9988,-1.122,-1.6,,,-1.5723,0.6228,1.4777,0.3822,2.132,,0.3938,2.5924,0.9909,0.831,,,,2.2821,1.7559,3.3195,0.4675,2.2781,0.931,0.2125,0.1315,2.4307,,,0.1834,1681071552,14479117968,9518464106,2352266100,3576935965,7365274711,8380302413,2270864569,1616606220,,,,33731912671,9671732000,3016116000,5287965453,3891184489,16190205200,2329763740,22747561020,990432900,,,12322315773,38.8192,96.952,-9.0163,116.5552,-68.6954,67.9292,72.0439,55.966,-33.6955,,,,35.0801,-122.8699,49.0347,453.357,50.0121,35.2309,33.8929,127.7791,51.1309,,,27.0624,1.7654,8.2128,1.7131,2.6974,3.494,5.1768,5.9995,3.0934,5.1531,,,,7.0614,21.3104,6.8269,1.4609,2.3701,3.8918,1.4783,1.7372,2.6642,,,2.6093,0.5474,12.7454,0.5514,2.0547,8.1544,3.7723,10.7629,6.0449,10.7476,,,,6.5183,6.0434,5.2737,2.2288,0.7362,1.6394,1.765,2.6402,1.2762,,,5.7395
2014/1/6,-1.7138,0.2256,-3.619,-0.8166,0,-2.8488,-4.7865,-2.6214,0.9888,,,,-1.3158,-0.722,-1.8172,-3.0919,-2.4623,-1.1794,-2.9004,-4.9645,-1.626,,,-3.8339,0.9525,1.3969,0.3699,1.9713,,0.3886,2.0952,1.2719,1.7231,,,,1.888,1.4819,2.6636,0.5374,2.0969,0.6936,0.3063,0.2322,2.2907,,,0.224,1652261414,14511787458,9173986357,2333056800,3576935965,7155450025,7979183373,2211336104,1632591120,,,,33288071715,9601900000,2961306000,5124464487,3795371404,15999250800,2262191778,21618249480,974328300,,,11849894721,38.1539,97.1707,-8.69,115.6034,-68.6954,65.994,68.5956,54.4989,-34.0286,,,,34.6185,-121.9828,48.1437,439.3395,48.7807,34.8153,32.9098,121.4354,50.2995,,,26.0249,1.7351,8.2314,1.6511,2.6754,3.494,5.0294,5.7123,3.0123,5.2041,,,,6.9685,21.1565,6.7028,1.4158,2.3117,3.8459,1.4354,1.6509,2.6208,,,2.5093,0.5381,12.7742,0.5315,2.0379,8.1544,3.6648,10.2477,5.8864,10.8538,,,,6.4325,5.9997,5.1779,2.1599,0.7181,1.6201,1.7138,2.5091,1.2555,,,5.5195
2014/1/7,-1.2206,-1.891,-0.1976,-3.8922,0,0.3591,1.1601,3.1774,-0.1958,,,,-1.7333,-0.8052,-1.3749,0.084,-0.8758,-0.7673,1.1688,0.597,1.4692,,,0,0.6999,0.6173,0.239,1.7466,,0.1461,1.3907,1.1581,0.655,,,,1.1622,0.8856,1.8835,0.3949,2.6612,0.4998,0.2237,0.1009,1.8839,,,0.1365,1632094318,14237363742,9155855949,2242249200,3576935965,7181142843,8071749305,2281599210,1629394140,,,,32711078472,9524586000,2920590000,5128767144,3762130129,15876494400,2288632981,21747313656,988643500,,,11849894721,37.6882,95.3332,-8.6728,111.1038,-68.6954,66.231,69.3913,56.2305,-33.962,,,,34.0185,-121.0006,47.4817,439.7084,48.3534,34.5482,33.2945,122.1604,51.0385,,,26.0249,1.714,8.0757,1.6478,2.5713,3.494,5.0474,5.7786,3.108,5.1939,,,,6.8477,20.9862,6.6107,1.4169,2.2915,3.8164,1.4522,1.6608,2.6593,,,2.5093,0.5315,12.5326,0.5304,1.9586,8.1544,3.678,10.3666,6.0734,10.8326,,,,6.321,5.9514,5.1067,2.1617,0.7118,1.6077,1.7338,2.5241,1.2739,,,5.5195
2014/1/8,-0.1765,-0.8261,-0.099,1.324,0,-0.477,2.8287,1.8392,-0.9156,,,,-1.1759,-1.8591,-0.9651,-0.5872,-0.052,-3.0069,-1.027,-2.2255,-0.543,,,-1.495,1.6928,0.7986,0.2647,1.2596,,0.144,2.2604,2.218,0.7123,,,,1.1182,1.0806,2.0262,0.4024,1.4267,1.005,0.252,0.155,1.3434,,,0.1492,1629213304,14119753578,9146790745,2271936300,3576935965,7146885752,8300078605,2323561899,1614474900,,,,32326416310,9347512000,2892402000,5098648545,3760174760,15399108400,2265129689,21263322996,983275300,,,11672736827,37.6217,94.5457,-8.6642,112.5748,-68.6954,65.9151,71.3542,57.2647,-33.651,,,,33.6184,-118.751,47.0235,437.1262,48.3283,33.5094,32.9526,119.4417,50.7614,,,25.6358,1.7109,8.009,1.6462,2.6053,3.494,5.0233,5.9421,3.1652,5.1463,,,,6.7672,20.596,6.5469,1.4086,2.2903,3.7016,1.4373,1.6238,2.6449,,,2.4718,0.5305,12.4291,0.5299,1.9846,8.1544,3.6604,10.6598,6.1851,10.7334,,,,6.2467,5.8408,5.0574,2.149,0.7114,1.5593,1.716,2.4679,1.267,,,5.437
2014/1/9,-3.4483,-1.1569,-3.3697,-3.9201,0,-2.5165,-2.6766,-1.764,-4.9175,,,,-1.5561,-1.0139,0.5956,-0.8439,-0.988,-2.9672,-5.7069,-3.6419,-4.0036,,,-2.8668,0.8763,0.7965,0.3819,1.4876,,0.1913,1.6956,1.5403,0.987,,,,1.3383,1.0381,2.7223,0.4421,2.2698,1.0073,0.4688,0.1998,2.0106,,,0.1821,1573033535,13956406128,8838573812,2182875000,3576935965,6967036020,8077920367,2282575087,1535083230,,,,31823396560,9252740000,2909628000,5055621975,3723022747,14942181800,2135861588,20488937940,943908500,,,11338105248,36.3244,93.4519,-8.3723,108.1618,-68.6954,64.2563,69.4444,56.2546,-31.9963,,,,33.0953,-117.5471,47.3035,433.4374,47.8508,32.5151,31.072,115.0918,48.7291,,,24.9009,1.6519,7.9164,1.5907,2.5032,3.494,4.8969,5.783,3.1093,4.8933,,,,6.6619,20.3872,6.5859,1.3967,2.2676,3.5918,1.3553,1.5647,2.539,,,2.4009,0.5123,12.2853,0.512,1.9068,8.1544,3.5683,10.3745,6.076,10.2056,,,,6.1495,5.7815,5.0875,2.1309,0.7044,1.5131,1.6181,2.378,1.2163,,,5.2811
2014/1/10,-4.3956,-1.9195,-0.9231,2.88,0,0.4917,1.1459,0.9833,1.0413,,,,-0.0465,0.2426,-5.8665,0.3404,-6.1975,0.5021,-1.7882,0.315,0.7583,,,-0.1736,0.8871,1.1285,0.3833,1.6661,,0.1483,1.4009,2.7225,0.7976,,,,0.9545,0.6575,2.6908,0.3479,2.4936,0.817,0.4379,0.118,1.7987,,,0.1966,1503889204,13688516310,8756986977,2245741800,3576935965,7001293112,8170486300,2305020246,1551068130,,,,31808601861,9275186000,2738934000,5072832603,3492289195,15017199600,2285777238,20553470028,951066100,,,11318421038,34.7277,91.6581,-8.295,111.2769,-68.6954,64.5723,70.2402,56.8078,-32.3294,,,,33.0799,-117.8322,44.5284,434.9129,44.8853,32.6783,30.5164,115.4543,49.0986,,,24.8577,1.5793,7.7644,1.576,2.5753,3.494,4.921,5.8493,3.1399,4.9442,,,,6.6588,20.4367,6.1995,1.4015,2.1271,3.6098,1.331,1.5696,2.5583,,,2.3967,0.4897,12.0495,0.5073,1.9617,8.1544,3.5859,10.4934,6.1358,10.3119,,,,6.1466,5.7956,4.7891,2.1381,0.6607,1.5207,1.5891,2.3855,1.2255,,,5.2719
2014/1/13,0.8621,-0.716,2.588,-2.6439,0,1.2232,3.4743,-1.9898,0.4809,,,,0.8837,1.6402,2.5157,1.9508,-0.6719,1.0445,9.944,2.1978,1.9755,,,3.4783,0.4989,0.606,0.4522,1.1872,,0.157,3.396,1.957,0.5529,,,,1.0662,1.1258,2.1903,0.544,2.7254,0.6969,0.8623,0.1595,1.7687,,,0.3303,1516853766,13590507840,8983617075,2186367600,3576935965,7086935841,8454355159,2259154051,1558527750,,,,32089701133,9427320000,2807838000,5171793714,3468824766,15174055000,2513074414,21005194644,969854800,,,11712105248,35.0271,91.0019,-8.5097,108.3349,-68.6954,65.3621,72.6805,55.6774,-32.4849,,,,33.3723,-119.7649,45.6486,443.3972,44.5837,33.0197,33.5509,117.9917,50.0686,,,25.7223,1.5929,7.7088,1.6168,2.5072,3.494,4.9812,6.0525,3.0774,4.968,,,,6.7176,20.7719,6.3555,1.4288,2.1128,3.6475,1.4634,1.6041,2.6088,,,2.4801,0.494,11.9632,0.5204,1.9098,8.1544,3.6297,10.858,6.0137,10.3614,,,,6.201,5.8906,4.9095,2.1798,0.6563,1.5365,1.7472,2.4379,1.2497,,,5.4553
2014/1/14,0.095,-1.6346,0.6054,1.0383,0,0.423,0.6569,-1.9006,0.6154,,,,-0.0922,-0.291,-0.1673,1.6639,1.1838,-0.3596,3.5669,-0.1536,0.4613,,,0.1681,0.3649,0.5453,0.3902,1.3729,,0.1333,2.2335,1.7259,0.6352,,,,0.9412,0.6922,1.6407,0.3676,1.8341,0.7281,2.0855,0.0811,1.3242,,,0.1809,1518294273,13368355308,9038008298,2209069500,3576935965,7116910797,8509894719,2216215486,1568118690,,,,32060111736,9399886000,2803140000,5257846854,3509887517,15119496600,2602712737,20972928600,974328300,,,11731789458,35.0604,89.5143,-8.5612,109.4598,-68.6954,65.6386,73.158,54.6191,-32.6848,,,,33.3415,-119.4164,45.5723,450.7749,45.1114,32.9009,34.7477,117.8105,50.2995,,,25.7655,1.5944,7.5828,1.6266,2.5332,3.494,5.0023,6.0923,3.0189,4.9986,,,,6.7114,20.7114,6.3448,1.4526,2.1378,3.6344,1.5156,1.6016,2.6208,,,2.4843,0.4944,11.7677,0.5236,1.9296,8.1544,3.6451,10.9293,5.8994,10.4252,,,,6.1952,5.8735,4.9013,2.2161,0.664,1.531,1.8095,2.4342,1.2555,,,5.4645
2014/1/15,-0.3795,-1.8084,-1.3039,0.1581,0,-0.4212,-1.1603,1.0568,1.8009,,,,-0.9691,-0.4245,0.0559,-1.8822,-1.3928,-1.4885,-2.583,-1.2308,-1.2856,,,-1.6779,0.4234,0.902,0.2079,0.7732,,0.1359,1.9929,1.9593,0.5922,,,,0.7675,0.6177,1.6787,0.49,2.0302,0.4306,0.8772,0.0888,1.6712,,,0.1307,1512532245,13126601082,8920160647,2212562100,3576935965,7086935841,8411157724,2239636522,1596358680,,,,31749423067,9359982000,2804706000,5158885743,3461003289,14894443200,2535483995,20714800248,961802500,,,11534947353,34.9273,87.8955,-8.4496,109.6328,-68.6954,65.3621,72.3092,55.1964,-33.2734,,,,33.0184,-118.9095,45.5977,442.2905,44.4832,32.4112,33.8501,116.3605,49.6529,,,25.3332,1.5884,7.4457,1.6054,2.5372,3.494,4.9812,6.0216,3.0508,5.0886,,,,6.6464,20.6235,6.3484,1.4253,2.108,3.5803,1.4764,1.5819,2.5871,,,2.4426,0.4925,11.5549,0.5167,1.9327,8.1544,3.6297,10.8025,5.9617,10.613,,,,6.1352,5.8486,4.9041,2.1744,0.6548,1.5082,1.7627,2.4042,1.2393,,,5.3728
