ÈÕÆÚ,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH,000975.SZ,002155.SZ,002237.SZ,600311.SH,600385.SH,600489.SH,600547.SH,600687.SH,600766.SH,600988.SH,601069.SH,601899.SH
2014/1/2,-2.1127,1.1407,1.9651,1.3752,,1.8713,4.6377,1.3204,0.308,1.2678,,0.8658,1.1003,0.9962,1.4419,0.8576,,0.8074,1.4023,0.5866,0.5325,1.9719,,0.3477,5155770177,7948760215,5606081886,3434496000,,25635522822,25686456964,1460487360,2184552675,1795630270,,36822862505,19.4179,38.8177,27.2757,705.3534,,59.4694,22.792,48.5469,1060.7743,15.8746,,23.7896,2.4356,2.591,1.9044,3.7624,,2.57,3.0311,3.1372,86.5168,6.0645,,1.8311,15.2487,1.5526,0.5385,16.3288,,0.8408,0.5564,3.0828,180.3575,6.225,,1.0159
2014/1/3,-0.7194,0.3759,-1.0707,-0.3876,,-1.837,0.0554,-0.9557,0.2047,-0.7825,,-1.2876,0.5258,0.9831,0.9002,0.5692,,0.4263,0.6442,0.8251,0.8583,1.2983,,0.2091,5118678306,7978642772,5546059596,3421184000,,25164606214,25700687688,1446529618,2189024635,1781579955,,36348748395,19.2782,38.9636,26.9836,702.6195,,58.3769,22.8046,48.083,1062.9458,15.7504,,23.4833,2.4181,2.6008,1.884,3.7479,,2.5228,3.0328,3.1073,86.6939,6.0171,,1.8075,15.139,1.5584,0.5327,16.2656,,0.8253,0.5567,3.0533,180.7267,6.1763,,1.0028
2014/1/6,1.8116,-4.4944,-1.0101,-2.1401,,-4.4444,-3.2115,-2.9825,0.4086,-3.9432,,-1.3043,0.7778,0.7313,0.8201,0.4815,,0.3842,0.5971,0.4555,1.8154,1.1303,,0.2432,5211407985,7620052086,5490038792,3347968000,,24046179271,24875305692,1403387507,2197968556,1711328379,,35874634286,19.6274,37.2124,26.7111,687.5829,,55.7824,22.0722,46.6489,1067.2888,15.1293,,23.177,2.4619,2.4839,1.865,3.6677,,2.4106,2.9354,3.0146,87.0481,5.7798,,1.784,15.4132,1.4884,0.5274,15.9175,,0.7886,0.5388,2.9623,181.4651,5.9328,,0.9897
2014/1/7,-1.7794,0.2614,1.7493,0.1988,,0.3672,-0.7437,-0.2712,2.8484,1.1494,,0,0.4708,0.4411,0.921,0.3249,,0.2791,0.4087,0.4734,1.5238,0.8463,,0.1135,5118678306,7639973791,5586074456,3354624000,,24134476135,24690306279,1399580850,2260576002,1730998820,,35874634286,19.2782,37.3097,27.1783,688.9498,,55.9872,21.9081,46.5224,1097.6897,15.3032,,23.177,2.4181,2.4904,1.8976,3.6749,,2.4195,2.9135,3.0064,89.5276,5.8463,,1.784,15.139,1.4923,0.5366,15.9491,,0.7915,0.5348,2.9542,186.634,6.001,,0.9897
2014/1/8,-1.2077,-2.8683,-2.2923,-3.1746,,-2.3171,-3.9193,-0.3626,2.275,-2.1104,,-1.3216,0.5137,0.8927,0.857,0.7744,,0.4252,0.8592,0.4694,1.497,1.3727,,0.1873,5056858519,7420835038,5458026904,3248128000,,23575262664,23722617041,1394505307,2312003547,1694468001,,35400520176,19.0453,36.2396,26.5553,667.0784,,54.69,21.0494,46.3537,1122.6618,14.9803,,22.8707,2.3889,2.419,1.8541,3.5583,,2.3634,2.7993,2.9955,91.5643,5.7229,,1.7604,14.9561,1.4495,0.5243,15.4428,,0.7732,0.5138,2.9435,190.8799,5.8743,,0.9766
2014/1/9,0,-3.0872,-1.393,-1.0246,,-1.1236,-1.2597,8.0983,1.6441,-0.8292,,-1.3393,0.3357,0.7784,0.6231,0.4005,,0.2789,0.6732,4.6188,1.498,0.9089,,0.1537,5056858519,7191735433,5381998670,3214848000,,23310372072,23423771836,1507436128,2350015211,1680417686,,34926406067,19.0453,35.1208,26.1854,660.2436,,54.0755,20.7843,50.1075,1141.1195,14.8561,,22.5644,2.3889,2.3443,1.8283,3.5218,,2.3369,2.7641,3.2381,93.0697,5.6754,,1.7368,14.9561,1.4047,0.517,15.2846,,0.7645,0.5074,3.1819,194.0181,5.8256,,0.9636
2014/1/10,1.467,2.4931,1.2639,0.8282,,1.2626,0.1823,0.1684,1.8078,0.8361,,-0.4525,0.5802,0.8064,0.6868,0.3962,,0.3181,0.707,2.1426,1.6221,0.9275,,0.2159,5131042263,7371030776,5450023932,3241472000,,23604694952,23466464008,1509973900,2392498835,1694468001,,34768368030,19.3247,35.9963,26.5164,665.7115,,54.7582,20.8221,50.1919,1161.7487,14.9803,,22.4623,2.4239,2.4027,1.8514,3.551,,2.3664,2.7691,3.2435,94.7523,5.7229,,1.729,15.1755,1.4397,0.5235,15.4111,,0.7741,0.5083,3.1872,197.5256,5.8743,,0.9592
2014/1/13,1.2048,1.6216,1.909,0.8214,,0,-0.1213,-1.2605,2.8972,1.99,,1.8182,0.7496,0.7637,1.0386,0.4829,,0.355,0.6909,1.0563,2.1007,1.3999,,0.2014,5192862049,7490561005,5554062568,3268096000,,23604694952,23438002560,1490940615,2461814222,1728188757,,35400520176,19.5576,36.5801,27.0226,671.1793,,54.7582,20.7969,49.5592,1195.4068,15.2784,,22.8707,2.4531,2.4417,1.8867,3.5802,,2.3664,2.7658,3.2027,97.4974,5.8368,,1.7604,15.3584,1.4631,0.5335,15.5377,,0.7741,0.5077,3.1471,203.2483,5.9912,,0.9766
2014/1/14,0.5952,0.133,0.7205,-0.2037,,-1.2469,-1.3358,0.6809,-1.7257,-0.8943,,-0.4464,1.7173,0.4623,0.8435,0.3878,,0.4294,0.8292,1.1039,1.7127,1.49,,0.1238,5223771942,7500521857,5594077428,3261440000,,23310372072,23124926630,1501091700,2419330598,1712733411,,35242482140,19.674,36.6287,27.2172,669.8123,,54.0755,20.5191,49.8966,1174.7776,15.1418,,22.7686,2.4677,2.4449,1.9003,3.5729,,2.3369,2.7288,3.2245,95.8149,5.7846,,1.7525,15.4498,1.465,0.5374,15.5061,,0.7645,0.5009,3.1685,199.7408,5.9377,,0.9723
2014/1/15,-1.3018,-3.0544,-1.5021,-1.0204,,-1.7677,-2.5846,-0.1691,4.4362,-3.2814,,-0.4484,0.7849,0.7549,0.788,0.3622,,0.4074,0.823,0.9782,1.7476,3.4493,,0.0924,5155770177,7271422252,5510046222,3228160000,,22898320041,22527236219,1498553929,2526657649,1656532150,,35084444103,19.4179,35.5099,26.8084,662.9775,,53.1196,19.9887,49.8123,1226.8935,14.6449,,22.6665,2.4356,2.3703,1.8718,3.5364,,2.2956,2.6583,3.219,100.0655,5.5947,,1.7447,15.2487,1.4203,0.5293,15.3478,,0.751,0.4879,3.1631,208.6018,5.7428,,0.9679
