ÈÕÆÚ,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH
2014/1/2,0.7926,2.5694,,,,,2.6974,1.581,3.6042,2.0651,0,0.6522,3.4122,3.2544,0.7689,2.2617,,,,,,,,,,,,,,,,,,1.775,1.0231,,,,,3.5695,1.8308,28.6724,1.0572,,1.642,9.7971,21.7544,5.1563,6.9451,,,,,,,,,,,,,,,,,,3820480202,2936326487,,,,,1059273698,1908573456,1267634939,2544360000,1450891350,1258123086,842818853.4,618945916,1120500000,408743342.6,,,,,,,,,,,,,,,,,,80.141,39.2504,,,,,46.3156,27.8091,75.75,32.367,58.7425,31.7595,30.3074,36.0004,38.4975,74.7634,,,,,,,,,,,,,,,,,,4.5774,4.3523,,,,,2.8644,2.7768,5.4259,3.072,2.2721,4.6907,2.7948,3.0915,6.0167,3.8144,,,,,,,,,,,,,,,,,,2.8809,10.0528,,,,,6.0897,4.1496,7.7014,3.0489,10.0782,10.2697,13.8541,5.0896,9.0329,14.5432,,,,,,,,,,,,,,,,,
2014/1/3,-0.5242,4.6465,,,,,0.8969,10.0056,-4.8071,-0.2452,0,5.6695,0,10.0287,-1.8675,2.159,,,,,,,,,,,,,,,,,,1.5918,1.7755,,,,,4.2351,5.9945,28.6505,1.1697,,4.7206,,25.8623,3.7366,12.2049,,,,,,,,,,,,,,,,,,3800451472,3072761859,,,,,1068773911,2099536892,1206698661,2538120000,1450891350,1329452959,842818853.4,681017856,1099575000,417568238.4,,,,,,,,,,,,,,,,,,79.7208,41.0742,,,,,46.7309,30.5915,72.1087,32.2876,58.7425,33.5601,30.3074,39.6107,37.7785,76.3776,,,,,,,,,,,,,,,,,,4.5534,4.5546,,,,,2.8901,3.0547,5.1651,3.0644,2.2721,4.9567,2.7948,3.4015,5.9043,3.8967,,,,,,,,,,,,,,,,,,2.8657,10.5199,,,,,6.1444,4.5648,7.3311,3.0414,10.0782,10.852,13.8541,5.6001,8.8642,14.8572,,,,,,,,,,,,,,,,,
2014/1/6,-5.336,-1.6216,,,,,-4,-3.335,-1.2625,-6.3307,0,-2.606,0,-2.0833,-4.4404,-5.5155,,,,,,,,,,,,,,,,,,1.7854,1.6842,,,,,4.2865,5.5057,22.4539,1.4824,,5.1654,,23.3504,4.7226,8.9151,,,,,,,,,,,,,,,,,,3597660583,3022933288,,,,,1026022954,2029516966,1191464591,2377440000,1450891350,1294807021,842818853.4,666829984,1050750000,394537412.9,,,,,,,,,,,,,,,,,,75.467,40.4081,,,,,44.8617,29.5713,71.1983,30.2436,58.7425,32.6855,30.3074,38.7855,36.101,72.165,,,,,,,,,,,,,,,,,,4.3105,4.4807,,,,,2.7745,2.9528,5.0999,2.8704,2.2721,4.8275,2.7948,3.3306,5.6421,3.6818,,,,,,,,,,,,,,,,,,2.7128,10.3493,,,,,5.8986,4.4125,7.2386,2.8488,10.0782,10.5692,13.8541,5.4834,8.4706,14.0378,,,,,,,,,,,,,,,,,
2014/1/7,1.3918,-2.1978,,,,,5.6217,9.9843,0.4038,1.2467,9.9953,10.021,0,-3.5638,0.5353,0.7092,,,,,,,,,,,,,,,,,,1.3739,1.0472,,,,,5.0829,6.0044,18.5245,0.9058,3.8947,4.3262,,15.7914,2.3627,4.4547,,,,,,,,,,,,,,,,,,3647732408,2956495194,,,,,1083702816,2232150390,1196275350,2407080000,1595912400,1424559456,842818853.4,643065298.4,1056375000,397335550.6,,,,,,,,,,,,,,,,,,76.5173,39.52,,,,,47.3837,32.5238,71.4858,30.6206,64.614,35.9609,30.3074,37.4032,36.2943,72.6768,,,,,,,,,,,,,,,,,,4.3705,4.3822,,,,,2.9304,3.2476,5.1205,2.9062,2.4992,5.3112,2.7948,3.2119,5.6723,3.7079,,,,,,,,,,,,,,,,,,2.7506,10.1219,,,,,6.2302,4.8531,7.2678,2.8844,11.0856,11.6283,13.8541,5.288,8.5159,14.1373,,,,,,,,,,,,,,,,,
2014/1/8,0.9609,2.9294,,,,,0.1252,0.2852,0.6032,9.9806,9.9829,0.6199,0,-0.2206,4.1108,2.0043,,,,,,,,,,,,,,,,,,1.3637,1.4316,,,,,4.9269,5.4743,24.9934,2.2479,9.1679,3.9093,,15.2652,4.873,9.9764,,,,,,,,,,,,,,,,,,3682782685,3043101995,,,,,1085059989,2238515838,1203491488,2647320000,1755231300,1433390773,842818853.4,641646511.2,1099800000,405299480.9,,,,,,,,,,,,,,,,,,77.2525,40.6777,,,,,47.443,32.6165,71.917,33.6767,71.0643,36.1838,30.3074,37.3207,37.7863,74.1335,,,,,,,,,,,,,,,,,,4.4125,4.5106,,,,,2.9341,3.2569,5.1514,3.1963,2.7487,5.3442,2.7948,3.2048,5.9055,3.7822,,,,,,,,,,,,,,,,,,2.777,10.4184,,,,,6.238,4.8669,7.3117,3.1722,12.1923,11.7004,13.8541,5.2763,8.866,14.4207,,,,,,,,,,,,,,,,,
2014/1/9,-1.6995,-0.2729,,,,,-3.94,-9.7156,-9.527,-1.7089,5.5081,-5.9242,9.8548,10.0055,-3.2324,-7.1163,,,,,,,,,,,,,,,,,,1.2931,1.307,,,,,4.7517,6.3026,28.632,6.5767,25.4257,3.9351,19.967,26.0287,3.8275,10.7255,,,,,,,,,,,,,,,,,,3620192904,3034797233,,,,,1042309033,2021029702,1088835071,2602080000,1851912000,1348474258,925877112.6,705846632,1064250000,376457138.6,,,,,,,,,,,,,,,,,,75.9396,40.5667,,,,,45.5738,29.4476,65.0655,33.1012,74.9786,34.0402,33.2942,41.0549,36.5649,68.8579,,,,,,,,,,,,,,,,,,4.3375,4.4983,,,,,2.8185,2.9404,4.6606,3.1416,2.9001,5.0276,3.0702,3.5255,5.7146,3.5131,,,,,,,,,,,,,,,,,,2.7298,10.39,,,,,5.9922,4.3941,6.6151,3.118,12.8638,11.0073,15.2194,5.8042,8.5794,13.3945,,,,,,,,,,,,,,,,,
2014/1/10,-1.7289,-6.2158,,,,,4.2318,-2.5722,-2.3564,-4.6163,0.4779,-2.3678,-6.1274,-6.7839,3.2981,-5.546,,,,,,,,,,,,,,,,,,1.0528,1.2579,,,,,9.2042,3.7826,16.7883,3.0253,18.5156,2.8211,19.7922,15.6726,3.3067,10.2607,,,,,,,,,,,,,,,,,,3557603124,2846160501,,,,,1086417163,1969045211,1063177690,2481960000,1860763050,1316545649,869145355.2,657962564,1099350000,355578726.7,,,,,,,,,,,,,,,,,,74.6267,38.0452,,,,,47.5024,28.6902,63.5323,31.5732,75.337,33.2343,31.2541,38.2697,37.7708,65.0391,,,,,,,,,,,,,,,,,,4.2625,4.2187,,,,,2.9378,2.8648,4.5508,2.9966,2.914,4.9085,2.8821,3.2863,5.9031,3.3182,,,,,,,,,,,,,,,,,,2.6826,9.7441,,,,,6.2458,4.2811,6.4592,2.9741,12.9253,10.7466,14.2868,5.4105,8.8624,12.6516,,,,,,,,,,,,,,,,,
2014/1/13,-0.2111,-8.2951,,,,,3.3104,8.7284,2.0362,0.5028,-0.2927,6.1404,-0.5973,4.0431,1.2894,0.6659,,,,,,,,,,,,,,,,,,0.7151,2.1078,,,,,8.4169,4.4169,12.7639,1.6064,10.7678,3.0889,14.3956,11.0087,3.953,6.3317,,,,,,,,,,,,,,,,,,3550092350,2610067988,,,,,1122382253,2140912304,1084826105,2494440000,1855316250,1397386171,863954214,684564824,1113525000,357946381.7,,,,,,,,,,,,,,,,,,74.4691,34.8893,,,,,49.0749,31.1944,64.8259,31.7319,75.1165,35.275,31.0674,39.817,38.2578,65.4721,,,,,,,,,,,,,,,,,,4.2535,3.8687,,,,,3.035,3.1149,4.6434,3.0117,2.9055,5.2099,2.8649,3.4192,5.9792,3.3403,,,,,,,,,,,,,,,,,,2.677,8.9359,,,,,6.4526,4.6547,6.5907,2.989,12.8875,11.4065,14.2015,5.6292,8.9766,12.7358,,,,,,,,,,,,,,,,,
2014/1/14,0.9873,5.1818,,,,,2.8416,1.5857,7.1693,4.9406,-0.1835,0,-0.7725,4.3523,0.9093,4.2694,,,,,,,,,,,,,,,,,,1.2899,1.1998,,,,,8.6666,3.6841,28.009,2.5416,14.9918,2.5024,13.6992,15.6127,3.0709,7.3653,,,,,,,,,,,,,,,,,,3585142627,2745316966,,,,,1154275824,2174861359,1162600039,2617680000,1851912000,1397386171,857279889.6,714359355.2,1123650000,373228518.2,,,,,,,,,,,,,,,,,,75.2044,36.6972,,,,,50.4694,31.689,69.4735,33.2997,74.9786,35.275,30.8274,41.55,38.6057,68.2674,,,,,,,,,,,,,,,,,,4.2955,4.0692,,,,,3.1213,3.1643,4.9763,3.1605,2.9001,5.2099,2.8427,3.568,6.0336,3.483,,,,,,,,,,,,,,,,,,2.7034,9.3989,,,,,6.6359,4.7285,7.0632,3.1367,12.8638,11.4065,14.0918,5.8742,9.0582,13.2796,,,,,,,,,,,,,,,,,
2014/1/15,3.352,1.1236,,,,,0,7.4634,-3.7241,2.9201,10,0.8751,0.4758,3.7736,2.6632,1.9608,,,,,,,,,,,,,,,,,,1.6011,1.365,,,,,,4.3932,19.0813,3.3222,16.8855,5.0097,15.8666,17.2081,7.2571,7.0407,,,,,,,,,,,,,,,,,,3705315006,2776163224,,,,,1154275824,2337180280,1119303209,2694120000,2037103200,1409614149,861358643.4,741316312,1153575000,380546724.5,,,,,,,,,,,,,,,,,,77.7252,37.1095,,,,,50.4694,34.0541,66.8862,34.2721,82.4765,35.5836,30.9741,43.1179,39.6338,69.606,,,,,,,,,,,,,,,,,,4.4395,4.1149,,,,,3.1213,3.4004,4.791,3.2528,3.1901,5.2555,2.8563,3.7027,6.1943,3.5512,,,,,,,,,,,,,,,,,,2.794,9.5045,,,,,6.6359,5.0814,6.8002,3.2283,14.1502,11.5063,14.1588,6.0959,9.2995,13.54,,,,,,,,,,,,,,,,,
