ÈÕÆÚ,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH
2014/1/2,0,-8.4956,1.497,0.3448,,2.2814,-0.3906,-0.1996,,,,,,,0.6285,3.2183,0.4547,4.0018,,1.6526,0.1429,0.4357,,,,,,,1325756124,3115836037,1988682114,824694000,,4065101100,7441920000,50584481500,,,,,,,120.0642,-21.6629,-20.3047,45.688,,49.3286,17.6514,16.6704,,,,,,,4.8483,3.3407,4.5772,3.2967,,1.9115,1.2517,1.8877,,,,,,,8.975,2.2801,1.6133,13.2357,,1.9938,0.0935,0.7051,,,,,,
2014/1/3,-0.5556,0.9671,0.59,5.0172,,-1.487,-0.9804,-1.6,,,,,,,0.6091,1.3691,0.5918,8.0367,,1.2147,0.2276,0.386,,,,,,,1318390812,3145969848,2000414752,866070400,,4004653500,7368960000,49775129796,,,,,,,119.3971,-21.8724,-20.4245,47.9803,,48.5951,17.4783,16.4037,,,,,,,4.8213,3.373,4.6042,3.4621,,1.883,1.2395,1.8575,,,,,,,8.9251,2.3021,1.6228,13.8998,,1.9641,0.0926,0.6938,,,,,,
2014/1/6,-4.9162,-1.4368,-3.2258,-1.9306,,-2.0377,-4.1584,-3.8618,,,,,,,1.1683,0.689,0.6312,6.4034,,1.3171,0.4815,0.4664,,,,,,,1253576068,3100769131,1935885244,849349800,,3923049240,7062528000,47852919499,,,,,,,113.5273,-21.5582,-19.7656,47.054,,47.6049,16.7515,15.7702,,,,,,,4.5843,3.3245,4.4557,3.3953,,1.8447,1.1879,1.7858,,,,,,,8.4863,2.269,1.5704,13.6314,,1.9241,0.0888,0.667,,,,,,
2014/1/7,-1.4101,1.8465,0.6061,-0.6673,,1.1556,-0.4132,-1.4799,,,,,,,0.6459,0.5548,0.3026,3.0803,,0.8409,0.1831,0.3377,,,,,,,1235899320,3158023372,1947617881,843681800,,3968384940,7033344000,47144736758,,,,,,,111.9265,-21.9562,-19.8854,46.74,,48.155,16.6823,15.5368,,,,,,,4.5197,3.3859,4.4827,3.3726,,1.866,1.183,1.7594,,,,,,,8.3667,2.3109,1.5799,13.5405,,1.9463,0.0884,0.6571,,,,,,
2014/1/8,-1.907,-1.2405,-1.506,1.6124,,-1.6756,-2.2822,-2.1459,,,,,,,0.759,0.6367,0.384,7.4973,,1.6825,0.3605,0.6906,,,,,,,1212330322,3118849418,1918286287,857285000,,3901892580,6872832000,46133047128,,,,,,,109.792,-21.6839,-19.5859,47.4936,,47.3482,16.3015,15.2034,,,,,,,4.4335,3.3439,4.4152,3.427,,1.8347,1.156,1.7216,,,,,,,8.2071,2.2823,1.5562,13.7588,,1.9137,0.0864,0.643,,,,,,
2014/1/9,-1.8226,-1.5459,-2.1407,-3.6364,,-2.9435,-0.8493,1.0965,,,,,,,0.8295,0.5223,0.422,6.1603,,1.8245,0.231,0.4542,,,,,,,1190234387,3070635321,1877222054,826111000,,3787042140,6814464000,46638891943,,,,,,,107.7909,-21.3487,-19.1667,45.7665,,45.9545,16.1631,15.3701,,,,,,,4.3527,3.2922,4.3206,3.3024,,1.7807,1.1462,1.7405,,,,,,,8.0575,2.247,1.5228,13.2585,,1.8574,0.0856,0.6501,,,,,,
2014/1/10,0.6188,-0.3925,-4.375,-2.5729,,-3.1923,-5.1392,-1.9523,,,,,,,1.0621,0.327,0.6421,6.6388,,1.2519,0.8752,0.4669,,,,,,,1197599699,3058581796,1795093590,804856000,,3666146940,6464256000,45728371276,,,,,,,108.458,-21.2649,-18.3281,44.589,,44.4875,15.3325,15.07,,,,,,,4.3796,3.2793,4.1316,3.2174,,1.7239,1.0873,1.7065,,,,,,,8.1074,2.2382,1.4562,12.9173,,1.7981,0.0812,0.6374,,,,,,
2014/1/13,3.936,2.3645,-1.3072,-3.4859,,0.9893,1.3544,-0.2212,,,,,,,1.2256,0.3409,0.5011,3.6427,,0.9506,0.4052,0.1928,,,,,,,1244737694,3130902942,1771628314,776799400,,3702415500,6551808000,45627202313,,,,,,,112.7269,-21.7677,-18.0885,43.0347,,44.9276,15.5401,15.0367,,,,,,,4.552,3.3568,4.0776,3.1053,,1.7409,1.102,1.7027,,,,,,,8.4265,2.2911,1.4372,12.467,,1.8159,0.0823,0.636,,,,,,
2014/1/14,1.0651,0.5775,1.9868,6.348,,1.6327,0.4454,1.3304,,,,,,,0.7519,0.372,0.4601,3.0235,,0.7805,0.2486,0.2621,,,,,,,1257995255,3148983229,1806826227,826111000,,3762863100,6580992000,46234216091,,,,,,,113.9276,-21.8934,-18.4479,45.7665,,45.6611,15.6093,15.2367,,,,,,,4.6005,3.3762,4.1586,3.3024,,1.7693,1.1069,1.7254,,,,,,,8.5163,2.3043,1.4657,13.2585,,1.8455,0.0827,0.6444,,,,,,
2014/1/15,0.7026,-0.6699,-0.6494,-1.4751,,-0.7229,-0.6652,-1.3129,,,,,,,0.9936,0.2842,0.4291,3.4863,,0.7154,0.2067,0.2401,,,,,,,1266833630,3127889561,1795093590,813924800,,3735661680,6537216000,45627202313,,,,,,,114.728,-21.7467,-18.3281,45.0914,,45.331,15.5055,15.0367,,,,,,,4.6328,3.3536,4.1316,3.2537,,1.7566,1.0996,1.7027,,,,,,,8.5761,2.2889,1.4562,13.0629,,1.8322,0.0822,0.636,,,,,,
