ÈÕÆÚ,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH
2014/1/2,4.1723,0.5195,2.5357,2.4221,0.5068,,6.2658,,3.9829,2.1924,2.0588,-1.5748,,,,,1.6679,0.5268,1.2117,1.4283,0.9592,,4.7723,,1.8001,1.015,0.402,2.2536,,,,,19059203773,1284423348,1573374600,1743321600,2142000000,,6924737142,,1507582536,2701580000,1140727800,1207500000,,,,,18.9027,67.0068,33.5691,80.9678,58.7426,,48.5731,,37.9879,-32.7108,84.3002,26.9028,,,,,1.9935,1.826,2.9792,2.3991,1.4187,,10.9786,,1.3759,4.406,1.2869,1.9806,,,,,0.7121,1.1945,1.7077,3.348,6.0707,,5.5325,,0.693,1.2519,0.8822,1.4738,,,,
2014/1/3,1.5504,-0.5168,-0.4637,2.7027,-2.0168,,0,,2.3256,-1.7878,0.1441,-1.6,,,,,2.0194,0.5048,2.0073,2.073,0.9062,,2.2627,,2.6583,0.612,0.2578,1.9476,,,,,19354695304,1277785501,1566079200,1790438400,2098800000,,6924737142,,1542642595,2653280000,1142371500,1188180000,,,,,19.1957,66.6605,33.4134,83.1561,57.5579,,48.5731,,38.8714,-32.1259,84.4217,26.4723,,,,,2.0244,1.8165,2.9654,2.464,1.3901,,10.9786,,1.4079,4.3273,1.2888,1.9489,,,,,0.7232,1.1883,1.6997,3.4385,5.9483,,5.5325,,0.7092,1.2295,0.8835,1.4502,,,,
2014/1/6,-3.3079,-2.8571,-3.2609,-0.8224,-3.0875,,-1.7153,,0.6684,-4.2476,-1.5827,-3.6585,,,,,1.4225,0.8248,0.9792,1.7731,0.8657,,2.0962,,2.8632,0.7147,0.2898,1.4048,,,,,18714463653,1241277344,1515011400,1775714400,2034000000,,6805956659,,1552954377,2540580000,1124290800,1144710000,,,,,18.5608,64.756,32.3239,82.4723,55.7808,,47.7399,,39.1312,-30.7614,83.0855,25.5038,,,,,1.9575,1.7646,2.8687,2.4437,1.3472,,10.7902,,1.4173,4.1435,1.2684,1.8776,,,,,0.6992,1.1544,1.6443,3.4103,5.7646,,5.4376,,0.7139,1.1773,0.8695,1.3971,,,,
2014/1/7,3.0263,0.2674,6.5811,-3.4826,0.354,,2.0604,,0.7968,-1.5209,3.0702,-0.4219,,,,,1.3145,0.9072,1.9578,1.3138,0.5881,,1.9401,,2.5152,0.5735,1.1677,1.43,,,,,19280822421,1244596268,1614715200,1713873600,2041200000,,6946183618,,1565328515,2501940000,1158808500,1139880000,,,,,19.1225,64.9291,34.4511,79.6001,55.9783,,48.7235,,39.443,-30.2935,85.6364,25.3962,,,,,2.0167,1.7694,3.0575,2.3586,1.352,,11.0126,,1.4286,4.0804,1.3073,1.8697,,,,,0.7204,1.1575,1.7525,3.2915,5.785,,5.5497,,0.7196,1.1594,0.8962,1.3912,,,,
2014/1/8,-0.447,-0.2667,1.0542,-0.3436,0.3527,,0.4038,,-0.1318,-0.2574,-1.1348,1.4407,,,,,0.7517,0.7491,1.5635,0.9042,0.6536,,3.0706,,1.9139,0.5109,0.6524,1.2852,,,,,19194637391,1241277344,1631737800,1707984000,2048400000,,6974229009,,1563266159,2495500000,1145658900,1156302000,,,,,19.037,64.756,34.8143,79.3265,56.1757,,48.9202,,39.3911,-30.2155,84.6647,25.7621,,,,,2.0077,1.7646,3.0897,2.3505,1.3567,,11.057,,1.4268,4.0699,1.2925,1.8966,,,,,0.7172,1.1544,1.771,3.2802,5.8054,,5.5721,,0.7186,1.1564,0.886,1.4113,,,,
2014/1/9,1.796,-1.6043,-3.8748,-1.5517,-1.9332,,-0.3193,,0.7916,2.0645,-2.8694,3.9265,,,,,1.1622,0.5155,1.1101,0.9573,0.6884,,1.7445,,2.2133,0.8329,0.4339,2.786,,,,,19539377511,1221363804,1568511000,1681480800,2008800000,,6951957669,,1575640297,2547020000,1112784900,1201704000,,,,,19.3789,63.7171,33.4653,78.0956,55.0897,,48.764,,39.7029,-30.8393,82.2353,26.7737,,,,,2.0437,1.7363,2.97,2.314,1.3305,,11.0217,,1.4381,4.154,1.2554,1.9711,,,,,0.7301,1.1359,1.7024,3.2293,5.6932,,5.5543,,0.7243,1.1803,0.8606,1.4667,,,,
2014/1/10,-3.0876,-2.7174,-2.7907,-8.2312,-3.2258,,-5.9089,,-3.2723,-3.7927,-5.1699,-4.4212,,,,,1.0994,0.6342,0.753,2.2272,1.1057,,2.1197,,1.9112,0.4443,0.5252,3.7476,,,,,18936082301,1188174570,1524738600,1543075200,1944000000,,6541175168,,1524081387,2450420000,1055255400,1148574000,,,,,18.7806,61.9856,32.5314,71.6674,53.3126,,45.8826,,38.4037,-29.6697,77.9838,25.5899,,,,,1.9806,1.6891,2.8871,2.1236,1.2876,,10.3705,,1.391,3.9964,1.1905,1.8839,,,,,0.7075,1.105,1.6549,2.9635,5.5096,,5.2261,,0.7006,1.1355,0.8161,1.4018,,,,
2014/1/13,-0.1951,-0.5587,8.7719,2.4809,1.1111,,-0.3153,,0.9472,-3.9422,-0.4673,-1.598,,,,,1.3719,0.334,2.7679,1.0312,0.5764,,1.5287,,2.3729,0.4421,0.3225,1.8358,,,,,18899145860,1181536723,1658487600,1581357600,1965600000,,6520553556,,1538517882,2353820000,1050324300,1130220000,,,,,18.7439,61.6394,35.3851,73.4454,53.905,,45.7379,,38.7674,-28.5001,77.6194,25.181,,,,,1.9768,1.6797,3.1403,2.1763,1.3019,,10.3378,,1.4042,3.8389,1.1849,1.8538,,,,,0.7061,1.0988,1.8,3.037,5.5708,,5.2096,,0.7073,1.0907,0.8123,1.3794,,,,
2014/1/14,3.9739,1.6854,2.1994,2.7933,1.2821,,8.2226,,2.4129,1.368,2.0344,3.8462,,,,,1.3507,0.4711,3.2895,0.6561,0.519,,1.6908,,3.3989,0.3537,0.2699,1.2666,,,,,19650186835,1201450264,1694964600,1625529600,1990800000,,7056715455,,1575640297,2386020000,1071692400,1173690000,,,,,19.4888,62.6782,36.1633,75.497,54.5961,,49.4988,,39.7029,-28.89,79.1985,26.1495,,,,,2.0553,1.708,3.2094,2.237,1.3186,,11.1878,,1.4381,3.8914,1.209,1.9251,,,,,0.7342,1.1173,1.8396,3.1218,5.6422,,5.638,,0.7243,1.1057,0.8288,1.4325,,,,
2014/1/15,0.5639,-0.5525,0,-2.8986,1.6275,,1.6949,,-0.2618,-1.0796,-0.6135,-0.5761,,,,,0.8755,0.4154,1.8317,1.2563,0.6801,,1.9086,,4.2619,0.4052,0.188,1.6153,,,,,19760996160,1194812417,1694964600,1578412800,2023200000,,7176320802,,1571515584,2360260000,1065117600,1166928000,,,,,19.5987,62.3319,36.1633,73.3087,55.4846,,50.3378,,39.5989,-28.578,78.7126,25.9989,,,,,2.0669,1.6986,3.2094,2.1722,1.34,,11.3774,,1.4343,3.8494,1.2016,1.914,,,,,0.7383,1.1112,1.8396,3.0313,5.734,,5.7335,,0.7224,1.0937,0.8238,1.4242,,,,
