ÈÕÆÚ,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH
2014/1/2,5,0.1938,1.9569,4.878,0.3643,0.3854,-3.3515,0,,-0.2125,,,0.1616,4.6109,1.5158,0.8563,1.5505,0.2632,0.4299,1.8059,0.5075,,1.0569,,,0.169,1399749203,2344265914,1396280000,1399749203,,1141615200,2257043809,2281776373,,3686739360,,,2257043809,1.6171,173.1413,330.6899,0.4735,44.6425,2840.5821,500.5376,-9.5033,,13.6006,,,152.6389,363.7163,1.0469,2.6635,106.5104,3.4283,2.3899,7.3678,12.4206,,2.0935,,,2.2468,9.3955,0.7133,0.9635,2.7514,0.2744,4.0718,6.1883,1.4486,,1.1547,,,1.8871
2014/1/3,1.5152,-1.9342,-2.6871,5.2326,-1.2704,-1.7274,-3.871,-2.7108,,-3.4079,,,-1.2903,2.2346,1.7433,0.7421,0.6386,0.2613,0.4696,2.0479,0.8937,,1.3997,,,0.2353,1420957524,2298922279,1358760000,1420957524,,1121894400,2169674371,2219920989,,3561099680,,,2169674371,1.6416,169.7923,321.8038,0.4987,44.1101,2791.5125,481.1619,-9.2457,,13.1372,,,150.7904,369.2272,1.0267,2.5919,112.172,3.3874,2.3487,7.0826,12.0839,,2.0222,,,2.2196,9.5378,0.6995,0.9376,2.8976,0.2711,4.0015,5.9488,1.4093,,1.1154,,,1.8643
2014/1/6,4.9041,-2.7613,-1.9724,4.9724,-1.4706,-3.125,-7.2987,-3.7152,,-2.2051,,,-2.6144,2.1083,0.7606,0.4654,0.0554,0.1839,0.4373,1.6434,0.7876,,0.9969,,,0.3601,1490642009,2235441191,1331960000,1490642009,,1086835200,2011317265,2137447144,,3482574880,,,2011317265,1.7221,165.1038,315.4566,0.5237,43.4735,2704.2778,446.0436,-8.9022,,12.8475,,,146.8963,387.3343,0.9983,2.5408,117.7825,3.3385,2.2753,6.5657,11.635,,1.9776,,,2.1623,10.0056,0.6802,0.9191,3.0425,0.2672,3.8764,5.5146,1.3569,,1.0908,,,1.8161
2014/1/7,5.0813,-0.8114,0,5.2632,0.7463,0.8065,1.7195,0.6431,,1.4656,,,-0.1678,1.1698,0.814,0.333,0.0218,0.2201,0.374,1.2283,0.4493,,1.0256,,,0.2445,1566386013,2217303737,1331960000,1566386013,,1095600000,2045901001,2151192785,,3533616000,,,2045901001,1.8096,163.7642,315.4566,0.551,43.7841,2726.0865,453.7131,-8.9594,,13.0358,,,146.609,407.0159,0.9902,2.5408,123.9422,3.3623,2.2936,6.6786,11.7098,,2.0065,,,2.1581,10.514,0.6746,0.9191,3.2017,0.2691,3.9077,5.6094,1.3657,,1.1068,,,1.8126
2014/1/8,5.029,-0.818,0.8048,5,0.1852,0,-2.0463,0.3195,,4.2222,,,-0.1681,0.3877,0.7662,0.3417,0.0084,0.05,0.4796,1.1978,0.5764,,2.2724,,,0.1288,1645159778,2199166283,1342680000,1645159778,,1095600000,2004036479,2158065606,,3682813120,,,2004036479,1.9006,162.4246,317.9954,0.579,43.8941,2726.0865,444.4289,-8.9881,,13.5862,,,146.4513,427.4848,0.9821,2.5612,130.2253,3.3708,2.2936,6.5419,11.7472,,2.0913,,,2.1557,11.0428,0.6691,0.9265,3.364,0.2698,3.9077,5.4946,1.37,,1.1535,,,1.8106
2014/1/9,0,-1.0309,-1.5968,0,0,-0.2,1.3624,-1.5924,,-3.6247,,,0.1684,,0.4835,0.4031,,0.1535,0.2963,1.2896,0.4689,,1.1351,,,0.1424,1645159778,2176494466,1321240000,1645159778,,1093408800,2031339428,2123701504,,3549320960,,,2031339428,1.9006,160.7501,312.9177,0.5792,43.9147,2720.6343,450.4838,-8.8449,,13.0937,,,146.7699,427.4848,0.972,2.5203,130.2865,3.3724,2.289,6.6311,11.5602,,2.0155,,,2.1604,11.0428,0.6622,0.9117,3.3655,0.2699,3.8999,5.5695,1.3482,,1.1117,,,1.8146
2014/1/10,0,-0.2083,-3.0426,0,-0.5545,-1.002,-1.3441,1.2945,,-1.9912,,,-1.0084,,0.5312,0.4744,,0.1448,0.3981,0.7661,0.7216,,1.2575,,,0.1689,1645159778,2171960102,1281040000,1645159778,,1082452800,2004036479,2151192785,,3478648640,,,2004036479,1.9006,160.4152,303.3968,0.5783,43.5992,2693.3734,444.4289,-8.9594,,12.833,,,145.0498,427.4848,0.97,2.4437,130.0716,3.3482,2.2661,6.5419,11.7098,,1.9753,,,2.1351,11.0428,0.6608,0.884,3.36,0.2679,3.8608,5.4946,1.3657,,1.0895,,,1.7933
2014/1/13,4.9724,1.4614,-2.7197,5.2381,-0.9294,-1.6194,0.9083,-1.9169,,0.3386,,,1.1885,0.1656,0.6933,0.5644,0.0304,0.104,0.307,0.611,0.4707,,0.6715,,,0.099,1726963303,2203700646,1246200000,1726963303,,1064923200,2022238445,2109955863,,3490427360,,,2022238445,1.9951,162.7595,295.1455,0.608,43.1528,2649.756,448.4655,-8.7877,,12.8764,,,146.6341,448.7409,0.9841,2.3772,136.7544,3.3139,2.2294,6.6013,11.4853,,1.982,,,2.1584,11.5918,0.6705,0.8599,3.5326,0.2652,3.7983,5.5446,1.3395,,1.0932,,,1.8129
2014/1/14,-4.2105,4.321,2.7957,3.1674,0.5629,1.0288,1.2601,8.1433,,2.5872,,,0.6711,7.349,1.4538,0.3352,2.6074,0.0995,0.1862,0.8279,2.6825,,0.7855,,,0.0941,1654249058,2298922279,1281040000,1654249058,,1075879200,2047721198,2281776373,,3580730880,,,2047721198,1.9111,169.7923,303.3968,0.6271,43.3813,2677.0169,454.1168,-9.5033,,13.2096,,,147.5698,429.8466,1.0267,2.4437,141.0393,3.3314,2.2523,6.6845,12.4206,,2.0333,,,2.1722,11.1038,0.6995,0.884,3.6433,0.2666,3.8374,5.6144,1.4486,,1.1215,,,1.8245
2014/1/15,-0.7326,-0.9862,1.046,0.8772,1.4925,0,-0.6222,-0.3012,,0.2193,,,-0.6667,3.6073,1.0113,0.3752,3.1591,0.7318,0.168,0.7207,1.2956,,0.5386,,,0.0813,1642130018,2276250462,1294440000,1642130018,,1075879200,2034979821,2274903552,,3588583360,,,2034979821,1.8971,168.1179,306.5705,0.6333,44.0837,2677.0169,451.2911,-9.4747,,13.2385,,,146.7664,426.6975,1.0165,2.4692,142.4539,3.3854,2.2523,6.6429,12.3832,,2.0378,,,2.1604,11.0224,0.6926,0.8932,3.6799,0.2709,3.8374,5.5795,1.4442,,1.124,,,1.8145
