ÈÕÆÚ,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH,000550.SZ,000572.SZ,000625.SZ,000800.SZ,000868.SZ,000927.SZ,000951.SZ,000957.SZ,002594.SZ,200550.SZ,200625.SZ,600006.SH,600066.SH,600104.SH,600166.SH,600213.SH,600303.SH,600418.SH,600686.SH,600733.SH,601127.SH,601238.SH,601633.SH,601777.SH,900953.SH
2014/1/2,-2.2039,-0.7895,0,-0.9244,0,-0.838,-2.3601,0.6863,0.7696,-0.7612,0,-0.3436,-0.2278,-2.0509,-0.3922,0,0.9412,-1.3746,0,0.3555,,-3.1553,4.8336,-0.468,1.5038,0.2696,0.3299,,0.6918,0.5741,0.2244,0.9802,3.2358,1.3991,0.0078,,0.1803,0.4776,0.1843,0.1897,0.3028,1.0162,1.442,,0.9679,,1.62,0.9563,0.1023,0.2761,12839301685,6189449718,38787154140,16644561751,2432574134,5662856908,4684982835,2449179998,14590824357,12839301685,38787154140,5800000000,21420821377,1.28008E+11,12893549016,1293600000,2464630723,9204413615,3863872657,1493856000,,4822444473,13131127880,6070219655,,12.6313,20.7771,15.2298,19.3836,-79.1145,-11.7997,12.3085,23.4383,161.6196,11.4668,16.0074,115.5778,12.2439,6.1565,18.7052,246.6927,-9.1673,12.0611,16.8274,-184.7509,,19.2405,15.9675,15.1936,402.3802,2.3375,0.8876,2.8432,2.2455,2.2649,1.783,1.1463,3.0711,4.1173,2.122,2.9884,0.9717,2.5512,1.1085,0.9536,6.7936,1.197,1.6175,1.6988,16.6237,,1.544,4.6904,1.1281,2.1455,1.0269,0.6058,1.3874,0.6466,0.7763,1.007,0.2184,0.7615,1.6909,0.9322,1.4583,0.3004,1.01,0.2699,0.4179,1.0707,0.5096,0.3289,0.1857,21.9747,,2.7279,2.3125,0.6399,0.3898
2014/1/3,-1.4085,-1.3263,0.8734,-1.1026,-1.0127,1.1268,-2.6858,-5.7449,1.1588,-4.1492,5.7516,-1.0345,0.742,-2.8881,-1.7717,-1.5306,-2.0979,-3.3682,0,0.253,,-1.7544,-2.0389,-1.7241,0.7407,0.9617,0.2704,1.109,0.6518,0.5136,0.7806,0.7999,6.6754,1.3622,0.0288,0.3177,0.2593,0.5231,0.341,0.4818,0.2068,1.1658,1.8251,,1.331,,1.5669,0.5857,0.1331,0.576,12658466450,6107361526,39125906577,16461033928,2407940472,5726663746,4559155185,2308477349,14759904228,12658466450,39125906577,5740000000,21579765828,1.24311E+11,12665119998,1273800000,2412925183,8894392716,3863872657,1497636000,,4737840184,12863394040,5965560695,,12.4534,20.5016,15.3628,19.1699,-78.3133,-11.9326,11.9779,22.0918,163.4925,10.9997,16.9415,114.3822,12.3347,5.9787,18.3738,242.9168,-8.975,11.6549,16.8274,-185.2184,,18.903,15.6419,14.9316,405.6864,2.3046,0.8758,2.868,2.2207,2.2419,1.8031,1.1155,2.8947,4.165,2.0356,3.1627,0.9617,2.5701,1.0765,0.9367,6.6896,1.1719,1.563,1.6988,16.6658,,1.517,4.5947,1.1087,2.1631,1.0124,0.5977,1.3995,0.6395,0.7685,1.0183,0.2125,0.7177,1.7105,0.8942,1.5433,0.2973,1.0175,0.2621,0.4105,1.0543,0.4989,0.3178,0.1857,22.0303,,2.6801,2.2653,0.6289,0.393
2014/1/6,-3.6735,-6.4516,-2.7706,-6.0892,-3.0691,-4.1783,-5.4278,-5.3719,-1.0674,0.4365,-2.1632,-2.7875,-2.0397,-3.0483,-2.2044,-1.5544,-2.1429,-5.5288,0,-4.9975,,1.9133,-3.0747,-6.3796,-3.3088,0.4617,1.0784,1.0596,1.6217,0.9388,0.449,1.0244,3.5929,1.5304,0.0317,0.3214,0.3103,0.5055,0.3306,0.6804,0.341,0.6613,2.2001,,2.1365,,1.7654,0.9236,0.3636,0.4634,12193461560,5713338201,38041898776,15458689667,2334039486,5487388102,4311694140,2184468235,14602352530,12193461560,38041898776,5580000000,21139611964,1.20521E+11,12385928976,1254000000,2361219644,8402635426,3863872657,1422792000,,4828487637,12467878140,5584982661,,11.9959,19.1789,14.9371,18.0026,-75.9098,-11.4341,11.3278,20.905,161.7473,11.0508,16.5796,111.1938,12.0831,5.7965,17.9688,239.1409,-8.7826,11.0105,16.8274,-175.9621,,19.2646,15.161,13.9791,392.3915,2.2199,0.8193,2.7885,2.0855,2.1731,1.7277,1.0549,2.7392,4.1205,2.045,3.0952,0.9349,2.5177,1.0437,0.9161,6.5856,1.1468,1.4766,1.6988,15.8329,,1.546,4.4535,1.0379,2.0922,0.9752,0.5592,1.3608,0.6005,0.7449,0.9758,0.201,0.6792,1.6922,0.8984,1.5104,0.289,0.9968,0.2541,0.4015,1.0379,0.4882,0.3002,0.1857,20.9293,,2.7314,2.1957,0.5888,0.3802
2014/1/7,0,0,-2.4933,-2.5571,-0.2639,0,0.7782,3.1659,1.2632,-0.7606,0.6949,0.3584,0.1735,0.7669,0.8197,0.5263,3.163,-0.8906,0,0,,-2.5031,-1.1713,0.8518,1.9011,0.9392,0.4883,0.6997,1.2907,0.551,0.2002,0.4667,3.5857,1.04,0.0089,0.1231,0.153,0.3155,0.1229,0.311,0.2557,0.9882,1.4859,,0.6619,,0.9258,1.1764,0.1336,0.6581,12193461560,5713338201,37093391950,15063398972,2327881070,5487388102,4345248180,2253627164,14786803299,12193461560,37093391950,5600000000,21176291453,1.21445E+11,12487452984,1260600000,2435905423,8327802795,3863872657,1422792000,,4707624367,12321841500,5632554915,,11.9959,19.1789,14.5647,17.5422,-75.7095,-11.4341,11.4159,21.5669,163.7904,10.9633,16.6895,111.5924,12.1041,5.8409,18.1161,240.3995,-9.0604,10.9124,16.8274,-175.9621,,18.7824,14.9834,14.0981,399.7401,2.2199,0.8193,2.719,2.0322,2.1674,1.7277,1.0631,2.8259,4.1726,2.0288,3.1157,0.9382,2.5221,1.0517,0.9236,6.6203,1.1831,1.4634,1.6988,15.8329,,1.5073,4.4013,1.0468,2.1314,0.9752,0.5592,1.3268,0.5852,0.7429,0.9758,0.2025,0.7007,1.7136,0.8913,1.5204,0.2901,0.9985,0.2561,0.4048,1.0434,0.5037,0.2975,0.1857,20.9293,,2.663,2.1699,0.5938,0.3873
2014/1/8,-0.0424,0,-2.1918,-2.9053,-1.3228,-2.907,-1.6409,-1.2698,2.7547,2.9562,1.2547,-0.7143,-1.1547,1.9787,1.4228,-1.2216,-2.5943,-1.5404,0,-0.8502,,-1.6688,0.716,-2.027,-1.1194,0.4495,0.2991,0.7916,1.5179,0.7402,0.4388,0.6977,1.7942,1.806,0.0097,0.127,0.1334,0.3768,0.2604,0.3037,0.1691,0.8988,2.2592,,0.766,,0.7644,1.105,0.1258,0.3369,12188294839,5713338201,36280386099,14625755703,2297088993,5327871006,4273945845,2225009676,15194132080,12188294839,36280386099,5560000000,20931761529,1.23848E+11,12665119998,1245200000,2372709763,8199518285,3863872657,1410696000,,4629063241,12410071970,5518381505,,11.9908,19.1789,14.2455,17.0326,-74.7081,-11.1017,11.2286,21.293,168.3023,11.2948,16.9101,110.7953,11.9643,5.9565,18.3738,237.4627,-8.8254,10.7443,16.8274,-174.4662,,18.469,15.0907,13.8124,395.505,2.219,0.8193,2.6594,1.9731,2.1387,1.6775,1.0457,2.79,4.2875,2.0902,3.1569,0.9315,2.4929,1.0725,0.9367,6.5394,1.1524,1.4409,1.6988,15.6983,,1.4821,4.4328,1.0256,2.1088,0.9748,0.5592,1.2977,0.5682,0.7331,0.9474,0.1992,0.6918,1.7608,0.9182,1.5405,0.288,0.987,0.2611,0.4105,1.0306,0.4906,0.293,0.1857,20.7514,,2.6186,2.1855,0.5818,0.3832
2014/1/9,0.5935,-5.1724,-1.774,1.5444,0.8043,-0.2994,-1.0795,-1.6077,-2.4785,-0.0709,-2.1685,-0.7194,-0.5841,-2.5373,-0.4008,-0.8834,0.4843,0.7823,0,-1.5005,,-2.611,-3.1625,-1.0345,-0.9434,0.4499,0.9683,0.7998,1.4341,0.879,0.3046,0.3971,3.2509,1.4005,0.0071,0.3577,0.154,0.3098,0.1628,0.1972,0.3396,0.8673,2.0041,,1.0441,,1.2618,2.7596,0.1268,0.3856,12260628933,5417820708,35636756467,14851636100,2315564239,5311919297,4227809040,2189237817,14817545094,12260628933,35636756467,5520000000,20809496566,1.20706E+11,12614357994,1234200000,2384199883,8263660540,3863872657,1389528000,,4508199971,12017598500,5461294799,,12.062,18.1869,13.9928,17.2956,-75.309,-11.0684,11.1074,20.9507,164.1309,11.2921,16.5512,109.9982,11.8945,5.8054,18.3002,235.365,-8.8681,10.8284,16.8274,-171.8482,,17.9868,14.6134,13.6695,391.9662,2.2321,0.777,2.6122,2.0036,2.1559,1.6725,1.0344,2.7452,4.1813,2.0897,3.0899,0.9248,2.4784,1.0453,0.933,6.4816,1.158,1.4521,1.6988,15.4627,,1.4434,4.2926,1.0149,2.09,0.9806,0.5303,1.2747,0.577,0.739,0.9446,0.1971,0.6807,1.7171,0.918,1.5078,0.2859,0.9812,0.2545,0.4089,1.0215,0.493,0.2952,0.1857,20.44,,2.5502,2.1164,0.5757,0.3798
2014/1/10,-0.295,1.5152,1.2357,-1.8061,-3.9894,-0.6006,0,2.8322,-4.0197,-1.7027,-3.2299,-1.4493,-0.2938,0,-0.4024,0,-0.9639,-1.1643,0,-4.0805,,-2.0107,0.6329,-0.1742,-0.7619,0.1868,0.6291,0.7177,0.5879,1.0419,0.345,0.4035,2.8371,1.4685,0.0013,0.1726,0.1947,0.402,0.1837,0.3526,0.1854,0.7283,1.0652,,1.003,,0.4983,1.8823,0.1337,0.2533,12224461886,5499908901,36077134636,14583403129,2223188006,5280015878,4227809040,2251242374,14221922819,12224461886,36077134636,5440000000,20748364085,1.20706E+11,12563595990,1234200000,2361219644,8167447157,3863872657,1332828000,,4417552519,12093659250,5451780349,,12.0264,18.4624,14.1657,16.9832,-72.3046,-11.002,11.1074,21.5441,157.5334,11.0815,15.9902,108.404,11.8595,5.8054,18.2266,235.365,-8.7826,10.7023,16.8274,-164.8359,,17.6251,14.7059,13.6457,388.3369,2.2256,0.7887,2.6445,1.9674,2.0699,1.6624,1.0344,2.8229,4.0132,2.0507,2.9851,0.9114,2.4711,1.0453,0.9292,6.4816,1.1468,1.4352,1.6988,14.8318,,1.4144,4.3198,1.0132,2.0706,0.9777,0.5383,1.2905,0.5665,0.7095,0.9389,0.1971,0.6999,1.6481,0.9009,1.4567,0.2818,0.9783,0.2545,0.4072,1.0215,0.4882,0.2918,0.1857,19.606,,2.4989,2.1297,0.5747,0.3762
2014/1/13,1.8174,-1.791,1.784,-4.6467,-3.8781,-3.3233,1.7857,4.0254,2.2697,2.2375,0.8508,-0.7353,1.4732,-0.3828,-1.4141,-1.0695,-5.5961,-0.7853,0,-1.4748,,-2.1888,-2.0126,0.6981,-1.9194,0.1638,0.4185,0.4893,1.3577,1.2689,0.369,0.3587,3.0257,0.8525,0.0097,0.0995,0.1894,0.3603,0.17,0.1983,0.3213,1.583,0.6491,,0.448,,0.8466,1.1406,0.0639,0.4545,12446630889,5401403070,36720764268,13905761938,2136970189,5104547072,4303305630,2341864418,14544711665,12446630889,36720764268,5400000000,21054026491,1.20244E+11,12385928976,1221000000,2229083264,8103304902,3863872657,1313172000,,4320861903,11850264850,5489838152,,12.245,18.1318,14.4184,16.1941,-69.5006,-10.6363,11.3058,22.4113,161.1088,11.3187,16.1108,107.6069,12.0342,5.7831,17.9688,232.8477,-8.2912,10.6182,16.8274,-162.405,,17.2393,14.41,13.7409,380.5211,2.266,0.7746,2.6917,1.876,1.9896,1.6072,1.0529,2.9365,4.1043,2.0946,3.0077,0.9047,2.5075,1.0413,0.9161,6.4123,1.0826,1.424,1.6988,14.613,,1.3834,4.2328,1.0203,2.0289,0.9955,0.5286,1.3135,0.5402,0.682,0.9077,0.2006,0.7281,1.6855,0.9202,1.4677,0.2797,0.9927,0.2535,0.4015,1.0106,0.4609,0.2895,0.1857,19.3168,,2.4442,2.0869,0.5788,0.3687
2014/1/14,5.8531,3.6474,1.9373,5.0761,2.0173,3.125,1.8519,2.0367,0.8719,2.1885,1.8819,7.037,3.4262,0.7686,1.8443,1.0811,1.5464,4.2216,0,2.9937,,3.4965,-0.6418,2.0797,1.1742,0.3042,0.6975,0.5897,2.1415,0.8831,0.3908,0.4741,2.0237,0.6687,0.0494,0.3756,0.9374,0.509,0.3007,0.2936,0.2749,1.0587,1.8264,,0.7786,,1.1638,2.9809,0.1359,0.109,13175138550,5598414732,37432144388,14611638178,2180079098,5264064168,4382996475,2389560231,14671521568,13175138550,37432144388,5780000000,21775389768,1.21168E+11,12614357994,1234200000,2263553624,8445396929,3863872657,1352484000,,4471940990,11774204100,5604011562,,12.9617,18.7931,14.6977,17.0161,-70.9026,-10.9687,11.5151,22.8677,162.5135,11.5626,16.4086,115.1793,12.4465,5.8276,18.3002,235.365,-8.4194,11.0665,16.8274,-167.2669,,17.8421,14.3175,14.0267,384.8628,2.3986,0.8029,2.7438,1.9712,2.0298,1.6574,1.0724,2.9963,4.1401,2.1397,3.0632,0.9684,2.5934,1.0493,0.933,6.4816,1.0994,1.4841,1.6988,15.0505,,1.4318,4.2057,1.0415,2.0521,1.0537,0.5479,1.3389,0.5676,0.6958,0.936,0.2043,0.7429,1.7002,0.94,1.4948,0.2994,1.0267,0.2555,0.4089,1.0215,0.468,0.3017,0.1857,19.8951,,2.5297,2.0735,0.5908,0.3729
2014/1/15,0.2745,2.0528,-1.267,-0.8696,0.565,6.3636,-1.0526,-4.1916,2.1477,0.1727,-1.5924,1.0381,2.1336,0.6865,0.4024,-0.3565,0.2538,1.6456,0,-0.8385,,-0.4054,-3.6176,-0.5093,0,0.1984,0.8619,0.4997,3.6044,0.8844,0.7462,0.4214,3.2072,1.1141,0.0422,0.1775,0.7958,1.1333,0.1455,0.259,0.1799,0.7258,2.0816,,0.4066,,0.805,1.7508,0.0838,0.0487,13211305597,5713338201,36957890975,14484580455,2192395929,5599050070,4336859670,2289399024,14986624965,13211305597,36957890975,5840000000,22239996624,1.22E+11,12665119998,1229800000,2269298684,8584371816,3863872657,1341144000,,4453811500,11348263900,5575468210,,12.9973,19.1789,14.5115,16.8682,-71.3032,-11.6667,11.3939,21.9092,166.0038,11.597,16.1675,116.3749,12.7121,5.8676,18.3738,234.5259,-8.4407,11.2486,16.8274,-165.8644,,17.7698,13.7995,13.9552,385.3365,2.4052,0.8193,2.7091,1.9541,2.0412,1.7629,1.0611,2.8707,4.229,2.1461,3.0182,0.9784,2.6488,1.0565,0.9367,6.4585,1.1022,1.5085,1.6988,14.9243,,1.426,4.0535,1.0362,2.0546,1.0566,0.5592,1.322,0.5627,0.6997,0.9956,0.2022,0.7118,1.7367,0.9428,1.4728,0.3025,1.0487,0.2572,0.4105,1.0179,0.4692,0.3067,0.1857,19.7283,,2.5194,1.9985,0.5878,0.3733
