ÈÕÆÚ,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH,000025.SZ,000753.SZ,000996.SZ,200025.SZ,600297.SH,600327.SH,600335.SH,600653.SH,601258.SH,601965.SH,603377.SH
2014/1/2,0.2278,0.2475,0.6106,0.8333,0.6873,0,-1.8476,0.4016,2.5948,-5.2985,,0.9029,0.3582,1.0013,0.5936,0.445,0.521,0.6204,0.2352,1.4093,2.5603,,1577791987,1665333282,3410900000,1577791987,2051000000,2613776183,3518454300,4365950793,3667081600,2436480000,,280.9096,14.8389,185.4076,151.9085,38.8898,13.9876,10.4829,25.2679,63.9285,19.2608,,10.1304,2.0245,6.0767,5.4783,2.1592,1.9032,2.001,2.1518,1.4907,2.5067,,3.9827,0.5442,35.9653,2.1537,4.7982,0.2937,0.0953,0.4743,0.2106,5.4202,
2014/1/3,0.2273,-1.2346,-2.0904,-0.1653,-0.1706,-2.994,0.4706,-1.2,-0.9728,-1.2608,,1.2341,0.4399,1.3014,0.8386,0.2872,0.8565,0.6855,0.2666,0.902,2.4781,,1581377878,1644773612,3339600000,1581377878,2047500000,2535519411,3535011732,4313559383,3631409600,2405760000,,281.548,14.6557,181.5319,151.777,38.8234,13.5688,10.5323,24.9646,63.3066,19.018,,10.1535,1.9995,5.9497,5.4735,2.1555,1.8462,2.0104,2.126,1.4762,2.4751,,3.9917,0.5374,35.2135,2.1519,4.79,0.2849,0.0958,0.4686,0.2085,5.3519,
2014/1/6,-4.7619,-3.5,-4.9587,-4.8013,-2.2222,-4.7325,-1.4052,-4.4534,-2.947,-0.399,,1.1555,0.5085,1.5098,0.742,0.4177,1.0261,0.8754,0.5397,0.8991,1.6847,,1506074170,1587206536,3174000000,1506074170,2002000000,2415525694,3485339436,4121457548,3524393600,2396160000,,268.141,14.1428,172.5303,144.5301,37.9607,12.9266,10.3843,23.8529,61.441,18.9421,,9.67,1.9295,5.6547,5.2122,2.1076,1.7589,1.9822,2.0313,1.4327,2.4653,,3.8016,0.5186,33.4674,2.0491,4.6836,0.2714,0.0944,0.4477,0.2024,5.3305,
2014/1/7,-1.7857,0,-0.7971,-0.8696,1.7483,0.8639,-1.0293,-0.8475,0.4049,3.4455,,1.1278,0.3347,1.0202,0.8015,0.4319,0.5197,0.6805,0.2889,0.5679,1.9727,,1479179988,1587206536,3148700000,1479179988,2037000000,2436394167,3449465000,4086529942,3538662400,2478720000,,263.3527,14.1428,171.1551,143.2278,38.6243,13.0383,10.2774,23.6507,61.6897,19.5948,,9.4973,1.9295,5.6096,5.1652,2.1445,1.7741,1.9618,2.0141,1.4385,2.5502,,3.7337,0.5186,33.2006,2.0306,4.7655,0.2738,0.0935,0.4439,0.2032,5.5142,
2014/1/8,-0.7273,-1.8135,1.3148,-0.5263,0.3436,-3.4261,-1.12,-1.2821,-0.6048,-6.1193,,0.8825,0.451,1.0599,0.3936,0.3036,0.8244,0.5997,0.3045,0.737,2.5574,,1468422315,1558422997,3190100000,1468422315,2044000000,2352920277,3410830992,4034138532,3517259200,2327040000,,261.4374,13.8863,173.4055,142.5681,38.7571,12.5916,10.1623,23.3475,61.3166,18.3957,,9.4282,1.8945,5.6833,5.1414,2.1518,1.7133,1.9398,1.9883,1.4298,2.3941,,3.7066,0.5092,33.6371,2.0213,4.7818,0.2644,0.0924,0.4382,0.202,5.1767,
2014/1/9,-0.3663,-1.847,-0.7931,0.7055,-1.3699,-2.8825,-0.4854,-1.2987,-1.4199,1.0726,,0.6842,0.3391,1.1274,0.5205,0.4428,0.8984,0.6738,0.2495,0.635,2.1386,,1463043479,1529639459,3164800000,1463043479,2016000000,2285097741,3394273560,3981747123,3467318400,2352000000,,260.4798,13.6298,172.0302,143.6413,38.2261,12.2286,10.113,23.0443,60.446,18.593,,9.3937,1.8595,5.6383,5.1801,2.1224,1.6639,1.9304,1.9625,1.4095,2.4198,,3.693,0.4998,33.3704,2.0365,4.7163,0.2568,0.092,0.4325,0.1991,5.2323,
2014/1/10,1.348,-2.6882,-3.2703,2.1016,-3.125,-0.9132,-4.065,-1.7544,0,-0.898,,0.4587,0.4702,1.0224,0.5106,0.4176,0.8227,1.1543,0.1864,0.6106,2.0842,,1482765879,1488520119,3061300000,1482765879,1953000000,2264229268,3256294960,3911891910,3467318400,2330880000,,263.9912,13.2634,166.4042,146.4181,37.0316,12.117,9.7019,22.64,60.446,18.4261,,9.5203,1.8095,5.4539,5.2803,2.056,1.6487,1.8519,1.928,1.4095,2.3981,,3.7428,0.4864,32.279,2.0759,4.5689,0.2544,0.0882,0.4249,0.1991,5.1853,
2014/1/13,-0.6046,1.105,0.6011,0,-1.0753,0.2304,-4.0678,-0.4464,-1.4403,2.5535,,0.4704,0.4001,1.0137,0.1663,0.2577,0.5861,1.1168,0.2386,0.7384,1.4065,,1473801152,1504967855,3079700000,1473801152,1932000000,2269446387,3123835504,3894428107,3417377600,2390400000,,262.3951,13.41,167.4044,146.2785,36.6334,12.1449,9.3072,22.5389,59.5754,18.8966,,9.4627,1.8295,5.4867,5.2752,2.0339,1.6525,1.7766,1.9194,1.3892,2.4593,,3.7202,0.4918,32.473,2.0739,4.5198,0.255,0.0846,0.423,0.1962,5.3177,
2014/1/14,2.9197,2.1858,1.7924,2.5729,1.9928,2.069,6.8021,4.9327,3.5491,4.6586,,0.6713,0.3906,0.8782,0.4962,0.2065,0.6241,1.0507,0.5288,1.0334,2.232,,1516831842,1537863327,3134900000,1516831842,1970500000,2316400450,3336322548,4086529942,3538662400,2501760000,,270.0563,13.7031,170.4049,149.9925,37.3634,12.3962,9.9403,23.6507,61.6897,19.7769,,9.739,1.8695,5.585,5.4092,2.0745,1.6867,1.8974,2.0141,1.4385,2.5739,,3.8288,0.5025,33.0551,2.1266,4.6099,0.2603,0.0904,0.4439,0.2032,5.5654,
2014/1/15,1.6548,1.0695,2.9347,0,0.1776,0,-0.579,-0.8547,-1.0081,0.4605,,0.6712,0.4121,1.5919,0.3386,0.2081,0.4492,0.4441,0.2606,0.7446,0.9911,,1541933078,1554311063,3226900000,1541933078,1974000000,2316400450,3317005544,4051602335,3502990400,2513280000,,274.5253,13.8496,175.4058,150.1795,37.4298,12.3962,9.8827,23.4486,61.0679,19.868,,9.9002,1.8895,5.7489,5.4159,2.0782,1.6867,1.8864,1.9969,1.424,2.5857,,3.8921,0.5079,34.0252,2.1292,4.6181,0.2603,0.0899,0.4401,0.2012,5.5911,
2014/1/16,-2.4419,0,-0.2138,-0.3344,1.0638,0,2.7454,0,0.611,0.8403,,0.5377,0.3449,1.149,0.3137,0.2425,0.4405,0.91,0.1282,0.6923,1.7687,,1504281224,1554311063,3220000000,1504281224,1995000000,2316400450,3408071420,4051602335,3524393600,2534400000,,267.8217,13.8496,175.0308,149.8219,37.828,12.3962,10.1541,23.4486,61.441,20.0349,,9.6584,1.8895,5.7366,5.403,2.1003,1.6867,1.9382,1.9969,1.4327,2.6075,,3.7971,0.5079,33.9524,2.1241,4.6672,0.2603,0.0924,0.4401,0.2024,5.638,
2014/1/17,-1.3111,-1.0582,-1.4286,-1.3423,-1.4035,-2.027,0.9717,-1.7241,-2.2267,-0.7576,,0.5528,0.2773,0.9219,0.0678,0.165,0.4514,0.7027,0.1683,0.5989,1.4231,,1484558824,1537863327,3174000000,1484558824,1967000000,2269446387,3441186284,3981747123,3445915200,2515200000,,264.3104,13.7031,172.5303,147.7489,37.297,12.1449,10.2527,23.0443,60.0729,19.8831,,9.5318,1.8695,5.6547,5.3283,2.0708,1.6525,1.9571,1.9625,1.4008,2.5877,,3.7473,0.5025,33.4674,2.0947,4.6017,0.255,0.0932,0.4325,0.1979,5.5953,
