ÈÕÆÚ,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH,000532.SZ,000636.SZ,000701.SZ,000733.SZ,000823.SZ,002134.SZ,002138.SZ,002199.SZ,002222.SZ,002288.SZ,002384.SZ,002436.SZ,002463.SZ,002484.SZ,002579.SZ,002618.SZ,002636.SZ,002815.SZ,002913.SZ,002916.SZ,002938.SZ,300408.SZ,300460.SZ,300476.SZ,300657.SZ,300726.SZ,300739.SZ,600183.SH,600237.SH,600563.SH,600601.SH,603186.SH,603228.SH,603267.SH,603328.SH,603386.SH,603678.SH,603738.SH,603920.SH,603936.SH,603989.SH
2014/1/2,-1.7756,-0.8961,2.0743,-0.2273,0.9732,-0.7508,1.8561,3.4091,2.2107,1.1827,-0.5268,2.439,-2.71,3.3152,0,0.7029,8.9806,,,,,,,,,,,0.2024,1.5385,6.2087,-0.3597,,,,,,,,,,,0.5604,0.6636,2.4697,0.8691,1.1206,0.4494,2.0062,13.0491,1.2001,3.0247,0.4555,0.8392,2.5671,1.0259,,2.6622,23.3049,,,,,,,,,,,0.3224,0.827,2.1688,0.341,,,,,,,,,,,4737756875,3710277805,2837292718,3144293600,3654845995,1625066966,5510430041,1616025276,2160596462,1993623632,4696039384,2896557111,5004999706,4343040000,721354624,2431829000,800079044.8,,,,,,,,,,,6932511972,2112000000,5427000000,6079848635,,,,,,,,,,,90.2893,42.2381,11.7053,31.6022,27.4002,-33.6652,38.2093,75.6469,57.0937,82.8891,297.9852,36.8803,27.8264,33.6216,139.6824,129.7971,83.6308,,,,,,,,,,,12.6269,234.225,18.961,86.3794,,,,,,,,,,,6.999,1.6392,2.7609,1.4109,1.8761,2.8972,4.1781,4.1694,3.5631,2.6455,5.9626,2.601,1.4816,2.9756,2.7153,4.507,1.8742,,,,,,,,,,,1.5955,1.9782,3.362,1.4027,,,,,,,,,,,21.7917,1.6634,0.1106,1.0577,1.0314,3.1546,5.6493,9.8745,12.5821,3.2787,3.0187,3.2459,1.6599,3.9166,3.7003,23.7253,1.0591,,,,,,,,,,,1.0721,4.6002,4.0904,1.1617,,,,,,,,,,
2014/1/3,-0.94,1.085,-0.7621,-1.2528,0,-1.9667,0.3986,6.4364,1.0178,1.4286,3.1295,1.3228,-2.2284,-0.8621,0,-0.2685,-1.4477,,,,,,,,,,,-1.2121,7.5758,-1.4925,-1.8051,,,,,,,,,,,0.5627,0.7131,1.9144,0.9017,1.4678,0.6481,1.6055,34.3091,2.2024,3.198,0.8262,0.9056,0.9696,0.8181,,2.6667,13.6467,,,,,,,,,,,0.3342,4.0628,1.129,0.4242,,,,,,,,,,,4693222645,3750533984,2815670673,3104900400,3654845995,1593106497,5532396448,1720039462,2182587265,2022103970,4843002581,2934871359,4893467679,4305600000,721354624,2425300600,788496608.7,,,,,,,,,,,6848481523,2272000000,5346000000,5970104075,,,,,,,,,,,89.4406,42.6964,11.6161,31.2063,27.4002,-33.0031,38.3616,80.5158,57.6748,84.0733,307.3107,37.3682,27.2063,33.3317,139.6824,129.4487,82.4202,,,,,,,,,,,12.4739,251.9694,18.678,84.8202,,,,,,,,,,,6.9332,1.657,2.7398,1.3932,1.8761,2.8402,4.1948,4.4378,3.5994,2.6833,6.1492,2.6354,1.4486,2.95,2.7153,4.4949,1.8471,,,,,,,,,,,1.5762,2.128,3.3118,1.3774,,,,,,,,,,,21.5869,1.6814,0.1098,1.0445,1.0314,3.0926,5.6718,10.5101,12.7102,3.3256,3.1132,3.2888,1.6229,3.8828,3.7003,23.6616,1.0437,,,,,,,,,,,1.0591,4.9487,4.0294,1.1407,,,,,,,,,,
2014/1/6,-4.2336,-3.5778,-4.6075,-5.075,-2.5301,-2.7778,-1.8151,-6.4897,0.5038,-3.8412,-1.0271,-0.1567,-3.1339,-4.4444,0,-3.0956,-8.7006,,,,,,,,,,,-2.6585,-4.4014,-2.399,-3.6765,,,,,,,,,,,0.5242,0.5383,1.8844,0.9103,1.0119,0.5104,0.9061,17.8636,3.594,2.361,0.9476,0.7691,0.6376,1.0582,,1.9557,11.6026,,,,,,,,,,,0.2575,2.3777,0.6639,0.4284,,,,,,,,,,,4497485567,3616346722,2685938407,2947327600,3562373988,1548853538,5431978588,1608414482,2193582667,1944430322,4793261191,2930273649,4740111142,4114240000,721354624,2350224000,719892949,,,,,,,,,,,6666415552,2172000000,5217750000,5750614954,,,,,,,,,,,85.6541,41.1688,11.0809,29.6225,26.7069,-32.0863,37.6653,75.2906,57.9654,80.8438,304.1544,37.3096,26.3537,31.8503,139.6824,125.4415,75.2491,,,,,,,,,,,12.1423,240.8792,18.23,81.7018,,,,,,,,,,,6.6397,1.5977,2.6136,1.3225,1.8287,2.7613,4.1186,4.1498,3.6175,2.5802,6.086,2.6313,1.4032,2.8189,2.7153,4.3558,1.6864,,,,,,,,,,,1.5343,2.0344,3.2324,1.3267,,,,,,,,,,,20.673,1.6212,0.1047,0.9915,1.0053,3.0066,5.5688,9.828,12.7742,3.1978,3.0812,3.2837,1.5721,3.7103,3.7003,22.9292,0.9529,,,,,,,,,,,1.0309,4.7309,3.9327,1.0987,,,,,,,,,,
2014/1/7,0,0.3711,0.6261,-1.4581,1.9778,0.7937,1.3865,-0.5521,0.6266,4.1278,1.1321,-0.9937,0.2941,1.365,0,-0.4167,-0.2475,,,,,,,,,,,2.1008,-1.2891,0.345,0,,,,,,,,,,,0.4001,0.3288,1.3142,0.9335,1.0125,0.4081,1.2572,9.9078,1.8668,3.7981,0.7672,0.4434,0.3936,0.9589,,1.6538,6.5826,,,,,,,,,,,0.2801,1.315,0.8083,0.3444,,,,,,,,,,,4497485567,3629765448,2702755553,2904353200,3632828851,1561146027,5507291983,1599535222,2207326919,2024693091,4847524525,2901154821,4754052646,4170400000,721354624,2340431400,718111035.7,,,,,,,,,,,6806466299,2144000000,5235750000,5750614954,,,,,,,,,,,85.6541,41.3216,11.1503,29.1906,27.2351,-32.341,38.1875,74.875,58.3286,84.1809,307.5976,36.9389,26.4312,32.2851,139.6824,124.9188,75.0629,,,,,,,,,,,12.3974,237.7739,18.2929,81.7018,,,,,,,,,,,6.6397,1.6036,2.6299,1.3032,1.8648,2.7832,4.1757,4.1269,3.6402,2.6867,6.1549,2.6051,1.4073,2.8573,2.7153,4.3377,1.6822,,,,,,,,,,,1.5665,2.0081,3.2435,1.3267,,,,,,,,,,,20.673,1.6273,0.1054,0.977,1.0252,3.0305,5.646,9.7737,12.8543,3.3298,3.1161,3.2511,1.5767,3.7609,3.7003,22.8336,0.9506,,,,,,,,,,,1.0526,4.6699,3.9463,1.0987,,,,,,,,,,
2014/1/8,-1.8293,-0.9242,-1.6,0.2466,2.6667,1.4173,0,4.0444,0.2491,2.8133,6.7164,0.8452,0.2933,3.2918,0,1.5342,0.9926,,,,,,,,,,,-1.4403,2.4254,-1.2462,1.145,,,,,,,,,,,0.4373,0.3748,1.7883,0.7439,2.68,0.4175,1.7081,16.8515,1.7828,4.8504,2.7666,1.1199,0.5473,0.8736,,2.4213,5.9934,,,,,,,,,,,0.3011,1.6201,1.3423,0.3965,,,,,,,,,,,4415214489,3596218632,2659511464,2911515600,3729704287,1583272506,5507291983,1664226972,2212824620,2081653766,5173104531,2925675939,4767994149,4307680000,721354624,2376337600,725238688.7,,,,,,,,,,,6708430777,2196000000,5170500000,5816461691,,,,,,,,,,,84.0872,40.9397,10.9718,29.2626,27.9614,-32.7993,38.1875,77.9032,58.4738,86.5492,328.2571,37.2511,26.5087,33.3478,139.6824,126.8353,75.8079,,,,,,,,,,,12.2188,243.5408,18.0649,82.6373,,,,,,,,,,,6.5182,1.5888,2.5879,1.3064,1.9145,2.8227,4.1757,4.2938,3.6493,2.7623,6.5683,2.6271,1.4114,2.9514,2.7153,4.4042,1.6989,,,,,,,,,,,1.544,2.0568,3.2031,1.3419,,,,,,,,,,,20.2948,1.6122,0.1037,0.9794,1.0525,3.0735,5.646,10.169,12.8863,3.4235,3.3254,3.2785,1.5813,3.8847,3.7003,23.1839,0.96,,,,,,,,,,,1.0374,4.7832,3.8971,1.1113,,,,,,,,,,
2014/1/9,0.5435,-1.8657,-1.626,-2.337,-3.3058,-2.4845,-1.1396,1.1433,-4.2236,-3.3582,-0.3497,-4.2431,-1.1696,-3.4766,0,-1.7582,-4.0541,,,,,,,,,,,0.8351,-2.1858,-2.0453,-0.7547,,,,,,,,,,,0.4127,0.4507,1.4083,0.8653,2.2264,0.2733,1.3092,19.1372,1.717,2.9395,1.0577,0.5878,0.4471,1.112,,2.4954,4.9001,,,,,,,,,,,0.2499,0.8977,1.2935,0.4161,,,,,,,,,,,4439210220,3529125001,2616267375,2843472800,3606408277,1543936543,5444530821,1683253957,2119363705,2011747483,5155016753,2801537777,4712228136,4157920000,721354624,2334555840,695837120.2,,,,,,,,,,,6764451075,2148000000,5064750000,5772563867,,,,,,,,,,,84.5442,40.1759,10.7934,28.5787,27.0371,-31.9844,37.7523,78.7939,56.0041,83.6427,327.1094,35.6705,26.1987,32.1885,139.6824,124.6052,72.7346,,,,,,,,,,,12.3208,238.2175,17.6954,82.0136,,,,,,,,,,,6.5537,1.5592,2.5458,1.2759,1.8513,2.7525,4.1281,4.3429,3.4951,2.6695,6.5453,2.5157,1.3949,2.8488,2.7153,4.3268,1.63,,,,,,,,,,,1.5569,2.0119,3.1376,1.3318,,,,,,,,,,,20.4051,1.5821,0.102,0.9565,1.0178,2.9971,5.5817,10.2853,12.342,3.3085,3.3138,3.1394,1.5628,3.7497,3.7003,22.7763,0.9211,,,,,,,,,,,1.0461,4.6786,3.8174,1.1029,,,,,,,,,,
2014/1/10,-5.4054,2.0913,-2.5712,-1.7632,-0.7326,-2.2293,-3.17,-5.4258,-4.2802,-1.8018,1.6667,-5.5799,-2.6627,-4.3522,0,-3.0761,-2.9449,,,,,,,,,,,-2.0704,-3.5382,-3.0209,-1.9011,,,,,,,,,,,0.5065,0.4381,1.4749,0.8316,1.2402,0.4734,0.9628,11.8317,1.5367,2.0991,1.1392,1.0535,0.4979,0.884,,1.8905,4.4697,,,,,,,,,,,0.4219,0.8794,1.515,0.3591,,,,,,,,,,,4199252911,3602927995,2548998792,2793336000,3579987704,1509517576,5271937625,1591924428,2028651639,1975499781,5240933699,2645215647,4586754605,3976960000,721354624,2262743440,675345118,,,,,,,,,,,6624400328,2072000000,4911750000,5662819306,,,,,,,,,,,79.9743,41.0161,10.5159,28.0748,26.839,-31.2714,36.5556,74.5187,53.6071,82.1356,332.5612,33.6801,25.5011,30.7876,139.6824,120.7723,70.5926,,,,,,,,,,,12.0657,229.789,17.1608,80.4545,,,,,,,,,,,6.1994,1.5918,2.4803,1.2534,1.8377,2.6912,3.9973,4.1072,3.3455,2.6214,6.6544,2.3753,1.3578,2.7248,2.7153,4.1937,1.582,,,,,,,,,,,1.5246,1.9407,3.0428,1.3065,,,,,,,,,,,19.3021,1.6152,0.0994,0.9396,1.0103,2.9303,5.4048,9.7272,11.8137,3.2489,3.369,2.9642,1.5212,3.5865,3.7003,22.0757,0.894,,,,,,,,,,,1.0244,4.5131,3.7021,1.082,,,,,,,,,,
2014/1/13,-0.8163,-1.3035,-0.6598,-2.0513,0.615,-2.6059,1.6667,-3.0279,-0.542,1.4417,0,3.9977,-0.304,1.7782,0,-1.0387,1.0554,,,,,,,,,,,-1.0571,-0.1931,-0.3665,-1.1628,,,,,,,,,,,0.4179,0.3278,1.3401,0.9404,0.919,0.5754,1.032,9.074,0.7723,1.7411,,2.0875,0.2938,0.4555,,1.3418,2.2757,,,,,,,,,,,0.2192,0.5914,0.8071,0.3332,,,,,,,,,,,4164973295,3555962454,2532181647,2736036800,3602004848,1470181613,5359803252,1543722733,2017656238,2003980118,5240933699,2750962971,4572813102,4047680000,721354624,2239241200,682472770.9,,,,,,,,,,,6554374955,2068000000,4893750000,5596972570,,,,,,,,,,,79.3214,40.4814,10.4465,27.4989,27.004,-30.4565,37.1648,72.2624,53.3165,83.3197,332.5612,35.0266,25.4236,31.335,139.6824,119.5179,71.3377,,,,,,,,,,,11.9382,229.3454,17.098,79.5189,,,,,,,,,,,6.1488,1.571,2.464,1.2277,1.849,2.621,4.0639,3.9829,3.3274,2.6592,6.6544,2.4702,1.3536,2.7733,2.7153,4.1501,1.5987,,,,,,,,,,,1.5085,1.937,3.0317,1.2913,,,,,,,,,,,19.1445,1.5942,0.0987,0.9204,1.0165,2.8539,5.4948,9.4327,11.7497,3.2958,3.369,3.0827,1.5166,3.6503,3.7003,21.8464,0.9034,,,,,,,,,,,1.0136,4.5044,3.6885,1.0694,,,,,,,,,,
2014/1/14,0.9053,1.5094,3.8899,2.0942,3.3007,2.3411,2.2834,6.327,6.4033,5.168,-2.459,0.2786,2.1341,5.9609,0,2.6239,2.4804,,,,,,,,,,,-0.2137,2.3211,3.5862,2.7451,,,,,,,,,,,0.2831,0.4375,1.4876,1.4012,1.3562,0.3719,1.3777,11.2335,1.6956,5.1543,1.105,0.9471,0.3657,0.9315,,1.1126,3.092,,,,,,,,,,,0.4401,0.5385,1.0843,0.3801,,,,,,,,,,,4202680873,3609637359,2630682071,2793336000,3720897429,1504600580,5482187518,1641394590,2146852209,2107544982,5112058280,2758625820,4670403626,4288960000,721354624,2297996800,699400946.7,,,,,,,,,,,6540369880,2116000000,5069250000,5750614954,,,,,,,,,,,80.0395,41.0924,10.8529,28.0748,27.8954,-31.1696,38.0135,76.8344,56.7305,87.6256,324.3835,35.1241,25.9661,33.2029,139.6824,122.6539,73.1071,,,,,,,,,,,11.9127,234.6687,17.7111,81.7018,,,,,,,,,,,6.2045,1.5947,2.5598,1.2534,1.91,2.6824,4.1567,4.2349,3.5405,2.7966,6.4908,2.4771,1.3825,2.9386,2.7153,4.259,1.6384,,,,,,,,,,,1.5053,1.9819,3.1404,1.3267,,,,,,,,,,,19.3179,1.6182,0.1026,0.9396,1.0501,2.9207,5.6203,10.0295,12.5021,3.4661,3.2861,3.0913,1.5489,3.8678,3.7003,22.4196,0.9258,,,,,,,,,,,1.0115,4.6089,3.8208,1.0987,,,,,,,,,,
2014/1/15,0.6525,0.1859,0.0913,1.4103,-0.4734,-0.817,1.0303,0.6182,2.4328,0.3686,0.0442,1.2222,0.8955,1.6489,0,1.9602,1.2739,,,,,,,,,,,0.8565,0.189,1.5979,0.3817,,,,,,,,,,,0.3343,0.3033,1.5825,1.2813,1.1516,0.3173,1.9664,12.8043,2.7684,4.0575,0.7371,0.6701,0.335,1.0554,,1.6193,2.6352,,,,,,,,,,,0.2702,0.5905,0.9134,0.34,,,,,,,,,,,4230104565,3616346722,2633084520,2832729200,3703283713,1492308092,5538672564,1651542315,2199080368,2115312347,5114319252,2792342358,4712228136,4359680000,721354624,2343042760,708310512.9,,,,,,,,,,,6596390179,2120000000,5150250000,5772563867,,,,,,,,,,,80.5618,41.1688,10.8628,28.4708,27.7633,-30.9149,38.4051,77.3095,58.1106,87.9486,324.527,35.5534,26.1987,33.7504,139.6824,125.0582,74.0384,,,,,,,,,,,12.0147,235.1123,17.9941,82.0136,,,,,,,,,,,6.245,1.5977,2.5621,1.2711,1.901,2.6605,4.1995,4.2611,3.6266,2.807,6.4937,2.5074,1.3949,2.987,2.7153,4.3425,1.6592,,,,,,,,,,,1.5182,1.9857,3.1906,1.3318,,,,,,,,,,,19.4439,1.6212,0.1027,0.9529,1.0451,2.8969,5.6782,10.0915,12.8062,3.4789,3.2876,3.1291,1.5628,3.9316,3.7003,22.8591,0.9376,,,,,,,,,,,1.0201,4.6176,3.8818,1.1029,,,,,,,,,,
