ÈÕÆÚ,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH,000062.SZ,000988.SZ,002008.SZ,002141.SZ,002161.SZ,002214.SZ,002388.SZ,002414.SZ,002724.SZ,002729.SZ,002869.SZ,300014.SZ,300078.SZ,300184.SZ,300220.SZ,300340.SZ,300390.SZ,300438.SZ,300516.SZ,300656.SZ,300736.SZ,300747.SZ,600071.SH,600074.SH,600110.SH,600152.SH,600288.SH,600353.SH,600751.SH,600884.SH,603595.SH,603659.SH,688020.SH,900938.SH
2014/1/2,0.3376,2.1771,5.3373,-1.1189,1.2048,-2.37,0.4499,1.0088,,,,-1.1429,3.0864,3.4618,0,1.9685,,,,,,,0.5059,0,-0.6568,0,0.1368,0.8996,-1.4516,0,,,,-0.2933,0.851,3.4181,6.104,0.7387,3.1689,1.6072,1.4129,1.1509,,,,1.044,2.7387,4.0169,,5.6639,,,,,,,1.3009,,0.8041,0.503,0.8357,1.2534,3.8549,0.6384,,,,0.1965,7929943911,6273461089,13540803681,1285948160,4852918955,2133895848,1627492500,9833180222,,,,5335539295,1846581625,870236926,502245541.5,989307246.9,,,,,,,1415335838,2737536912,6959388187,1326593784,3197376000,1737997384,1451837237,5061773603,,,,1451837237,19.247,118.7655,27.2465,151.6145,159.1371,87.5693,179.8996,224.6509,,,,42.88,45.6451,76.9053,228.8766,450.4149,,,,,,,-50.1355,11.504,1259.0661,41.5946,86.221,21.0986,-41.8774,27.5412,,,,-14.2127,4.061,2.3617,4.1779,4.055,4.396,6.1626,3.2117,5.8066,,,,7.7605,3.3667,3.0303,5.6341,1.6902,,,,,,,2.3861,29.1808,3.4967,1.6529,2.2718,1.9016,130.2885,1.5735,,,,44.2183,3.8202,3.5296,3.4498,1.2852,11.4835,11.3444,4.2504,38.7846,,,,6.6333,9.2154,3.904,10.2469,4.093,,,,,,,2.0283,1.9533,3.5273,0.5713,0.901,4.1245,16.2625,1.2505,,,,5.5193
2014/1/3,3.8688,-1.9886,0.7741,0.4243,-1.9048,-2.4949,0.224,-0.9987,,,,3.6994,0.2994,1.0646,0,-1.8662,,,,,,,0.6711,0,-1.157,-1.3274,0.8197,-1.9316,-3.1097,-3.8961,,,,-1.7647,2.2277,3.6162,6.3064,1.0198,2.6931,1.1671,1.3514,1.1101,,,,1.6073,2.1124,4.5387,,4.7249,,,,,,,0.6533,,0.8202,0.7745,1.2494,1.1817,3.8055,1.38,,,,0.3631,8236737368,6148704761,13645623414,1291404800,4760482403,2080656370,1631137500,9734976511,,,,5532923407,1852110313,879501805.8,502245541.5,970845271.3,,,,,,,1424834736,2737536912,6878866340,1308984132,3223584000,1704425369,1406690088,4864561644,,,,1406690088,19.9916,116.4037,27.4574,152.2578,156.1059,85.3845,180.3025,222.4073,,,,44.4663,45.7818,77.7241,228.8766,442.0095,,,,,,,-50.4719,11.504,1244.4984,41.0425,86.9277,20.691,-40.5752,26.4682,,,,-13.9731,4.2181,2.3147,4.2102,4.0722,4.3122,6.0089,3.2189,5.7486,,,,8.0476,3.3767,3.0626,5.6341,1.6586,,,,,,,2.4021,29.1808,3.4562,1.631,2.2904,1.8649,126.237,1.5122,,,,43.4729,3.968,3.4594,3.4766,1.2907,11.2648,11.0613,4.26,38.3973,,,,6.8787,9.2429,3.9456,10.2469,4.0166,,,,,,,2.0419,1.9533,3.4865,0.5637,0.9084,4.0449,15.7567,1.2017,,,,5.4262
2014/1/6,-3.4008,-3.7681,-1.3268,-2.6761,-5.7039,-3.0429,1.1173,0.4386,,,,-4.3757,-4.9467,-3.988,0,0.5902,,,,,,,-3.6667,0,-5.0167,-3.5874,-5.2846,-4.8485,-6.9257,-4.1385,,,,-3.8922,1.0934,2.2739,4.4619,1.269,2.3455,1.6117,2.8283,1.0483,,,,1.0872,1.5246,2.8751,,7.848,,,,,,,0.6148,,1.2344,0.6342,1.5216,1.3295,4.931,0.9745,,,,0.5218,7956621603,5917014436,13464571148,1256846080,4488950033,2017344558,1649362500,9777673777,,,,5290819457,1760492063,844427617.9,502245541.5,976574849.9,,,,,,,1372590796,2741702729,6533772711,1262025060,3053232000,1621786563,1309267295,4663241103,,,,1309267295,19.3117,112.0175,27.0931,148.1833,147.2018,82.7864,182.3171,223.3827,,,,42.5206,43.5171,74.6245,228.8766,444.6181,,,,,,,-48.6213,11.5215,1182.0654,39.5701,82.3339,19.6878,-37.7651,25.3728,,,,-13.4336,4.0747,2.2275,4.1544,3.9633,4.0663,5.826,3.2549,5.7738,,,,7.6955,3.2097,2.9404,5.6341,1.6684,,,,,,,2.314,29.2252,3.2829,1.5725,2.1694,1.7745,117.4942,1.4496,,,,41.7945,3.833,3.3291,3.4304,1.2561,10.6223,10.7248,4.3076,38.5657,,,,6.5777,8.7857,3.7882,10.2469,4.0403,,,,,,,1.9671,1.9563,3.3116,0.5435,0.8604,3.8487,14.6655,1.152,,,,5.2167
2014/1/7,-0.3353,1.3554,1.557,0.8683,0.7722,-0.8559,4.9724,0.8734,,,,4.0222,1.3908,1.8809,0,2.6728,,,,,,,3.2872,0,0.5282,0.6977,0.7153,0.9554,3.4483,0.6167,,,,1.2461,0.6027,1.1588,3.5619,0.3711,1.1527,1.0097,4.0268,0.8392,,,,0.9442,1.1425,4.0681,,6.8822,,,,,,,0.666,,0.6011,0.7421,0.485,0.946,4.5517,0.565,,,,0.4402,7929943911,5997214933,13674210614,1267759360,4523613740,2000077700,1731375000,9863068307,,,,5503624203,1784976250,860310269,502245541.5,1002676264,,,,,,,1417710562,2741702729,6568282074,1270829886,3075072000,1637281339,1354414443,4692001181,,,,1354414443,19.247,113.5358,27.5149,149.47,148.3385,82.0778,191.3826,225.3337,,,,44.2308,44.1223,76.0281,228.8766,456.5016,,,,,,,-50.2196,11.5215,1188.3087,39.8462,82.9229,19.8759,-39.0673,25.5293,,,,-13.5972,4.061,2.2577,4.219,3.9977,4.0977,5.7762,3.4167,5.8242,,,,8.005,3.2543,2.9957,5.6341,1.713,,,,,,,2.3901,29.2252,3.3002,1.5835,2.1849,1.7914,121.5457,1.4585,,,,42.3036,3.8202,3.3742,3.4838,1.267,10.7043,10.633,4.5218,38.9025,,,,6.8423,8.9079,3.8595,10.2469,4.1483,,,,,,,2.0317,1.9563,3.3291,0.5473,0.8665,3.8855,15.1712,1.1591,,,,5.2803
2014/1/8,4.4575,-1.3373,-1.6725,2.0086,0.3831,0.7194,-4.6316,4.1126,,,,9.9748,6.1062,2.8462,0,2.6032,,,,,,,-0.67,0,-1.9264,-0.6928,-1.4205,-0.6309,-1.7544,0.3503,,,,-0.9231,1.7391,1.5083,3.0798,1.2729,1.2396,1.1992,3.9717,2.6164,,,,3.5549,3.4303,3.3336,,11.3992,,,,,,,0.6758,,0.6323,0.5944,0.8773,1.3283,3.0202,0.5515,,,,0.2337,8283423329,5917014436,13445513015,1293223680,4540945593,2014466748,1651185000,10268692329,,,,6052598767,1893970375,884796022.8,502245541.5,1028777678,,,,,,,1408211664,2741702729,6441747743,1262025060,3031392000,1626951488,1330652786,4708435511,,,,1330652786,20.1049,112.0175,27.0547,152.4723,148.9069,82.6683,182.5186,234.6007,,,,48.6428,46.8165,78.192,228.8766,468.3851,,,,,,,-49.8831,11.5215,1165.4166,39.5701,81.745,19.7505,-38.3819,25.6187,,,,-13.4799,4.242,2.2275,4.1485,4.078,4.1134,5.8177,3.2585,6.0638,,,,8.8035,3.4531,3.081,5.6341,1.7576,,,,,,,2.3741,29.2252,3.2366,1.5725,2.1539,1.7801,119.4133,1.4636,,,,41.9385,3.9905,3.3291,3.4256,1.2925,10.7453,10.7095,4.3123,40.5024,,,,7.5248,9.4518,3.9693,10.2469,4.2563,,,,,,,2.0181,1.9563,3.265,0.5435,0.8542,3.861,14.905,1.1632,,,,5.2347
2014/1/9,-1.6908,-4.8193,-3.9688,0,-2.6718,1.2143,-7.5055,3.9085,,,,-1.8854,-4.2118,-4.8616,0,-6.25,,,,,,,-2.8668,0,-3.0357,-2.5581,0.5764,-3.6508,1.4286,-2.9668,,,,0.6211,2.1242,1.9416,3.4026,0.8088,1.4833,1.37,3.3233,4.3424,,,,2.9871,2.7436,4.0869,,8.4036,,,,,,,0.727,,0.9185,0.8897,1.2987,1.674,4.0111,0.5857,,,,0.2924,8143365446,5631857114,12911885284,1293223680,4419622620,2038928130,1527255000,10670046623,,,,5938486076,1814199313,841780509.4,502245541.5,964479072.8,,,,,,,1367841347,2741702729,6246194687,1229740698,3048864000,1567554847,1349662112,4568743707,,,,1349662112,19.765,106.619,25.981,152.4723,144.9285,83.6721,168.8196,243.7701,,,,47.7257,44.8447,74.3906,228.8766,439.1111,,,,,,,-48.4531,11.5215,1130.0379,38.5578,82.2162,19.0295,-38.9302,24.8586,,,,-13.5703,4.1703,2.1202,3.9838,4.078,4.0035,5.8884,3.0139,6.3008,,,,8.6375,3.3076,2.9312,5.6341,1.6477,,,,,,,2.306,29.2252,3.1384,1.5323,2.1663,1.7151,121.1192,1.4202,,,,42.2197,3.923,3.1686,3.2896,1.2925,10.4582,10.8395,3.9887,42.0854,,,,7.3829,9.0538,3.7763,10.2469,3.9903,,,,,,,1.9603,1.9563,3.1659,0.5296,0.8592,3.72,15.118,1.1287,,,,5.2698
2014/1/10,-0.819,-2.5316,-3.3948,3.6568,-4.4444,-5.2929,0,0.04,,,,0.2337,-1.8285,-3.2233,0,-2.6403,,,,,,,0.8681,0,-8.2873,-3.1026,-2.149,-2.9654,-1.2324,1.0791,,,,-0.6173,1.1389,1.658,3.118,2.2327,2.0063,1.49,,1.8971,,,,1.8667,1.8633,2.3357,,5.0661,,,,,,,0.5184,,3.2441,0.6896,1.0211,1.3961,4.2839,0.5132,,,,0.3452,8076671217,5489278453,12473548219,1340514560,4223194948,1931010268,1527255000,10674316350,,,,5952364647,1781027188,814647647,502245541.5,939014278.8,,,,,,,1379714969,2741702729,5728554243,1191586452,2983344000,1521070519,1333028952,4618046696,,,,1333028952,19.6031,103.9198,25.099,158.0479,138.4872,79.2434,168.8196,243.8676,,,,47.8372,44.0247,71.9928,228.8766,427.5174,,,,,,,-48.8737,11.5215,1036.3883,37.3615,80.4493,18.4652,-38.4505,25.1269,,,,-13.4642,4.1361,2.0665,3.8486,4.2271,3.8255,5.5767,3.0139,6.3033,,,,8.6577,3.2471,2.8367,5.6341,1.6042,,,,,,,2.326,29.2252,2.8783,1.4847,2.1197,1.6643,119.6266,1.4355,,,,41.8897,3.8908,3.0884,3.1779,1.3397,9.9934,10.2658,3.9887,42.1023,,,,7.4002,8.8882,3.6546,10.2469,3.8849,,,,,,,1.9773,1.9563,2.9035,0.5132,0.8407,3.6097,14.9316,1.1408,,,,5.2286
2014/1/13,-9.9917,0.487,0.2292,-4.4776,-3.42,-1.9374,0,-0.04,,,,4.7409,-2.439,-1.0561,0,8.1356,,,,,,,-2.4096,0,-0.2008,-0.9852,-3.0747,0.6791,-3.2086,0.089,,,,-2.4845,1.6892,0.8836,3.1059,2.4157,1.6376,1.8946,,1.1526,,,,2.1155,1.6865,1.6782,,9.846,,,,,,,0.3181,,1.4548,0.5291,0.9659,0.6702,3.4727,0.3536,,,,0.4469,7269671037,5516011952,12502135419,1280491520,4078762836,1893598743,1527255000,10670046623,,,,6238341035,1737587500,806044544.3,502245541.5,1015408661,,,,,,,1346468826,2741702729,5717051122,1179846684,2891616000,1531400369,1290257970,4622155279,,,,1290257970,17.6444,104.4259,25.1565,150.9711,133.751,77.7082,168.8196,243.7701,,,,50.0712,42.9509,71.2325,228.8766,462.2985,,,,,,,-47.696,11.5215,1034.3072,36.9934,77.9758,18.5906,-37.2168,25.1492,,,,-13.1172,3.7229,2.0765,3.8574,4.0378,3.6947,5.4686,3.0139,6.3008,,,,9.062,3.1679,2.8068,5.6341,1.7347,,,,,,,2.27,29.2252,2.8725,1.4701,2.0546,1.6756,115.7883,1.4368,,,,40.8101,3.5021,3.1035,3.1852,1.2797,9.6516,10.0669,3.9887,42.0854,,,,7.7458,8.6714,3.616,10.2469,4.201,,,,,,,1.9296,1.9563,2.8977,0.5081,0.8148,3.6342,14.4526,1.1419,,,,5.0939
2014/1/14,-0.9174,2.9079,6.936,0.142,5.0992,1.8237,0,-1.0404,,,,0.2968,4.2273,10.0164,0,1.3166,,,,,,,1.5873,0,1.2072,1.4925,1.6616,3.0354,1.8416,1.4222,,,,1.2739,1.865,1.1388,3.3399,1.5408,1.8179,1.0779,,1.5572,,,,0.9725,1.8672,10.3525,,8.2858,,,,,,,0.1486,,0.6709,0.692,0.6108,0.9722,4.471,0.4615,,,,0.2509,7202976808,5676412946,13369280482,1282310400,4286745077,1928132459,1527255000,10559033733,,,,6256857012,1811040063,886781354.2,502245541.5,1028777678,,,,,,,1367841347,2741702729,5786069848,1197456336,2939664000,1577884697,1314019627,4687892598,,,,1314019627,17.4825,107.4625,26.9013,151.1856,140.5711,79.1253,168.8196,241.2339,,,,50.2198,44.7666,78.3674,228.8766,468.3851,,,,,,,-48.4531,11.5215,1046.7938,37.5456,79.2715,19.1549,-37.9021,25.5069,,,,-13.28,3.6887,2.1369,4.125,4.0436,3.8831,5.5684,3.0139,6.2352,,,,9.0889,3.3019,3.0879,5.6341,1.7576,,,,,,,2.306,29.2252,2.9072,1.492,2.0887,1.7264,117.9207,1.4572,,,,41.3165,3.47,3.1937,3.4062,1.2816,10.1438,10.2505,3.9887,41.6476,,,,7.7687,9.038,3.9782,10.2469,4.2563,,,,,,,1.9603,1.9563,2.9326,0.5157,0.8284,3.7446,14.7187,1.1581,,,,5.1571
2014/1/15,5.0926,1.0989,5.2744,-0.9929,-0.6739,2.2388,0,-4.2054,,,,-0.148,1.3956,9.6269,0,1.052,,,,,,,1.3889,0,-0.5964,0.2451,0.5944,0.491,-2.3508,4.5574,,,,-0.6289,1.4434,1.9201,5.641,0.7066,2.0816,0.9554,,3.4618,,,,1.0927,2.4386,15.8528,,10.3575,,,,,,,0.5048,,0.7289,0.5751,0.8674,0.8185,2.9038,1.8541,,,,0.2091,7569795071,5738791110,14074431413,1269578240,4257858654,1971299603,1527255000,10114982173,,,,6247599023,1836314063,972150604,502245541.5,1039600215,,,,,,,1386839143,2741702729,5751560485,1200391278,2957136000,1585632086,1283129473,4901538887,,,,1283129473,18.3729,108.6435,28.3202,149.6845,139.6239,80.8968,168.8196,231.089,,,,50.1455,45.3913,85.9117,228.8766,473.3125,,,,,,,-49.126,11.5215,1040.5505,37.6376,79.7426,19.2489,-37.0111,26.6694,,,,-13.2127,3.8766,2.1604,4.3425,4.0034,3.8569,5.693,3.0139,5.973,,,,9.0754,3.3479,3.3852,5.6341,1.7761,,,,,,,2.338,29.2252,2.8898,1.4957,2.1011,1.7349,115.1486,1.5237,,,,41.1071,3.6467,3.2288,3.5858,1.2688,10.0754,10.48,3.9887,39.8961,,,,7.7573,9.1641,4.3612,10.2469,4.3011,,,,,,,1.9875,1.9563,2.9152,0.517,0.8333,3.7629,14.3727,1.2109,,,,5.1309
