ÈÕÆÚ,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH,000670.SZ,002049.SZ,002077.SZ,002079.SZ,002119.SZ,002156.SZ,002185.SZ,002371.SZ,300046.SZ,300053.SZ,300077.SZ,300139.SZ,300223.SZ,300327.SZ,300346.SZ,300373.SZ,300458.SZ,300493.SZ,300613.SZ,300623.SZ,300661.SZ,300666.SZ,300671.SZ,300672.SZ,300706.SZ,300782.SZ,600171.SH,600198.SH,600360.SH,600460.SH,600584.SH,600667.SH,603005.SH,603068.SH,603160.SH,603501.SH,603933.SH,603986.SH,688002.SH,688008.SH,688018.SH,688019.SH,688099.SH
2014/1/2,0,4.8805,1.0292,4.4481,0.9695,3.6522,3.0881,1.8131,4.2265,6.6858,2.8514,1.6226,6.3737,1.5209,4.27,,,,,,,,,,,,2.7685,1.4307,2.0101,3.8333,2.6562,5.2326,,,,,,,,,,,,,3.1353,0.5074,5.1994,1.1747,2.371,1.326,0.5225,13.1632,7.0764,4.0483,1.8115,19.3387,18.0634,6.473,,,,,,,,,,,,1.5128,1.0147,0.9425,2.0935,1.6614,2.5173,,,,,,,,,,,,2354059136,5173137165,1484280000,4567017111,1415718000,3873205651,7371318722,7147122247,1165321200,1648689208,4476884740,2271607439,1933822876,1816351167,1195431198,,,,,,,,,,,,6252936133,6073133594,2753004800,5408636800,5605087818,4312412865,,,,,,,,,,,,719.7059,57.6612,27.4379,109.1574,86.9628,63.8508,37.0313,74.8181,46.2255,79.7444,1486.8238,45.1249,168.346,99.6826,62.8105,,,,,,,,,,,,154.7995,64.2017,68.1391,51.8516,503.9538,346.1895,,,,,,,,,,,,19.2051,6.6816,1.611,3.7105,2.1087,1.7168,4.1535,4.2282,2.2372,3.5122,2.5735,2.514,3.9936,4.5724,3.3333,,,,,,,,,,,,3.5413,4.3282,1.5426,2.6476,2.3044,2.7644,,,,,,,,,,,,38.6666,17.0802,0.5513,5.6349,1.1829,2.1916,3.0138,8.9737,8.4365,14.7715,16.0645,10.132,45.3914,7.7931,28.1708,,,,,,,,,,,,10.6794,1.2622,2.4014,3.649,1.0986,1.0853,,,,,,,,,,,
2014/1/3,0,-2.317,-0.3396,0.4732,0.6859,-0.5034,-1.4097,-1.8265,-4.8202,0.9848,-2.7724,-1.7453,-2.5368,-5.1899,-0.7662,,,,,,,,,,,,-2.3707,1.559,-0.9852,0.6421,-0.1522,-0.8287,,,,,,,,,,,,,3.2276,0.6251,4.7986,2.3578,2.0032,1.5234,0.4456,9.3635,4.5109,4.8533,2.5588,11.5438,13.5922,6.0226,,,,,,,,,,,,1.5076,2.3368,0.7597,2.2122,1.4438,3.3117,,,,,,,,,,,,2354059136,5053273010,1479240000,4588627602,1425428000,3853709650,7267405859,7016581201,1109150400,1664925180,4352769623,2231961858,1884764794,1722083611,1186272016,,,,,,,,,,,,6104698423,6167814965,2725881600,5443363200,5596556482,4276674636,,,,,,,,,,,,719.7059,56.3252,27.3447,109.6739,87.5592,63.5294,36.5093,73.4515,43.9973,80.5297,1445.6038,44.3373,164.0753,94.5091,62.3292,,,,,,,,,,,,151.1296,65.2026,67.4678,52.1845,503.1867,343.3206,,,,,,,,,,,,19.2051,6.5268,1.6056,3.7281,2.1231,1.7081,4.095,4.151,2.1293,3.5468,2.5021,2.4701,3.8923,4.3351,3.3078,,,,,,,,,,,,3.4574,4.3957,1.5274,2.6646,2.3009,2.7415,,,,,,,,,,,,38.6666,16.6844,0.5494,5.6616,1.191,2.1805,2.9713,8.8098,8.0298,14.9169,15.6191,9.9551,44.2399,7.3887,27.955,,,,,,,,,,,,10.4262,1.2819,2.3777,3.6724,1.0969,1.0763,,,,,,,,,,,
2014/1/6,0,-1.5616,-3.4072,-4.2386,-2.1798,-0.1686,0.0894,-2.7907,-9.7267,-3.3688,-4.0161,-3.4769,-9.9901,-9.8194,-1.8104,,,,,,,,,,,,-2.8698,-5.1901,-3.2338,-1.2759,-0.9146,6.6852,,,,,,,,,,,,,1.9041,0.5775,4.7547,1.2996,3.2718,1.0023,0.4878,7.6757,4.4627,3.246,2.2003,15.1292,11.8865,4.4777,,,,,,,,,,,,1.2516,1.5267,0.8043,2.5319,1.5202,5.0639,,,,,,,,,,,,2354059136,4974362441,1428840000,4394133182,1394356000,3847210982,7273900413,6820769633,1001266800,1608837275,4177959598,2154357742,1696475203,1552985107,1164795313,,,,,,,,,,,,5929508402,5847701761,2637731200,5373910400,5545368465,4562580462,,,,,,,,,,,,719.7059,55.4456,26.413,105.0253,85.6506,63.4222,36.5419,71.4017,39.7178,77.8169,1387.5474,42.7957,147.684,85.2289,61.2008,,,,,,,,,,,,146.7926,61.8185,65.286,51.5187,498.5844,366.2724,,,,,,,,,,,,19.2051,6.4248,1.5509,3.5701,2.0769,1.7052,4.0986,4.0351,1.9222,3.4273,2.4017,2.3842,3.5034,3.9094,3.2479,,,,,,,,,,,,3.3581,4.1675,1.478,2.6306,2.2798,2.9248,,,,,,,,,,,,38.6666,16.4239,0.5307,5.4216,1.1651,2.1769,2.974,8.564,7.2488,14.4144,14.9919,9.609,39.8203,6.6631,27.4489,,,,,,,,,,,,10.127,1.2154,2.3008,3.6256,1.0869,1.1483,,,,,,,,,,,
2014/1/7,0,0.5823,0.5291,6.5574,4.1783,5.0676,3.5714,-0.4785,2.4043,3.578,1.0879,0.7048,1.0741,3.6295,1.9794,,,,,,,,,,,,2.1591,1.4649,1.7995,2.5848,4.3077,-2.0888,,,,,,,,,,,,,2.065,0.3111,8.9796,3.5391,3.699,1.5139,0.3943,5.8235,3.2681,2.6914,1.2888,12.9596,9.8947,4.5456,,,,,,,,,,,,1.1739,1.0753,0.806,2.5307,2.8572,2.7855,,,,,,,,,,,,2354059136,5003329612,1436400000,4682273063,1452616000,4042170998,7533682570,6788134371,1025340000,1666401178,4223410204,2169541156,1714696776,1609351275,1187851185,,,,,,,,,,,,6057531879,5933365858,2685196800,5512816000,5784245876,4467278520,,,,,,,,,,,,719.7059,55.7685,26.5528,111.9122,89.2293,66.6362,37.847,71.0601,40.6727,80.6011,1402.6421,43.0973,149.2703,88.3223,62.4122,,,,,,,,,,,,149.962,62.7241,66.4608,52.8503,520.0619,358.6218,,,,,,,,,,,,19.2051,6.4623,1.5591,3.8042,2.1636,1.7916,4.245,4.0158,1.9684,3.55,2.4278,2.401,3.5411,4.0513,3.3122,,,,,,,,,,,,3.4306,4.2286,1.5046,2.6986,2.378,2.8637,,,,,,,,,,,,38.6666,16.5195,0.5335,5.7771,1.2138,2.2872,3.0802,8.523,7.4231,14.9302,15.155,9.6767,40.248,6.905,27.9922,,,,,,,,,,,,10.3456,1.2332,2.3422,3.7193,1.1337,1.1243,,,,,,,,,,,
2014/1/8,0,-0.1797,-0.1754,0.1538,-1.2032,-0.3215,2.069,0.9615,2.1739,1.3286,4.0563,2.0607,2.9428,5.2536,3.9085,,,,,,,,,,,,3.8932,2.5836,2.0202,-0.6299,0.885,-1.8667,,,,,,,,,,,,,2.5785,0.4154,6.3579,2.1361,2.3655,1.5358,0.581,7.9044,5.6302,4.0237,2.6699,15.3484,11.491,8.8783,,,,,,,,,,,,1.7542,1.4102,1.6137,2.0705,2.3635,2.9167,,,,,,,,,,,,2354059136,4994339800,1433880000,4689476560,1435138000,4029173664,7689551865,6853404894,1047630000,1688541140,4394724029,2214247875,1765156518,1693900527,1234278764,,,,,,,,,,,,6293364600,6086659505,2739443200,5478089600,5835433892,4383889321,,,,,,,,,,,,719.7059,55.6683,26.5062,112.0844,88.1557,66.4219,38.6301,71.7434,41.5569,81.672,1459.5373,43.9854,153.663,92.9624,64.8516,,,,,,,,,,,,155.8003,64.3447,67.8034,52.5174,524.6642,351.9275,,,,,,,,,,,,19.2051,6.4506,1.5563,3.81,2.1376,1.7859,4.3328,4.0544,2.0112,3.5971,2.5263,2.4505,3.6453,4.2641,3.4416,,,,,,,,,,,,3.5642,4.3378,1.535,2.6816,2.3991,2.8102,,,,,,,,,,,,38.6666,16.4898,0.5326,5.786,1.1992,2.2798,3.1439,8.605,7.5845,15.1285,15.7697,9.8761,41.4324,7.2677,29.0863,,,,,,,,,,,,10.7484,1.265,2.3896,3.6959,1.1437,1.1033,,,,,,,,,,,
2014/1/9,0,0.8,8.0844,-3.3794,-3.3829,-6.4516,0.5068,-1.8095,-6.1277,-3.3217,-5.0517,-4.6857,6.6967,1.4917,-3.0194,,,,,,,,,,,,-3.5332,2.4444,-2.9703,-3.8035,-4.386,-0.2717,,,,,,,,,,,,,4.3808,3.2145,4.7617,1.9657,2.5741,2.6059,0.3934,7.4003,5.833,4.0317,2.4841,21.4475,14.3822,5.0058,,,,,,,,,,,,1.1397,3.3872,1.067,1.8239,1.7753,3.167,,,,,,,,,,,,2354059136,5034294518,1549800000,4530999626,1386588000,3769226976,7728519189,6729390901,983434800,1632453235,4172715297,2110494546,1883363135,1719168119,1197010367,,,,,,,,,,,,6071008035,6235444515,2658073600,5269731200,5579493809,4371976578,,,,,,,,,,,,719.7059,56.1136,28.6491,108.2966,85.1734,62.1366,38.8258,70.4452,39.0105,78.9591,1385.8057,41.9244,163.9533,94.3491,62.8934,,,,,,,,,,,,150.2956,65.9175,65.7895,50.5199,501.6526,350.9712,,,,,,,,,,,,19.2051,6.5023,1.6821,3.6813,2.0653,1.6707,4.3548,3.9811,1.888,3.4776,2.3986,2.3357,3.8894,4.3278,3.3377,,,,,,,,,,,,3.4383,4.4439,1.4894,2.5796,2.2939,2.8026,,,,,,,,,,,,38.6666,16.6218,0.5756,5.5905,1.1586,2.1327,3.1599,8.4493,7.1197,14.626,14.9731,9.4134,44.207,7.3761,28.208,,,,,,,,,,,,10.3687,1.296,2.3186,3.5553,1.0936,1.1003,,,,,,,,,,,
2014/1/10,0,-5.1984,0.3252,-2.8617,-2.521,-2.2414,-3.3613,-1.9884,-0.544,-3.7071,0.4608,-4.5963,-6.971,-5.2572,0.9235,,,,,,,,,,,,-2.2198,-2.5307,-1.7857,-2.6359,-9.7859,-2.4523,,,,,,,,,,,,,3.6903,3.0652,4.3976,1.4717,1.4653,1.6991,0.5589,4.1388,4.3651,2.5931,2.0265,17.0236,11.5055,2.3595,,,,,,,,,,,,0.9666,1.3717,0.8487,1.3773,3.2847,2.4395,,,,,,,,,,,,2354059136,4772591113,1554840000,4401336679,1351632000,3684744302,7468737031,6595586329,978085200,1571937338,4191944400,2013489401,1752074363,1628787884,1208064553,,,,,,,,,,,,5936246480,6077642231,2610608000,5130825600,5033488299,4264761894,,,,,,,,,,,,719.7059,53.1966,28.7422,105.1975,83.0262,60.7439,37.5207,69.0445,38.7983,76.0321,1392.1919,39.9974,152.5241,89.389,63.4743,,,,,,,,,,,,146.9594,64.2493,64.6147,49.1883,452.5612,342.3642,,,,,,,,,,,,19.2051,6.1642,1.6876,3.5759,2.0132,1.6332,4.2084,3.9019,1.8777,3.3487,2.4097,2.2283,3.6182,4.1002,3.3685,,,,,,,,,,,,3.362,4.3314,1.4628,2.5116,2.0694,2.7339,,,,,,,,,,,,38.6666,15.7577,0.5775,5.4305,1.1294,2.0849,3.0537,8.2813,7.081,14.0838,15.0421,8.9807,41.1253,6.9884,28.4685,,,,,,,,,,,,10.1385,1.2632,2.2772,3.4616,0.9866,1.0734,,,,,,,,,,,
2014/1/13,0,0.6488,-6.483,0.982,6.0345,2.4691,-1.0435,0.9401,2.0055,1.4085,-2.0017,0.0419,-3.1467,-2.9236,-3.268,,,,,,,,,,,,-9.9886,2.6706,-0.2597,0.5076,2.5424,-3.6313,,,,,,,,,,,,,1.3506,2.1632,2.7517,2.2619,1.1903,0.8251,0.6945,3.487,2.709,3.0568,0.8532,13.8395,6.6388,3.0772,,,,,,,,,,,,2.6576,1.6619,0.38,0.7377,1.9965,2.2192,,,,,,,,,,,,2354059136,4803556020,1454040000,4444557661,1433196000,3775725643,7390802384,6657593326,997700400,1594077300,4108035588,2014332924,1696942423,1581168191,1168585319,,,,,,,,,,,,5343295640,6239953151,2603827200,5156870400,5161458341,4109896238,,,,,,,,,,,,719.7059,53.5417,26.8789,106.2305,88.0364,62.2438,37.1292,69.6936,39.5764,77.103,1364.3249,40.0142,147.7247,86.7756,61.3999,,,,,,,,,,,,132.2801,65.9652,64.4468,49.438,464.067,329.932,,,,,,,,,,,,19.2051,6.2042,1.5782,3.611,2.1347,1.6735,4.1645,3.9386,1.9154,3.3959,2.3615,2.2292,3.5044,3.9804,3.2584,,,,,,,,,,,,3.0261,4.4471,1.459,2.5243,2.122,2.6346,,,,,,,,,,,,38.6666,15.8599,0.54,5.4838,1.1975,2.1364,3.0218,8.3591,7.223,14.2822,14.741,8.9845,39.8312,6.7841,27.5382,,,,,,,,,,,,9.1258,1.2969,2.2713,3.4791,1.0116,1.0344,,,,,,,,,,,
2014/1/14,0,2.7241,1.7331,7.4554,1.626,4.3029,4.6573,1.9608,7.5961,5.463,5.1064,2.0938,6.5529,10.0184,1.8919,,,,,,,,,,,,5.8008,3.3237,2.3438,1.3468,4.1322,1.4493,,,,,,,,,,,,,1.9672,1.0426,6.0733,2.8406,1.8673,1.1655,0.5971,7.5394,4.2706,2.9069,1.8233,14.907,11.6799,2.7687,,,,,,,,,,,,1.8747,2.4553,0.4268,1.6865,1.5697,1.665,,,,,,,,,,,,2354059136,4934407722,1479240000,4775918524,1456500000,3938192323,7735013743,6788134371,1073486400,1681161153,4317807618,2056509074,1808140742,1739576559,1190693690,,,,,,,,,,,,5653247215,6447350438,2664854400,5226323200,5374741743,4169459952,,,,,,,,,,,,719.7059,55.0003,27.3447,114.1504,89.4679,64.9221,38.8584,71.0601,42.5826,81.3151,1433.9925,40.852,157.4049,95.4691,62.5616,,,,,,,,,,,,139.9534,68.1577,65.9573,50.1038,483.2434,334.7137,,,,,,,,,,,,19.2051,6.3732,1.6056,3.8803,2.1694,1.7456,4.3584,4.0158,2.0608,3.5814,2.4821,2.2759,3.734,4.3791,3.3201,,,,,,,,,,,,3.2017,4.5949,1.4932,2.5583,2.2097,2.6728,,,,,,,,,,,,38.6666,16.292,0.5494,5.8926,1.217,2.2283,3.1625,8.523,7.7717,15.0624,15.4937,9.1726,42.4413,7.4637,28.0592,,,,,,,,,,,,9.6552,1.34,2.3245,3.526,1.0534,1.0494,,,,,,,,,,,
2014/1/15,0,1.1336,0.1704,-0.1508,0.4,0,0.4198,1.4423,2.4086,3.3363,1.0526,1.1895,-0.801,7.5419,5.5172,,,,,,,,,,,,-0.4768,0.3497,1.2723,5.6478,1.746,1.1429,,,,,,,,,,,,,2.2362,0.8678,4.6626,2.0159,1.7403,1.1225,0.5266,8.0764,6.2617,3.0619,1.5946,12.8406,19.9209,8.3832,,,,,,,,,,,,1.0846,1.9329,0.78,3.4195,2.3219,1.3845,,,,,,,,,,,,2354059136,4990344328,1481760000,4768715027,1462326000,3938192323,7767486512,6886040155,1099342800,1737249058,4363258224,2080971241,1793656927,1870773674,1256387135,,,,,,,,,,,,5626294905,6469893621,2698758400,5521497600,5468586440,4217110923,,,,,,,,,,,,719.7059,55.6237,27.3913,113.9783,89.8258,64.9221,39.0216,72.085,43.6083,84.0279,1449.0872,41.3379,156.144,102.6693,66.0132,,,,,,,,,,,,139.2861,68.396,66.7964,52.9336,491.6809,338.5389,,,,,,,,,,,,19.2051,6.4455,1.6083,3.8744,2.1781,1.7456,4.3767,4.0737,2.1105,3.7009,2.5082,2.303,3.7041,4.7094,3.5033,,,,,,,,,,,,3.1864,4.611,1.5122,2.7028,2.2483,2.7033,,,,,,,,,,,,38.6666,16.4766,0.5503,5.8838,1.2219,2.2283,3.1758,8.6459,7.9588,15.5649,15.6568,9.2817,42.1014,8.0266,29.6073,,,,,,,,,,,,9.6091,1.3447,2.3541,3.7251,1.0718,1.0614,,,,,,,,,,,
