ÈÕÆÚ,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH,000922.SZ,002176.SZ,002196.SZ,002249.SZ,002576.SZ,002801.SZ,002823.SZ,002892.SZ,300626.SZ,300660.SZ,600580.SH,603320.SH,603728.SH,603819.SH,603988.SH
2014/1/2,0.9677,-1.704,0,1.9102,0.1332,,,,,,2.0867,,,,,0.3189,1.2205,,1.0999,2.484,,,,,,1.1214,,,,,1868203100,4648969782,716722912.5,4469842661,737786229.9,,,,,,4373954888,,,,,296.7099,81.7803,244.048,35.4625,121.9799,,,,,,19.402,,,,,2.3633,5.206,2.1517,2.9167,1.4383,,,,,,1.9717,,,,,1.2271,5.4382,2.724,2.3342,1.3523,,,,,,1.2331,,,,
2014/1/3,-0.1597,-1.9161,0,-4.9672,0.266,,,,,,0.7862,,,,,0.2788,0.9577,,1.7322,2.8074,,,,,,1.4896,,,,,1865218750,4559892806,716722912.5,4247816737,739748427.3,,,,,,4408341326,,,,,296.2359,80.2134,244.048,33.701,122.3043,,,,,,19.5545,,,,,2.3596,5.1063,2.1517,2.7718,1.4421,,,,,,1.9872,,,,,1.2251,5.334,2.724,2.2182,1.3559,,,,,,1.2428,,,,
2014/1/6,-2.4,-1.3023,0,-3.4517,-3.3156,,,,,,-3.9002,,,,,0.2756,0.5656,,1.2963,3.0973,,,,,,2.0186,,,,,1820453500,4500508156,716722912.5,4101195844,715220959.6,,,,,,4236409137,,,,,289.1262,79.1687,244.048,32.5378,118.2491,,,,,,18.7919,,,,,2.3029,5.0398,2.1517,2.6761,1.3943,,,,,,1.9097,,,,,1.1957,5.2645,2.724,2.1417,1.3109,,,,,,1.1944,,,,
2014/1/7,0.3279,-0.377,0,0.1021,3.2922,,,,,,0.1623,,,,,0.2902,0.4998,,0.6079,2.5454,,,,,,2.5614,,,,,1826422200,4483541113,716722912.5,4105385012,738767328.6,,,,,,4243286425,,,,,290.0742,78.8703,244.048,32.571,122.1421,,,,,,18.8224,,,,,2.3105,5.0208,2.1517,2.6789,1.4402,,,,,,1.9128,,,,,1.1996,5.2447,2.724,2.1438,1.3541,,,,,,1.1963,,,,
2014/1/8,-0.4902,-0.473,0,-0.3061,0.2656,,,,,,0.6483,,,,,0.2036,0.5515,,0.5572,3.2299,,,,,,1.0419,,,,,1817469150,4462332309,716722912.5,4092817507,740729526.1,,,,,,4270795575,,,,,288.6522,78.4972,244.048,32.4713,122.4665,,,,,,18.9444,,,,,2.2992,4.997,2.1517,2.6707,1.444,,,,,,1.9252,,,,,1.1938,5.2199,2.724,2.1373,1.3577,,,,,,1.204,,,,
2014/1/9,-3.4483,-0.7605,0,-2.6612,-4.5033,,,,,,0.3221,,,,,0.5449,0.4799,,0.4467,2.8812,,,,,,0.9578,,,,,1754797800,4428398223,716722912.5,3983899129,707372169.9,,,,,,4284550150,,,,,278.6987,77.9002,244.048,31.6072,116.9515,,,,,,19.0054,,,,,2.2199,4.959,2.1517,2.5996,1.379,,,,,,1.9314,,,,,1.1526,5.1802,2.724,2.0804,1.2965,,,,,,1.2079,,,,
2014/1/10,-2.381,0.1916,0,-0.3155,-1.6644,,,,,,-0.8026,,,,,0.3108,0.6841,,0.5766,2.5659,,,,,,0.7201,,,,,1713016900,4436881745,716722912.5,3971331624,695598985.4,,,,,,4250163712,,,,,272.063,78.0495,244.048,31.5075,115.005,,,,,,18.8529,,,,,2.167,4.9685,2.1517,2.5914,1.356,,,,,,1.9159,,,,,1.1251,5.1901,2.724,2.0738,1.2749,,,,,,1.1982,,,,
2014/1/13,0.5226,-1.8164,0,0.9494,-1.9746,,,,,,-0.6472,,,,,0.1405,0.5677,,0.3905,2.7347,,,,,,0.7028,,,,,1721969950,4356288290,716722912.5,4009034140,681863603.5,,,,,,4222654562,,,,,273.485,76.6317,244.048,31.8066,112.7341,,,,,,18.7309,,,,,2.1783,4.8783,2.1517,2.616,1.3293,,,,,,1.9035,,,,,1.131,5.0958,2.724,2.0935,1.2498,,,,,,1.1905,,,,
2014/1/14,0.5199,1.85,0,3.4483,2.7338,,,,,,0.8143,,,,,0.2953,0.634,,0.613,1.3801,,,,,,0.7899,,,,,1730923000,4436881745,716722912.5,4147276696,700504478.9,,,,,,4257041000,,,,,274.9069,78.0495,244.048,32.9034,115.816,,,,,,18.8834,,,,,2.1897,4.9685,2.1517,2.7062,1.3656,,,,,,1.919,,,,,1.1369,5.1901,2.724,2.1657,1.2839,,,,,,1.2002,,,,
2014/1/15,-0.1724,1.912,0,0,0.1401,,,,,,0.4847,,,,,0.2246,0.9052,,0.4114,1.3874,,,,,,0.5941,,,,,1727938650,4521716960,716722912.5,4147276696,701485577.7,,,,,,4277672862,,,,,274.4329,79.5418,244.048,32.9034,115.9782,,,,,,18.9749,,,,,2.1859,5.0635,2.1517,2.7062,1.3675,,,,,,1.9283,,,,,1.135,5.2893,2.724,2.1657,1.2857,,,,,,1.206,,,,
2014/1/16,2.0725,1.3133,0,-0.9091,1.8182,,,,,,-0.4823,,,,,0.6991,2.2528,,0.346,2.1732,,,,,,0.4924,,,,,1763750850,4581101610,716722912.5,4109574181,714239860.9,,,,,,4257041000,,,,,280.1206,80.5864,244.048,32.6042,118.0869,,,,,,18.8834,,,,,2.2312,5.13,2.1517,2.6816,1.3924,,,,,,1.919,,,,,1.1585,5.3588,2.724,2.146,1.3091,,,,,,1.2002,,,,
2014/1/17,-0.6768,-1.5741,0,1.2232,-0.1374,,,,,,-2.1002,,,,,0.5052,1.3997,,0.607,1.6541,,,,,,0.6454,,,,,1751813450,4508991677,716722912.5,4159844201,713258762.2,,,,,,4167636261,,,,,278.2247,79.318,244.048,33.0031,117.9247,,,,,,18.4868,,,,,2.2161,5.0493,2.1517,2.7144,1.3905,,,,,,1.8787,,,,,1.1506,5.2745,2.724,2.1723,1.3073,,,,,,1.175,,,,
2014/1/20,-0.3407,-1.223,0,-1.8127,0.1376,,,,,,-0.495,,,,,0.4668,0.8152,,0.262,2.0781,,,,,,0.6192,,,,,1745844750,4453848788,716722912.5,4084439171,714239860.9,,,,,,4147004399,,,,,277.2768,78.3479,244.048,32.4048,118.0869,,,,,,18.3953,,,,,2.2085,4.9875,2.1517,2.6652,1.3924,,,,,,1.8694,,,,,1.1467,5.21,2.724,2.1329,1.3091,,,,,,1.1691,,,,
2014/1/21,0.3419,0.8571,0,0.1026,1.7857,,,,,,5.3068,,,,,0.4952,0.433,,0.3402,2.204,,,,,,1.5744,,,,,1751813450,4492024634,716722912.5,4088628339,726994144.1,,,,,,4367077601,,,,,278.2247,79.0195,244.048,32.4381,120.1956,,,,,,19.3715,,,,,2.2161,5.0303,2.1517,2.6679,1.4172,,,,,,1.9686,,,,,1.1506,5.2546,2.724,2.1351,1.3325,,,,,,1.2312,,,,
2014/1/22,2.0443,1.4164,0,2.5615,1.4845,,,,,,4.4094,,,,,0.866,0.7998,,0.5871,3.5481,,,,,,2.5284,,,,,1787625650,4555651046,716722912.5,4193357548,737786229.9,,,,,,4559641652,,,,,283.9125,80.1387,244.048,33.2689,121.9799,,,,,,20.2257,,,,,2.2614,5.1015,2.1517,2.7363,1.4383,,,,,,2.0554,,,,,1.1742,5.329,2.724,2.1898,1.3523,,,,,,1.2855,,,,
2014/1/23,0.8347,-0.3724,0,1.3986,0.133,,,,,,1.0558,,,,,0.8067,0.9519,,0.5764,2.7785,,,,,,1.8549,,,,,1802547400,4538684003,716722912.5,4252005906,738767328.6,,,,,,4607782665,,,,,286.2824,79.8403,244.048,33.7342,122.1421,,,,,,20.4392,,,,,2.2803,5.0825,2.1517,2.7745,1.4402,,,,,,2.0771,,,,,1.184,5.3092,2.724,2.2204,1.3541,,,,,,1.2991,,,,
2014/1/24,2.4834,2.1495,0,0.8867,0.9296,,,,,,0.597,,,,,1.0682,1.6836,,1.2747,2.935,,,,,,1.6687,,,,,1847312650,4636244500,716722912.5,4289708421,745635019.6,,,,,,4635291815,,,,,293.392,81.5565,244.048,34.0334,123.2776,,,,,,20.5613,,,,,2.3369,5.1918,2.1517,2.7992,1.4536,,,,,,2.0895,,,,,1.2134,5.4233,2.724,2.2401,1.3666,,,,,,1.3068,,,,
2014/1/27,1.1309,-1.1894,10.0112,-1.3672,0.1316,,,,,,-0.8902,,,,,0.9523,0.8746,0.147,1.302,2.6594,,,,,,1.3931,,,,,1868203100,4581101610,788475825,4231060064,746616118.3,,,,,,4594028090,,,,,296.7099,80.5864,268.4803,33.5681,123.4398,,,,,,20.3782,,,,,2.3633,5.13,2.3671,2.7609,1.4555,,,,,,2.0709,,,,,1.2271,5.3588,2.9968,2.2095,1.3684,,,,,,1.2952,,,,
2014/1/28,5.1118,-1.5741,10.0204,-0.099,0.9198,,,,,,-0.1497,,,,,1.9899,0.4849,0.8197,0.6036,2.9215,,,,,,1.0398,,,,,1963702300,4508991677,867484650,4226870895,753483809.3,,,,,,4587150803,,,,,311.8771,79.318,295.3832,33.5348,124.5752,,,,,,20.3477,,,,,2.4841,5.0493,2.6043,2.7581,1.4689,,,,,,2.0678,,,,,1.2898,5.2745,3.297,2.2073,1.381,,,,,,1.2932,,,,
2014/1/29,1.8237,3.4807,10.0372,0.9911,0,,,,,,0.8996,,,,,3.8641,1.1421,15.6334,0.5413,2.143,,,,,,1.2844,,,,,1999514500,4665936825,954555600,4268762579,753483809.3,,,,,,4628414528,,,,,317.5649,82.0788,325.0314,33.8672,124.5752,,,,,,20.5307,,,,,2.5295,5.225,2.8657,2.7855,1.4689,,,,,,2.0864,,,,,1.3133,5.458,3.628,2.2292,1.381,,,,,,1.3049,,,,
2014/1/30,0.4478,-0.3636,9.9662,-0.1963,-1.5625,,,,,,-2.526,,,,,3.5795,1.1718,15.3654,0.5148,1.7591,,,,,,1.2736,,,,,2008467550,4648969782,1049688675,4260384242,741710624.8,,,,,,4511500639,,,,,318.9868,81.7803,357.4247,33.8007,122.6287,,,,,,20.0121,,,,,2.5408,5.206,3.1514,2.78,1.4459,,,,,,2.0337,,,,,1.3192,5.4382,3.9895,2.2248,1.3595,,,,,,1.2719,,,,
