ÈÕÆÚ,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH,000400.SZ,000682.SZ,002058.SZ,002090.SZ,002121.SZ,002169.SZ,002184.SZ,002322.SZ,002334.SZ,002339.SZ,002527.SZ,002546.SZ,002767.SZ,300018.SZ,300040.SZ,300048.SZ,300124.SZ,300208.SZ,300286.SZ,300356.SZ,300360.SZ,300407.SZ,300427.SZ,300466.SZ,300484.SZ,300490.SZ,300514.SZ,300745.SZ,600268.SH,600406.SH,600525.SH,600590.SH,601126.SH,601222.SH,601567.SH,603015.SH,603025.SH,603050.SH,603063.SH,603100.SH,603416.SH,603583.SH,603859.SH
2014/1/2,0.9006,-0.3484,0.9831,2.0608,1.4667,0.9917,1.4013,1.4137,1.1611,1.8328,0,3.1707,,3.4014,1.2658,0.4926,0.0684,2.3214,10.0082,3.737,,,,,,,,,0.1972,-1.2777,1.5819,0.7474,1.3506,1.3962,1.9447,,,,,,,,,1.0335,0.2699,0.7025,1.7782,1.4095,1.4527,2.7106,1.4536,4.7631,0.7934,,7.3314,,3.1848,5.3974,2.1973,0.3954,5.2731,26.5954,9.0799,,,,,,,,,0.3391,0.7237,0.9942,0.7583,0.5009,2.038,1.2339,,,,,,,,,12430573902,2797106475,1030212557,1941367470,2034959021,1502375320,1056520221,3503811488,3163827265,1935015402,1757292892,870973920,,1147951500,1270070400,1974498048,17384974507,1091679600,926302800,988642965,,,,,,,,,3227051885,32380462877,7762955907,3372195299,7898486930,2522019240,1337428800,,,,,,,,,29.5008,76.6768,172.516,35.9153,35.1323,80.7858,56.6241,28.9279,40.1607,29.5091,23.2328,19.1671,,38.3578,195.9106,62.0521,40.62,43.0394,59.949,41.1683,,,,,,,,,629.7702,22.2812,25.5445,229.8083,21.4105,20.134,14.1344,,,,,,,,,4.6909,1.9527,5.3322,3.5488,2.2673,2.8949,2.3812,3.1133,3.7999,2.7049,2.5187,2.309,,2.0664,1.4186,1.8464,7.4084,2.3362,8.3204,2.87,,,,,,,,,1.3541,5.8722,3.0743,1.5797,2.4887,2.868,1.7828,,,,,,,,,2.1561,1.6799,7.8081,2.0159,2.1428,2.8882,1.2234,12.3997,5.3435,3.8027,3.857,5.2339,,7.2215,8.4985,4.169,13.1855,9.6567,18.0721,6.0251,,,,,,,,,0.6214,3.7237,2.7513,1.3481,2.5987,3.7561,1.7755,,,,,,,,
2014/1/3,0.8926,-1.3986,0.5563,3.0769,1.4455,3.2733,-1.6332,-1.3206,2.2238,7.7615,0,-1.4184,,3.6842,6.4062,-1.8382,-1.5718,1.5707,-2.2089,3.469,,,,,,,,,0.9843,0.3406,-3.337,-2.2255,-1.1789,4.0361,-0.9036,,,,,,,,,0.8018,0.2417,1.2558,3.236,1.9521,2.8769,1.835,1.2205,4.3185,6.3267,,3.9396,,5.476,9.3561,2.7202,0.3297,6.2588,36.5728,15.1374,,,,,,,,,0.4033,0.5105,1.7121,0.6588,0.479,3.5892,0.8035,,,,,,,,,12541525789,2757986105,1035943920,2001101853,2064373672,1551552908,1039265494,3457539583,3234184973,2085202200,1757292892,858619680,,1190244450,1351434285,1938202128,17111709915,1108826400,905841600,1022938785,,,,,,,,,3258814206,32490750557,7503902873,3297146442,7805373040,2623810140,1325343600,,,,,,,,,29.7641,75.6044,173.4758,37.0204,35.6402,83.4301,55.6994,28.5458,41.0538,31.7995,23.2328,18.8953,,39.771,208.4611,60.9115,39.9815,43.7154,58.6248,42.5964,,,,,,,,,635.9688,22.3571,24.6921,224.6938,21.1581,20.9467,14.0067,,,,,,,,,4.7328,1.9254,5.3619,3.6579,2.3001,2.9897,2.3423,3.0722,3.8844,2.9148,2.5187,2.2763,,2.1425,1.5095,1.8125,7.2919,2.3729,8.1366,2.9696,,,,,,,,,1.3675,5.8923,2.9718,1.5445,2.4594,2.9837,1.7667,,,,,,,,,2.1754,1.6564,7.8516,2.078,2.1738,2.9827,1.2034,12.236,5.4623,4.0979,3.857,5.1597,,7.4875,9.043,4.0924,12.9783,9.8084,17.6729,6.2342,,,,,,,,,0.6275,3.7364,2.6595,1.3181,2.5681,3.9077,1.7595,,,,,,,,
2014/1/6,-3.6335,-2.1277,-2.4896,-6.4366,1.0363,9.9842,1.6603,-2.1561,-7.1579,-3.2359,0,-3.717,,-2.0305,-3.2305,0.4994,-4.7388,-5.8419,-4.9196,-5.029,,,,,,,,,-2.3392,0.5431,-1.7261,-3.6419,-4.8237,0.0456,-2.1277,,,,,,,,,0.8444,0.3035,1.5386,2.2279,3.9429,3.9305,4.8625,1.2413,4.7682,3.7897,,4.7998,,5.9589,7.1354,4.7812,0.7378,4.7576,24.7671,14.164,,,,,,,,,0.3733,0.8746,1.3006,0.6384,0.468,2.4655,1.2217,,,,,,,,,12085830540,2699305549,1010152785,1872299588,2085766145,1706462311,1056520221,3382990402,3002685417,2017726972,1757292892,826704560,,1166077050,1307775615,1947881040,16300826942,1044049600,861277800,971495055,,,,,,,,,3182584634,32667210846,7374376356,3177068271,7428869050,2625007680,1297144800,,,,,,,,,28.6826,73.9958,169.1569,34.6375,36.0095,91.7599,56.6241,27.9304,38.1153,30.7705,23.2328,18.1929,,38.9635,201.7266,61.2157,38.0868,41.1616,55.7407,40.4542,,,,,,,,,621.0923,22.4785,24.2658,216.5108,20.1375,20.9562,13.7087,,,,,,,,,4.5608,1.8844,5.2284,3.4225,2.3239,3.2882,2.3812,3.0059,3.6064,2.8205,2.5187,2.1917,,2.099,1.4607,1.8215,6.9464,2.2343,7.7363,2.8202,,,,,,,,,1.3355,5.9243,2.9205,1.4883,2.3407,2.9851,1.7291,,,,,,,,,2.0963,1.6212,7.6561,1.9442,2.1963,3.2805,1.2234,11.9722,5.0713,3.9653,3.857,4.9679,,7.3355,8.7508,4.1128,12.3633,9.2354,16.8034,5.9206,,,,,,,,,0.6128,3.7567,2.6136,1.2701,2.4442,3.9095,1.722,,,,,,,,
2014/1/7,8.3607,0.3623,0.4255,8.674,1.9231,2.3055,-2.6382,3.1915,5.8201,9.9245,0,3.3624,,6.0881,10.0152,8.8199,2.0408,5.4745,0.9664,1.3578,,,,,,,,,2.3952,4.659,-0.4684,0,0.2725,-1.9161,2.2774,,,,,,,,,3.3576,0.191,1.0418,4.7592,3.6779,11.0734,2.867,1.3692,4.2476,10.5575,,6.7559,,6.6621,8.1463,11.0098,0.8035,7.065,18.8067,9.9028,,,,,,,,,0.5776,1.9317,0.9352,0.5185,0.8594,1.4028,1.1046,,,,,,,,,13096285224,2709085642,1014451308,2034702444,2125877032,1745804381,1028647200,3490958181,3177444886,2217976035,1757292892,854501600,,1237068788,1438751625,2119681728,16633496880,1101205600,869601000,984685755,,,,,,,,,3258814206,34189180831,7339835952,3177068271,7449111200,2574711000,1326686400,,,,,,,,,31.0807,74.2639,169.8767,37.642,36.702,93.8754,55.1303,28.8217,40.3336,33.8243,23.2328,18.8046,,41.3356,221.9299,66.6148,38.8641,43.4149,56.2793,41.0035,,,,,,,,,635.9688,23.5258,24.1522,216.5108,20.1924,20.5547,14.0209,,,,,,,,,4.9421,1.8913,5.2506,3.7194,2.3686,3.364,2.3184,3.1019,3.8163,3.1004,2.5187,2.2653,,2.2268,1.607,1.9822,7.0881,2.3566,7.8111,2.8585,,,,,,,,,1.3675,6.2003,2.9068,1.4883,2.3471,2.9279,1.7685,,,,,,,,,2.2716,1.627,7.6887,2.1129,2.2386,3.3561,1.1911,12.3542,5.3665,4.3588,3.857,5.1349,,7.7821,9.6272,4.4755,12.6156,9.741,16.9658,6.001,,,,,,,,,0.6275,3.9317,2.6014,1.2701,2.4509,3.8346,1.7612,,,,,,,,
2014/1/8,0.7564,-2.1661,2.1186,0.9174,0.3774,-3.662,6.8387,2.7982,0.2143,0.6869,0,-0.4819,,-0.6105,-0.1379,0.4566,6.1964,1.5571,5.7827,1.1386,,,,,,,,,-0.1949,0.7742,1.4118,0.1575,1.5217,-2.186,0.8097,,,,,,,,,3.5484,0.4146,1.384,3.7408,3.1108,6.1552,5.9721,1.9873,3.4365,10.3712,,4.3691,,6.8809,16.2057,7.0692,0.8711,8.9788,28.1371,27.9093,,,,,,,,,0.3303,1.0362,1.4895,0.5279,0.4968,3.8534,1.7026,,,,,,,,,13195349409,2650405086,1035943920,2053369439,2133899210,1681873516,1098993396,3588643314,3184253696,2233212377,1757292892,850383520,,1229516475,1436767140,2129360640,17664179633,1118352400,919887000,995897850,,,,,,,,,3252461742,34453871263,7443457165,3182071528,7562467240,2518426620,1337428800,,,,,,,,,31.3158,72.6553,173.4758,37.9873,36.8405,90.4377,58.9005,29.6282,40.42,34.0567,23.2328,18.714,,41.0832,221.6238,66.919,41.2723,44.091,59.5338,41.4704,,,,,,,,,634.7291,23.7079,24.4932,216.8517,20.4997,20.1054,14.1344,,,,,,,,,4.9795,1.8503,5.3619,3.7535,2.3776,3.2408,2.4769,3.1887,3.8245,3.1217,2.5187,2.2544,,2.2132,1.6048,1.9912,7.5273,2.3933,8.2627,2.8911,,,,,,,,,1.3648,6.2483,2.9478,1.4906,2.3828,2.8639,1.7828,,,,,,,,,2.2888,1.5918,7.8516,2.1323,2.247,3.2332,1.2725,12.7,5.378,4.3888,3.857,5.1102,,7.7346,9.614,4.496,13.3973,9.8927,17.9469,6.0694,,,,,,,,,0.6263,3.9622,2.6381,1.2721,2.4881,3.7508,1.7755,,,,,,,,
2014/1/9,-2.4024,-1.845,-2.213,1.0909,-3.5088,-4.6784,1.4493,-2.6504,-0.8553,-4.4834,0,-5.5085,,-4.4226,-3.7293,-1.9318,-2.0683,-3.4072,-9.8963,-10,,,,,,,,,-2.1484,-1.3444,-1.6241,-1.5723,-3.5867,-3.4237,0,,,,,,,,,2.5075,0.2846,1.5128,3.0827,2.3849,5.0887,5.5474,1.3641,4.7732,5.4808,,6.7009,,4.8743,10.9838,6.2497,0.5836,4.6975,28.347,26.6224,,,,,,,,,0.2511,0.7718,0.8426,0.5404,0.3869,2.4091,2.4428,,,,,,,,,12878344018,2601504624,1013018467,2075769833,2059025553,1603189375,1114920836,3493528843,3157018455,2133087845,1757292892,803540360,,1175139825,1383186045,2088225264,17298836755,1080248400,828852000,896308065,,,,,,,,,3182584634,33990663007,7322565750,3132038957,7291222430,2432203740,1337428800,,,,,,,,,30.5635,71.3148,169.6367,38.4017,35.5478,86.2067,59.7541,28.843,40.0743,32.5298,23.2328,17.6832,,39.2663,213.3588,65.6262,40.4187,42.5887,53.6421,37.3233,,,,,,,,,621.0923,23.3892,24.0954,213.4421,19.7644,19.417,14.1344,,,,,,,,,4.8599,1.8162,5.2432,3.7944,2.2941,3.0892,2.5128,3.1042,3.7918,2.9817,2.5187,2.1302,,2.1153,1.545,1.9528,7.3716,2.3118,7.445,2.602,,,,,,,,,1.3355,6.1643,2.8999,1.4672,2.2974,2.7658,1.7828,,,,,,,,,2.2338,1.5624,7.6778,2.1555,2.1682,3.082,1.291,12.3633,5.332,4.192,3.857,4.8287,,7.3925,9.2554,4.4091,13.1202,9.5556,16.1708,5.4624,,,,,,,,,0.6128,3.9089,2.5953,1.2521,2.3989,3.6223,1.7755,,,,,,,,
2014/1/10,-2.7077,-1.8797,-3.3946,-2.6079,4.5455,-2.6074,0.2381,-1.4717,-4.7448,1.0204,0,-0.3844,,0.8997,-4.5911,-0.8111,1.9918,0.8818,-0.523,-0.5887,,,,,,,,,-1.5968,-3.3744,-3.066,-3.1949,-1.3881,-4.776,-0.4016,,,,,,,,,1.5325,0.2982,1.2067,3.3259,4.7816,3.6322,8.2716,0.928,3.8063,5.7358,,3.8266,,3.3284,6.6406,4.9837,0.4303,3.2981,17.7584,8.7605,,,,,,,,,0.3085,0.6911,0.454,0.582,0.6305,1.7863,1.1835,,,,,,,,,12529638087,2552604161,978630286.9,2021635548,2152617624,1561388425,1117575410,3442115615,3007224624,2154854048,1757292892,800451800,,1185713063,1319682525,2071287168,17643387762,1089774400,824517000,891031785,,,,,,,,,3131764920,32843671134,7098053121,3031973815,7190011680,2316042360,1332057600,,,,,,,,,29.7359,69.9743,163.8782,37.4002,37.1636,83.959,59.8964,28.4185,38.1729,32.8617,23.2328,17.6152,,39.6196,203.5633,65.0939,41.2237,42.9643,53.3616,37.1036,,,,,,,,,611.1747,22.5999,23.3566,206.6229,19.4901,18.4897,14.0777,,,,,,,,,4.7283,1.782,5.0652,3.6955,2.3984,3.0086,2.5188,3.0585,3.6118,3.0122,2.5187,2.1221,,2.1343,1.474,1.9369,7.5185,2.3322,7.4061,2.5866,,,,,,,,,1.3142,5.9563,2.811,1.4203,2.2655,2.6337,1.7757,,,,,,,,,2.1733,1.5331,7.4172,2.0993,2.2667,3.0016,1.2941,12.1814,5.079,4.2348,3.857,4.8101,,7.459,8.8305,4.3734,13.3815,9.6399,16.0862,5.4303,,,,,,,,,0.603,3.777,2.5157,1.2121,2.3656,3.4493,1.7684,,,,,,,,
2014/1/13,2.6565,0,0,4.2475,0.8696,3.937,6.1758,-0.3734,2.2642,4.0404,0,0.4502,,3.3121,3.609,2.5701,1.8182,5.0699,1.2829,0.9623,,,,,,,,,-2.4341,0.6716,-4.3796,0.495,1.6892,0.5171,-1.3105,,,,,,,,,1.2131,0.2433,0.625,2.9508,5.4463,3.2244,7.929,0.7137,2.1018,6.1441,,2.2107,,4.3853,5.4821,3.8144,0.3356,10.2082,12.1231,5.488,,,,,,,,,0.4149,0.8352,1.4083,0.3919,0.441,0.6091,1.418,,,,,,,,,12862493748,2552604161,978630286.9,2107503724,2171336038,1622860411,1186594319,3429262308,3075312729,2241918858,1757292892,804055120,,1224985088,1367310165,2124521184,17964176630,1145025200,835094400,899605740,,,,,,,,,3055535348,33064246494,6787189480,3046983586,7311464580,2328017760,1314601200,,,,,,,,,30.5258,69.9743,163.8782,38.9888,37.4868,87.2645,63.5954,28.3124,39.0372,34.1894,23.2328,17.6945,,40.9318,210.91,66.7669,41.9733,45.1425,54.0461,37.4607,,,,,,,,,596.2982,22.7517,22.3337,207.6458,19.8193,18.5853,13.8932,,,,,,,,,4.8539,1.782,5.0652,3.8524,2.4193,3.1271,2.6744,3.0471,3.6936,3.1339,2.5187,2.1316,,2.205,1.5272,1.9867,7.6552,2.4504,7.5011,2.6115,,,,,,,,,1.2822,5.9963,2.6879,1.4273,2.3037,2.6474,1.7524,,,,,,,,,2.231,1.5331,7.4172,2.1885,2.2865,3.1198,1.374,12.1359,5.194,4.4059,3.857,4.8318,,7.7061,9.1492,4.4858,13.6248,10.1286,16.2926,5.4825,,,,,,,,,0.5884,3.8024,2.4055,1.2181,2.4056,3.4672,1.7452,,,,,,,,
2014/1/14,1.6636,2.2989,2.489,0.0886,0.4926,2.2727,3.3557,4.1979,4.1328,2.9126,0,2.3688,,1.1097,3.0479,3.6446,1.6865,2.1631,2.6578,3.2991,,,,,,,,,4.9896,0.1334,3.0534,1.1494,1.7719,0.823,0.5107,,,,,,,,,1.5613,0.2187,0.9393,2.7886,3.3822,3.1863,9.5916,1.3792,3.9504,6.9864,,3.5553,,4.6853,5.7441,5.6582,0.4567,7.8275,15.2579,8.4306,,,,,,,,,0.5792,0.6306,1.078,0.4373,0.211,1.5129,1.1825,,,,,,,,,13076472387,2611284716,1002988581,2109370424,2182032275,1659743602,1226412920,3573219346,3202410524,2307217465,1757292892,823101240,,1238579250,1408984350,2201952480,18267143895,1169792800,857289600,929284815,,,,,,,,,3207994492,33108361566,6994431907,3082006386,7441014340,2347178400,1321315200,,,,,,,,,31.0337,71.5829,167.9572,39.0233,37.6715,89.2478,65.7295,29.5009,40.6505,35.1853,23.2328,18.1136,,41.3861,217.3383,69.2003,42.6811,46.119,55.4826,38.6965,,,,,,,,,626.0511,22.782,23.0156,210.0325,20.1704,18.7382,13.9641,,,,,,,,,4.9347,1.823,5.1913,3.8559,2.4312,3.1981,2.7641,3.175,3.8463,3.2252,2.5187,2.1821,,2.2295,1.5738,2.0591,7.7843,2.5034,7.7005,2.6977,,,,,,,,,1.3461,6.0043,2.77,1.4437,2.3446,2.6691,1.7613,,,,,,,,,2.2682,1.5683,7.6018,2.1904,2.2977,3.1907,1.4201,12.6454,5.4086,4.5342,3.857,4.9462,,7.7916,9.4281,4.6493,13.8546,10.3477,16.7256,5.6634,,,,,,,,,0.6177,3.8074,2.479,1.2321,2.4482,3.4957,1.7541,,,,,,,,
2014/1/15,3,0,2.1429,0.885,1.5931,1.4815,-1.2987,0.8633,-0.6378,-0.3774,0,1.626,,0.4878,-0.4225,-1.0989,0.813,-1.3029,1.6383,0.2839,,,,,,,,,0.5941,1.066,2.8395,2.1104,-0.2176,3.1122,5.5894,,,,,,,,,2.2663,0.1859,1.2349,2.3268,4.6238,3.076,7.2587,2.0341,2.7816,4.8057,,4.6162,,4.5711,4.728,4.4044,0.6313,6.229,15.6596,7.9839,,,,,,,,,0.2387,0.6453,0.6206,0.688,0.263,2.0043,2.9457,,,,,,,,,13468766559,2611284716,1024481193,2128037419,2216795044,1684332396,1210485480,3604067283,3181984093,2298510984,1757292892,836485000,,1244621100,1403030895,2177755200,18415657260,1154551200,871335000,931922955,,,,,,,,,3227051885,33461282142,7193039233,3147048728,7424820620,2420228340,1395169200,,,,,,,,,31.9647,71.5829,171.5563,39.3687,38.2716,90.5699,64.8759,29.7556,40.3912,35.0525,23.2328,18.4082,,41.5879,216.4199,68.4399,43.0281,45.5181,56.3916,38.8064,,,,,,,,,629.7702,23.0249,23.6691,214.465,20.1265,19.3214,14.7446,,,,,,,,,5.0827,1.823,5.3025,3.89,2.4699,3.2455,2.7282,3.2024,3.8217,3.213,2.5187,2.2176,,2.2404,1.5671,2.0365,7.8476,2.4708,7.8266,2.7053,,,,,,,,,1.3541,6.0683,2.8486,1.4742,2.3395,2.7522,1.8598,,,,,,,,,2.3362,1.5683,7.7647,2.2098,2.3343,3.238,1.4016,12.7545,5.3741,4.5171,3.857,5.0267,,7.8296,9.3882,4.5982,13.9672,10.2129,16.9997,5.6795,,,,,,,,,0.6214,3.848,2.5494,1.2581,2.4429,3.6045,1.8522,,,,,,,,
